osmid,highway,oneway,reversed,length,geometry,ref,name,width,bridge
245959770,tertiary,False,False,145.64,"LINESTRING (46.4172176 52.2805522, 46.4169953 52.2806398, 46.4154176 52.2812613)",,,,
126196209,residential,False,False,86.131,"LINESTRING (46.4043276 52.274317, 46.4044999 52.2743512, 46.4054528 52.2746684)",,,,
126196209,residential,False,True,56.879,"LINESTRING (46.4088477 52.2748322, 46.408653 52.2748896, 46.4084444 52.2751194, 46.4082699 52.2751658)",,,,
366385419,secondary,False,False,190.68800000000002,"LINESTRING (46.4088477 52.2748322, 46.408558 52.2751232, 46.4085192 52.2751814, 46.4085004 52.2752364, 46.408487 52.2753045, 46.408495 52.2753415, 46.4085326 52.2754046, 46.4085674 52.2754448, 46.4086157 52.2754908, 46.4091011 52.2758289, 46.4094054 52.2760408, 46.4094521 52.2760893, 46.4094745 52.276139, 46.4094846 52.2762808)",63К-00009,улица Ленина,11.75,
366385419,secondary,False,True,119.476,"LINESTRING (46.4088477 52.2748322, 46.4095436 52.2742146, 46.4098602 52.2739545)",63К-00009,улица Ленина,11.75,
126196209,residential,False,False,56.879,"LINESTRING (46.4082699 52.2751658, 46.4084444 52.2751194, 46.408653 52.2748896, 46.4088477 52.2748322)",,,,
126196209,residential,False,True,199.80599999999998,"LINESTRING (46.4082699 52.2751658, 46.4062929 52.2748588, 46.405794 52.2747603, 46.4055848 52.2747029, 46.4054528 52.2746684)",,,,
181344214,residential,False,True,343.0419999999999,"LINESTRING (46.4082699 52.2751658, 46.408205 52.2753172, 46.4077486 52.2757212, 46.4070414 52.2761683, 46.4068698 52.2762768, 46.4060977 52.2766422, 46.405719 52.2768472, 46.4054957 52.27707, 46.4053605 52.2772507, 46.4052161 52.2775348)",,улица Крупской,,
181344214,residential,False,False,343.04200000000003,"LINESTRING (46.4052161 52.2775348, 46.4053605 52.2772507, 46.4054957 52.27707, 46.405719 52.2768472, 46.4060977 52.2766422, 46.4068698 52.2762768, 46.4070414 52.2761683, 46.4077486 52.2757212, 46.408205 52.2753172, 46.4082699 52.2751658)",,улица Крупской,,
181344214,residential,False,True,77.30000000000001,"LINESTRING (46.4052161 52.2775348, 46.4052962 52.2775811, 46.4053223 52.2776386, 46.4053258 52.2776992, 46.4053116 52.2777706, 46.405301 52.2778638, 46.4053152 52.2779677, 46.4053576 52.2780478, 46.4054232 52.2781961)",,улица Крупской,,
181344214,residential,False,False,77.3,"LINESTRING (46.4054232 52.2781961, 46.4053576 52.2780478, 46.4053152 52.2779677, 46.405301 52.2778638, 46.4053116 52.2777706, 46.4053258 52.2776992, 46.4053223 52.2776386, 46.4052962 52.2775811, 46.4052161 52.2775348)",,улица Крупской,,
"[360569248, 360569249, 126196210]",unclassified,False,True,155.52999999999997,"LINESTRING (46.4054232 52.2781961, 46.4057433 52.278181, 46.4059672 52.2781883, 46.4061668 52.2781804, 46.4062849 52.2781409, 46.4066778 52.2779699, 46.4068299 52.2779071, 46.4069503 52.2778573, 46.4070777 52.2778334, 46.4071874 52.2778248, 46.4072759 52.2778334, 46.4073679 52.2778616, 46.4074893 52.2779243)",,,,yes
126196212,residential,False,False,160.79600000000002,"LINESTRING (46.4062746 52.2803208, 46.4061612 52.2804121, 46.4061078 52.2805517, 46.4059389 52.2808191, 46.4057967 52.280975, 46.4056492 52.2811309, 46.4055017 52.2812195, 46.4052687 52.2813227, 46.4049572 52.281469)",,улица Сакко и Ванцетти,,
366385419,secondary,False,False,62.281,"LINESTRING (46.4102755 52.2785652, 46.4102227 52.278653, 46.4099158 52.2790801)",63К-00009,улица Ленина,11.75,
366385419,secondary,False,True,197.411,"LINESTRING (46.4102755 52.2785652, 46.4102897 52.2784671, 46.4102154 52.2783918, 46.410078 52.278324, 46.4099051 52.2783115, 46.4096538 52.2783202, 46.4088764 52.2783765, 46.4086734 52.278383, 46.4084472 52.2783765, 46.4081921 52.2783397, 46.4080181 52.2782873, 46.4077602 52.2781652)",63К-00009,улица Ленина,11.75,
49049962,tertiary,False,False,95.447,"LINESTRING (46.4113582 52.2814659, 46.4110056 52.2814327, 46.4107047 52.281368, 46.4104283 52.2812885, 46.4100542 52.2811691)",,улица Некрасова,,
49049962,tertiary,False,True,114.59899999999999,"LINESTRING (46.4113582 52.2814659, 46.4123386 52.2814542, 46.4130413 52.2814279)",,улица Некрасова,,
181344735,residential,False,True,453.25399999999996,"LINESTRING (46.4113582 52.2814659, 46.4113355 52.2813524, 46.4114588 52.281044, 46.4117271 52.2806682, 46.4120248 52.280253, 46.4124003 52.2797985, 46.4126551 52.2793275, 46.4129126 52.2787105, 46.4129448 52.2784249, 46.413036 52.278251, 46.4134478 52.2776304)",,Красноармейская улица,,
49049962,tertiary,False,True,61.709,"LINESTRING (46.4145344 52.2813879, 46.4154176 52.2812613)",,улица Некрасова,,
49049962,tertiary,False,False,101.684,"LINESTRING (46.4145344 52.2813879, 46.413361 52.2814257, 46.4130413 52.2814279)",,улица Некрасова,,
49049961,unclassified,False,True,76.95,"LINESTRING (46.4165389 52.2813525, 46.4154176 52.2812613)",,,,
181343629,residential,False,False,294.353,"LINESTRING (46.4099158 52.2790801, 46.4110203 52.2793907, 46.4110874 52.2794735, 46.4110646 52.2795539, 46.4100542 52.2811691)",,Пугачёвская улица,,
366385419,secondary,False,False,201.06400000000002,"LINESTRING (46.4099158 52.2790801, 46.4094952 52.2796664, 46.409163 52.2802271, 46.4088741 52.2807706)",63К-00009,улица Ленина,11.75,
366385419,secondary,False,True,62.281,"LINESTRING (46.4099158 52.2790801, 46.4102227 52.278653, 46.4102755 52.2785652)",63К-00009,улица Ленина,11.75,
49049962,tertiary,False,False,91.697,"LINESTRING (46.4100542 52.2811691, 46.4088741 52.2807706)",,улица Некрасова,,
49049962,tertiary,False,True,95.447,"LINESTRING (46.4100542 52.2811691, 46.4104283 52.2812885, 46.4107047 52.281368, 46.4110056 52.2814327, 46.4113582 52.2814659)",,улица Некрасова,,
181343629,residential,False,True,294.35300000000007,"LINESTRING (46.4100542 52.2811691, 46.4110646 52.2795539, 46.4110874 52.2794735, 46.4110203 52.2793907, 46.4099158 52.2790801)",,Пугачёвская улица,,
181344735,residential,False,False,453.25399999999996,"LINESTRING (46.4134478 52.2776304, 46.413036 52.278251, 46.4129448 52.2784249, 46.4129126 52.2787105, 46.4126551 52.2793275, 46.4124003 52.2797985, 46.4120248 52.280253, 46.4117271 52.2806682, 46.4114588 52.281044, 46.4113355 52.2813524, 46.4113582 52.2814659)",,Красноармейская улица,,
181345358,unclassified,False,False,262.981,"LINESTRING (46.4110188 52.2757467, 46.4114765 52.2753781, 46.4115956 52.2752723, 46.4116306 52.2751238, 46.4115862 52.2749895, 46.4114997 52.2749302, 46.410887 52.274511, 46.4105759 52.2742813, 46.4098602 52.2739545)",,,,
181345358,unclassified,False,True,262.981,"LINESTRING (46.4098602 52.2739545, 46.4105759 52.2742813, 46.410887 52.274511, 46.4114997 52.2749302, 46.4115862 52.2749895, 46.4116306 52.2751238, 46.4115956 52.2752723, 46.4114765 52.2753781, 46.4110188 52.2757467)",,,,
366385419,secondary,False,False,119.476,"LINESTRING (46.4098602 52.2739545, 46.4095436 52.2742146, 46.4088477 52.2748322)",63К-00009,улица Ленина,11.75,
360068830,residential,False,True,778.8580000000001,"LINESTRING (46.4164613 52.2749877, 46.4162295 52.2750485, 46.4159286 52.2752177, 46.4155952 52.2754266, 46.41527 52.2756654, 46.4151237 52.2759639, 46.4151318 52.2762176, 46.4151562 52.2765012, 46.4151237 52.276929, 46.4150745 52.2772171, 46.4148228 52.2774365, 46.4146195 52.277919, 46.4145708 52.2781379, 46.4143675 52.2786702, 46.414091 52.2791926, 46.4139908 52.2796655, 46.4138943 52.2799051, 46.4137119 52.2801447, 46.4134061 52.2804992, 46.4131164 52.2810801, 46.4130413 52.2814279)",,Красная улица,,
49049962,tertiary,False,False,114.59899999999999,"LINESTRING (46.4130413 52.2814279, 46.4123386 52.2814542, 46.4113582 52.2814659)",,улица Некрасова,,
49049962,tertiary,False,True,101.684,"LINESTRING (46.4130413 52.2814279, 46.413361 52.2814257, 46.4145344 52.2813879)",,улица Некрасова,,
360068830,residential,False,False,778.8579999999998,"LINESTRING (46.4130413 52.2814279, 46.4131164 52.2810801, 46.4134061 52.2804992, 46.4137119 52.2801447, 46.4138943 52.2799051, 46.4139908 52.2796655, 46.414091 52.2791926, 46.4143675 52.2786702, 46.4145708 52.2781379, 46.4146195 52.277919, 46.4148228 52.2774365, 46.4150745 52.2772171, 46.4151237 52.276929, 46.4151562 52.2765012, 46.4151318 52.2762176, 46.4151237 52.2759639, 46.41527 52.2756654, 46.4155952 52.2754266, 46.4159286 52.2752177, 46.4162295 52.2750485, 46.4164613 52.2749877)",,Красная улица,,
126196209,residential,False,False,199.806,"LINESTRING (46.4054528 52.2746684, 46.4055848 52.2747029, 46.405794 52.2747603, 46.4062929 52.2748588, 46.4082699 52.2751658)",,,,
126196209,residential,False,True,86.131,"LINESTRING (46.4054528 52.2746684, 46.4044999 52.2743512, 46.4043276 52.274317)",,,,
126196212,residential,False,True,160.79600000000002,"LINESTRING (46.4049572 52.281469, 46.4052687 52.2813227, 46.4055017 52.2812195, 46.4056492 52.2811309, 46.4057967 52.280975, 46.4059389 52.2808191, 46.4061078 52.2805517, 46.4061612 52.2804121, 46.4062746 52.2803208)",,улица Сакко и Ванцетти,,
366561305,residential,False,True,133.608,"LINESTRING (46.4049572 52.281469, 46.4061937 52.2816084, 46.4068793 52.2817133)",,Китаевский переулок,,
360595935,residential,False,True,96.62499999999999,"LINESTRING (46.4107737 52.2759596, 46.4105831 52.2759547, 46.4102964 52.2760305, 46.4098978 52.2761861, 46.4097181 52.2762443, 46.4094846 52.2762808)",,,,
126196213,tertiary,False,True,414.81899999999996,"LINESTRING (46.4068793 52.2817133, 46.4069561 52.2815567, 46.4073283 52.2807116, 46.4074135 52.2805056, 46.4075003 52.2803207, 46.4077994 52.2796808, 46.4078039 52.2796741, 46.4079315 52.2795614, 46.4081048 52.2793176, 46.4082274 52.2790187, 46.4082127 52.278935, 46.4081685 52.2788495, 46.4081011 52.2787567, 46.4079022 52.2784463, 46.4077602 52.2781652)",,улица Ленина,,
366561305,residential,False,False,133.608,"LINESTRING (46.4068793 52.2817133, 46.4061937 52.2816084, 46.4049572 52.281469)",,Китаевский переулок,,
