osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
83030582,True,2,,Gabriela Mistral,tertiary,50,False,113.385,"LINESTRING (-72.3347797 -39.6451648, -72.334844 -39.6451074, -72.3356082 -39.6444253, -72.3356447 -39.6443927)"
1204950266,False,2,T-39,Avenida Juan Pablo II,primary,50,False,10.84,"LINESTRING (-72.3385204 -39.6419706, -72.3384075 -39.6419265)"
963849952,True,2,,Gabriela Mistral,tertiary,50,False,151.206,"LINESTRING (-72.3385204 -39.6419706, -72.3384735 -39.6420124, -72.3373667 -39.6430001)"
1204950266,False,2,T-39,Avenida Juan Pablo II,primary,50,True,25.658,"LINESTRING (-72.3385204 -39.6419706, -72.3386517 -39.6420191, -72.3387893 -39.6420724)"
83030485,False,2,,Arturo Alessandri,residential,50,False,69.168,"LINESTRING (-72.3377126 -39.6441816, -72.3384729 -39.6443918)"
1204755050,False,2,,Clodomiro Figueroa,residential,50,False,78.23400000000001,"LINESTRING (-72.3377126 -39.6441816, -72.3376803 -39.6442097, -72.3371508 -39.64467, -72.3371068 -39.6447083)"
83030486,False,2,,Ernesto Wilhem,residential,50,True,143.219,"LINESTRING (-72.3371068 -39.6447083, -72.3371608 -39.6447332, -72.338115 -39.645173, -72.3381606 -39.6451844, -72.3381981 -39.6451854, -72.3382303 -39.6451803, -72.3382545 -39.6451668, -72.3383537 -39.6450313, -72.3384261 -39.6449324)"
1204755050,False,2,,Clodomiro Figueroa,residential,50,False,90.155,"LINESTRING (-72.3371068 -39.6447083, -72.3364887 -39.6452456, -72.336438 -39.6452897, -72.3364086 -39.6453152)"
1204755050,False,2,,Clodomiro Figueroa,residential,50,True,78.23400000000001,"LINESTRING (-72.3371068 -39.6447083, -72.3371508 -39.64467, -72.3376803 -39.6442097, -72.3377126 -39.6441816)"
83030751,False,2,,Clodomiro Figueroa,residential,50,False,53.816,"LINESTRING (-72.3359073 -39.6457771, -72.3355043 -39.6461485)"
204883601,False,2,,General Carol Urzúa,residential,50,False,36.701,"LINESTRING (-72.3359073 -39.6457771, -72.3355342 -39.6456146)"
83030751,False,2,,Clodomiro Figueroa,residential,50,True,66.935,"LINESTRING (-72.3359073 -39.6457771, -72.336343 -39.6453757, -72.3363826 -39.6453392, -72.3364086 -39.6453152)"
83030485,False,2,,Arturo Alessandri,residential,50,True,69.168,"LINESTRING (-72.3384729 -39.6443918, -72.3377126 -39.6441816)"
"[1204950273, 83030486]",False,2,,"['Arturo Alessandri', 'Ernesto Wilhem']",residential,50,"[False, True]",57.101,"LINESTRING (-72.338815 -39.6445256, -72.3387829 -39.644541, -72.3386943 -39.6445937, -72.3386367 -39.6446433, -72.3385817 -39.6447094, -72.3384261 -39.6449324)"
83030750,True,2,,Diego Portales,tertiary,50,False,123.651,"LINESTRING (-72.334038 -39.6421225, -72.3340595 -39.6421581, -72.3346211 -39.6430805, -72.3346509 -39.6431294)"
258031464,True,2,203,Martínez de Rosas,primary,50,False,96.145,"LINESTRING (-72.334038 -39.6421225, -72.3339945 -39.6421313, -72.333859 -39.6421606, -72.3329917 -39.6423452, -72.3329557 -39.6423528)"
324173023,False,2,,Diego Portales,tertiary,50,False,10.945,"LINESTRING (-72.3356447 -39.6443927, -72.335713 -39.6444759)"
83030582,True,2,,Gabriela Mistral,tertiary,50,False,168.96800000000002,"LINESTRING (-72.3356447 -39.6443927, -72.3356758 -39.6443649, -72.3367883 -39.6433719, -72.3369337 -39.6432421)"
83030749,False,2,,Avenida Juan Pablo II,primary,50,False,48.175,"LINESTRING (-72.3377623 -39.6416846, -72.3377261 -39.6416123, -72.3376349 -39.6413345, -72.3376277 -39.641304, -72.3376188 -39.6412664)"
922142508,False,2,T-39,Avenida Juan Pablo II,primary,50,False,77.97000000000001,"LINESTRING (-72.3377623 -39.6416846, -72.3376925 -39.6416691, -72.3375852 -39.6416526, -72.3374404 -39.6416412, -72.3373118 -39.6416333, -72.3371601 -39.641633, -72.337077 -39.6416392, -72.3369938 -39.6416598, -72.3368745 -39.6417022)"
