osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
843322495,,,,residential,False,True,214.80900000000003,"LINESTRING (106.3021043 18.0623987, 106.3019179 18.0620548, 106.3018287 18.0618689, 106.3018052 18.061809, 106.3017839 18.0617427, 106.3017819 18.0617241, 106.3017858 18.0617036, 106.3017939 18.0616898, 106.3018161 18.0616734, 106.3018489 18.0616574, 106.3018927 18.0616419, 106.3020433 18.0615996, 106.3021958 18.061568, 106.3022609 18.0615607, 106.3023081 18.0615613, 106.3023366 18.0615677, 106.3023846 18.0615996, 106.3024288 18.061648, 106.3026921 18.0620731)",
843322496,,,,residential,False,False,268.518,"LINESTRING (106.3021043 18.0623987, 106.3018455 18.0625291, 106.3017355 18.0625903, 106.3015854 18.0626892, 106.3014887 18.0627594, 106.3014726 18.0627795, 106.3014664 18.0628016, 106.3014669 18.0628154, 106.301476 18.0628521, 106.3014876 18.0628802, 106.3015625 18.0629944, 106.3016378 18.0630903, 106.3017497 18.0632201, 106.3017854 18.0632519, 106.3018173 18.0632626, 106.3018432 18.063262, 106.3018669 18.0632517, 106.3023095 18.0629881, 106.3027965 18.0626924)",
843322497,,,,residential,False,True,40.849999999999994,"LINESTRING (106.3021043 18.0623987, 106.3022412 18.0623295, 106.3024418 18.0622199)",
843322496,,,,residential,False,False,39.616,"LINESTRING (106.3027965 18.0626924, 106.3031067 18.0624925)",
843322498,,,,residential,False,False,64.548,"LINESTRING (106.3027965 18.0626924, 106.3024418 18.0622199)",
843322496,,,,residential,False,True,268.51800000000003,"LINESTRING (106.3027965 18.0626924, 106.3023095 18.0629881, 106.3018669 18.0632517, 106.3018432 18.063262, 106.3018173 18.0632626, 106.3017854 18.0632519, 106.3017497 18.0632201, 106.3016378 18.0630903, 106.3015625 18.0629944, 106.3014876 18.0628802, 106.301476 18.0628521, 106.3014669 18.0628154, 106.3014664 18.0628016, 106.3014726 18.0627795, 106.3014887 18.0627594, 106.3015854 18.0626892, 106.3017355 18.0625903, 106.3018455 18.0625291, 106.3021043 18.0623987)",
843322497,,,,residential,False,True,31.09,"LINESTRING (106.3024418 18.0622199, 106.3026921 18.0620731)",
843322498,,,,residential,False,True,64.548,"LINESTRING (106.3024418 18.0622199, 106.3027965 18.0626924)",
843322497,,,,residential,False,False,40.849999999999994,"LINESTRING (106.3024418 18.0622199, 106.3022412 18.0623295, 106.3021043 18.0623987)",
630782204,,,Nguyễn Trung Thiên,residential,False,False,55.982,"LINESTRING (106.2974676 18.0636029, 106.2979205 18.063342)",
630782204,,,Nguyễn Trung Thiên,residential,False,True,66.222,"LINESTRING (106.2974676 18.0636029, 106.2969319 18.0639116)",
630782204,,,Nguyễn Trung Thiên,residential,False,False,67.925,"LINESTRING (106.2990278 18.0630764, 106.2996586 18.0629602)",
