osmid,oneway,highway,reversed,length,geometry,lanes,name,tunnel,maxspeed,access
52032727,True,primary,False,69.021,"LINESTRING (77.5871351 12.9756745, 77.5870521 12.9754991, 77.5868684 12.9751108)",4,Nrupatunga Road,,,
"[1064628345, 1182221970]",True,unclassified,False,65.395,"LINESTRING (77.5875959 12.975722, 77.5876323 12.9757199, 77.5880237 12.9754332, 77.588061 12.9753671)",,,,,yes
1182221971,False,unclassified,False,19.595999999999997,"LINESTRING (77.5875959 12.975722, 77.5875879 12.9757299, 77.5874287 12.9757865)",,,,,
1091198033,False,unclassified,True,16.003,"LINESTRING (77.590877 12.9776308, 77.59079 12.9777471)",,,,,
208686728,True,unclassified,False,65.265,"LINESTRING (77.590877 12.9776308, 77.5909382 12.9776056, 77.5909935 12.9775552, 77.5912616 12.9773257, 77.5913118 12.9772377)",,,,,
1263537982,True,primary,False,7.879,"LINESTRING (77.5870184 12.9758444, 77.5870257 12.9759149)",2,,,,
1182221968,True,primary,False,22.026000000000003,"LINESTRING (77.5871647 12.9760561, 77.5872317 12.9760662, 77.5872985 12.9760552, 77.5873583 12.9760242)",2,,,,
1109946344,True,primary,False,34.828,"LINESTRING (77.5873583 12.9760242, 77.5874749 12.9760527, 77.5874988 12.9760622, 77.5876611 12.976127)",3,Doctor B R Ambedkar Veedhi,,,
1182221968,True,primary,False,25.316,"LINESTRING (77.5873583 12.9760242, 77.5874051 12.9759765, 77.587434 12.9759168, 77.5874369 12.9758931, 77.5874422 12.9758512, 77.5874362 12.9758222)",2,,,,
1182221968,True,primary,False,38.331,"LINESTRING (77.5874287 12.9757865, 77.587395 12.9757293, 77.5873446 12.9756852, 77.5872775 12.9756578, 77.5872048 12.9756541, 77.5871351 12.9756745)",2,,,,
1182221971,False,unclassified,True,19.595999999999997,"LINESTRING (77.5874287 12.9757865, 77.5875879 12.9757299, 77.5875959 12.975722)",,,,,
1182221968,True,primary,False,4.052,"LINESTRING (77.5874362 12.9758222, 77.5874287 12.9757865)",2,,,,
