osmid,highway,oneway,reversed,length,geometry,ref
791502977,residential,False,True,60.456,"LINESTRING (76.8071419 24.2372394, 76.807217 24.2372394, 76.8073994 24.2371758, 76.8076247 24.2371366, 76.8076247 24.2370486)",
791502978,residential,False,True,62.44799999999999,"LINESTRING (76.8071419 24.2372394, 76.8071257 24.2371464, 76.8073617 24.2370779, 76.8076247 24.2370486)",
791502978,residential,False,True,21.821,"LINESTRING (76.8071579 24.2374351, 76.8071419 24.2372394)",
791502978,residential,False,False,224.038,"LINESTRING (76.8071579 24.2374351, 76.8072276 24.2378069, 76.8071096 24.2381884, 76.8069272 24.2385015, 76.806659 24.2388195, 76.806482 24.238932, 76.8061708 24.2388782)",
791502979,residential,False,False,90.311,"LINESTRING (76.8071579 24.2374351, 76.8070237 24.237484, 76.8068038 24.2375476, 76.806289 24.2375233)",
791502978,residential,False,True,224.03799999999998,"LINESTRING (76.8061708 24.2388782, 76.806482 24.238932, 76.806659 24.2388195, 76.8069272 24.2385015, 76.8071096 24.2381884, 76.8072276 24.2378069, 76.8071579 24.2374351)",
791502979,residential,False,True,90.311,"LINESTRING (76.806289 24.2375233, 76.8068038 24.2375476, 76.8070237 24.237484, 76.8071579 24.2374351)",
791502980,residential,False,True,26.804000000000002,"LINESTRING (76.806289 24.2375233, 76.8061333 24.2376014, 76.8060905 24.2376701)",
791502982,residential,False,True,57.446,"LINESTRING (76.806289 24.2375233, 76.8062461 24.237445, 76.8061334 24.237357, 76.8060046 24.2370877)",
791502980,residential,False,False,26.804000000000002,"LINESTRING (76.8060905 24.2376701, 76.8061333 24.2376014, 76.806289 24.2375233)",
791502981,residential,False,False,41.352000000000004,"LINESTRING (76.8060905 24.2376701, 76.8062568 24.2377386, 76.8064821 24.2377337)",
791502981,residential,False,True,101.895,"LINESTRING (76.8060905 24.2376701, 76.805538 24.237719, 76.8052752 24.2376847, 76.8050928 24.2377092)",
791502981,residential,False,False,85.912,"LINESTRING (76.804256 24.2378168, 76.8046261 24.2377973, 76.8050928 24.2377092)",
791504558,residential,False,False,47.068,"LINESTRING (76.804256 24.2378168, 76.8041809 24.2374597, 76.8041915 24.2374008)",
791504558,residential,False,True,109.268,"LINESTRING (76.804256 24.2378168, 76.8040897 24.237944, 76.8034996 24.2379245, 76.8032314 24.2378951)",
791504557,residential,False,False,36.261,"LINESTRING (76.8050928 24.2377092, 76.8050444 24.2373861)",
791502981,residential,False,False,101.895,"LINESTRING (76.8050928 24.2377092, 76.8052752 24.2376847, 76.805538 24.237719, 76.8060905 24.2376701)",
791502981,residential,False,True,85.912,"LINESTRING (76.8050928 24.2377092, 76.8046261 24.2377973, 76.804256 24.2378168)",
791502981,residential,False,True,41.352000000000004,"LINESTRING (76.8064821 24.2377337, 76.8062568 24.2377386, 76.8060905 24.2376701)",
791504546,residential,False,False,38.686,"LINESTRING (76.8052161 24.2370388, 76.8048355 24.2370144)",
791502982,residential,False,False,67.61,"LINESTRING (76.8052161 24.2370388, 76.8055917 24.2370536, 76.8058813 24.237029)",
791502986,residential,False,True,98.63900000000001,"LINESTRING (76.8052161 24.2370388, 76.8052483 24.2365398, 76.805318 24.2362023, 76.8053394 24.2361631)",
791502982,residential,False,False,14.828,"LINESTRING (76.8058813 24.237029, 76.8059779 24.2370536, 76.8060046 24.2370877)",
791502982,residential,False,True,67.61,"LINESTRING (76.8058813 24.237029, 76.8055917 24.2370536, 76.8052161 24.2370388)",
