osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,maxspeed,access
934300971,,unclassified,False,True,65.417,"LINESTRING (76.2333456 11.1998193, 76.2334869 11.1998775, 76.2337232 11.1998955, 76.2339268 11.1999438)",,,,
478006908,,residential,False,False,8.23,"LINESTRING (76.232999 11.195475, 76.2330475 11.1955317)",,,,
478006908,,residential,False,True,36.185,"LINESTRING (76.232999 11.195475, 76.2328361 11.1952845, 76.2327932 11.1952203)",,,,
718218590,,unclassified,False,True,219.17800000000003,"LINESTRING (76.232999 11.195475, 76.2331376 11.1953329, 76.2332276 11.1951732, 76.2338773 11.1947851, 76.233962 11.1947163, 76.2339964 11.1943815, 76.2339628 11.1941246, 76.2339185 11.193989)",,,,
718218586,,unclassified,False,True,53.809,"LINESTRING (76.240179 11.196327, 76.2399981 11.1964399, 76.2397379 11.1965384)",,,,
962837236,,unclassified,False,False,158.61599999999999,"LINESTRING (76.240179 11.196327, 76.2400291 11.1960638, 76.2398662 11.1954339, 76.2397752 11.1951424, 76.2397799 11.1949722)",,,,
962837417,,unclassified,False,False,181.988,"LINESTRING (76.240179 11.196327, 76.2407571 11.1971314, 76.2411243 11.1976754)",,,,
745320932,,unclassified,False,True,24.021,"LINESTRING (76.2411243 11.1976754, 76.2410181 11.1977144, 76.2409201 11.1977561)",,,,
962837417,,unclassified,False,True,181.988,"LINESTRING (76.2411243 11.1976754, 76.2407571 11.1971314, 76.240179 11.196327)",,,,
745320932,,unclassified,False,False,24.021,"LINESTRING (76.2409201 11.1977561, 76.2410181 11.1977144, 76.2411243 11.1976754)",,,,
745320932,,unclassified,False,True,27.444000000000003,"LINESTRING (76.2409201 11.1977561, 76.2408332 11.1977931, 76.2407138 11.1978929)",,,,
798238127,,unclassified,False,False,9.744,"LINESTRING (76.2350546 11.1939132, 76.2349816 11.1938627)",,,,
478006901,,tertiary,False,False,21.893,"LINESTRING (76.2350546 11.1939132, 76.2350831 11.1938727, 76.2352101 11.1937934)",,,,
478006901,,tertiary,False,True,229.48399999999998,"LINESTRING (76.2350546 11.1939132, 76.2348309 11.1942305, 76.2347719 11.1943989, 76.2348861 11.1945224, 76.2351903 11.1948515, 76.2354806 11.1956936)",,,,
34752021,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road,secondary,False,False,71.963,"LINESTRING (76.236656 11.1954047, 76.2366303 11.19541, 76.2360102 11.195537)",,,,
34752021,Thrikkalangode-Thiruvali-Wandoor-Kalikavu Road,secondary,False,True,86.988,"LINESTRING (76.236656 11.1954047, 76.2369332 11.195348, 76.2374299 11.1952171)",,,,
"[1064846243, 478006907]",Bustand road,"['unclassified', 'tertiary']",False,"[False, True]",193.75100000000003,"LINESTRING (76.236656 11.1954047, 76.2367037 11.1955988, 76.2367866 11.195938, 76.2368427 11.1959993, 76.2368887 11.1962133, 76.2369116 11.1963873, 76.236542 11.1965001, 76.2364131 11.1965344, 76.2362845 11.1965685, 76.2362113 11.1965935)",,,,
478006899,C.H. Byepass Road,tertiary,False,False,311.959,"LINESTRING (76.2383432 11.1936862, 76.2388896 11.1936207, 76.2394514 11.1935888, 76.2403863 11.1935312, 76.2409656 11.1935786, 76.2411862 11.1936376)",,,,
478006899,C.H. Byepass Road,tertiary,False,True,300.8,"LINESTRING (76.2383432 11.1936862, 76.2382747 11.1936944, 76.2378348 11.1936996, 76.2365741 11.1936154, 76.2355917 11.1935444)",,,,
1064855967,Govt Hospital Road,unclassified,False,False,167.45499999999998,"LINESTRING (76.2383432 11.1936862, 76.2383738 11.1935837, 76.2383725 11.1934711, 76.2383177 11.1933071, 76.2381059 11.1931882, 76.2379949 11.1930706, 76.2378035 11.1928265, 76.2375904 11.1926675, 76.2375443 11.1925311)",,,,
478006900,Hospital Road,unclassified,False,True,14.941,"LINESTRING (76.2375443 11.1925311, 76.2374077 11.192541)",,,,
478006900,Hospital Road,unclassified,False,False,143.638,"LINESTRING (76.2375443 11.1925311, 76.2379069 11.1924788, 76.2384809 11.1924419, 76.2384804 11.1925424, 76.2384712 11.1928097)",,,,
1064855967,Govt Hospital Road,unclassified,False,True,167.455,"LINESTRING (76.2375443 11.1925311, 76.2375904 11.1926675, 76.2378035 11.1928265, 76.2379949 11.1930706, 76.2381059 11.1931882, 76.2383177 11.1933071, 76.2383725 11.1934711, 76.2383738 11.1935837, 76.2383432 11.1936862)",,,,
1223885313,,residential,False,True,38.416,"LINESTRING (76.2385533 11.1955719, 76.2385252 11.1956488, 76.2384926 11.1956982, 76.2384319 11.1957141, 76.238358 11.1957446, 76.238302 11.1957787)",,,,
1227133931,,residential,False,True,73.775,"LINESTRING (76.2324189 11.1957688, 76.2325779 11.1956952, 76.2327849 11.1955986, 76.2330475 11.1955317)",,,,
"[510943584, 1227131833]",,unclassified,False,True,443.307,"LINESTRING (76.2384322 11.1988573, 76.2382059 11.1987888, 76.2380877 11.1986856, 76.2378271 11.1982205, 76.2376991 11.1980378, 76.2376941 11.197926, 76.2377032 11.1976954, 76.2377103 11.1974798, 76.2377123 11.1972561, 76.2377195 11.1970852, 76.2376886 11.196873, 76.2376665 11.1966874, 76.237652 11.1964483, 76.2376374 11.1962341, 76.2376046 11.1960164, 76.2375683 11.1958414, 76.2375392 11.1956558, 76.2374773 11.1954345, 76.2374299 11.1952171)",,,,
478006900,Hospital Road,unclassified,False,False,14.941,"LINESTRING (76.2374077 11.192541, 76.2375443 11.1925311)",,,,
478006900,Hospital Road,unclassified,False,True,224.601,"LINESTRING (76.2374077 11.192541, 76.2369853 11.1926156, 76.2364274 11.1927156, 76.2359124 11.1930103, 76.2354966 11.1932178)",,,,
