osmid,highway,oneway,reversed,length,ref,maxspeed,geometry,lanes,junction
298106998,residential,False,False,75.5,,,"LINESTRING (77.2857625 30.1191747, 77.2855669 30.1191814, 77.2855397 30.1191815, 77.2855203 30.1191787, 77.2855014 30.1191685, 77.2854501 30.1191404, 77.2854196 30.1191253, 77.2853961 30.119125, 77.2853671 30.1191291, 77.2853227 30.1191443, 77.2850414 30.1192826)",,
298106998,residential,False,True,75.5,,,"LINESTRING (77.2850414 30.1192826, 77.2853227 30.1191443, 77.2853671 30.1191291, 77.2853961 30.119125, 77.2854196 30.1191253, 77.2854501 30.1191404, 77.2855014 30.1191685, 77.2855203 30.1191787, 77.2855397 30.1191815, 77.2855669 30.1191814, 77.2857625 30.1191747)",,
298107009,residential,False,False,24.313,,,"LINESTRING (77.2872617 30.1201404, 77.2874549 30.1202814)",,
298107009,residential,False,True,54.418,,,"LINESTRING (77.2872617 30.1201404, 77.2871935 30.1200929, 77.2871549 30.1200559, 77.2871158 30.1200106, 77.2870093 30.1198602, 77.2869589 30.1198089, 77.286903 30.1197676)",,
"[298106942, 990654159]",residential,False,False,58.987,,,"LINESTRING (77.2872617 30.1201404, 77.2869881 30.1203994, 77.2869376 30.1204689, 77.2868765 30.1205509)",,
298106988,residential,False,True,46.179,,,"LINESTRING (77.2874549 30.1202814, 77.2871241 30.1205824)",,
298107009,residential,False,True,24.313,,,"LINESTRING (77.2874549 30.1202814, 77.2872617 30.1201404)",,
298107009,residential,False,False,61.00899999999999,,,"LINESTRING (77.2874549 30.1202814, 77.2876818 30.1204314, 77.2877564 30.1204772, 77.2878204 30.1205112, 77.2879995 30.1205399)",,
1104921919,residential,False,True,55.557,,,"LINESTRING (77.2874549 30.1202814, 77.2875992 30.1201554, 77.2876386 30.1201265, 77.287675 30.120116, 77.287719 30.1201121, 77.2877767 30.1201147, 77.2879554 30.120137)",,
298106944,residential,False,True,86.133,,,"LINESTRING (77.2835704 30.1203, 77.2839059 30.1210182)",,
298107005,residential,False,False,20.283,,,"LINESTRING (77.2868765 30.1205509, 77.2869858 30.1207069)",,
298106942,residential,False,False,80.506,,,"LINESTRING (77.2868765 30.1205509, 77.2867579 30.1206838, 77.2867247 30.1207101, 77.286677 30.120727, 77.2866178 30.1207391, 77.2864566 30.1207565, 77.2863383 30.1207747, 77.2862308 30.1208054, 77.2861573 30.1208499)",,
"[298106942, 990654159]",residential,False,True,58.987,,,"LINESTRING (77.2868765 30.1205509, 77.2869376 30.1204689, 77.2869881 30.1203994, 77.2872617 30.1201404)",,
"[298103740, 1124055447]","['residential', 'secondary']",False,"[False, True]",126.316,,,"LINESTRING (77.2854365 30.120587, 77.2854264 30.1203636, 77.2854387 30.1201405, 77.2854633 30.1199785, 77.2855738 30.1195421, 77.2856588 30.1195134)",,
298103740,residential,False,True,43.561,,,"LINESTRING (77.2854365 30.120587, 77.2854769 30.1207771, 77.2855042 30.120884, 77.2855358 30.1209687)",,
298106982,residential,False,False,33.348,,,"LINESTRING (77.2854365 30.120587, 77.2851963 30.1206592, 77.2851117 30.1206914)",,
298106981,residential,False,False,79.559,,,"LINESTRING (77.2871241 30.1205824, 77.287661 30.1211267)",,
298106988,residential,False,False,46.179,,,"LINESTRING (77.2871241 30.1205824, 77.2874549 30.1202814)",,
298106988,residential,False,True,19.199,,,"LINESTRING (77.2871241 30.1205824, 77.2869858 30.1207069)",,
298106953,residential,False,True,45.061,,,"LINESTRING (77.2851117 30.1206914, 77.2852529 30.1210778)",,
298106982,residential,False,False,54.056,,,"LINESTRING (77.2851117 30.1206914, 77.2850549 30.1207186, 77.2850162 30.120752, 77.2847059 30.1210248)",,
298106982,residential,False,True,33.348,,,"LINESTRING (77.2851117 30.1206914, 77.2851963 30.1206592, 77.2854365 30.120587)",,
298106988,residential,False,False,19.199,,,"LINESTRING (77.2869858 30.1207069, 77.2871241 30.1205824)",,
298107005,residential,False,False,69.602,,,"LINESTRING (77.2869858 30.1207069, 77.287439 30.1211949)",,
298107005,residential,False,True,20.283,,,"LINESTRING (77.2869858 30.1207069, 77.2868765 30.1205509)",,
298106965,residential,False,True,74.805,,,"LINESTRING (77.2846041 30.1207218, 77.2839059 30.1210182)",,
298130176,residential,False,False,9.724,,,"LINESTRING (77.2880255 30.1208691, 77.2881263 30.1208623)",,
169377135,secondary,True,False,185.197,,50,"LINESTRING (77.2880255 30.1208691, 77.2881815 30.1221772, 77.2882276 30.1225254)",2,
298130176,residential,False,True,46.099,,,"LINESTRING (77.2880255 30.1208691, 77.2879237 30.1209041, 77.2878581 30.1209423, 77.2878119 30.1209783, 77.287661 30.1211267)",,
298106993,residential,False,True,29.791,,,"LINESTRING (77.2855358 30.1209687, 77.2852529 30.1210778)",,
298103740,residential,False,False,43.56100000000001,,,"LINESTRING (77.2855358 30.1209687, 77.2855042 30.120884, 77.2854769 30.1207771, 77.2854365 30.120587)",,
298103740,residential,False,True,39.75,,,"LINESTRING (77.2855358 30.1209687, 77.2856561 30.1211662, 77.2857348 30.1212819)",,
298106958,residential,False,False,84.186,,,"LINESTRING (77.2860213 30.1209608, 77.2865284 30.1215779)",,
298106942,residential,False,False,22.554,,,"LINESTRING (77.2860213 30.1209608, 77.2859573 30.1210334, 77.2858802 30.1211228)",,
298106942,residential,False,True,18.048000000000002,,,"LINESTRING (77.2860213 30.1209608, 77.2861033 30.1208845, 77.2861573 30.1208499)",,
298106966,residential,False,True,38.62,,,"LINESTRING (77.2843212 30.1210133, 77.2840644 30.1212803)",,
298106982,residential,False,True,54.056000000000004,,,"LINESTRING (77.2847059 30.1210248, 77.2850162 30.120752, 77.2850549 30.1207186, 77.2851117 30.1206914)",,
298106944,residential,False,False,86.133,,,"LINESTRING (77.2839059 30.1210182, 77.2835704 30.1203)",,
298106965,residential,False,False,74.805,,,"LINESTRING (77.2839059 30.1210182, 77.2846041 30.1207218)",,
298106944,residential,False,True,32.997,,,"LINESTRING (77.2839059 30.1210182, 77.2839744 30.1211471, 77.2840118 30.1212159, 77.2840644 30.1212803)",,
298106953,residential,False,False,45.061,,,"LINESTRING (77.2852529 30.1210778, 77.2851117 30.1206914)",,
298106993,residential,False,False,29.791,,,"LINESTRING (77.2852529 30.1210778, 77.2855358 30.1209687)",,
298106993,residential,False,True,33.358,,,"LINESTRING (77.2852529 30.1210778, 77.2849867 30.1212701)",,
298106942,residential,False,False,22.551,,,"LINESTRING (77.2858802 30.1211228, 77.2857348 30.1212819)",,
298106964,residential,False,False,88.281,,,"LINESTRING (77.2858802 30.1211228, 77.2864604 30.121738)",,
298106942,residential,False,True,22.554,,,"LINESTRING (77.2858802 30.1211228, 77.2859573 30.1210334, 77.2860213 30.1209608)",,
298103767,residential,False,False,38.049,,,"LINESTRING (77.2911889 30.1210873, 77.2914843 30.1208597)",,
