osmid,name,highway,oneway,reversed,length,geometry,lanes,ref,bridge
1187911153,Nazareth - Eral Road,secondary,False,False,142.38,"LINESTRING (77.9709292 8.5620754, 77.972221 8.5619871)",,MDR1160,
1187911153,Nazareth - Eral Road,secondary,False,True,31.243,"LINESTRING (77.9709292 8.5620754, 77.9708908 8.561797)",,MDR1160,
390023358,,residential,False,False,146.239,"LINESTRING (77.9709292 8.5620754, 77.9698446 8.5622032, 77.969689 8.5620255)",,,
525288706,,residential,False,False,169.969,"LINESTRING (77.9748063 8.5640546, 77.9748295 8.5633387, 77.9747987 8.5628918, 77.9747866 8.5627525, 77.9747249 8.5625364)",,,
1187911153,Nazareth - Eral Road,secondary,False,True,248.81699999999998,"LINESTRING (77.9748063 8.5640546, 77.9744147 8.5640918, 77.9743883 8.5640813, 77.9743256 8.564032, 77.9738434 8.5635215, 77.9736185 8.5632989, 77.9734979 8.5630656, 77.9734495 8.5628082, 77.9733664 8.5626212)",,MDR1160,
390023356,,residential,False,True,35.598,"LINESTRING (77.972221 8.5619871, 77.9722022 8.5616675)",,,
1187911153,Nazareth - Eral Road,secondary,False,True,142.38,"LINESTRING (77.972221 8.5619871, 77.9709292 8.5620754)",,MDR1160,
1187911153,Nazareth - Eral Road,secondary,False,False,55.359,"LINESTRING (77.972221 8.5619871, 77.9722528 8.5624102, 77.9722727 8.5624482, 77.972295 8.5624697)",,MDR1160,
1187911153,Nazareth - Eral Road,secondary,False,False,40.716,"LINESTRING (77.970789 8.5610607, 77.9708391 8.5614235)",,MDR1160,
1187911153,Nazareth - Eral Road,secondary,False,True,24.632,"LINESTRING (77.970789 8.5610607, 77.97073 8.560847)",,MDR1160,
1241530169,களஞ்சியம் தெரு,residential,False,False,84.37,"LINESTRING (77.970789 8.5610607, 77.9715424 8.5609169)",,,
390023360,,residential,False,False,167.856,"LINESTRING (77.970789 8.5610607, 77.9698097 8.5612961, 77.969315 8.5614505)",,,
1241530169,களஞ்சியம் தெரு,residential,False,False,63.226,"LINESTRING (77.9715424 8.5609169, 77.9721083 8.5608161)",,,
1241530169,களஞ்சியம் தெரு,residential,False,True,84.37,"LINESTRING (77.9715424 8.5609169, 77.970789 8.5610607)",,,
"[1241530163, 390022990]",,unclassified,False,True,112.528,"LINESTRING (77.9715424 8.5609169, 77.9715024 8.5606884, 77.97073 8.560847)",,,
390023356,,residential,False,False,47.471,"LINESTRING (77.9721083 8.5608161, 77.9721551 8.5612405)",,,
1241530169,களஞ்சியம் தெரு,residential,False,True,63.226,"LINESTRING (77.9721083 8.5608161, 77.9715424 8.5609169)",,,
1187911157,சன்னதி தெரு,residential,False,False,199.468,"LINESTRING (77.9721083 8.5608161, 77.9724627 8.56076, 77.9729937 8.5607043, 77.9732054 8.5607047, 77.9736345 8.5607763, 77.9739081 8.5607568)",,,
390023636,,residential,False,True,276.423,"LINESTRING (77.9739081 8.5607568, 77.9738011 8.5595399, 77.9736882 8.5582804)",,,
1187911157,சன்னதி தெரு,residential,False,True,199.468,"LINESTRING (77.9739081 8.5607568, 77.9736345 8.5607763, 77.9732054 8.5607047, 77.9729937 8.5607043, 77.9724627 8.56076, 77.9721083 8.5608161)",,,
390023356,,residential,False,False,35.598,"LINESTRING (77.9722022 8.5616675, 77.972221 8.5619871)",,,
390023356,,residential,False,True,47.762,"LINESTRING (77.9722022 8.5616675, 77.9721551 8.5612405)",,,
1241530166,சாமு ஞானவிலாஸ் தெரு,residential,False,True,81.258,"LINESTRING (77.9722022 8.5616675, 77.9729398 8.5616224)",,,
1241530167,Jubilee Street,residential,False,False,144.913,"LINESTRING (77.9722022 8.5616675, 77.9708908 8.561797)",,,
390023356,,residential,False,False,47.762,"LINESTRING (77.9721551 8.5612405, 77.9722022 8.5616675)",,,
390023356,,residential,False,True,47.471,"LINESTRING (77.9721551 8.5612405, 77.9721083 8.5608161)",,,
390023355,நாட்டையர் தெரு,residential,False,True,154.018,"LINESTRING (77.9721551 8.5612405, 77.9730123 8.5612139, 77.9735541 8.5611768)",,,
1241530164,குயின் தெரு,residential,False,False,146.452,"LINESTRING (77.9721551 8.5612405, 77.9715129 8.5612855, 77.9708391 8.5614235)",,,
390023359,,residential,False,False,19.751,"LINESTRING (77.9729398 8.5616224, 77.9729488 8.5617998)",,,
1241530166,சாமு ஞானவிலாஸ் தெரு,residential,False,False,81.258,"LINESTRING (77.9729398 8.5616224, 77.9722022 8.5616675)",,,
"[1241530168, 525288706, 1241530166]",சாமு ஞானவிலாஸ் தெரு,residential,False,True,306.142,"LINESTRING (77.9729398 8.5616224, 77.9730367 8.5615636, 77.9737807 8.5615229, 77.9746243 8.5614728, 77.9747249 8.5625364)",,,
1187911153,Nazareth - Eral Road,secondary,False,False,41.919,"LINESTRING (77.9708391 8.5614235, 77.9708908 8.561797)",,MDR1160,
1187911153,Nazareth - Eral Road,secondary,False,True,40.716,"LINESTRING (77.9708391 8.5614235, 77.970789 8.5610607)",,MDR1160,
1241530165,,residential,False,False,150.423,"LINESTRING (77.9708391 8.5614235, 77.9695126 8.5617543)",,,
1241530164,குயின் தெரு,residential,False,True,146.452,"LINESTRING (77.9708391 8.5614235, 77.9715129 8.5612855, 77.9721551 8.5612405)",,,
1187911153,Nazareth - Eral Road,secondary,False,False,31.243,"LINESTRING (77.9708908 8.561797, 77.9709292 8.5620754)",,MDR1160,
