osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,ref
547223338,False,,,residential,,True,131.26999999999998,"LINESTRING (140.154012 35.9816231, 140.1533826 35.981302, 140.152683 35.9811832)",
123986277,False,2,,tertiary,,True,50.583999999999996,"LINESTRING (140.150484 35.9784, 140.1504689 35.9784686, 140.1504416 35.9788532)",
124077193,False,2,ぶどう園通り,tertiary,40,False,70.223,"LINESTRING (140.150484 35.9784, 140.1504162 35.9783919, 140.149712 35.9783076)",
124077193,False,2,ぶどう園通り,tertiary,40,True,36.942,"LINESTRING (140.150484 35.9784, 140.1505222 35.9784051, 140.1508892 35.9784534)",
198861168,False,,,unclassified,,True,122.23400000000001,"LINESTRING (140.150484 35.9784, 140.1504927 35.9783614, 140.1505061 35.9783049, 140.1507379 35.9773201)",
124077193,False,2,ぶどう園通り,tertiary,40,False,36.745,"LINESTRING (140.149712 35.9783076, 140.149317 35.9782238)",
123986276,False,2,,tertiary,,False,49.918000000000006,"LINESTRING (140.149712 35.9783076, 140.1496998 35.9783951, 140.1496499 35.9787537)",
124077193,False,2,ぶどう園通り,tertiary,40,True,70.223,"LINESTRING (140.149712 35.9783076, 140.1504162 35.9783919, 140.150484 35.9784)",
123986272,False,2,,tertiary,,True,53.884,"LINESTRING (140.1504426 35.9796103, 140.1510377 35.9795563)",
123986277,False,2,,tertiary,,True,69.288,"LINESTRING (140.1504426 35.9796103, 140.150348 35.9802287)",
123986277,False,2,,tertiary,,False,84.41400000000002,"LINESTRING (140.1504426 35.9796103, 140.1504611 35.979439, 140.1504671 35.9793534, 140.1504515 35.9791642, 140.1504341 35.9790296, 140.1504416 35.9788532)",
123986272,False,2,,tertiary,,False,65.852,"LINESTRING (140.1517657 35.9794958, 140.1516471 35.9795057, 140.1515841 35.9795109, 140.1510377 35.9795563)",
"[648212748, 648212559]",False,"['4', '5']",ふれあい通り,secondary,60,True,106.816,"LINESTRING (140.1517657 35.9794958, 140.1517037 35.9790265, 140.1516612 35.9786836, 140.1516535 35.978622, 140.1516434 35.9785403)",272
"[648213741, 648213742]",False,4,ふれあい通り,secondary,60,False,69.386,"LINESTRING (140.1517657 35.9794958, 140.1517776 35.9795989, 140.15183 35.9800426, 140.1518387 35.980117)",272
