osmid,highway,oneway,reversed,length,lanes,width,geometry,bridge,maxspeed
56453003,unclassified,False,True,114.384,,,"LINESTRING (130.471525 33.5330144, 130.4706554 33.5337443)",,
57901367,tertiary,False,True,43.798,2,5,"LINESTRING (130.471525 33.5330144, 130.4718647 33.5332882)",,
"[56453003, 181050270]","['unclassified', 'tertiary']",False,False,242.04899999999998,2,5,"LINESTRING (130.471525 33.5330144, 130.4730851 33.5317085, 130.4731304 33.5316919, 130.473167 33.5317211, 130.4733844 33.5318938)",,
57901367,tertiary,False,False,23.997,2,5,"LINESTRING (130.471525 33.5330144, 130.4714472 33.532952, 130.4714156 33.5329274, 130.4713442 33.5328602)",,
57901368,unclassified,True,False,58.349,,,"LINESTRING (130.4676848 33.5348731, 130.4681207 33.5352517)",,
171713740,unclassified,False,True,58.83,,,"LINESTRING (130.4676848 33.5348731, 130.4672954 33.5352909)",,
57901382,unclassified,False,False,17.36,,,"LINESTRING (130.476083 33.5362817, 130.4762158 33.5361716)",,
57901382,unclassified,False,True,73.047,,,"LINESTRING (130.476083 33.5362817, 130.475902 33.5364338, 130.4755204 33.5367417)",,
155710564,unclassified,False,False,224.688,,,"LINESTRING (130.476083 33.5362817, 130.4755167 33.5357768, 130.4755084 33.5357546, 130.4755067 33.5357309, 130.4755384 33.5356808, 130.4764744 33.5347353)",,
57717859,tertiary,False,False,34.498,,,"LINESTRING (130.4757578 33.5306766, 130.4760213 33.5308957)",,
57717859,tertiary,False,True,49.763,,,"LINESTRING (130.4757578 33.5306766, 130.4753762 33.5303618)",,
59141301,unclassified,False,False,47.477,,,"LINESTRING (130.4705016 33.5362126, 130.4701306 33.536507)",,
59141304,unclassified,False,True,94.753,,,"LINESTRING (130.4705016 33.5362126, 130.4697739 33.5356141)",,
59141304,unclassified,False,False,117.10900000000001,,,"LINESTRING (130.4705016 33.5362126, 130.4713435 33.5369312, 130.4713791 33.5369699)",,
61964647,unclassified,False,True,55.893,,,"LINESTRING (130.4713791 33.5369699, 130.4716819 33.5365352)",,
59141304,unclassified,False,True,117.10900000000001,,,"LINESTRING (130.4713791 33.5369699, 130.4713435 33.5369312, 130.4705016 33.5362126)",,
56453002,unclassified,False,False,41.708,,,"LINESTRING (130.4697739 33.5356141, 130.4694262 33.5358522)",,
56453002,unclassified,False,True,42.681,,,"LINESTRING (130.4697739 33.5356141, 130.4699705 33.535267)",,
59141304,unclassified,False,False,94.753,,,"LINESTRING (130.4697739 33.5356141, 130.4705016 33.5362126)",,
59141304,unclassified,False,True,90.248,,,"LINESTRING (130.4697739 33.5356141, 130.4690901 33.5350363)",,
59186774,tertiary,False,False,83.317,2,5,"LINESTRING (130.4759936 33.5287195, 130.475396 33.5292792)",,
172024318,tertiary,False,True,43.055,2,5,"LINESTRING (130.4662234 33.5336126, 130.4665589 33.5338804)",,
56453002,unclassified,False,False,78.139,,,"LINESTRING (130.4718647 33.5332882, 130.4712662 33.5337831)",,
56453002,unclassified,False,True,171.397,,,"LINESTRING (130.4718647 33.5332882, 130.473096 33.5321382)",,
57901367,tertiary,False,False,43.798,2,5,"LINESTRING (130.4718647 33.5332882, 130.471525 33.5330144)",,
57901367,tertiary,False,True,89.61,2,5,"LINESTRING (130.4718647 33.5332882, 130.4725485 33.5338579)",,
61434136,unclassified,False,False,133.996,,,"LINESTRING (130.4719119 33.5359998, 130.4713919 33.5348754)",,
61434137,unclassified,False,False,41.32,,,"LINESTRING (130.4719119 33.5359998, 130.4714984 33.5361387)",,
61434137,unclassified,False,True,36.838,,,"LINESTRING (130.4719119 33.5359998, 130.4722891 33.5358954)",,
61434136,unclassified,False,False,90.954,,,"LINESTRING (130.4713919 33.5348754, 130.4707179 33.5342809)",,
61434136,unclassified,False,True,133.996,,,"LINESTRING (130.4713919 33.5348754, 130.4719119 33.5359998)",,
61434144,unclassified,False,False,43.97,,,"LINESTRING (130.4713919 33.5348754, 130.4711526 33.5349059, 130.4709333 33.5349698)",,
61434144,unclassified,False,True,49.638000000000005,,,"LINESTRING (130.4713919 33.5348754, 130.4715691 33.5348849, 130.4717413 33.5349301, 130.4718706 33.5350314)",,
61434137,unclassified,False,False,36.838,,,"LINESTRING (130.4722891 33.5358954, 130.4719119 33.5359998)",,
61434144,unclassified,False,True,26.752,,,"LINESTRING (130.4722891 33.5358954, 130.4723761 33.5361248)",,
61434144,unclassified,False,False,52.313,,,"LINESTRING (130.4722891 33.5358954, 130.472217 33.5355772, 130.4721489 33.535442)",,
61434137,unclassified,False,True,41.32,,,"LINESTRING (130.4714984 33.5361387, 130.4719119 33.5359998)",,
172017140,unclassified,False,False,50.111,,,"LINESTRING (130.4714984 33.5361387, 130.4712837 33.5357251)",,
172017140,unclassified,False,True,47.256,,,"LINESTRING (130.4714984 33.5361387, 130.4716819 33.5365352)",,
61434138,unclassified,False,False,37.515,,,"LINESTRING (130.4731283 33.5361461, 130.4729002 33.5358674)",,
61434138,unclassified,False,True,36.94,,,"LINESTRING (130.4731283 33.5361461, 130.4733648 33.5364135)",,
61434142,unclassified,False,False,78.193,,,"LINESTRING (130.4731283 33.5361461, 130.4725188 33.5366323)",,
172017165,unclassified,True,False,48.219,,,"LINESTRING (130.4731283 33.5361461, 130.4735792 33.5359298)",,
61434138,unclassified,False,False,37.699,,,"LINESTRING (130.4729002 33.5358674, 130.4726737 33.5355858)",,
61434138,unclassified,False,True,37.515,,,"LINESTRING (130.4729002 33.5358674, 130.4731283 33.5361461)",,
172131857,unclassified,False,False,65.024,,,"LINESTRING (130.4729002 33.5358674, 130.4735215 33.5355958)",,
172131861,unclassified,False,True,56.381,,,"LINESTRING (130.4729002 33.5358674, 130.4723761 33.5361248)",,
61434138,unclassified,False,False,37.606,,,"LINESTRING (130.4726737 33.5355858, 130.4724292 33.5353159)",,
61434138,unclassified,False,True,37.699,,,"LINESTRING (130.4726737 33.5355858, 130.4729002 33.5358674)",,
172131852,unclassified,False,False,79.931,,,"LINESTRING (130.4726737 33.5355858, 130.4734464 33.5352666)",,
