osmid,highway,oneway,reversed,length,maxspeed,geometry,lanes,ref,name,bridge
47016403,tertiary,False,True,127.933,,"LINESTRING (133.9475089 34.4889135, 133.9482334 34.489025, 133.9488756 34.4891463)",,,,
182799597,unclassified,False,True,40.668,,"LINESTRING (133.9475089 34.4889135, 133.9475063 34.4889731, 133.9474932 34.489279)",,,,
135028908,trunk,False,False,76.331,,"LINESTRING (133.9472805 34.4935913, 133.9481124 34.4936247)",4,30;430,国道30号,
135028908,trunk,False,True,87.644,,"LINESTRING (133.9472805 34.4935913, 133.9463256 34.4935482)",4,30;430,国道30号,
182800777,unclassified,False,False,29.281999999999996,,"LINESTRING (133.9472805 34.4935913, 133.9472836 34.4935202, 133.9472848 34.4934924, 133.9473179 34.4933303)",,,,
182801283,unclassified,False,True,55.43599999999999,,"LINESTRING (133.9472805 34.4935913, 133.9472711 34.4936576, 133.9472676 34.4936823, 133.9472235 34.4940325, 133.9472141 34.4940868)",,,,
135029152,tertiary,False,True,11.429,,"LINESTRING (133.9488065 34.4931151, 133.9488276 34.4932164)",,,,yes
135029234,tertiary,False,True,119.21700000000001,,"LINESTRING (133.9488065 34.4931151, 133.948921 34.4931159, 133.9489854 34.4931111, 133.949868 34.4927928, 133.9499246 34.4927775, 133.9500171 34.4927491)",,,,
135029358,tertiary,False,True,131.452,,"LINESTRING (133.9488065 34.4931151, 133.9487042 34.4931158, 133.948686 34.4931145, 133.9473744 34.4930524)",,,,
182799640,tertiary,False,True,71.406,,"LINESTRING (133.9488065 34.4931151, 133.9488079 34.4930385, 133.9488173 34.492473)",,,,
135028908,trunk,False,False,66.941,,"LINESTRING (133.9490097 34.4936602, 133.9491537 34.4936659, 133.9497393 34.4936889)",4,30;430,国道30号,
135028908,trunk,False,True,57.922,,"LINESTRING (133.9490097 34.4936602, 133.9488113 34.4936526, 133.9483784 34.4936354)",4,30;430,国道30号,
135029240,tertiary,False,False,29.281,,"LINESTRING (133.9490097 34.4936602, 133.9489597 34.4935257, 133.9489162 34.4934084)",,,,
182799623,unclassified,False,False,35.892,,"LINESTRING (133.9490097 34.4936602, 133.9490463 34.4937352, 133.949055 34.4937531, 133.949153 34.4939606)",,,,
135028908,trunk,False,True,43.581,,"LINESTRING (133.9439237 34.49345, 133.9434486 34.4934332)",4,30;430,国道30号,
135028908,trunk,False,False,16.97,,"LINESTRING (133.9439237 34.49345, 133.9439939 34.493454, 133.9441083 34.4934619)",4,30;430,国道30号,
182800819,unclassified,False,False,62.622,,"LINESTRING (133.9439237 34.49345, 133.9438858 34.4933838, 133.9438562 34.4933321, 133.9437795 34.4931527, 133.9436852 34.4929229)",,,,
182800819,unclassified,False,True,61.214999999999996,,"LINESTRING (133.9439237 34.49345, 133.9439717 34.4935191, 133.9442527 34.4939291)",,,,
135028908,trunk,False,False,17.194,,"LINESTRING (133.9451248 34.4935014, 133.9453122 34.4935087)",4,30;430,国道30号,
135028908,trunk,False,True,93.262,,"LINESTRING (133.9451248 34.4935014, 133.9449877 34.4934959, 133.9441083 34.4934619)",4,30;430,国道30号,
135029338,tertiary,False,False,34.896,,"LINESTRING (133.9451248 34.4935014, 133.9451464 34.4933804, 133.9451766 34.4931905)",,,,
1212464471,tertiary,False,False,55.721,,"LINESTRING (133.9434857 34.4880089, 133.9429116 34.487844)",,,,
1212464471,tertiary,False,True,45.653,,"LINESTRING (133.9434857 34.4880089, 133.9439544 34.4881479)",,,,
1212464471,tertiary,False,True,36.733,,"LINESTRING (133.942013 34.4875721, 133.9422332 34.4876491, 133.9423858 34.4876929)",,,,
47016403,tertiary,False,True,137.338,,"LINESTRING (133.9460469 34.4886426, 133.9475089 34.4889135)",,,,
47016403,tertiary,False,False,43.212,,"LINESTRING (133.9460469 34.4886426, 133.9459748 34.4886269, 133.9455911 34.4885432)",,,,
"[135029116, 135029196, 135029135]",tertiary,False,False,61.346000000000004,,"LINESTRING (133.9460469 34.4886426, 133.9461099 34.4883425, 133.9461479 34.4881269, 133.9461527 34.4880979)",,,,yes
135029338,tertiary,False,True,43.351,,"LINESTRING (133.9460469 34.4886426, 133.9460242 34.488755, 133.9459724 34.4890276)",,,,
135028908,trunk,False,False,87.644,,"LINESTRING (133.9463256 34.4935482, 133.9472805 34.4935913)",4,30;430,国道30号,
135028908,trunk,False,True,92.978,,"LINESTRING (133.9463256 34.4935482, 133.9453578 34.4935105, 133.9453122 34.4935087)",4,30;430,国道30号,
182798988,unclassified,False,True,55.129999999999995,,"LINESTRING (133.9463256 34.4935482, 133.9463196 34.493616, 133.9462822 34.4940427)",,,,
182799598,unclassified,False,False,30.22,,"LINESTRING (133.9463256 34.4935482, 133.9463334 34.4934743, 133.9463598 34.4932779)",,,,
51984341,unclassified,False,True,9.688,20,"LINESTRING (133.951209 34.4964002, 133.9513147 34.4964018)",,,,
135028908,trunk,False,False,43.581,,"LINESTRING (133.9434486 34.4934332, 133.9439237 34.49345)",4,30;430,国道30号,
135028908,trunk,False,True,103.255,,"LINESTRING (133.9434486 34.4934332, 133.9426769 34.4934025, 133.9424768 34.4933798, 133.9423291 34.4933499)",4,30;430,国道30号,
182800870,unclassified,False,False,52.396,,"LINESTRING (133.9434486 34.4934332, 133.9434489 34.4934973, 133.9434458 34.4939044)",,,,
182799128,unclassified,False,True,14.251000000000001,,"LINESTRING (133.941194 34.493272, 133.9411717 34.4932734, 133.9410552 34.4933265)",,,,
383093102,trunk,True,False,47.549,,"LINESTRING (133.941194 34.493272, 133.9410686 34.4934788, 133.9409766 34.49366)",1,30,国道30号,
383093103,trunk,True,False,61.022,,"LINESTRING (133.9407759 34.4941793, 133.9410402 34.4936756)",1,30,国道30号,
134874631,trunk,False,False,76.028,,"LINESTRING (133.9415091 34.4929758, 133.9413492 34.4928388, 133.9409979 34.492439)",2,430,国道430号,
135028908,trunk,False,False,46.665,,"LINESTRING (133.9415091 34.4929758, 133.941677 34.4930797, 133.9419324 34.4932082)",4,30;430,国道30号,
383093102,trunk,True,False,43.986999999999995,,"LINESTRING (133.9415091 34.4929758, 133.9414018 34.4930517, 133.941194 34.493272)",1,30,国道30号,
46141961,residential,False,False,37.851,,"LINESTRING (133.9513301 34.495734, 133.9513317 34.4953936)",,,,
46141961,residential,False,True,74.269,,"LINESTRING (133.9513301 34.495734, 133.9513147 34.4964018)",,,,
182799404,unclassified,False,True,41.16,,"LINESTRING (133.9513301 34.495734, 133.950881 34.4957297)",,,,
135029109,tertiary,False,False,110.286,,"LINESTRING (133.9497122 34.488205, 133.9494112 34.4883912, 133.9489754 34.4886788, 133.948925 34.4887327, 133.9489048 34.4887877, 133.9488846 34.4888428, 133.9488849 34.4888812)",,,,
135029199,tertiary,False,False,86.62,,"LINESTRING (133.9497122 34.488205, 133.9497797 34.4884791, 133.9498567 34.4887912, 133.9498596 34.488972)",,,,
135029338,tertiary,False,True,62.762,,"LINESTRING (133.9459724 34.4890276, 133.9458662 34.4895852)",,,,
135029338,tertiary,False,False,43.351,,"LINESTRING (133.9459724 34.4890276, 133.9460242 34.488755, 133.9460469 34.4886426)",,,,
"[182800305, 182800266]",unclassified,False,True,142.15800000000002,,"LINESTRING (133.9459724 34.4890276, 133.9460494 34.4890404, 133.9464724 34.4891108, 133.9474932 34.489279)",,,,
135029338,tertiary,False,False,62.762,,"LINESTRING (133.9458662 34.4895852, 133.9459724 34.4890276)",,,,
135029338,tertiary,False,True,147.63799999999998,,"LINESTRING (133.9458662 34.4895852, 133.9456277 34.4908141, 133.945612 34.4908963)",,,,
182799146,unclassified,False,False,42.462,,"LINESTRING (133.9458662 34.4895852, 133.9457909 34.4895728, 133.9454119 34.4895103)",,,,
182799422,unclassified,False,True,58.527,,"LINESTRING (133.9458662 34.4895852, 133.9459435 34.4895982, 133.9464919 34.4896904)",,,,
135029338,tertiary,False,True,65.505,,"LINESTRING (133.945612 34.4908963, 133.9455006 34.4914782)",,,,
135029338,tertiary,False,False,147.63799999999998,,"LINESTRING (133.945612 34.4908963, 133.9456277 34.4908141, 133.9458662 34.4895852)",,,,
182799142,unclassified,False,False,51.708000000000006,,"LINESTRING (133.945612 34.4908963, 133.9455335 34.4908963, 133.9450478 34.4908963)",,,,
182799392,unclassified,False,True,58.788000000000004,,"LINESTRING (133.945612 34.4908963, 133.9456966 34.4908978, 133.9462533 34.4909077)",,,,
135029338,tertiary,False,False,65.505,,"LINESTRING (133.9455006 34.4914782, 133.945612 34.4908963)",,,,
135029338,tertiary,False,True,89.501,,"LINESTRING (133.9455006 34.4914782, 133.94545 34.4917279, 133.945339 34.492272)",,,,
182798980,unclassified,False,False,58.943999999999996,,"LINESTRING (133.9455006 34.4914782, 133.9455855 34.4914831, 133.9461422 34.4915151)",,,,
135029351,tertiary,False,False,29.461,,"LINESTRING (133.9414899 34.4919129, 133.9418019 34.4919767)",,,,
135029351,tertiary,False,True,27.383,,"LINESTRING (133.9414899 34.4919129, 133.9412008 34.4918507)",,,,
"[182799201, 182799659]",unclassified,False,False,20.048000000000002,,"LINESTRING (133.9414899 34.4919129, 133.9414516 34.4918488, 133.9414196 34.4917432)",,,,yes
182799287,unclassified,False,True,70.53299999999999,,"LINESTRING (133.9414899 34.4919129, 133.9415018 34.4919345, 133.9416304 34.4921682, 133.9418853 34.4924531)",,,,
135029351,tertiary,False,False,85.421,,"LINESTRING (133.9418019 34.4919767, 133.9427005 34.4921807)",,,,
135029351,tertiary,False,True,29.461,,"LINESTRING (133.9418019 34.4919767, 133.9414899 34.4919129)",,,,
"[182799282, 182799211, 182799524]",unclassified,False,True,15.256,,"LINESTRING (133.9418019 34.4919767, 133.9418052 34.491922, 133.941807 34.4918717, 133.9418066 34.4918576, 133.9418063 34.4918396)",,,,yes
135029351,tertiary,False,False,75.121,,"LINESTRING (133.9427005 34.4921807, 133.9434896 34.4923635)",,,,
135029351,tertiary,False,True,85.421,,"LINESTRING (133.9427005 34.4921807, 133.9418019 34.4919767)",,,,
182800026,tertiary,False,False,52.586,,"LINESTRING (133.9427005 34.4921807, 133.942693 34.4922032, 133.9425609 34.4926394)",,,,
135029338,tertiary,False,False,89.501,,"LINESTRING (133.945339 34.492272, 133.94545 34.4917279, 133.9455006 34.4914782)",,,,
135029338,tertiary,False,True,52.814,,"LINESTRING (133.945339 34.492272, 133.9452758 34.4926278, 133.9452559 34.492742)",,,,
182799993,unclassified,False,False,102.494,,"LINESTRING (133.945339 34.492272, 133.9454347 34.492277, 133.945775 34.492295, 133.9464538 34.4923446)",,,,
134874631,trunk,False,False,25.375,,"LINESTRING (133.9409979 34.492439, 133.9408422 34.4922503)",2,430,国道430号,
134874631,trunk,False,True,76.028,,"LINESTRING (133.9409979 34.492439, 133.9413492 34.4928388, 133.9415091 34.4929758)",2,430,国道430号,
182799855,tertiary,False,True,81.348,,"LINESTRING (133.9409979 34.492439, 133.9411336 34.4924383, 133.9418853 34.4924531)",,,,
135029351,tertiary,False,False,13.014,,"LINESTRING (133.944111 34.4924871, 133.9442481 34.4925176)",,,,
135029351,tertiary,False,True,3.408,,"LINESTRING (133.944111 34.4924871, 133.9440751 34.4924791)",,,,
182800189,unclassified,False,False,47.659,,"LINESTRING (133.944111 34.4924871, 133.9441117 34.492522, 133.9441109 34.4929157)",,,,
135029351,tertiary,False,True,13.014,,"LINESTRING (133.9442481 34.4925176, 133.944111 34.4924871)",,,,
135029351,tertiary,False,False,95.67399999999999,,"LINESTRING (133.9442481 34.4925176, 133.9451526 34.4927176, 133.9452559 34.492742)",,,,
182801358,unclassified,False,True,182.26600000000002,,"LINESTRING (133.9442481 34.4925176, 133.9442587 34.4924423, 133.9444344 34.491558, 133.944532 34.490937, 133.9445388 34.4908963)",,,,
135029162,tertiary,False,False,107.59500000000001,,"LINESTRING (133.9452559 34.492742, 133.9453425 34.4927621, 133.946266 34.4929769, 133.9463884 34.4929956)",,,,
135029338,tertiary,False,False,52.814,,"LINESTRING (133.9452559 34.492742, 133.9452758 34.4926278, 133.945339 34.492272)",,,,
135029338,tertiary,False,True,18.093,,"LINESTRING (133.9452559 34.492742, 133.9452379 34.4928463, 133.9452281 34.4929031)",,,,
135029351,tertiary,False,True,95.67399999999999,,"LINESTRING (133.9452559 34.492742, 133.9451526 34.4927176, 133.9442481 34.4925176)",,,,
182799598,unclassified,False,True,31.5,,"LINESTRING (133.9463884 34.4929956, 133.9463598 34.4932779)",,,,
135029162,tertiary,False,False,87.013,,"LINESTRING (133.9463884 34.4929956, 133.9464401 34.4930008, 133.9466559 34.4930212, 133.9473351 34.4930507)",,,,
135029162,tertiary,False,True,107.59500000000001,,"LINESTRING (133.9463884 34.4929956, 133.946266 34.4929769, 133.9453425 34.4927621, 133.9452559 34.492742)",,,,
182799598,unclassified,False,False,72.635,,"LINESTRING (133.9463884 34.4929956, 133.9463943 34.4929372, 133.9464538 34.4923446)",,,,
135029162,tertiary,False,False,3.607,,"LINESTRING (133.9473351 34.4930507, 133.9473744 34.4930524)",,,,
135029162,tertiary,False,True,87.01299999999999,,"LINESTRING (133.9473351 34.4930507, 133.9466559 34.4930212, 133.9464401 34.4930008, 133.9463884 34.4929956)",,,,
182799047,unclassified,False,True,73.321,,"LINESTRING (133.9473351 34.4930507, 133.9473374 34.4929872, 133.9473587 34.4923916)",,,,
135029162,tertiary,False,True,3.607,,"LINESTRING (133.9473744 34.4930524, 133.9473351 34.4930507)",,,,
182800777,unclassified,False,True,13.157,,"LINESTRING (133.9473744 34.4930524, 133.9473507 34.4931691)",,,,
135029358,tertiary,False,False,131.452,,"LINESTRING (133.9473744 34.4930524, 133.948686 34.4931145, 133.9487042 34.4931158, 133.9488065 34.4931151)",,,,
135029152,tertiary,False,False,11.429,,"LINESTRING (133.9488276 34.4932164, 133.9488065 34.4931151)",,,,yes
477999934,residential,False,True,63.354,,"LINESTRING (133.9488276 34.4932164, 133.9487377 34.4932241, 133.9481375 34.4932001)",,,,
"[135029172, 668080039]",tertiary,False,True,22.841,,"LINESTRING (133.9488276 34.4932164, 133.9488377 34.4932385, 133.9489162 34.4934084)",,,,yes
"[135029172, 668080039]",tertiary,False,False,22.841,,"LINESTRING (133.9489162 34.4934084, 133.9488377 34.4932385, 133.9488276 34.4932164)",,,,yes
135029240,tertiary,False,True,29.281,,"LINESTRING (133.9489162 34.4934084, 133.9489597 34.4935257, 133.9490097 34.4936602)",,,,
182799017,residential,False,False,55.277,,"LINESTRING (133.9489162 34.4934084, 133.9490072 34.4933722, 133.9494635 34.4931995)",,,,
182799248,unclassified,False,True,45.215,,"LINESTRING (133.944908 34.4874808, 133.9448956 34.4878873)",,,,
182798554,unclassified,False,False,183.836,,"LINESTRING (133.944908 34.4874808, 133.9450195 34.4874944, 133.9455848 34.4874979, 133.9456494 34.4875111, 133.9457184 34.4875331, 133.9457584 34.4875611, 133.9457854 34.4876111, 133.9457934 34.4876763, 133.9457838 34.4877925, 133.9457639 34.487844, 133.9457258 34.4878744, 133.9456821 34.4878933, 133.9456214 34.4879014, 133.9450035 34.4878894)",,,,
182798554,unclassified,False,True,9.892,,"LINESTRING (133.9448956 34.4878873, 133.9450035 34.4878894)",,,,
182799248,unclassified,False,False,45.215,,"LINESTRING (133.9448956 34.4878873, 133.944908 34.4874808)",,,,
182801185,unclassified,False,False,74.943,,"LINESTRING (133.9448956 34.4878873, 133.9446861 34.4878945, 133.9446151 34.4879161, 133.9445217 34.4879617, 133.9444653 34.4879985, 133.9444205 34.4880461, 133.9443567 34.4881765, 133.9443222 34.488261)",,,,
1212464471,tertiary,False,False,45.653,,"LINESTRING (133.9439544 34.4881479, 133.9434857 34.4880089)",,,,
1212464471,tertiary,False,True,35.979,,"LINESTRING (133.9439544 34.4881479, 133.9443222 34.488261)",,,,
1212464471,tertiary,False,False,35.979,,"LINESTRING (133.9443222 34.488261, 133.9439544 34.4881479)",,,,
1212464471,tertiary,False,True,57.351,,"LINESTRING (133.9443222 34.488261, 133.9449249 34.4883997)",,,,
182801185,unclassified,False,True,74.943,,"LINESTRING (133.9443222 34.488261, 133.9443567 34.4881765, 133.9444205 34.4880461, 133.9444653 34.4879985, 133.9445217 34.4879617, 133.9446151 34.4879161, 133.9446861 34.4878945, 133.9448956 34.4878873)",,,,
182800142,residential,False,True,171.769,,"LINESTRING (133.9450709 34.4884336, 133.9450558 34.4884999, 133.9448157 34.4893271, 133.9447362 34.4898124, 133.9446654 34.4899364)",,,,
477999939,residential,False,False,110.08299999999998,,"LINESTRING (133.9450709 34.4884336, 133.9451135 34.4883809, 133.9453214 34.4882439, 133.9458056 34.4881101, 133.9460766 34.4881006, 133.9461527 34.4880979)",,,,
1212464471,tertiary,False,False,13.902000000000001,,"LINESTRING (133.9450709 34.4884336, 133.9450051 34.4884181, 133.9449249 34.4883997)",,,,
"[1212464472, 47016403, 1212464471]",tertiary,False,True,17.672,,"LINESTRING (133.9450709 34.4884336, 133.9451141 34.4884422, 133.9452241 34.4884639, 133.9452584 34.4884707)",,,,yes
47016403,tertiary,False,True,31.54,,"LINESTRING (133.9452584 34.4884707, 133.9455911 34.4885432)",,,,
"[1212464472, 47016403, 1212464471]",tertiary,False,False,17.672,,"LINESTRING (133.9452584 34.4884707, 133.9452241 34.4884639, 133.9451141 34.4884422, 133.9450709 34.4884336)",,,,yes
182799168,unclassified,False,False,111.42,,"LINESTRING (133.9452584 34.4884707, 133.9450617 34.4889739, 133.9450235 34.4894462)",,,,
182799779,residential,False,True,452.584,,"LINESTRING (133.942291 34.488587, 133.942499 34.488565, 133.943056 34.48843, 133.943312 34.488405, 133.943536 34.488405, 133.943681 34.488434, 133.943783 34.488495, 133.943885 34.488592, 133.944034 34.488845, 133.944143 34.489115, 133.944198 34.489347, 133.944201 34.489544, 133.944147 34.489595, 133.943789 34.489565, 133.943585 34.489552, 133.943512 34.48958, 133.943506 34.489625, 133.943528 34.489665, 133.943627 34.489705, 133.943797 34.489743, 133.944047 34.48978, 133.944309 34.489838, 133.9446654 34.4899364)",,,,
182799991,unclassified,False,True,64.91,,"LINESTRING (133.9474932 34.489279, 133.9474655 34.4898623)",,,,
182799597,unclassified,False,False,40.668,,"LINESTRING (133.9474932 34.489279, 133.9475063 34.4889731, 133.9475089 34.4889135)",,,,
"[182800305, 182800266]",unclassified,False,False,142.15800000000002,,"LINESTRING (133.9474932 34.489279, 133.9464724 34.4891108, 133.9460494 34.4890404, 133.9459724 34.4890276)",,,,
182799146,unclassified,False,True,36.304,,"LINESTRING (133.9450235 34.4894462, 133.9454119 34.4895103)",,,,
182799168,unclassified,False,True,111.42,,"LINESTRING (133.9450235 34.4894462, 133.9450617 34.4889739, 133.9452584 34.4884707)",,,,
182800631,unclassified,False,False,169.005,,"LINESTRING (133.9450235 34.4894462, 133.9450018 34.4897165, 133.944959 34.4898215, 133.944699 34.490258, 133.944557 34.490808, 133.9445448 34.4908565, 133.9445388 34.4908963)",,,,
182799152,unclassified,False,False,43.669,,"LINESTRING (133.9464919 34.4896904, 133.9464159 34.4900781)",,,,
182799422,unclassified,False,False,58.527,,"LINESTRING (133.9464919 34.4896904, 133.9459435 34.4895982, 133.9458662 34.4895852)",,,,
182799915,unclassified,False,True,91.254,,"LINESTRING (133.9464919 34.4896904, 133.947196 34.489815, 133.9474655 34.4898623)",,,,
182799696,unclassified,False,False,35.895,,"LINESTRING (133.9474655 34.4898623, 133.9474458 34.4901847)",,,,
182799991,unclassified,False,False,64.91,,"LINESTRING (133.9474655 34.4898623, 133.9474932 34.489279)",,,,
182799068,unclassified,False,False,127.92699999999999,,"LINESTRING (133.9474655 34.4898623, 133.9488 34.4898819, 133.9488611 34.4898828)",,,,
182799915,unclassified,False,False,91.254,,"LINESTRING (133.9474655 34.4898623, 133.947196 34.489815, 133.9464919 34.4896904)",,,,
182799779,residential,False,False,452.58400000000006,,"LINESTRING (133.9446654 34.4899364, 133.944309 34.489838, 133.944047 34.48978, 133.943797 34.489743, 133.943627 34.489705, 133.943528 34.489665, 133.943506 34.489625, 133.943512 34.48958, 133.943585 34.489552, 133.943789 34.489565, 133.944147 34.489595, 133.944201 34.489544, 133.944198 34.489347, 133.944143 34.489115, 133.944034 34.488845, 133.943885 34.488592, 133.943783 34.488495, 133.943681 34.488434, 133.943536 34.488405, 133.943312 34.488405, 133.943056 34.48843, 133.942499 34.488565, 133.942291 34.488587)",,,,
182800142,residential,False,False,171.769,,"LINESTRING (133.9446654 34.4899364, 133.9447362 34.4898124, 133.9448157 34.4893271, 133.9450558 34.4884999, 133.9450709 34.4884336)",,,,
182800142,residential,False,True,109.417,,"LINESTRING (133.9446654 34.4899364, 133.9445461 34.4901945, 133.9443659 34.4908543, 133.9443598 34.4908854)",,,,
182799152,unclassified,False,False,45.28,,"LINESTRING (133.9464159 34.4900781, 133.9463371 34.4904801)",,,,
182799152,unclassified,False,True,43.669,,"LINESTRING (133.9464159 34.4900781, 133.9464919 34.4896904)",,,,
182799306,unclassified,False,False,95.131,,"LINESTRING (133.9464159 34.4900781, 133.9474458 34.4901847)",,,,
383093245,unclassified,False,True,37.092,,"LINESTRING (133.9408316 34.4904266, 133.9405999 34.4901531)",,,,
182799921,unclassified,False,False,121.443,,"LINESTRING (133.9408316 34.4904266, 133.9408969 34.4903364, 133.9409433 34.4903087, 133.9410025 34.4903148, 133.9411644 34.4903441, 133.9414529 34.4904389, 133.9415255 34.4904578, 133.9416042 34.4904702, 133.9420442 34.49054)",,,,
182799921,unclassified,False,True,41.089,,"LINESTRING (133.9408316 34.4904266, 133.9407347 34.4905988, 133.9406892 34.4907201, 133.9406365 34.49075)",,,,
182799306,unclassified,False,True,95.131,,"LINESTRING (133.9474458 34.4901847, 133.9464159 34.4900781)",,,,
182799696,unclassified,False,False,20.659,,"LINESTRING (133.9474458 34.4901847, 133.9474386 34.4903704)",,,,
182799696,unclassified,False,True,35.895,,"LINESTRING (133.9474458 34.4901847, 133.9474655 34.4898623)",,,,
182799696,unclassified,False,False,15.286,,"LINESTRING (133.9474386 34.4903704, 133.9474333 34.4905078)",,,,
182799696,unclassified,False,True,20.659,,"LINESTRING (133.9474386 34.4903704, 133.9474458 34.4901847)",,,,
182800160,unclassified,False,False,129.608,,"LINESTRING (133.9474386 34.4903704, 133.9487935 34.4903957, 133.9488524 34.4903968)",,,,
