osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge
393604873,,,,residential,False,False,88.79700000000001,"LINESTRING (136.3149371 36.3046552, 136.3149463 36.3044695, 136.3149496 36.3042793, 136.3149323 36.3040552, 136.3149343 36.3039149, 136.3149754 36.3038677)",
1183812017,2,305;365,国道305号,trunk,False,True,11.659,"LINESTRING (136.3205522 36.305881, 136.3206237 36.3057934)",
1183812017,2,305;365,国道305号,trunk,False,False,35.356,"LINESTRING (136.3205522 36.305881, 136.3204954 36.3059909, 136.320472 36.3060821, 136.3204533 36.3061868)",
520774840,,,,residential,False,False,49.579,"LINESTRING (136.3192419 36.3043542, 136.3189116 36.3047119)",
520774841,,,,residential,False,False,63.399,"LINESTRING (136.3192419 36.3043542, 136.3198078 36.3046964)",
520774841,,,,residential,False,True,13.51,"LINESTRING (136.3192419 36.3043542, 136.3191212 36.3042814)",
520774841,,,,residential,False,True,24.758,"LINESTRING (136.3200252 36.3048338, 136.3198078 36.3046964)",
587986715,,,,unclassified,False,True,50.502,"LINESTRING (136.3200252 36.3048338, 136.3196726 36.3051881)",
520774841,,,,residential,False,False,13.51,"LINESTRING (136.3191212 36.3042814, 136.3192419 36.3043542)",
558232448,,,,residential,False,False,24.864,"LINESTRING (136.3144675 36.3010541, 136.3143939 36.3012697)",
192633634,,,,tertiary,False,True,8.642,"LINESTRING (136.3158905 36.3027271, 136.3159518 36.3027871)",
192633634,,,,tertiary,False,False,31.717,"LINESTRING (136.3158905 36.3027271, 136.3157858 36.3026246, 136.3156577 36.3025124)",
558249625,,,,residential,False,True,114.849,"LINESTRING (136.3158905 36.3027271, 136.3160098 36.3026267, 136.316286 36.302363, 136.3163008 36.302349, 136.3163102 36.3023252, 136.3163075 36.3023036, 136.3162994 36.3022798, 136.316274 36.3022593, 136.3162351 36.3022355, 136.3161586 36.3021912, 136.3160285 36.3021133, 136.3159575 36.3020658, 136.3159159 36.3020453, 136.3158327 36.3020236)",
197604069,,,,residential,False,False,177.35700000000003,"LINESTRING (136.3158327 36.3020236, 136.3158849 36.3018351, 136.3158951 36.3017934, 136.3158941 36.3017661, 136.3158864 36.3017486, 136.315873 36.3017345, 136.315847 36.3017128, 136.315822 36.3017037, 136.3157905 36.3016929, 136.3157201 36.3016702, 136.315598 36.3016308, 136.3153798 36.3015534, 136.3152661 36.3015119, 136.3152004 36.3014832, 136.3151474 36.3014595, 136.3151041 36.3014377, 136.3150267 36.3013924, 136.3149596 36.3013586, 136.3149127 36.3013454, 136.3148148 36.3013298, 136.3146787 36.3013108, 136.3143939 36.3012697)",
197604069,,,,residential,False,True,56.693999999999996,"LINESTRING (136.3158327 36.3020236, 136.3158079 36.3021079, 136.3157134 36.3024073, 136.3156577 36.3025124)",
558249625,,,,residential,False,False,114.84900000000002,"LINESTRING (136.3158327 36.3020236, 136.3159159 36.3020453, 136.3159575 36.3020658, 136.3160285 36.3021133, 136.3161586 36.3021912, 136.3162351 36.3022355, 136.316274 36.3022593, 136.3162994 36.3022798, 136.3163075 36.3023036, 136.3163102 36.3023252, 136.3163008 36.302349, 136.316286 36.302363, 136.3160098 36.3026267, 136.3158905 36.3027271)",
561802939,,,,residential,False,True,131.006,"LINESTRING (136.3204492 36.3006003, 136.3197689 36.3006067, 136.3193518 36.3005818, 136.3189897 36.3005581)",
561802938,,,,residential,False,False,6.372,"LINESTRING (136.3189186 36.3005581, 136.3189897 36.3005581)",
561802941,,,,residential,False,False,137.904,"LINESTRING (136.3189186 36.3005581, 136.3188797 36.2993183)",
561802941,,,,residential,False,True,43.126,"LINESTRING (136.3189186 36.3005581, 136.3187054 36.300865, 136.3186872 36.300898)",
197600846,,,,tertiary,False,True,30.053,"LINESTRING (136.3197159 36.3010274, 136.3193831 36.3010607)",
561802942,,,,residential,False,True,113.01400000000001,"LINESTRING (136.3197159 36.3010274, 136.3197112 36.3008445, 136.3196871 36.3008293, 136.3186872 36.300898)",
561802941,,,,residential,False,False,43.126,"LINESTRING (136.3186872 36.300898, 136.3187054 36.300865, 136.3189186 36.3005581)",
561802942,,,,residential,False,False,113.01400000000001,"LINESTRING (136.3186872 36.300898, 136.3196871 36.3008293, 136.3197112 36.3008445, 136.3197159 36.3010274)",
561802942,,,,residential,False,True,11.465,"LINESTRING (136.3186872 36.300898, 136.3186269 36.3009131, 136.3185719 36.3009407)",
197605151,,,,tertiary,False,True,17.354,"LINESTRING (136.3184892 36.3011335, 136.3186822 36.3011207)",
197605151,,,,tertiary,False,False,85.84100000000001,"LINESTRING (136.3184892 36.3011335, 136.3183686 36.3011415, 136.3181183 36.3011567, 136.317868 36.3011389, 136.3175341 36.3011214)",
561802942,,,,residential,False,False,22.739,"LINESTRING (136.3184892 36.3011335, 136.3185123 36.3010585, 136.3185719 36.3009407)",
561802942,,,,residential,False,False,11.465,"LINESTRING (136.3185719 36.3009407, 136.3186269 36.3009131, 136.3186872 36.300898)",
561802942,,,,residential,False,True,22.739,"LINESTRING (136.3185719 36.3009407, 136.3185123 36.3010585, 136.3184892 36.3011335)",
561802943,,,,residential,False,True,72.261,"LINESTRING (136.3185719 36.3009407, 136.3181917 36.3008553, 136.3179658 36.3008061, 136.3177996 36.3007555)",
1112813726,,142,荒木田原町線,secondary,False,False,47.132,"LINESTRING (136.3177996 36.3007555, 136.3175341 36.3011214)",
561802943,,,,residential,False,False,72.261,"LINESTRING (136.3177996 36.3007555, 136.3179658 36.3008061, 136.3181917 36.3008553, 136.3185719 36.3009407)",
1112813726,,142,荒木田原町線,secondary,False,True,144.942,"LINESTRING (136.3177996 36.3007555, 136.3178199 36.3007275, 136.317942 36.3004288, 136.3181338 36.2994848)",
561802938,,,,residential,False,True,6.372,"LINESTRING (136.3189897 36.3005581, 136.3189186 36.3005581)",
561802944,,,,residential,False,True,155.547,"LINESTRING (136.3189897 36.3005581, 136.3197755 36.2993108)",
561802939,,,,residential,False,False,131.006,"LINESTRING (136.3189897 36.3005581, 136.3193518 36.3005818, 136.3197689 36.3006067, 136.3204492 36.3006003)",
561802944,,,,residential,False,False,155.547,"LINESTRING (136.3197755 36.2993108, 136.3189897 36.3005581)",
197606020,,,,residential,False,False,80.328,"LINESTRING (136.3197755 36.2993108, 136.319672 36.2993048, 136.3192107 36.2993181, 136.3188797 36.2993183)",
197606020,,,,residential,False,True,58.332,"LINESTRING (136.3197755 36.2993108, 136.3199159 36.2993041, 136.320426 36.2992937)",
561802941,,,,residential,False,True,137.904,"LINESTRING (136.3188797 36.2993183, 136.3189186 36.3005581)",
197606020,,,,residential,False,False,63.48,"LINESTRING (136.3188797 36.2993183, 136.3186111 36.2993159, 136.3182655 36.2993118, 136.3181812 36.2992781)",
197606020,,,,residential,False,True,80.328,"LINESTRING (136.3188797 36.2993183, 136.3192107 36.2993181, 136.319672 36.2993048, 136.3197755 36.2993108)",
393546628,2,305;365,国道305号,trunk,False,True,22.355,"LINESTRING (136.3202377 36.3070638, 136.3204867 36.3070762)",
393546628,2,305;365,国道305号,trunk,False,False,129.418,"LINESTRING (136.3202377 36.3070638, 136.3196773 36.3070277, 136.3195028 36.3070058, 136.3193056 36.3069669, 136.3191464 36.3069048, 136.3188726 36.3067628)",
587986716,,,,residential,False,False,75.842,"LINESTRING (136.3202377 36.3070638, 136.3202228 36.3068271, 136.3202129 36.3065939, 136.3202369 36.3065737, 136.3204649 36.3065759)",
197605023,,,,unclassified,False,False,41.076,"LINESTRING (136.3173505 36.3048258, 136.3173533 36.3044564)",
587986718,,,,unclassified,False,False,104.601,"LINESTRING (136.3173505 36.3048258, 136.3182732 36.305402)",
197605023,,,,unclassified,False,True,121.976,"LINESTRING (136.3173505 36.3048258, 136.3173492 36.3049029, 136.3173448 36.3051855, 136.3173455 36.3052195, 136.3173491 36.3052463, 136.3173663 36.3052676, 136.3180127 36.3056578)",
197602987,,,,unclassified,False,True,38.011,"LINESTRING (136.3182732 36.305402, 136.3185115 36.3051192)",
587986718,,,,unclassified,False,True,104.601,"LINESTRING (136.3182732 36.305402, 136.3173505 36.3048258)",
197602987,,,,unclassified,False,False,35.39,"LINESTRING (136.3182732 36.305402, 136.3181582 36.305521, 136.3180244 36.3056491)",
197603137,,,,residential,False,False,44.382,"LINESTRING (136.3173372 36.3031552, 136.3173435 36.3027561)",
587986719,,,,residential,False,False,194.96300000000002,"LINESTRING (136.3173372 36.3031552, 136.3172878 36.3031282, 136.3165363 36.3026318, 136.3168098 36.3023691, 136.3170008 36.3025024, 136.3172945 36.3027294, 136.3173435 36.3027561)",
197603137,,,,residential,False,True,65.066,"LINESTRING (136.3173372 36.3031552, 136.3173367 36.3031873, 136.317328 36.3037403)",
192633634,,,,tertiary,False,True,34.246,"LINESTRING (136.3170325 36.303545, 136.317328 36.3037403)",
