osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,bridge,access
26252596,,улица К.Маркса,residential,False,False,105.331,"LINESTRING (32.4567993 57.6394737, 32.4570966 57.6404075)",,,,
26252235,49К-17,улица 1 Мая,primary,False,True,174.993,"LINESTRING (32.4603426 57.6422339, 32.4615165 57.6421026, 32.4623669 57.6420101, 32.4626254 57.641982, 32.463058 57.6419349, 32.4632228 57.641917)",40,,,
28424456,,улица Володарского,residential,False,True,142.84,"LINESTRING (32.4603426 57.6422339, 32.4603601 57.6421673, 32.4598063 57.6409866)",,,,
1219652677,49К-17,улица 1 Мая,primary,False,False,141.262,"LINESTRING (32.4603426 57.6422339, 32.4597268 57.6423108, 32.4586584 57.6424539, 32.4580396 57.6425413)",40,,,
1219652678,,улица Володарского,residential,False,False,123.555,"LINESTRING (32.4603426 57.6422339, 32.4605408 57.6426172, 32.460716 57.6429577, 32.4607589 57.6430468, 32.4608272 57.6432367, 32.4608519 57.6433104)",,,,
26252628,,Комсомольская улица,residential,False,True,165.397,"LINESTRING (32.46199 57.6391525, 32.4646954 57.6388125)",,,,
26252628,,Комсомольская улица,residential,False,False,135.627,"LINESTRING (32.46199 57.6391525, 32.4614859 57.639236, 32.4610105 57.639398, 32.4606477 57.6395451, 32.4603148 57.6397702, 32.4601565 57.6398321)",,,,
190864985,А-122,улица Урицкого,primary,False,True,163.566,"LINESTRING (32.46199 57.6391525, 32.4621755 57.6396399, 32.462415 57.6401884, 32.4626027 57.6405862)",,,,
28424444,,улица Силина,residential,False,True,185.28400000000002,"LINESTRING (32.4626027 57.6405862, 32.4627201 57.6405709, 32.4655055 57.6402086, 32.4656277 57.6401923)",,,,
190864985,А-122,улица Урицкого,primary,False,False,163.566,"LINESTRING (32.4626027 57.6405862, 32.462415 57.6401884, 32.4621755 57.6396399, 32.46199 57.6391525)",,,,
190864985,А-122,улица Урицкого,primary,False,True,78.781,"LINESTRING (32.4626027 57.6405862, 32.4626383 57.6406658, 32.4629111 57.6412752)",,,,
1105502221,,улица Силина,residential,False,False,169.417,"LINESTRING (32.4626027 57.6405862, 32.4599323 57.640906, 32.4598329 57.6409315)",,,,
26252771,,улица Будённого,residential,False,True,183.109,"LINESTRING (32.4664663 57.6456879, 32.4634984 57.6461228)",,,,
"[4486081, 796474932]",А-122,25 Октября улица,primary,False,False,141.803,"LINESTRING (32.4664663 57.6456879, 32.4663875 57.645528, 32.4662114 57.6451589, 32.4661645 57.6450819, 32.4660479 57.6449395, 32.466033 57.6449213, 32.4656786 57.6444884)",40,2,,
26252771,,улица Будённого,residential,False,False,255.925,"LINESTRING (32.4664663 57.6456879, 32.4665432 57.6456773, 32.46662 57.6456666, 32.4689675 57.645341, 32.4695672 57.6452941, 32.4706685 57.6452162)",,,,
26252695,,улица Ленина,residential,False,True,337.31800000000004,"LINESTRING (32.4642581 57.643125, 32.465027 57.6429528, 32.4653118 57.6429046, 32.4665269 57.6428015, 32.4668973 57.6428045, 32.467305 57.6427681, 32.4682585 57.6426227, 32.4697201 57.6423798)",,,,
28424453,А-122,улица Урицкого,primary,False,False,148.214,"LINESTRING (32.4642581 57.643125, 32.4638597 57.6427317, 32.4638039 57.6426767, 32.4635837 57.6424592, 32.4635323 57.6423836, 32.4635184 57.6423631, 32.4632228 57.641917)",,,,
"[28424452, 758897589, 1219653079]",А-122,"['25 Октября улица', 'улица Урицкого']",primary,False,True,173.601,"LINESTRING (32.4642581 57.643125, 32.4645377 57.6433818, 32.4645601 57.6434024, 32.4648437 57.6436628, 32.465477 57.6442829, 32.4656786 57.6444884)","['20', '60']",2,yes,
758897590,,улица Ленина,residential,False,False,205.539,"LINESTRING (32.4642581 57.643125, 32.4640418 57.6431962, 32.4635627 57.6432392, 32.4624511 57.6432716, 32.4623793 57.6432734, 32.4608519 57.6433104)",,,,
"[758897590, 758897591]",,"['улица Ленина', 'улица К.Маркса']",residential,False,"[False, True]",240.147,"LINESTRING (32.4608519 57.6433104, 32.46021 57.64332, 32.4594967 57.6433461, 32.4594247 57.6433489, 32.4584872 57.6433717, 32.4583961 57.6433555, 32.4583382 57.6433141, 32.4582436 57.6431055, 32.4581483 57.6428195, 32.4580396 57.6425413)",,,,
