osmid,ref,highway,oneway,reversed,length,name,geometry
217452864,,residential,False,False,210.617,Советская улица,"LINESTRING (45.961024 53.0293943, 45.9611792 53.0295063, 45.9617527 53.0298587, 45.9619435 53.0299155, 45.9624118 53.0300005, 45.9627697 53.0300776, 45.9632159 53.0301706, 45.963512 53.0302583, 45.9636224 53.0303034, 45.9636603 53.0303382)"
217452864,,residential,False,False,84.317,Советская улица,"LINESTRING (45.9557471 53.0260789, 45.956569 53.0266539)"
217452864,,residential,False,True,13.095,Советская улица,"LINESTRING (45.9557471 53.0260789, 45.9556183 53.0259902)"
217452827,,residential,False,False,85.175,,"LINESTRING (45.9557471 53.0260789, 45.9557788 53.0260393, 45.9565601 53.0254911)"
217452864,,residential,False,True,84.317,Советская улица,"LINESTRING (45.956569 53.0266539, 45.9557471 53.0260789)"
217452823,,residential,False,True,227.89999999999998,Складская улица,"LINESTRING (45.956569 53.0266539, 45.9554008 53.0276137, 45.9553003 53.0276966, 45.9547159 53.0283676)"
217452864,,residential,False,False,143.053,Советская улица,"LINESTRING (45.956569 53.0266539, 45.9567756 53.0268027, 45.9575571 53.0272605, 45.9580951 53.0275535)"
217452864,,residential,False,False,52.446,Советская улица,"LINESTRING (45.9500411 53.0235348, 45.9505275 53.0236429, 45.9507734 53.0237033)"
217452818,,residential,False,True,62.687,,"LINESTRING (45.9635786 53.0273858, 45.9627721 53.0276731)"
237692020,,residential,False,False,130.489,Возвышенная улица,"LINESTRING (45.9635786 53.0273858, 45.9634459 53.026215)"
237693199,,residential,False,False,195.039,Возвышенная улица,"LINESTRING (45.9635786 53.0273858, 45.9637449 53.0275019, 45.9639774 53.0277146, 45.9641811 53.0280448, 45.9646161 53.0290038)"
236456174,,residential,False,False,62.664,,"LINESTRING (45.9609897 53.0246656, 45.961109 53.0245965, 45.9616018 53.0242396)"
"[236456171, 236456174]",,residential,False,"[False, True]",254.072,Заречная улица,"LINESTRING (45.9609897 53.0246656, 45.9608699 53.024735, 45.9602323 53.0246871, 45.95909 53.0242184, 45.9577859 53.0236534)"
