osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,width,access,tunnel,junction,bridge
111497205,True,1,,Quai du Mont-Blanc,unclassified,50,False,28.134999999999998,"LINESTRING (6.4976404 46.5070126, 6.497724 46.5070584, 6.4979205 46.5071764)",,,,,
314139578,True,1,1,Rue du Château,unclassified,50,False,17.838,"LINESTRING (6.4974203 46.5070098, 6.4975079 46.5069872, 6.4975756 46.5069918, 6.4976404 46.5070126)",,,,,
597278408,True,1,,Place de la Navigation,residential,50,False,20.718000000000004,"LINESTRING (6.4974203 46.5070098, 6.4974418 46.5069684, 6.4974609 46.5069273, 6.4974616 46.5068281)",,,,,
323486662,True,1,1,Rue du Château,primary,50,False,12.548,"LINESTRING (6.4967945 46.5073861, 6.4969157 46.5073101)",,,,,
"[110966328, 87182290, 23359560, 87182340]",False,,,Rue du Parc,residential,50,True,149.74400000000003,"LINESTRING (6.4967945 46.5073861, 6.4967421 46.5073445, 6.4960313 46.5068565, 6.4955602 46.506531, 6.495462 46.5064632, 6.4954154 46.506431)",8,,,,
"[86636040, 1026872170, 86636017, 110377078, 23409758]",True,2,,"['Avenue de la Gare', 'Rue de la Gare']","['secondary', 'tertiary']",50,False,130.435,"LINESTRING (6.4928477 46.5111622, 6.4929606 46.511122, 6.4930074 46.5110969, 6.4933527 46.5109109, 6.4935176 46.5108198, 6.4935447 46.5108047, 6.4937466 46.5106793, 6.4940672 46.5104845, 6.4941785 46.5104337)",,,yes,,
1112588658,True,,,Giratoire de la Gare,secondary,50,False,10.626,"LINESTRING (6.4928477 46.5111622, 6.4928909 46.5111736, 6.4929273 46.5111933, 6.4929536 46.5112195)",5,,,roundabout,
"[23364529, 1235002100, 1171542841]",True,,,Giratoire de la Gare,secondary,50,False,17.516,"LINESTRING (6.4929536 46.5112195, 6.492968 46.5112524, 6.4929664 46.5112868, 6.4929536 46.5113129, 6.4929316 46.5113359, 6.4928942 46.5113576)",5,,,roundabout,
1112588660,True,,,Giratoire de la Gare,secondary,50,False,6.3100000000000005,"LINESTRING (6.4927235 46.5113524, 6.4926937 46.5113328, 6.4926724 46.5113085)",5,,,roundabout,
23374272,True,,,Rue des Trois-Suisses,living_street,20,False,50.597,"LINESTRING (6.4974829 46.5075967, 6.4974452 46.5076209, 6.497248 46.5077282, 6.4970195 46.5078663, 6.496979 46.507891)",,,,,
88954898,True,2,1,Rue Louis de Savoie,primary,50,False,101.273,"LINESTRING (6.4974829 46.5075967, 6.4975378 46.5076452, 6.4983217 46.508196, 6.4983995 46.5082531)",,,,,
23364596,True,,,Place du Port,residential,50,False,58.14600000000001,"LINESTRING (6.4979205 46.5071764, 6.4977018 46.5073513, 6.4976014 46.5074316, 6.4975847 46.5074464, 6.4975605 46.5074678, 6.4975376 46.5074914, 6.4975133 46.507547, 6.4974829 46.5075967)",,,,,
"[597278404, 111497205, 597278398]",True,1,,Quai du Mont-Blanc,unclassified,50,False,108.344,"LINESTRING (6.4979205 46.5071764, 6.4979956 46.5072185, 6.4987767 46.5076777, 6.4988717 46.5077228, 6.4989766 46.507793, 6.4989967 46.5078082)",,,,,
23364600,False,,,Place du Casino,residential,50,False,79.73199999999999,"LINESTRING (6.4991724 46.508896, 6.4991954 46.5088823, 6.4992152 46.5088695, 6.4992701 46.5088339, 6.4994915 46.5086931, 6.4997116 46.5085723, 6.4998829 46.508478, 6.4999664 46.5084325)",,,,,
"[209333406, 110018303]",True,2,1,Rue Louis de Savoie,primary,50,False,103.592,"LINESTRING (6.4991724 46.508896, 6.4992698 46.5089918, 6.4993336 46.5090652, 6.4993749 46.5091058, 6.4994191 46.5091569, 6.4996831 46.5094306, 6.4997886 46.5095772, 6.4998463 46.5096989)",,,,,
23364600,False,,,Place du Casino,residential,50,True,79.73199999999999,"LINESTRING (6.4999664 46.5084325, 6.4998829 46.508478, 6.4997116 46.5085723, 6.4994915 46.5086931, 6.4992701 46.5088339, 6.4992152 46.5088695, 6.4991954 46.5088823, 6.4991724 46.508896)",,,,,
110018332,True,,,Quai Jean-Louis Lochmann,unclassified,50,False,127.197,"LINESTRING (6.4999664 46.5084325, 6.5001626 46.5085616, 6.500379 46.5087323, 6.5004793 46.5088395, 6.5006845 46.5091196, 6.5008648 46.509381)",6,,,,
"[209333406, 86759703]",True,2,1,Rue Louis de Savoie,primary,50,False,107.129,"LINESTRING (6.4998463 46.5096989, 6.4998606 46.5097564, 6.4998645 46.5097777, 6.4999163 46.5100086, 6.4999353 46.5100931, 6.4999795 46.5102842, 6.5000063 46.5104305, 6.5000036 46.5105364, 6.4999935 46.5106538)",,,,,
110018332,True,,,Quai Jean-Louis Lochmann,unclassified,50,False,88.056,"LINESTRING (6.5008648 46.509381, 6.5013445 46.5101008)",6,,,,
86759738,True,,,Rue des Tanneurs,residential,50,False,85.606,"LINESTRING (6.5008648 46.509381, 6.5004184 46.5095295, 6.4998463 46.5096989)",,,,,
"[1058931363, 25837093]",True,2,1,Place Saint-Louis,primary,50,False,69.137,"LINESTRING (6.4997879 46.5110457, 6.4994248 46.5111134, 6.4993984 46.5111174, 6.4993421 46.5111293, 6.4993085 46.5111349, 6.4992459 46.511147, 6.4989165 46.5112096)",,,,,
77344566,True,,1,Rue Louis de Savoie,primary,50,False,25.45,"LINESTRING (6.4999917 46.5108005, 6.4999831 46.5110293)",,,,,
23364732,True,,,Place Saint-Louis,residential,50,False,32.169000000000004,"LINESTRING (6.4999917 46.5108005, 6.4999321 46.510927, 6.4999013 46.5109657, 6.4998707 46.5109938, 6.4997879 46.5110457)",,,,,
23335474,True,2,1,Rue du Château,primary,50,False,27.381,"LINESTRING (6.4965519 46.507567, 6.4966405 46.5075048, 6.4967945 46.5073861)",,,,,
110377079,True,,,Avenue de Marcelin,tertiary,50,False,28.637,"LINESTRING (6.4924387 46.5134377, 6.4923571 46.5134565, 6.4922609 46.5134872, 6.492185 46.513504, 6.4920868 46.513524)",4,,,,
551198547,True,,1,Rond-Point de la Tour,secondary,50,False,15.638000000000002,"LINESTRING (6.4924387 46.5134377, 6.4924082 46.5134307, 6.4923815 46.5134182, 6.4923608 46.5134012, 6.4923496 46.5133856, 6.4923436 46.5133686, 6.4923433 46.513349, 6.4923498 46.5133299)",5,,,roundabout,
26014731,False,,,Rue du Sablon,unclassified,20,False,77.72099999999999,"LINESTRING (6.4947768 46.5100062, 6.4948151 46.5100311, 6.4948616 46.5100596, 6.495346 46.5103571, 6.4954153 46.5103923, 6.4955338 46.5104716)",8,destination,,,
31237653,False,2,,Rue de la Gare,secondary,50,True,49.21,"LINESTRING (6.4947768 46.5100062, 6.4947271 46.5100482, 6.4945575 46.5101915, 6.4944419 46.5102846, 6.4943654 46.5103463)",,,,,
93610663,False,2,,Rue de la Gare,secondary,50,False,50.287000000000006,"LINESTRING (6.4947768 46.5100062, 6.4950042 46.5097694, 6.4951373 46.5096281)",,,,,
23335296,True,,,Rue de la Gare,secondary,50,False,18.459,"LINESTRING (6.4943654 46.5103463, 6.4943339 46.5104042, 6.4942945 46.5104432, 6.4942381 46.5104845)",5,,,,
31237653,False,2,,Rue de la Gare,secondary,50,False,49.209999999999994,"LINESTRING (6.4943654 46.5103463, 6.4944419 46.5102846, 6.4945575 46.5101915, 6.4947271 46.5100482, 6.4947768 46.5100062)",,,,,
"[132408689, 673495098, 23374135]",True,,,Rue des Vignerons,residential,30,False,104.926,"LINESTRING (6.4949734 46.507579, 6.4949654 46.5076066, 6.4949577 46.5076317, 6.4949307 46.5076964, 6.4948839 46.5077971, 6.4945544 46.508431, 6.4945331 46.508472)",5,,,,
527726242,True,2,1,Avenue Ignace Paderewski,primary,50,False,154.198,"LINESTRING (6.4949734 46.507579, 6.4943314 46.507494, 6.4939282 46.5074377, 6.4935627 46.5073794, 6.4933481 46.5073428, 6.4930131 46.5072654)",,,,,
23374163,False,,,Rue des Vignerons,residential,30,False,124.614,"LINESTRING (6.4939239 46.5092109, 6.4937794 46.5093616, 6.4934182 46.5097255, 6.4930089 46.5101379)",,,,,
"[121377489, 23374149]",True,,,Rue du Pont-Neuf,residential,30,False,20.543,"LINESTRING (6.4939239 46.5092109, 6.4940358 46.5092418, 6.4941685 46.5092867)",,,,,yes
"[166572613, 25885791]",False,,,Rue des Uttins,residential,30,True,202.336,"LINESTRING (6.4939239 46.5092109, 6.4935602 46.5091063, 6.4934529 46.5090777, 6.4933836 46.5090544, 6.4932078 46.5090055, 6.4930912 46.5089679, 6.4929101 46.5089124, 6.49242 46.5087643, 6.4923704 46.5087381, 6.4923259 46.5087147, 6.4921857 46.5086408, 6.4919659 46.5083971, 6.4917945 46.5082329)",,destination,,,
23374569,True,,,Grand-Rue,living_street,20,False,20.131,"LINESTRING (6.496979 46.507891, 6.4968777 46.5078351, 6.4967682 46.5077829)",5,,,,
"[596609713, 596609715, 110013853]",False,"['2', '3']",1,Rue de Lausanne,primary,50,True,220.264,"LINESTRING (6.5014858 46.5132402, 6.501173 46.5129743, 6.5009786 46.5128058, 6.5004683 46.5123752, 6.5002426 46.5121413, 6.5001097 46.5119616, 6.5000199 46.5117505, 6.4999792 46.5115873)",,,,,
87372415,True,,,Promenade du Petit-Bois,residential,30,False,43.582,"LINESTRING (6.4919362 46.5066908, 6.4925013 46.5067392)",,,,,
87372411,True,,,Promenade du Petit-Bois,residential,30,False,16.42,"LINESTRING (6.4949818 46.5072473, 6.4949103 46.5073146, 6.4948312 46.5073488)",5,,,,
124780850,True,,,Promenade du Petit-Bois,residential,30,False,27.298000000000002,"LINESTRING (6.4949818 46.5072473, 6.4949979 46.5073682, 6.4950016 46.5074502, 6.4949917 46.5074917)",5,,,,
673495096,True,2,1,Avenue Ignace Paderewski,primary,50,False,9.319,"LINESTRING (6.494872 46.5074763, 6.4949917 46.5074917)",,,,,
673495095,True,,,Promenade du Petit-Bois,residential,30,False,15.731,"LINESTRING (6.494872 46.5074763, 6.4948827 46.507415, 6.4948702 46.5073708, 6.4948312 46.5073488)",4,,,,
"[23359560, 87182290, 110966328, 87182340]",False,,,Rue du Parc,residential,50,False,149.74400000000003,"LINESTRING (6.4954154 46.506431, 6.495462 46.5064632, 6.4955602 46.506531, 6.4960313 46.5068565, 6.4967421 46.5073445, 6.4967945 46.5073861)",8,,,,
"[1044151858, 933302717]",True,2,1,Rue Louis de Savoie,primary,50,False,92.83500000000001,"LINESTRING (6.4983995 46.5082531, 6.4984517 46.5082953, 6.4989887 46.5087247, 6.499098 46.5088267, 6.4991724 46.508896)",,,,,
23381454,True,,,Rue des Alpes,residential,50,False,67.351,"LINESTRING (6.4989967 46.5078082, 6.4983995 46.5082531)",,,,,
110018332,True,,,Quai Jean-Louis Lochmann,unclassified,50,False,101.629,"LINESTRING (6.4989967 46.5078082, 6.4990425 46.5078344, 6.4995461 46.5081563, 6.499808 46.5083289, 6.4999664 46.5084325)",6,,,,
23394741,False,,,Rue du Pont-Neuf,residential,30,False,83.294,"LINESTRING (6.4941685 46.5092867, 6.494945 46.5095603, 6.4951373 46.5096281)",,,,,
144306880,False,,,Rue des Vignerons,residential,30,True,58.844,"LINESTRING (6.4945331 46.508472, 6.493809 46.508294)",,,,,
"[132408688, 166364322]",True,,,Rue des Vignerons,residential,30,False,96.65100000000001,"LINESTRING (6.4945331 46.508472, 6.4943567 46.5088243, 6.494246 46.5089956, 6.4940422 46.5091277, 6.4939239 46.5092109)",,,,,
24301911,False,,,Chemin du Bochet,residential,30,False,11.419,"LINESTRING (6.4929126 46.5073413, 6.4930131 46.5072654)",,destination,,,
24301911,False,,,Chemin du Bochet,residential,30,True,130.986,"LINESTRING (6.4929126 46.5073413, 6.4923262 46.5078176, 6.4922566 46.5078741, 6.4920128 46.5080722, 6.4917945 46.5082329)",,destination,,,
209333407,True,,,Place de la Navigation,residential,50,False,24.66,"LINESTRING (6.4974616 46.5068281, 6.4976404 46.5070126)",,,,,
"[597278417, 87182265, 110966317]",False,,,Place de la Navigation,residential,50,True,80.75299999999999,"LINESTRING (6.4974616 46.5068281, 6.4974023 46.506741, 6.4972907 46.5065384, 6.4971152 46.5062659, 6.4970669 46.5061555)",,,,,
110004590,False,2,,Avenue Jean-Jacques Cart,secondary,50,False,24.591,"LINESTRING (6.4932997 46.5132529, 6.4929976 46.5133283)",,,,,
23386202,False,,,Chemin F. et J. Sablet,residential,50,False,126.021,"LINESTRING (6.4932997 46.5132529, 6.4932358 46.5130739, 6.493185 46.5129348, 6.4931786 46.5129172, 6.4931029 46.51271, 6.4930334 46.5125136, 6.4930225 46.5124873, 6.4930107 46.5124573, 6.4929727 46.5124443, 6.4929251 46.5124397, 6.4928406 46.5124389, 6.4925605 46.5124362)",,destination,,,
110004590,False,2,,Avenue Jean-Jacques Cart,secondary,50,True,76.895,"LINESTRING (6.4932997 46.5132529, 6.4933412 46.5132441, 6.4938475 46.5131089, 6.4941227 46.5130367, 6.4941689 46.5130248, 6.4942362 46.5130028)",,,,,
23386202,False,,,Chemin F. et J. Sablet,residential,50,True,126.021,"LINESTRING (6.4925605 46.5124362, 6.4928406 46.5124389, 6.4929251 46.5124397, 6.4929727 46.5124443, 6.4930107 46.5124573, 6.4930225 46.5124873, 6.4930334 46.5125136, 6.4931029 46.51271, 6.4931786 46.5129172, 6.493185 46.5129348, 6.4932358 46.5130739, 6.4932997 46.5132529)",,destination,,,
"[483103857, 25094765]",False,2,,Avenue de Marcelin,secondary,50,False,69.837,"LINESTRING (6.4925605 46.5124362, 6.4925294 46.5126015, 6.4924591 46.5129897, 6.4924554 46.5130152, 6.4924487 46.5130595)",,,,,
"[110377077, 25094765, 110377023]",False,2,,Avenue de Marcelin,secondary,50,"[False, True]",89.158,"LINESTRING (6.4925605 46.5124362, 6.492618 46.5121783, 6.4926596 46.5119703, 6.492679 46.5118894, 6.492728 46.5116848, 6.4927372 46.5116437)",,,,,
"[87182293, 1115975718]",True,,,Place de la Navigation,residential,,False,62.377,"LINESTRING (6.4964856 46.5057623, 6.4965334 46.5057946, 6.4970669 46.5061555)",4,,,,
110004581,False,,,Chemin du Banc-Vert,residential,30,False,12.699,"LINESTRING (6.4939221 46.5138133, 6.493964 46.5137028)",5,destination,,,
110004590,False,2,,Avenue Jean-Jacques Cart,secondary,50,False,76.895,"LINESTRING (6.4942362 46.5130028, 6.4941689 46.5130248, 6.4941227 46.5130367, 6.4938475 46.5131089, 6.4933412 46.5132441, 6.4932997 46.5132529)",,,,,
110013829,False,,,Chemin du Banc-Vert,residential,30,True,8.564,"LINESTRING (6.4942362 46.5130028, 6.4942467 46.5130346, 6.4942725 46.5130753)",,destination,,,
"[23365337, 1171526754, 828867236]",False,2,,Avenue Jean-Jacques Cart,secondary,50,True,233.68000000000004,"LINESTRING (6.4942362 46.5130028, 6.4944432 46.5129456, 6.4945492 46.5129205, 6.4946578 46.5128983, 6.4947298 46.5128868, 6.4948028 46.5128763, 6.4948776 46.5128688, 6.4949533 46.5128629, 6.4951878 46.5128574, 6.4954985 46.5128788, 6.4960691 46.5129703, 6.4963537 46.5130286, 6.4966716 46.5131549, 6.4970019 46.5133105, 6.4970742 46.5133454, 6.4970901 46.5133533)",,,,,
506444184,True,,1,Rond-Point de la Tour,secondary,50,False,1.851,"LINESTRING (6.4925515 46.5134095, 6.4925343 46.5134212)",5,,,roundabout,
110004581,False,,,Chemin du Banc-Vert,residential,30,True,12.699,"LINESTRING (6.493964 46.5137028, 6.4939221 46.5138133)",5,destination,,,
23390980,True,,,Chemin du Pré,residential,30,False,116.66099999999999,"LINESTRING (6.493964 46.5137028, 6.4939043 46.5136837, 6.4937948 46.5136818, 6.4936901 46.5136892, 6.4935979 46.5136946, 6.4934906 46.5136946, 6.4934544 46.5136903, 6.4933833 46.5136817, 6.4930587 46.5136153, 6.4929918 46.5135932, 6.4928642 46.5135473, 6.4928286 46.5135345, 6.4926421 46.5134723, 6.4926306 46.5134669, 6.4926073 46.5134558, 6.4925343 46.5134212)",4,destination,,,
110004581,False,,,Chemin du Banc-Vert,residential,30,False,74.155,"LINESTRING (6.493964 46.5137028, 6.4940293 46.5135843, 6.4942674 46.5131682, 6.4942725 46.5130753)",5,destination,,,
509763885,False,2,,Avenue de Marcelin,tertiary,50,True,5.022,"LINESTRING (6.4920294 46.5135459, 6.4920868 46.513524)",,,,,
24301911,False,,,Chemin du Bochet,residential,30,True,11.419,"LINESTRING (6.4930131 46.5072654, 6.4929126 46.5073413)",,destination,,,
24301911,False,,,Chemin du Bochet,residential,30,False,130.986,"LINESTRING (6.4917945 46.5082329, 6.4920128 46.5080722, 6.4922566 46.5078741, 6.4923262 46.5078176, 6.4929126 46.5073413)",,destination,,,
"[166572613, 25885791]",False,,,Rue des Uttins,residential,30,False,202.33599999999996,"LINESTRING (6.4917945 46.5082329, 6.4919659 46.5083971, 6.4921857 46.5086408, 6.4923259 46.5087147, 6.4923704 46.5087381, 6.49242 46.5087643, 6.4929101 46.5089124, 6.4930912 46.5089679, 6.4932078 46.5090055, 6.4933836 46.5090544, 6.4934529 46.5090777, 6.4935602 46.5091063, 6.4939239 46.5092109)",,destination,,,
506444184,True,,1,Rond-Point de la Tour,secondary,50,False,7.753,"LINESTRING (6.4925343 46.5134212, 6.4925063 46.5134327, 6.4924731 46.5134386, 6.4924387 46.5134377)",5,,,roundabout,
144306880,False,,,Rue des Vignerons,residential,30,False,58.844,"LINESTRING (6.493809 46.508294, 6.4945331 46.508472)",,,,,
110377050,False,2,,Rue de la Gare,secondary,50,False,21.429,"LINESTRING (6.4951373 46.5096281, 6.4953009 46.5094717)",,,,,
23394741,False,,,Rue du Pont-Neuf,residential,30,True,83.294,"LINESTRING (6.4951373 46.5096281, 6.494945 46.5095603, 6.4941685 46.5092867)",,,,,
93610663,False,2,,Rue de la Gare,secondary,50,True,50.287000000000006,"LINESTRING (6.4951373 46.5096281, 6.4950042 46.5097694, 6.4947768 46.5100062)",,,,,
"[527858937, 110013866]",False,"['2', '3']",77,Avenue des Pâquis,secondary,50,False,100.83800000000001,"LINESTRING (6.4996536 46.5128419, 6.4991565 46.512123, 6.4991316 46.5120867, 6.4990878 46.5120229)",,,,,
"[150933472, 110013836]",False,,,Rue Henry-Dunant,residential,30,True,116.44800000000001,"LINESTRING (6.4996536 46.5128419, 6.4994923 46.5129396, 6.4993209 46.5130989, 6.4991615 46.5132477, 6.4989846 46.5134129, 6.4989534 46.5134476, 6.498807 46.5135822, 6.4987181 46.513664)",,,,,
110377050,False,2,,Rue de la Gare,secondary,50,True,21.429,"LINESTRING (6.4953009 46.5094717, 6.4951373 46.5096281)",,,,,
26637602,False,,,Rue de l'Avenir,residential,50,True,58.851,"LINESTRING (6.4953009 46.5094717, 6.4953732 46.5095282, 6.4955961 46.5097023, 6.4958093 46.5098688)",,,,,
110377050,False,2,,Rue de la Gare,secondary,50,False,64.92999999999999,"LINESTRING (6.4953009 46.5094717, 6.4953561 46.5094226, 6.495406 46.5093791, 6.4955604 46.5092448, 6.4957103 46.5091135, 6.4958231 46.5090115)",,,,,
26637602,False,,,Rue de l'Avenir,residential,50,False,58.851,"LINESTRING (6.4958093 46.5098688, 6.4955961 46.5097023, 6.4953732 46.5095282, 6.4953009 46.5094717)",,,,,
527933300,True,2,1,Avenue Ignace Paderewski,primary,50,False,19.824,"LINESTRING (6.495229 46.5076079, 6.4949734 46.507579)",,,,,
23374427,True,,,Promenade du Petit-Bois,residential,30,False,20.468,"LINESTRING (6.495229 46.5076079, 6.4950889 46.5075554, 6.494985 46.5075353)",3,,,,
110004581,False,,,Chemin du Banc-Vert,residential,30,True,74.155,"LINESTRING (6.4942725 46.5130753, 6.4942674 46.5131682, 6.4940293 46.5135843, 6.493964 46.5137028)",5,destination,,,
110013829,False,,,Chemin du Banc-Vert,residential,30,False,8.564,"LINESTRING (6.4942725 46.5130753, 6.4942467 46.5130346, 6.4942362 46.5130028)",,destination,,,
86759747,True,3,1,Rue de la Gare,primary,50,False,59.96,"LINESTRING (6.4961495 46.5086122, 6.4961607 46.5085093, 6.4961825 46.5083431, 6.4962263 46.508161, 6.4962395 46.5080769)",,,,,
35674232,True,1,,Rue de la Gare,secondary,50,False,39.099999999999994,"LINESTRING (6.4962616 46.5090707, 6.4961422 46.5089791, 6.496044 46.5089652, 6.4959496 46.5089776, 6.4958231 46.5090115)",,,,,
86759674,True,2,1,Rue des Charpentiers,primary,50,False,31.244999999999997,"LINESTRING (6.4962616 46.5090707, 6.4961798 46.508884, 6.4961551 46.5087997)",,,,,
1171542842,False,2,,Avenue de Marcelin,secondary,50,False,17.11,"LINESTRING (6.4927372 46.5116437, 6.4927729 46.5114918)",,,,,
