osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction
31976407,,Za Kinem,residential,False,False,217.62400000000002,"LINESTRING (14.9820478 50.1366736, 14.9825331 50.1368722, 14.9832248 50.1373355, 14.9837513 50.1379707, 14.9838432 50.1381905)",,,
31976399,,Dr. Sokola,residential,False,True,34.148,"LINESTRING (14.9817587 50.1369185, 14.9820478 50.1366736)",,,
291412982,,Jesemany,residential,False,False,190.083,"LINESTRING (14.9817587 50.1369185, 14.9794976 50.1378251)",,,
31976400,,Rašínova,residential,False,False,53.451,"LINESTRING (14.9794976 50.1378251, 14.979839 50.1382531)",,,
291412982,,Jesemany,residential,False,True,190.083,"LINESTRING (14.9794976 50.1378251, 14.9817587 50.1369185)",,,
31976400,,Rašínova,residential,False,False,172.09,"LINESTRING (14.979839 50.1382531, 14.9808892 50.1396467)",,,
31976400,,Rašínova,residential,False,True,53.451,"LINESTRING (14.979839 50.1382531, 14.9794976 50.1378251)",,,
31976406,,Sadová,residential,False,False,232.47000000000003,"LINESTRING (14.979839 50.1382531, 14.980623 50.1380104, 14.9816946 50.1393805)",,,
31976400,,Rašínova,residential,False,True,172.09,"LINESTRING (14.9808892 50.1396467, 14.979839 50.1382531)",,,
291412992,,U Sídliště,residential,False,True,64.581,"LINESTRING (14.9808892 50.1396467, 14.9816946 50.1393805)",,,
31976402,,Dr. Sokola,residential,False,False,150.959,"LINESTRING (14.9828961 50.1390067, 14.9840614 50.1401404)",,,
291412992,,U Sídliště,residential,False,False,95.183,"LINESTRING (14.9828961 50.1390067, 14.9816946 50.1393805)",,,
"[51979485, 31976407]",,"['Za Kinem', 'Na Lávkách']",residential,False,True,144.415,"LINESTRING (14.9828961 50.1390067, 14.9836829 50.1387313, 14.984039 50.1386586, 14.9838432 50.1381905)",,,
1123457530,,Dr. Sokola,residential,True,False,251.764,"LINESTRING (14.9828961 50.1390067, 14.9823994 50.1384796, 14.9819968 50.138002, 14.9817794 50.137567, 14.9817587 50.1372494, 14.9817587 50.1369185)",1,,
291412992,,U Sídliště,residential,False,False,64.581,"LINESTRING (14.9816946 50.1393805, 14.9808892 50.1396467)",,,
291412992,,U Sídliště,residential,False,True,95.183,"LINESTRING (14.9816946 50.1393805, 14.9828961 50.1390067)",,,
31976406,,Sadová,residential,False,True,232.47000000000003,"LINESTRING (14.9816946 50.1393805, 14.980623 50.1380104, 14.979839 50.1382531)",,,
31976402,,Dr. Sokola,residential,False,True,150.959,"LINESTRING (14.9840614 50.1401404, 14.9828961 50.1390067)",,,
31976403,,Adamcova,residential,False,True,117.097,"LINESTRING (14.9840614 50.1401404, 14.9825781 50.1405934)",,,
31976403,,Adamcova,residential,False,False,117.097,"LINESTRING (14.9825781 50.1405934, 14.9840614 50.1401404)",,,
31976408,,Třebízského,residential,False,True,158.218,"LINESTRING (14.9839504 50.1353164, 14.9841705 50.1345976, 14.9842588 50.1343069, 14.9842147 50.1339137)",,,
31976416,,Pražská,residential,False,False,121.32999999999998,"LINESTRING (14.9839504 50.1353164, 14.9848749 50.1353537, 14.9853878 50.1353676, 14.9855185 50.1353715, 14.9856501 50.1353671)",,,
31976416,,Pražská,residential,False,True,71.86,"LINESTRING (14.9839504 50.1353164, 14.9836829 50.1352801, 14.983161 50.135209, 14.9829811 50.1351512)",,,
31976410,,Jordán,residential,True,False,115.16999999999999,"LINESTRING (14.9810337 50.1348873, 14.9810008 50.1346024, 14.980974 50.1343706, 14.9810522 50.1338554)",,30,
31976416,,Pražská,residential,False,False,144.054,"LINESTRING (14.9810337 50.1348873, 14.9823743 50.1349635, 14.9824883 50.1349867, 14.9826035 50.1350229, 14.9829811 50.1351512)",,,
31976416,,Pražská,residential,False,True,112.238,"LINESTRING (14.9810337 50.1348873, 14.9802433 50.1348938, 14.9794629 50.1349437)",,,
31976416,,Pražská,residential,False,False,112.238,"LINESTRING (14.9794629 50.1349437, 14.9802433 50.1348938, 14.9810337 50.1348873)",,,
