osmid,ref,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,access,bridge,tunnel
"[563699977, 563699972, 9584535]",2,Československých legionářů,primary,,False,True,350.72999999999996,"LINESTRING (15.2619841 49.9525863, 15.2620801 49.9526949, 15.26216 49.952779, 15.2622775 49.9528861, 15.262396 49.952975, 15.2625543 49.9530617, 15.2626942 49.9531213, 15.2628706 49.953166, 15.263032 49.953196, 15.2631869 49.9532194, 15.263336 49.953222, 15.2634954 49.9532194, 15.263654 49.953204, 15.2637959 49.9531762, 15.26393 49.953141, 15.2641557 49.9530642, 15.264371 49.95297, 15.265087 49.95263, 15.265404 49.952514, 15.2661289 49.9524053)",3,50,,,
"[563699977, 563699972, 9584535]",2,Československých legionářů,primary,,False,False,350.73,"LINESTRING (15.2661289 49.9524053, 15.265404 49.952514, 15.265087 49.95263, 15.264371 49.95297, 15.2641557 49.9530642, 15.26393 49.953141, 15.2637959 49.9531762, 15.263654 49.953204, 15.2634954 49.9532194, 15.263336 49.953222, 15.2631869 49.9532194, 15.263032 49.953196, 15.2628706 49.953166, 15.2626942 49.9531213, 15.2625543 49.9530617, 15.262396 49.952975, 15.2622775 49.9528861, 15.26216 49.952779, 15.2620801 49.9526949, 15.2619841 49.9525863)",3,50,,,
563699979,,Hloušecká,residential,,False,True,29.545,"LINESTRING (15.2661289 49.9524053, 15.2661298 49.9523547, 15.2661302 49.9522768, 15.2661295 49.9521396)",,,delivery,,
"[563699982, 563699983]",2,Československých legionářů,primary,,False,True,261.126,"LINESTRING (15.2661289 49.9524053, 15.2662338 49.952395, 15.2667214 49.9523646, 15.2671734 49.9523574, 15.2677111 49.9523673, 15.2683143 49.9524016, 15.268753 49.9524421, 15.2690845 49.9524793, 15.269588 49.9525465, 15.2697495 49.9525658)","['2', '3']",50,,,
9584067,2,Štefánikova,primary,,False,True,59.003,"LINESTRING (15.2721902 49.9529512, 15.2717482 49.9529661, 15.2716718 49.9529638, 15.2716054 49.9529547, 15.2715516 49.9529428, 15.2713802 49.9529057)",2,50,,,
"[172222220, 1195750294]",2,Štefánikova,primary,roundabout,True,False,33.444,"LINESTRING (15.2721902 49.9529512, 15.2721924 49.9529136, 15.2722097 49.9528777, 15.2722409 49.9528459, 15.2722837 49.9528204, 15.2723354 49.9528028, 15.2723924 49.9527945, 15.2724508 49.9527959, 15.2725036 49.9528064, 15.2725066 49.952807)",,,,,
9583746,2,Štefánikova,primary,,False,True,60.938,"LINESTRING (15.2733905 49.9515519, 15.2738293 49.9510822)",2,50,,,
666126263,2,Štefánikova,primary,,False,False,63.628,"LINESTRING (15.2733905 49.9515519, 15.272977 49.9520585)",2,50,,,
"[191513798, 942909129, 942909130, 942909131, 942909132, 942909133]",,Krupičkova,residential,,True,False,167.82299999999998,"LINESTRING (15.2733905 49.9515519, 15.2733392 49.9515307, 15.2732859 49.9515116, 15.2730939 49.9514397, 15.2729347 49.9513827, 15.272909 49.9513547, 15.2728249 49.9512569, 15.2726896 49.9510994, 15.2725477 49.9509473, 15.2723761 49.950709, 15.2721141 49.9503393)",,30,,,
62195469,03321,Čáslavská,tertiary,,False,False,13.167,"LINESTRING (15.274924 49.9483981, 15.2749373 49.94828)",2,50,,,
"[62195394, 1112725155]",,Sokolská,residential,,False,True,46.078,"LINESTRING (15.274924 49.9483981, 15.2747121 49.9484151, 15.2746172 49.9484227, 15.274283 49.9484357)",,,,,
62195469,03321,Čáslavská,tertiary,,False,True,13.167,"LINESTRING (15.2749373 49.94828, 15.274924 49.9483981)",2,50,,,
62195408,03321,Čáslavská,tertiary,,False,False,51.35,"LINESTRING (15.2749373 49.94828, 15.2749198 49.9482398, 15.2747438 49.9478353)",2,50,,,
28550511,,Jungmannovo náměstí,residential,,False,False,45.935,"LINESTRING (15.2747438 49.9478353, 15.2741106 49.9479034)",,,,,
62195408,03321,Čáslavská,tertiary,,False,True,51.35,"LINESTRING (15.2747438 49.9478353, 15.2749198 49.9482398, 15.2749373 49.94828)",2,50,,,
540410646,,,tertiary,,True,False,13.415,"LINESTRING (15.2612242 49.9482321, 15.2611874 49.9483504)",,,,,
540436470,,Kremnická,tertiary,,False,True,14.558,"LINESTRING (15.2612242 49.9482321, 15.2612847 49.9481071)",2,50,,,
540436474,,Husova,residential,,False,False,20.3,"LINESTRING (15.2612242 49.9482321, 15.2614372 49.9483527)",,,,,
28550364,,Kudrnova,residential,,False,False,141.332,"LINESTRING (15.2611731 49.9453992, 15.2613509 49.9465241, 15.261373 49.9466637)",,,,,
"[28550462, 900408575]",,Kremnická,residential,,False,False,86.774,"LINESTRING (15.2611731 49.9453992, 15.2613842 49.9454179, 15.26175 49.9457241, 15.2618805 49.9458333, 15.2620612 49.9458598)",,,,,
1195433872,,Purkyňova,residential,,False,True,14.651,"LINESTRING (15.261373 49.9466637, 15.2615777 49.9466668)",,,,,
28550364,,Kudrnova,residential,,False,True,141.332,"LINESTRING (15.261373 49.9466637, 15.2613509 49.9465241, 15.2611731 49.9453992)",,,,,
1195433872,,Purkyňova,residential,,False,False,14.651,"LINESTRING (15.2615777 49.9466668, 15.261373 49.9466637)",,,,,
175118047,,Kremnická,tertiary,,False,True,97.17,"LINESTRING (15.2615777 49.9466668, 15.2616083 49.9465487, 15.2616452 49.9464615, 15.2616792 49.9464077, 15.2617721 49.9462939, 15.2618967 49.9461502, 15.261956 49.9460846, 15.262008 49.9460213, 15.2620612 49.9458598)",2,50,,,
"[179300501, 1108148935]",,Kremnická,tertiary,,False,False,161.54999999999998,"LINESTRING (15.2615777 49.9466668, 15.2615413 49.946862, 15.2614673 49.9472082, 15.2614489 49.947294, 15.2614167 49.9475091, 15.2613984 49.9476063, 15.2612943 49.948077, 15.2612847 49.9481071)",2,50,,,
437256016,,Česká,residential,,True,False,41.519,"LINESTRING (15.263261 49.9519014, 15.2636902 49.9516501)",,,,,
"[28550424, 1221407139, 974685445]",,Pirknerovo náměstí,residential,,False,False,82.629,"LINESTRING (15.263261 49.9519014, 15.2632248 49.9518772, 15.2630715 49.9517745, 15.263038 49.9517385, 15.2629996 49.9516466, 15.2629771 49.9515306, 15.2631991 49.951252)",,,,,
28550433,,Hradební,residential,,False,False,33.349000000000004,"LINESTRING (15.2636902 49.9516501, 15.2638706 49.9517779, 15.263941 49.951839, 15.2639861 49.9518812)",,,delivery,,
437256016,,Česká,residential,,True,False,145.864,"LINESTRING (15.2636902 49.9516501, 15.264005 49.9514624, 15.2641616 49.9513645, 15.2642175 49.9513238, 15.2644389 49.9510814, 15.2645668 49.950925, 15.2647646 49.9507094, 15.2648791 49.9505992)",,,,,
437256015,,Česká,residential,,True,False,4.029,"LINESTRING (15.2648791 49.9505992, 15.2649118 49.9505697)",,,,,
28550431,,Orelská,residential,,False,False,61.678000000000004,"LINESTRING (15.2648791 49.9505992, 15.2650759 49.9507186, 15.2654325 49.9510223)",,,,,
28550428,,Václavské náměstí,residential,,False,True,53.863,"LINESTRING (15.2655925 49.9499558, 15.265065 49.9497214, 15.2649667 49.9496872)",,,,,
"[28550435, 303889719]",,Václavské náměstí,residential,,False,False,84.40299999999999,"LINESTRING (15.2655925 49.9499558, 15.2656668 49.9499864, 15.2657607 49.9500249, 15.2660775 49.9501557, 15.2665937 49.9503571)",,,,,
28550425,,Pirknerovo náměstí,residential,roundabout,True,False,41.829,"LINESTRING (15.2631991 49.951252, 15.2632271 49.9510667, 15.2632581 49.9509737, 15.2632923 49.9508814)",,,,,
"[28550424, 1221407139, 974685445]",,Pirknerovo náměstí,residential,,False,True,82.629,"LINESTRING (15.2631991 49.951252, 15.2629771 49.9515306, 15.2629996 49.9516466, 15.263038 49.9517385, 15.2630715 49.9517745, 15.2632248 49.9518772, 15.263261 49.9519014)",,,,,
194772164,,Pirknerovo náměstí,residential,roundabout,True,False,22.529,"LINESTRING (15.2632923 49.9508814, 15.2635658 49.9509818)",,,,,
194772163,,Bartolomějská,residential,,False,True,39.143,"LINESTRING (15.2632923 49.9508814, 15.2631117 49.9507073, 15.2631352 49.9505654)",,,,,
"[974685124, 194772164]",,Pirknerovo náměstí,residential,roundabout,True,False,39.896,"LINESTRING (15.2635658 49.9509818, 15.2635162 49.9510213, 15.2634943 49.9510387, 15.2631991 49.951252)",,,,,
"[1107787771, 910881516, 28550430]",,Pirknerovo náměstí,residential,,False,True,95.65199999999999,"LINESTRING (15.2635658 49.9509818, 15.2638889 49.9508411, 15.2639713 49.9508052, 15.2640834 49.9507564, 15.2645737 49.9504243)",,,,,
546129460,,Radnická,residential,,True,False,14.315,"LINESTRING (15.2628801 49.9501988, 15.2630801 49.9502023)",,,,,
1160478818,,Husova,residential,,False,True,13.121,"LINESTRING (15.2623218 49.9486263, 15.2621578 49.9485735)",,,,,
"[1107785549, 1107785655]",,Husova,residential,,False,False,104.967,"LINESTRING (15.2623218 49.9486263, 15.2627027 49.9487897, 15.2627727 49.9488017, 15.2631918 49.9488579, 15.263544 49.9488788, 15.2636962 49.9488977)",,,,,
"[1107787072, 28550426, 1107786967]",,Bartolomějská,residential,,True,False,181.776,"LINESTRING (15.2623218 49.9486263, 15.2624118 49.949019, 15.262441 49.9491369, 15.2625432 49.9493815, 15.2625594 49.9494734, 15.2625728 49.9495493, 15.2625769 49.9496617, 15.2626648 49.949949, 15.2627925 49.9501473, 15.2628801 49.9501988)",,,,,
579701896,,Bartolomějská,residential,,True,False,44.664,"LINESTRING (15.2631352 49.9505654, 15.2628801 49.9501988)",,,,,
194772163,,Bartolomějská,residential,,False,False,39.143,"LINESTRING (15.2631352 49.9505654, 15.2631117 49.9507073, 15.2632923 49.9508814)",,,,,
"[908488461, 28550429]",,Hornická,residential,,True,False,112.38999999999999,"LINESTRING (15.2632658 49.9498773, 15.2638155 49.9500575, 15.2639931 49.9501146, 15.2640613 49.9501498, 15.264262 49.9502534, 15.2645374 49.9503956, 15.2645737 49.9504243)",,,,,
"[1103570337, 28550427, 910880845]",,Radnická,residential,,False,False,155.60500000000002,"LINESTRING (15.2632658 49.9498773, 15.2634045 49.9497309, 15.2634759 49.9495731, 15.2635292 49.9495267, 15.2636269 49.9495037, 15.2637478 49.9494753, 15.2639726 49.9494225, 15.2641975 49.9494526, 15.2642681 49.9494621, 15.2642929 49.9494712, 15.2646365 49.9495968, 15.2646761 49.9496113, 15.2648699 49.9496822, 15.2649667 49.9496872)",,,,,
"[991675960, 908489154]",,Radnická,residential,,False,True,39.468,"LINESTRING (15.2632658 49.9498773, 15.26313 49.9500074, 15.2631091 49.950051, 15.2630957 49.9500959, 15.2630801 49.9502023)",,,,,
"[1103570337, 28550427, 910880845]",,Radnická,residential,,False,True,155.605,"LINESTRING (15.2649667 49.9496872, 15.2648699 49.9496822, 15.2646761 49.9496113, 15.2646365 49.9495968, 15.2642929 49.9494712, 15.2642681 49.9494621, 15.2641975 49.9494526, 15.2639726 49.9494225, 15.2637478 49.9494753, 15.2636269 49.9495037, 15.2635292 49.9495267, 15.2634759 49.9495731, 15.2634045 49.9497309, 15.2632658 49.9498773)",,,,,
28550428,,Václavské náměstí,residential,,False,False,53.863,"LINESTRING (15.2649667 49.9496872, 15.265065 49.9497214, 15.2655925 49.9499558)",,,,,
28550446,,Lierova,residential,,False,False,64.90100000000001,"LINESTRING (15.2649667 49.9496872, 15.2650404 49.9495874, 15.265058 49.9495601, 15.2652181 49.9492127, 15.265249 49.9491339)",,,,,
910881289,,Hornická,residential,,True,False,29.096,"LINESTRING (15.2645737 49.9504243, 15.2649118 49.9505697)",,,,,
"[1107787771, 910881516, 28550430]",,Pirknerovo náměstí,residential,,False,False,95.652,"LINESTRING (15.2645737 49.9504243, 15.2640834 49.9507564, 15.2639713 49.9508052, 15.2638889 49.9508411, 15.2635658 49.9509818)",,,,,
437256015,,Česká,residential,,True,False,83.855,"LINESTRING (15.2649118 49.9505697, 15.2655424 49.9500009, 15.2655925 49.9499558)",,,,,
28550431,,Orelská,residential,,False,False,85.861,"LINESTRING (15.2654325 49.9510223, 15.2654832 49.9510607, 15.2655548 49.9510812, 15.2656463 49.9510791, 15.2657008 49.9510539, 15.2657354 49.9510294, 15.2658805 49.9509016, 15.2660121 49.950771, 15.2660727 49.9507275, 15.2661527 49.9507078, 15.2663178 49.9506848)",,,,,
28550431,,Orelská,residential,,False,True,61.678000000000004,"LINESTRING (15.2654325 49.9510223, 15.2650759 49.9507186, 15.2648791 49.9505992)",,,,,
28550432,,Na Pavláčce,residential,,False,False,144.929,"LINESTRING (15.2654325 49.9510223, 15.2653452 49.9510482, 15.2651989 49.9511348, 15.2648175 49.9514273, 15.2646965 49.9515729, 15.2643854 49.9517703, 15.2641614 49.95186, 15.264082 49.9518774, 15.2639861 49.9518812)",,,delivery,,
28550432,,Na Pavláčce,residential,,False,True,144.92900000000003,"LINESTRING (15.2639861 49.9518812, 15.264082 49.9518774, 15.2641614 49.95186, 15.2643854 49.9517703, 15.2646965 49.9515729, 15.2648175 49.9514273, 15.2651989 49.9511348, 15.2653452 49.9510482, 15.2654325 49.9510223)",,,delivery,,
28550433,,Hradební,residential,,False,False,199.74,"LINESTRING (15.2639861 49.9518812, 15.2641118 49.9520749, 15.2641916 49.9521437, 15.2642939 49.9521881, 15.2645005 49.9522287, 15.2646449 49.9522365, 15.26476 49.9522342, 15.2648727 49.9522264, 15.2649495 49.9522046, 15.2650928 49.9521192, 15.2652495 49.9519992, 15.2653829 49.9518737, 15.2658526 49.9514101)",,,delivery,,
28550433,,Hradební,residential,,False,True,33.349000000000004,"LINESTRING (15.2639861 49.9518812, 15.263941 49.951839, 15.2638706 49.9517779, 15.2636902 49.9516501)",,,delivery,,
28550431,,Orelská,residential,,False,True,85.86099999999999,"LINESTRING (15.2663178 49.9506848, 15.2661527 49.9507078, 15.2660727 49.9507275, 15.2660121 49.950771, 15.2658805 49.9509016, 15.2657354 49.9510294, 15.2657008 49.9510539, 15.2656463 49.9510791, 15.2655548 49.9510812, 15.2654832 49.9510607, 15.2654325 49.9510223)",,,,,
28550433,,Hradební,residential,,False,False,41.44200000000001,"LINESTRING (15.2663178 49.9506848, 15.2665312 49.9504314, 15.2665624 49.9503942, 15.2665937 49.9503571)",,,delivery,,
28550433,,Hradební,residential,,False,True,88.54899999999999,"LINESTRING (15.2663178 49.9506848, 15.2663312 49.9507351, 15.2662107 49.9509835, 15.2659052 49.9513582, 15.2658877 49.9513755, 15.2658526 49.9514101)",,,delivery,,
303889719,,Václavské náměstí,residential,,False,False,36.839,"LINESTRING (15.2665937 49.9503571, 15.2670169 49.9505458)",,,,,
28550433,,Hradební,residential,,False,True,41.442,"LINESTRING (15.2665937 49.9503571, 15.2665624 49.9503942, 15.2665312 49.9504314, 15.2663178 49.9506848)",,,delivery,,
"[28550435, 303889719]",,Václavské náměstí,residential,,False,True,84.40299999999999,"LINESTRING (15.2665937 49.9503571, 15.2660775 49.9501557, 15.2657607 49.9500249, 15.2656668 49.9499864, 15.2655925 49.9499558)",,,,,
303889719,,Václavské náměstí,residential,,False,True,36.839,"LINESTRING (15.2670169 49.9505458, 15.2665937 49.9503571)",,,,,
28550436,,Jiřího z Poděbrad,residential,,True,False,26.487000000000002,"LINESTRING (15.2670169 49.9505458, 15.2671149 49.9505969, 15.2673046 49.9506957)",,,,,
28550436,,Jiřího z Poděbrad,residential,,True,False,38.858,"LINESTRING (15.268145 49.9511301, 15.2685686 49.9513488)",,,,,
"[903115953, 28550442]",,Zvonařská,residential,,False,False,113.749,"LINESTRING (15.268145 49.9511301, 15.2679475 49.9512891, 15.2675955 49.9515826, 15.2675473 49.9516101, 15.2674803 49.9516263, 15.2673839 49.9516311, 15.2672909 49.9516281, 15.267236 49.9516243, 15.2669245 49.9515889)",,,delivery,,
545936643,,Jiřího z Poděbrad,residential,,True,False,36.592,"LINESTRING (15.2685686 49.9513488, 15.2689327 49.9515799)",,30,,,
"[1116920337, 223237903]",,Jiřího z Poděbrad,residential,,True,False,126.21699999999998,"LINESTRING (15.2689327 49.9515799, 15.2691519 49.9517357, 15.2698467 49.952168, 15.2698911 49.9522023, 15.2699123 49.9522277, 15.2699798 49.952309, 15.2699915 49.9524462)",,30,,,
28550437,2,Československých legionářů,primary,roundabout,True,False,15.038,"LINESTRING (15.2699915 49.9524462, 15.2700604 49.9524545, 15.2701225 49.9524753, 15.2701725 49.9525069)",1,,,,
28550439,2,Československých legionářů,primary,,False,False,52.405,"LINESTRING (15.2702124 49.9526401, 15.2705418 49.952714, 15.2709004 49.9528017)",3,50,,,
1195394218,2,Československých legionářů,primary,roundabout,True,False,40.744,"LINESTRING (15.2702124 49.9526401, 15.2701836 49.952682, 15.2701368 49.9527165, 15.2700763 49.9527407, 15.2700075 49.9527522, 15.2699363 49.9527502, 15.2698693 49.9527348, 15.2698123 49.9527074, 15.2697705 49.9526703)",1,,,,
1195394219,2,Československých legionářů,primary,roundabout,True,False,11.932,"LINESTRING (15.2697705 49.9526703, 15.2697508 49.9526368, 15.2697437 49.9526013, 15.2697495 49.9525658)",1,,,,
"[28550530, 1250806599]",,Pod Valy,residential,,False,False,63.74999999999999,"LINESTRING (15.2696866 49.9528079, 15.2696192 49.9528031, 15.2695419 49.9528005, 15.2694151 49.9527999, 15.2688437 49.9527973, 15.2687961 49.9527974)",,,,,
189657119,,Pod Valy,residential,,False,False,62.568,"LINESTRING (15.2696866 49.9528079, 15.2697415 49.9528156, 15.2705598 49.9528211)",,,,,
1037167289,33355,Zemanova,tertiary,,True,False,16.596000000000004,"LINESTRING (15.2696866 49.9528079, 15.2697102 49.9527693, 15.269758 49.9527145, 15.2697705 49.9526703)",,,,,
175119993,,Anenské náměstí,residential,,False,False,16.983,"LINESTRING (15.2701877 49.9508651, 15.2704136 49.950912)",,,,,
28550440,,Andělská,residential,,True,False,120.006,"LINESTRING (15.2701877 49.9508651, 15.2698341 49.9510419, 15.2689327 49.9515799)",,,,,
908825298,,Na Sioně,residential,,False,False,41.222,"LINESTRING (15.2688838 49.950838, 15.2684317 49.9506082)",,,,,
533973550,,Na Sioně,residential,,True,False,61.774,"LINESTRING (15.2688838 49.950838, 15.2687146 49.9512125, 15.2685686 49.9513488)",,,,,
28550442,,Zvonařská,residential,,False,False,83.841,"LINESTRING (15.2669245 49.9515889, 15.2667348 49.9516928, 15.2663856 49.9519246, 15.2661295 49.9521396)",,,delivery,,
"[903115953, 28550442]",,Zvonařská,residential,,False,True,113.74900000000001,"LINESTRING (15.2669245 49.9515889, 15.267236 49.9516243, 15.2672909 49.9516281, 15.2673839 49.9516311, 15.2674803 49.9516263, 15.2675473 49.9516101, 15.2675955 49.9515826, 15.2679475 49.9512891, 15.268145 49.9511301)",,,delivery,,
241077148,,,residential,,False,True,33.897,"LINESTRING (15.2669245 49.9515889, 15.2668657 49.9515075, 15.2667713 49.951425, 15.2666407 49.95135)",,,delivery,,
28550442,,Zvonařská,residential,,False,True,83.841,"LINESTRING (15.2661295 49.9521396, 15.2663856 49.9519246, 15.2667348 49.9516928, 15.2669245 49.9515889)",,,delivery,,
563699979,,Hloušecká,residential,,False,False,29.544999999999998,"LINESTRING (15.2661295 49.9521396, 15.2661302 49.9522768, 15.2661298 49.9523547, 15.2661289 49.9524053)",,,delivery,,
"[1155021129, 28550443]",,Hloušecká,residential,,False,False,66.91499999999999,"LINESTRING (15.2661295 49.9521396, 15.2660461 49.9520552, 15.2660139 49.9519983, 15.265997 49.9519421, 15.2660931 49.9517369, 15.2661989 49.9515815)",,,,,
28550443,,Hloušecká,residential,,False,False,45.099999999999994,"LINESTRING (15.2661989 49.9515815, 15.2662982 49.951591, 15.2663982 49.9515765, 15.2666407 49.95135)",,,,,
"[1155021129, 28550443]",,Hloušecká,residential,,False,True,66.91499999999999,"LINESTRING (15.2661989 49.9515815, 15.2660931 49.9517369, 15.265997 49.9519421, 15.2660139 49.9519983, 15.2660461 49.9520552, 15.2661295 49.9521396)",,,,,
241077150,,Hloušecká,residential,,False,True,31.271,"LINESTRING (15.2661989 49.9515815, 15.2659803 49.9514685, 15.2658526 49.9514101)",,,,,
28550436,,Jiřího z Poděbrad,residential,,True,False,32.525,"LINESTRING (15.2673046 49.9506957, 15.2676606 49.9508776)",,,,,
28550443,,Hloušecká,residential,,False,True,86.95400000000001,"LINESTRING (15.2673046 49.9506957, 15.2671284 49.9508947, 15.2666407 49.95135)",,,,,
"[28550444, 888726831]",,Kollárova,residential,,True,False,126.91199999999999,"LINESTRING (15.2680732 49.9496289, 15.268024 49.9496716, 15.2671467 49.9504331, 15.2671119 49.9504634, 15.2670169 49.9505458)",,50,,,
28550475,,Vladislavova,residential,,True,False,65.65899999999999,"LINESTRING (15.2680732 49.9496289, 15.2681762 49.9496857, 15.2684856 49.9498567, 15.2687667 49.9500156)",,30,,,
663679238,,Husova,residential,,False,True,22.905,"LINESTRING (15.265249 49.9491339, 15.2649359 49.949091)",,,,,
28550446,,Lierova,residential,,False,True,64.901,"LINESTRING (15.265249 49.9491339, 15.2652181 49.9492127, 15.265058 49.9495601, 15.2650404 49.9495874, 15.2649667 49.9496872)",,,,,
"[303889730, 191513795, 1155021867, 888726829, 117544306, 128048823, 1155022010, 1107784318]",,"['Husova', 'Palackého náměstí']",residential,,True,False,225.478,"LINESTRING (15.265249 49.9491339, 15.2653789 49.9491422, 15.2664394 49.9491484, 15.2665571 49.9491654, 15.2666642 49.9491765, 15.266757 49.9491861, 15.2668298 49.9491937, 15.2669782 49.9492091, 15.2671934 49.9491965, 15.2675245 49.9492213, 15.2675762 49.9492269, 15.2678251 49.9492669, 15.2683486 49.9493849)",,30,,,
663679238,,Husova,residential,,False,False,22.905,"LINESTRING (15.2649359 49.949091, 15.265249 49.9491339)",,,,,
663679236,,Husova,residential,,False,True,68.402,"LINESTRING (15.2649359 49.949091, 15.2643218 49.9490075, 15.2642005 49.9489851, 15.2640062 49.9489492)",,,,,
382277128,,Husova,residential,,False,True,22.908,"LINESTRING (15.2640062 49.9489492, 15.2636962 49.9488977)",,,,,
"[119086958, 942951287]",,"['Rejskova', 'Rejskovo náměstí']",residential,,False,False,53.20099999999999,"LINESTRING (15.2640062 49.9489492, 15.2640021 49.9489136, 15.2639838 49.948753, 15.2640969 49.9487159, 15.264381 49.9486347)",,,,,
663679236,,Husova,residential,,False,False,68.402,"LINESTRING (15.2640062 49.9489492, 15.2642005 49.9489851, 15.2643218 49.9490075, 15.2649359 49.949091)",,,,,
382277128,,Husova,residential,,False,False,22.908,"LINESTRING (15.2636962 49.9488977, 15.2640062 49.9489492)",,,,,
"[1107785549, 1107785655]",,Husova,residential,,False,True,104.96699999999998,"LINESTRING (15.2636962 49.9488977, 15.263544 49.9488788, 15.2631918 49.9488579, 15.2627727 49.9488017, 15.2627027 49.9487897, 15.2623218 49.9486263)",,,,,
1160478818,,Husova,residential,,False,False,13.121,"LINESTRING (15.2621578 49.9485735, 15.2623218 49.9486263)",,,,,
28550451,,náměstí Národního odboje,residential,,True,False,58.606,"LINESTRING (15.2621578 49.9485735, 15.2621775 49.9485484, 15.2623464 49.9483006, 15.2624398 49.9482626, 15.2625364 49.9482591, 15.2626798 49.9482816)",,,,,
"[1160478273, 175118813]",,Husova,residential,,False,True,57.414,"LINESTRING (15.2621578 49.9485735, 15.2618321 49.9485012, 15.2615607 49.9484066, 15.2614372 49.9483527)",,,,,
248327346,,náměstí Národního odboje,residential,,True,False,97.477,"LINESTRING (15.2626798 49.9482816, 15.2629068 49.9479755, 15.26307 49.9477553, 15.2634187 49.9475661)",,,,,
382277131,,náměstí Národního odboje,residential,,True,False,56.007999999999996,"LINESTRING (15.2626798 49.9482816, 15.2633802 49.9483538, 15.2634527 49.9483613)",,,,,
28550452,,náměstí Národního odboje,residential,,True,False,88.456,"LINESTRING (15.2634187 49.9475661, 15.2634457 49.9481982, 15.2634527 49.9483613)",,,,,
28550459,,Smíškova,residential,,False,True,30.247,"LINESTRING (15.2634187 49.9475661, 15.2635743 49.9474993, 15.2637916 49.9474406)",,,,,
28550453,,Rejskova,residential,,False,False,10.869,"LINESTRING (15.2634527 49.9483613, 15.263484 49.9483853, 15.2635503 49.9484362)",,,,,
28550453,,Rejskova,residential,,False,True,10.869,"LINESTRING (15.2635503 49.9484362, 15.263484 49.9483853, 15.2634527 49.9483613)",,,,,
28550454,,Rakova,residential,,False,False,107.777,"LINESTRING (15.2635503 49.9484362, 15.2640984 49.9483789, 15.2645306 49.9483835, 15.2647708 49.9483789, 15.2648212 49.9485551)",,,,,
766312791,,Rejskova,residential,,True,False,52.5,"LINESTRING (15.2635503 49.9484362, 15.263662 49.9487301, 15.2636834 49.948794, 15.263697 49.9488679, 15.2636962 49.9488977)",,,,,
28550454,,Rakova,residential,,False,True,107.777,"LINESTRING (15.2648212 49.9485551, 15.2647708 49.9483789, 15.2645306 49.9483835, 15.2640984 49.9483789, 15.2635503 49.9484362)",,,,,
