osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref,access,area,junction,bridge
32276776,Komenského,residential,,False,False,108.605,"LINESTRING (16.2212603 50.0025533, 16.2213898 50.0017485, 16.2214058 50.0016469, 16.2214155 50.0015817)",,,,,,
32276792,Újezdská,residential,,False,False,150.024,"LINESTRING (16.2212603 50.0025533, 16.2212236 50.0025768, 16.2211633 50.0025975, 16.2205393 50.0027499, 16.2199141 50.0029075, 16.2193505 50.0031022)",,,,,,
393733477,Újezdská,residential,,True,False,116.289,"LINESTRING (16.2212603 50.0025533, 16.2216239 50.0026139, 16.2228353 50.0028158)",,,,,,
32276776,Komenského,residential,,False,True,67.848,"LINESTRING (16.221525 50.0009756, 16.2214155 50.0015817)",,,,,,
295712643,Dolní,residential,,False,False,21.621,"LINESTRING (16.221525 50.0009756, 16.2218268 50.0009624)",,,,,,
393733395,Dolní,residential,,False,True,80.834,"LINESTRING (16.221525 50.0009756, 16.2203941 50.0009837)",,,,,,
700316806,T. G. Masaryka,residential,,False,False,45.774,"LINESTRING (16.221525 50.0009756, 16.2215823 50.0005656)",,,,,,
393733395,Dolní,residential,,False,False,80.834,"LINESTRING (16.2203941 50.0009837, 16.221525 50.0009756)",,,,,,
393733395,Dolní,residential,,False,True,71.886,"LINESTRING (16.2203941 50.0009837, 16.2193896 50.0009512)",,,,,,
704934314,Dolní,residential,,False,True,35.238,"LINESTRING (16.2203941 50.0009837, 16.2203948 50.0006668)",,,,,,
1231620041,Mistra Choceňského,residential,,True,False,33.993,"LINESTRING (16.2203941 50.0009837, 16.2203301 50.0011523, 16.2202814 50.0012807)",,,,,,
32276782,Palackého,residential,,True,False,121.919,"LINESTRING (16.2202814 50.0012807, 16.2198954 50.0023487)",,,,,,
32276779,Mistra Choceňského,residential,,False,False,43.041000000000004,"LINESTRING (16.2202814 50.0012807, 16.2205847 50.0014777, 16.2207518 50.0015011)",,,,,,
32276779,Mistra Choceňského,residential,,False,False,48.276,"LINESTRING (16.2207518 50.0015011, 16.2214155 50.0015817)",,,,,,
32276788,Zahradní,residential,,True,False,105.769,"LINESTRING (16.2207518 50.0015011, 16.2204339 50.0024301)",,,,,,
32276779,Mistra Choceňského,residential,,False,True,43.041000000000004,"LINESTRING (16.2207518 50.0015011, 16.2205847 50.0014777, 16.2202814 50.0012807)",,,,,,
32276776,Komenského,residential,,False,False,67.848,"LINESTRING (16.2214155 50.0015817, 16.221525 50.0009756)",,,,,,
32276779,Mistra Choceňského,residential,,False,True,48.276,"LINESTRING (16.2214155 50.0015817, 16.2207518 50.0015011)",,,,,,
32276776,Komenského,residential,,False,True,108.605,"LINESTRING (16.2214155 50.0015817, 16.2214058 50.0016469, 16.2213898 50.0017485, 16.2212603 50.0025533)",,,,,,
32276779,Mistra Choceňského,residential,,False,False,109.828,"LINESTRING (16.2214155 50.0015817, 16.2222803 50.0016837, 16.2223137 50.0015641, 16.2227744 50.0016184)",,,,,,
32276798,Sv. Čecha,residential,,False,False,39.537,"LINESTRING (16.2198954 50.0023487, 16.2204339 50.0024301)",,,,,,
32276798,Sv. Čecha,residential,,False,True,20.662,"LINESTRING (16.2198954 50.0023487, 16.2196157 50.0023017)",,,,,,
32276798,Sv. Čecha,residential,,False,False,60.632,"LINESTRING (16.2204339 50.0024301, 16.2212603 50.0025533)",,,,,,
32276798,Sv. Čecha,residential,,False,True,39.537,"LINESTRING (16.2204339 50.0024301, 16.2198954 50.0023487)",,,,,,
32276792,Újezdská,residential,,False,True,148.997,"LINESTRING (16.2168085 50.0042239, 16.2185114 50.0034509)",,,,,,
32276818,Pod Vinicí,residential,,False,False,146.586,"LINESTRING (16.2168085 50.0042239, 16.2170973 50.0042857, 16.2177037 50.0043789, 16.2187945 50.004551)",,,,,,
32276792,Újezdská,residential,,False,False,148.997,"LINESTRING (16.2185114 50.0034509, 16.2168085 50.0042239)",,,,,,
32276792,Újezdská,residential,,False,True,71.413,"LINESTRING (16.2185114 50.0034509, 16.2193505 50.0031022)",,,,,,
718277857,Smetanova,residential,,False,False,49.843,"LINESTRING (16.2185114 50.0034509, 16.2191881 50.0035593)",,,,,,
718279244,Smetanova,residential,,False,True,98.654,"LINESTRING (16.2185114 50.0034509, 16.217173 50.0032338)",,,,,,
32276807,Fügnerova,residential,,False,True,146.06400000000002,"LINESTRING (16.2185114 50.0034509, 16.2184429 50.0033677, 16.2189008 50.0021843)",,,,,,
"[718826981, 718279006]",Záměstí,residential,,False,False,140.42000000000002,"LINESTRING (16.2228353 50.0028158, 16.2226908 50.0031953, 16.2226384 50.003294, 16.2225285 50.0035095, 16.2223048 50.0040311)",,,,,,
"[162277317, 718826982]",Záměstí,residential,,False,True,177.45200000000003,"LINESTRING (16.2228353 50.0028158, 16.2231468 50.002005, 16.2232221 50.0017921, 16.2233009 50.0015739, 16.2234397 50.0013282, 16.2234598 50.0012727)",,,,,,
32276798,Sv. Čecha,residential,,False,False,94.666,"LINESTRING (16.2176165 50.0019761, 16.2189008 50.0021843)",,,,,,
32277029,Dr. Fikejze,residential,,False,False,118.247,"LINESTRING (16.2176165 50.0019761, 16.2180322 50.0009468)",,,,,,
32277029,Dr. Fikejze,residential,,False,True,100.435,"LINESTRING (16.2176165 50.0019761, 16.2172932 50.0028551)",,,,,,
32276798,Sv. Čecha,residential,,False,False,52.736,"LINESTRING (16.2189008 50.0021843, 16.2196157 50.0023017)",,,,,,
32276798,Sv. Čecha,residential,,False,True,94.666,"LINESTRING (16.2189008 50.0021843, 16.2176165 50.0019761)",,,,,,
32276807,Fügnerova,residential,,False,True,141.495,"LINESTRING (16.2189008 50.0021843, 16.2193896 50.0009512)",,,,,,
32276807,Fügnerova,residential,,False,False,146.06400000000002,"LINESTRING (16.2189008 50.0021843, 16.2184429 50.0033677, 16.2185114 50.0034509)",,,,,,
295712644,Dr. Fikejze,residential,,False,False,79.808,"LINESTRING (16.217173 50.0032338, 16.2169003 50.0039298)",,,,,,
718279244,Smetanova,residential,,False,False,98.654,"LINESTRING (16.217173 50.0032338, 16.2185114 50.0034509)",,,,,,
718277857,Smetanova,residential,,False,True,49.843,"LINESTRING (16.2191881 50.0035593, 16.2185114 50.0034509)",,,,,,
718278608,T. N. Kautníka,residential,,False,True,113.804,"LINESTRING (16.2191881 50.0035593, 16.2187945 50.004551)",,,,,,
727382093,Smetanova,residential,,False,False,112.392,"LINESTRING (16.2191881 50.0035593, 16.2207187 50.0037913)",,,,,,
