osmid,ref,highway,oneway,reversed,length,geometry,lanes,junction
469405162,,residential,True,False,5.336,"LINESTRING (6.9547796 33.2788794, 6.9547306 33.2789044)",2,
727630814,,residential,False,False,7.535,"LINESTRING (6.9547796 33.2788794, 6.9547311 33.2788251)",,
469405162,,residential,True,False,41.487,"LINESTRING (6.9551417 33.2786613, 6.9547796 33.2788794)",2,
469426047,,residential,False,False,50.154,"LINESTRING (6.9551417 33.2786613, 6.9554506 33.2790311)",,
469426047,,residential,False,True,6.797,"LINESTRING (6.9551417 33.2786613, 6.9550998 33.2786112)",,
469405162,,residential,True,False,6.749,"LINESTRING (6.9551739 33.2786069, 6.9551417 33.2786613)",2,
469405163,,residential,False,False,39.183,"LINESTRING (6.9551739 33.2786069, 6.9555316 33.2784205)",2,
469405166,,secondary,True,False,10.194,"LINESTRING (6.9539152 33.279311, 6.9539627 33.2793339, 6.9539971 33.2793696)",2,roundabout
469406764,,residential,True,False,93.125,"LINESTRING (6.9539152 33.279311, 6.9543377 33.2790554, 6.9545254 33.2789455, 6.9547311 33.2788251)",2,
469405175,CW 405,secondary,True,False,24.257,"LINESTRING (6.9518343 33.2770518, 6.9520118 33.2768919)",,
469405174,,secondary,True,False,8.503,"LINESTRING (6.9518343 33.2770518, 6.9518762 33.277067, 6.9519029 33.2770981)",,roundabout
469405174,,secondary,True,False,14.267000000000001,"LINESTRING (6.9517363 33.2771291, 6.9517416 33.2770974, 6.951763 33.2770707, 6.9517961 33.2770544, 6.9518343 33.2770518)",,roundabout
469405177,CW 405,secondary,True,False,11.743,"LINESTRING (6.9494956 33.2781743, 6.9493722 33.2781969)",,
724496162,,tertiary,True,False,3.64,"LINESTRING (6.9494956 33.2781743, 6.9494802 33.2781442)",,
469405174,,secondary,True,False,7.826,"LINESTRING (6.9517808 33.2771863, 6.9517499 33.2771624, 6.9517363 33.2771291)",,roundabout
469405177,CW 405,secondary,True,False,137.836,"LINESTRING (6.9517808 33.2771863, 6.9514489 33.2774166, 6.951182 33.2775881, 6.9510171 33.2776857, 6.9507207 33.2778331, 6.9505671 33.2778897)",,
469405174,,secondary,True,False,7.351,"LINESTRING (6.9518577 33.2771887, 6.9518189 33.2771951, 6.9517808 33.2771863)",,roundabout
469405174,,secondary,True,False,4.361,"LINESTRING (6.9519029 33.2770981, 6.9519066 33.2771372)",,roundabout
143114477,CW 405,secondary,False,True,38.346,"LINESTRING (6.9526505 33.2763181, 6.9529201 33.2760571)",,
469405176,CW 405,secondary,True,False,4.953,"LINESTRING (6.9526505 33.2763181, 6.9526331 33.2763602)",,
469405179,CW 405,secondary,False,True,25.624,"LINESTRING (6.9468476 33.2793383, 6.9470879 33.2792254)",,
469405179,CW 405,secondary,False,False,26.112000000000002,"LINESTRING (6.9468476 33.2793383, 6.946771 33.2793915, 6.946655 33.279508)",,
469406756,,residential,False,False,66.901,"LINESTRING (6.9468476 33.2793383, 6.9468315 33.2792408, 6.9468194 33.2791948, 6.9468181 33.2791119, 6.9468167 33.2790277, 6.9468329 33.2788831, 6.9468489 33.2787631, 6.9468605 33.2787422)",,
469403131,,unclassified,False,True,56.855,"LINESTRING (6.9515394 33.2738311, 6.950939 33.2737338)",,
469406757,,residential,False,False,43.227,"LINESTRING (6.9515394 33.2738311, 6.9514525 33.274213)",,
469406757,,residential,False,True,45.085,"LINESTRING (6.9515394 33.2738311, 6.9516301 33.2734328)",,
469403131,,unclassified,False,False,51.419000000000004,"LINESTRING (6.9515394 33.2738311, 6.9515831 33.2738399, 6.9520845 33.2739089)",,
469406757,,residential,False,False,39.992,"LINESTRING (6.951716 33.2730558, 6.9516355 33.2734091)",,
469406757,,residential,False,True,75.901,"LINESTRING (6.951716 33.2730558, 6.9518781 33.2723868)",,
727636379,,residential,False,True,97.66499999999999,"LINESTRING (6.951716 33.2730558, 6.9514348 33.2730096, 6.9511713 33.2729693, 6.9511405 33.2729709, 6.9511183 33.272985, 6.9511096 33.2730124, 6.9510344 33.2733438)",,
469405163,,residential,False,True,51.961,"LINESTRING (6.9568314 33.2778623, 6.956576 33.2779312, 6.9563037 33.278016)",2,
