osmid,bridge,oneway,highway,reversed,length,geometry,lanes,ref,name
300919641,,True,motorway_link,False,150.794,"LINESTRING (116.1810093 24.8294861, 116.1805393 24.8292783, 116.1801168 24.8290836, 116.1796488 24.8289302)",,,
300919578,,False,trunk,True,88.41,"LINESTRING (116.1798701 24.8296995, 116.1796488 24.8289302)",,G205,
"[1135659174, 1135659175, 1227692332, 1227692333, 300919578]",yes,False,trunk,False,476.155,"LINESTRING (116.1798701 24.8296995, 116.179922 24.8297885, 116.1799906 24.8299061, 116.180039 24.8299892, 116.1803314 24.8304078, 116.1821603 24.8326914, 116.1823915 24.8329681, 116.1825747 24.8332038)",,G205,"['大坝3桥', '大坝2桥']"
1000083114,,False,residential,False,142.257,"LINESTRING (116.1798701 24.8296995, 116.1796395 24.8297793, 116.1793391 24.829828, 116.1785077 24.8300193)",,,大南街
"[300919586, 237273123, 1135624600, 1135624601, 1135624603, 300919582]",yes,True,motorway,False,883.064,"LINESTRING (116.1838451 24.8331123, 116.1833596 24.8317564, 116.1825404 24.8298932, 116.1822852 24.829303, 116.1821558 24.8288706, 116.1819836 24.8282949, 116.1817825 24.8273553, 116.1816672 24.8264242, 116.1815518 24.825493)",2,G25,长深高速
"[300919641, 300919631]",yes,True,motorway_link,False,512.001,"LINESTRING (116.1838451 24.8331123, 116.1832336 24.8317686, 116.1826019 24.8306379, 116.1823149 24.8302594, 116.1818965 24.8299222, 116.1810093 24.8294861)",,,
1135659181,,False,tertiary,False,227.715,"LINESTRING (116.1772361 24.8294013, 116.1794262 24.8289083)",,Y102,
1000083113,,False,residential,True,110.001,"LINESTRING (116.1772361 24.8294013, 116.177362 24.8298376, 116.1778119 24.8301883)",,,广北一巷
1135659181,,False,tertiary,True,106.298,"LINESTRING (116.1772361 24.8294013, 116.1769384 24.8295072, 116.1765455 24.8296703, 116.1762834 24.8298056)",,Y102,
677124618,,True,tertiary,False,22.38,"LINESTRING (116.1794262 24.8289083, 116.1796407 24.8288572)",,,
1135659181,,False,tertiary,True,227.715,"LINESTRING (116.1794262 24.8289083, 116.1772361 24.8294013)",,Y102,
1000083114,,False,residential,True,36.411,"LINESTRING (116.1778119 24.8301883, 116.1781601 24.8301025)",,,大南街
1093498222,,False,residential,True,53.319,"LINESTRING (116.1778119 24.8301883, 116.1779861 24.830641)",,,新二街
1000083113,,False,residential,False,110.001,"LINESTRING (116.1778119 24.8301883, 116.177362 24.8298376, 116.1772361 24.8294013)",,,广北一巷
1000083114,,False,residential,False,32.646,"LINESTRING (116.1778119 24.8301883, 116.1775154 24.830276, 116.1775042 24.8302789)",,,大南街
1000083114,,False,residential,True,96.806,"LINESTRING (116.176581 24.8305154, 116.1775042 24.8302789)",,,大南街
1093498220,,False,residential,False,77.464,"LINESTRING (116.176581 24.8305154, 116.176854 24.8311665)",,,福西路
1093498220,,False,residential,True,84.447,"LINESTRING (116.176581 24.8305154, 116.1762834 24.8298056)",,,福西路
1093498217,,False,residential,False,163.163,"LINESTRING (116.1782096 24.8274577, 116.1794702 24.8281246, 116.1796275 24.8281343)",,,
300919578,,False,trunk,False,80.394,"LINESTRING (116.1796275 24.8281343, 116.1796407 24.8288572)",,G205,
300919578,,False,trunk,True,179.816,"LINESTRING (116.1796275 24.8281343, 116.1795979 24.8265174)",,G205,
1093498217,,False,residential,True,163.163,"LINESTRING (116.1796275 24.8281343, 116.1794702 24.8281246, 116.1782096 24.8274577)",,,
1093498220,,False,residential,False,84.447,"LINESTRING (116.1762834 24.8298056, 116.176581 24.8305154)",,,福西路
1135659181,,False,tertiary,False,106.298,"LINESTRING (116.1762834 24.8298056, 116.1765455 24.8296703, 116.1769384 24.8295072, 116.1772361 24.8294013)",,Y102,
1093498220,,False,residential,True,77.464,"LINESTRING (116.176854 24.8311665, 116.176581 24.8305154)",,,福西路
1000083114,,False,residential,False,96.806,"LINESTRING (116.1775042 24.8302789, 116.176581 24.8305154)",,,大南街
1000083114,,False,residential,True,32.646,"LINESTRING (116.1775042 24.8302789, 116.1775154 24.830276, 116.1778119 24.8301883)",,,大南街
"[1093498225, 1093498221]",,False,residential,False,84.44800000000001,"LINESTRING (116.1775042 24.8302789, 116.1776893 24.8307255, 116.1779861 24.830641)",,,"['新三街', '新北街']"
1093498221,,False,residential,True,38.694,"LINESTRING (116.1786843 24.8304519, 116.1783155 24.8305471)",,,新北街
1093498224,,False,residential,False,51.298,"LINESTRING (116.1786843 24.8304519, 116.1785077 24.8300193)",,,大中街
"[1267967320, 1267967321, 1267967319]",yes,False,residential,False,38.843,"LINESTRING (116.1786843 24.8304519, 116.1787356 24.8305639, 116.1787726 24.8306582, 116.1787741 24.8306862, 116.1787741 24.8307861)",,,
1000083114,,False,residential,False,36.278,"LINESTRING (116.1785077 24.8300193, 116.1781601 24.8301025)",,,大南街
1093498224,,False,residential,True,51.298,"LINESTRING (116.1785077 24.8300193, 116.1786843 24.8304519)",,,大中街
1000083114,,False,residential,True,142.257,"LINESTRING (116.1785077 24.8300193, 116.1793391 24.829828, 116.1796395 24.8297793, 116.1798701 24.8296995)",,,大南街
1093498221,,False,residential,False,34.843,"LINESTRING (116.1779861 24.830641, 116.1783155 24.8305471)",,,新北街
1093498222,,False,residential,False,53.319,"LINESTRING (116.1779861 24.830641, 116.1778119 24.8301883)",,,新二街
"[1093498225, 1093498221]",,False,residential,True,84.44800000000001,"LINESTRING (116.1779861 24.830641, 116.1776893 24.8307255, 116.1775042 24.8302789)",,,"['新三街', '新北街']"
1093498221,,False,residential,False,38.694,"LINESTRING (116.1783155 24.8305471, 116.1786843 24.8304519)",,,新北街
1093498221,,False,residential,True,34.843,"LINESTRING (116.1783155 24.8305471, 116.1779861 24.830641)",,,新北街
1093498223,,False,residential,False,51.865,"LINESTRING (116.1783155 24.8305471, 116.1781601 24.8301025)",,,新一街
1000083114,,False,residential,False,36.411,"LINESTRING (116.1781601 24.8301025, 116.1778119 24.8301883)",,,大南街
1000083114,,False,residential,True,36.278,"LINESTRING (116.1781601 24.8301025, 116.1785077 24.8300193)",,,大南街
1093498223,,False,residential,True,51.865,"LINESTRING (116.1781601 24.8301025, 116.1783155 24.8305471)",,,新一街
"[1135659174, 1135659175, 1227692332, 1227692333, 300919578]",yes,False,trunk,True,476.15500000000003,"LINESTRING (116.1825747 24.8332038, 116.1823915 24.8329681, 116.1821603 24.8326914, 116.1803314 24.8304078, 116.180039 24.8299892, 116.1799906 24.8299061, 116.179922 24.8297885, 116.1798701 24.8296995)",,G205,"['大坝3桥', '大坝2桥']"
300919578,,False,trunk,False,179.816,"LINESTRING (116.1795979 24.8265174, 116.1796275 24.8281343)",,G205,
"[1267967320, 1267967321, 1267967319]",yes,False,residential,True,38.843,"LINESTRING (116.1787741 24.8307861, 116.1787741 24.8306862, 116.1787726 24.8306582, 116.1787356 24.8305639, 116.1786843 24.8304519)",,,
