osmid,name,highway,oneway,reversed,length,geometry,ref,junction,lanes
792300617,,residential,False,False,158.569,"LINESTRING (119.1340318 28.0745693, 119.132508 28.074094)",,,
792300618,,residential,False,False,95.346,"LINESTRING (119.1340318 28.0745693, 119.133698 28.0753746)",,,
792300618,,residential,False,True,90.899,"LINESTRING (119.1340318 28.0745693, 119.1343578 28.0738041)",,,
792300617,,residential,False,True,206.64499999999998,"LINESTRING (119.1340318 28.0745693, 119.1347811 28.0748031, 119.1350475 28.0749715, 119.135971 28.0752706)",,,
260166291,龙翔路,tertiary,False,False,96.699,"LINESTRING (119.1356431 28.0760907, 119.135971 28.0752706)",,,
260166291,龙翔路,tertiary,False,True,87.935,"LINESTRING (119.1356431 28.0760907, 119.135345 28.0768365)",,,
792300619,,residential,False,False,207.585,"LINESTRING (119.1356431 28.0760907, 119.1341684 28.0756257, 119.133698 28.0753746)",,,
792300618,,residential,False,False,98.106,"LINESTRING (119.133698 28.0753746, 119.1333545 28.0762032)",,,
792300618,,residential,False,True,95.346,"LINESTRING (119.133698 28.0753746, 119.1340318 28.0745693)",,,
792300619,,residential,False,False,165.366,"LINESTRING (119.133698 28.0753746, 119.1324103 28.0749597, 119.1320968 28.0749362)",,,
792300619,,residential,False,True,207.585,"LINESTRING (119.133698 28.0753746, 119.1341684 28.0756257, 119.1356431 28.0760907)",,,
792300620,,residential,False,True,33.43,"LINESTRING (119.1375452 28.0799832, 119.1375115 28.0800129, 119.1374748 28.080083, 119.1374288 28.0802598)",,,
260166231,兰龙线,primary,False,False,16.14,"LINESTRING (119.1370462 28.0801885, 119.1370537 28.0800435)",S215,,2
260166231,兰龙线,primary,False,True,12.601,"LINESTRING (119.1370462 28.0801885, 119.1370403 28.0803017)",S215,,2
792300621,,residential,False,False,38.599000000000004,"LINESTRING (119.1370462 28.0801885, 119.1372363 28.0802044, 119.1374288 28.0802598)",,,
792300621,,residential,False,False,79.745,"LINESTRING (119.1374288 28.0802598, 119.1381874 28.0805174)",,,
792300620,,residential,False,False,33.43,"LINESTRING (119.1374288 28.0802598, 119.1374748 28.080083, 119.1375115 28.0800129, 119.1375452 28.0799832)",,,
792300621,,residential,False,True,38.599000000000004,"LINESTRING (119.1374288 28.0802598, 119.1372363 28.0802044, 119.1370462 28.0801885)",,,
792300621,,residential,False,True,79.745,"LINESTRING (119.1381874 28.0805174, 119.1374288 28.0802598)",,,
260166231,兰龙线,primary,False,False,12.601,"LINESTRING (119.1370403 28.0803017, 119.1370462 28.0801885)",S215,,2
792300622,,residential,False,False,114.679,"LINESTRING (119.1370403 28.0803017, 119.1359336 28.0799697)",,,
792300622,,residential,False,True,114.679,"LINESTRING (119.1359336 28.0799697, 119.1370403 28.0803017)",,,
792328030,环城东路,primary,False,False,144.162,"LINESTRING (119.1373083 28.0788229, 119.1378096 28.0776042)",S215,,
792328031,,primary,True,False,48.54,"LINESTRING (119.1373083 28.0788229, 119.137289 28.0789752, 119.1372967 28.0790681, 119.1373616 28.0792494)",S215,,
304987541,,residential,False,False,102.552,"LINESTRING (119.1330293 28.077011, 119.1326795 28.0778801)",,,
304987541,,residential,False,True,95.321,"LINESTRING (119.1330293 28.077011, 119.1333545 28.0762032)",,,
832232637,,residential,False,False,95.385,"LINESTRING (119.1330293 28.077011, 119.1339429 28.0773044)",,,
369132340,,residential,False,False,94.609,"LINESTRING (119.1339429 28.0773044, 119.1342633 28.0765019)",,,
832232637,,residential,False,True,95.385,"LINESTRING (119.1339429 28.0773044, 119.1330293 28.077011)",,,
369132340,,residential,False,True,103.33000000000001,"LINESTRING (119.1339429 28.0773044, 119.1336499 28.0780384, 119.1336337 28.0781888)",,,
832232637,,residential,False,False,111.315,"LINESTRING (119.1339429 28.0773044, 119.1346426 28.077508, 119.135011 28.0776405)",,,
260166291,龙翔路,tertiary,False,False,95.217,"LINESTRING (119.135011 28.0776405, 119.135345 28.0768365)",,,
260166291,龙翔路,tertiary,False,True,103.754,"LINESTRING (119.135011 28.0776405, 119.1346471 28.0785166)",,,
832232637,,residential,False,True,111.315,"LINESTRING (119.135011 28.0776405, 119.1346426 28.077508, 119.1339429 28.0773044)",,,
832232639,,residential,False,False,39.084,"LINESTRING (119.1326472 28.0794959, 119.1330276 28.0796003)",,,
832232639,,residential,False,False,49.241,"LINESTRING (119.1335376 28.0797894, 119.1340031 28.079955)",,,
832232639,,residential,False,True,54.273,"LINESTRING (119.1335376 28.0797894, 119.1330276 28.0796003)",,,
832232640,,residential,False,True,55.627,"LINESTRING (119.1335376 28.0797894, 119.1337254 28.0793445, 119.1337361 28.0793208)",,,
369132338,龙翔路,residential,False,False,171.97,"LINESTRING (119.1340031 28.079955, 119.1346471 28.0785166)",,,
832232639,,residential,False,True,49.241,"LINESTRING (119.1340031 28.079955, 119.1335376 28.0797894)",,,
832232640,,residential,False,False,55.627,"LINESTRING (119.1337361 28.0793208, 119.1337254 28.0793445, 119.1335376 28.0797894)",,,
260166270,华楼街,tertiary,False,True,69.271,"LINESTRING (119.133691 28.0735993, 119.1343578 28.0738041)",,,
260166270,华楼街,tertiary,False,False,173.998,"LINESTRING (119.133691 28.0735993, 119.132272 28.0731634, 119.1320095 28.0731043)",,,
1197885248,,residential,False,False,286.359,"LINESTRING (119.133691 28.0735993, 119.1337691 28.0733603, 119.1337874 28.073197, 119.1337996 28.0726339, 119.133761 28.0725854, 119.1333199 28.0724617, 119.132769 28.0723935, 119.1326226 28.0723953, 119.132044 28.0724277)",,,
260166305,剑川大道,secondary,True,False,75.631,"LINESTRING (119.132044 28.0724277, 119.1320616 28.0727781, 119.1320095 28.0731043)",,,
1197885248,,residential,False,True,286.35900000000004,"LINESTRING (119.132044 28.0724277, 119.1326226 28.0723953, 119.132769 28.0723935, 119.1333199 28.0724617, 119.133761 28.0725854, 119.1337996 28.0726339, 119.1337874 28.073197, 119.1337691 28.0733603, 119.133691 28.0735993)",,,
