osmid,oneway,name,highway,reversed,length,junction,geometry
1063324570,False,,residential,True,52.834,,"LINESTRING (41.0782127 19.1260052, 41.07867 19.1261083, 41.0787015 19.1261168)"
377991841,False,,residential,False,50.165,,"LINESTRING (41.0795626 19.1261859, 41.0797675 19.1265934)"
1063332275,False,,residential,True,24.201,,"LINESTRING (41.0795626 19.1261859, 41.079335 19.1262195)"
377991841,False,,residential,True,76.538,,"LINESTRING (41.0795626 19.1261859, 41.0794556 19.1259732, 41.0793083 19.1255423)"
1063324571,False,,residential,False,71.887,,"LINESTRING (41.0795626 19.1261859, 41.0798368 19.1259588, 41.0801118 19.1258049)"
1063324571,False,,residential,False,80.129,,"LINESTRING (41.0807702 19.1258118, 41.0810465 19.1258118, 41.0814059 19.1257155, 41.0815132 19.1256825)"
1063324571,False,,residential,True,72.82,,"LINESTRING (41.0807702 19.1258118, 41.0804215 19.1257104, 41.0801855 19.1257636, 41.0801118 19.1258049)"
1063324573,False,,residential,True,117.42399999999999,,"LINESTRING (41.0807702 19.1258118, 41.0808399 19.1260728, 41.08165 19.1258903)"
1063324572,False,,residential,False,27.211,,"LINESTRING (41.0815132 19.1256825, 41.08165 19.1258903)"
1063324571,False,,residential,False,36.187,,"LINESTRING (41.0815132 19.1256825, 41.0814434 19.1255203, 41.0815728 19.1254328)"
1063324571,False,,residential,True,80.129,,"LINESTRING (41.0815132 19.1256825, 41.0814059 19.1257155, 41.0810465 19.1258118, 41.0807702 19.1258118)"
377935235,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,38.737,,"LINESTRING (41.0815728 19.1254328, 41.081385 19.125133)"
1063324571,False,,residential,True,36.187,,"LINESTRING (41.0815728 19.1254328, 41.0814434 19.1255203, 41.0815132 19.1256825)"
1063324572,False,,residential,False,19.605,,"LINESTRING (41.08165 19.1258903, 41.0818298 19.1258431)"
1063324572,False,,residential,True,27.211,,"LINESTRING (41.08165 19.1258903, 41.0815132 19.1256825)"
1063324573,False,,residential,False,117.42399999999999,,"LINESTRING (41.08165 19.1258903, 41.0808399 19.1260728, 41.0807702 19.1258118)"
377935235,True,طريق الملك فيصل بن عبدالعزيز,tertiary,False,53.014,,"LINESTRING (41.0818298 19.1258431, 41.0815728 19.1254328)"
1063324572,False,,residential,True,19.605,,"LINESTRING (41.0818298 19.1258431, 41.08165 19.1258903)"
