osmid,oneway,highway,reversed,length,geometry
758720296,False,residential,False,94.586,"LINESTRING (41.7577458 22.4337659, 41.7586569 22.4338857)"
758720296,False,residential,True,30.426,"LINESTRING (41.7577458 22.4337659, 41.7574517 22.4337347)"
758720285,False,residential,False,97.74600000000001,"LINESTRING (41.7577458 22.4337659, 41.7576639 22.4343491, 41.7576506 22.4346398)"
758720284,False,residential,True,93.042,"LINESTRING (41.7574517 22.4337347, 41.7572791 22.4345561)"
758720296,False,residential,False,30.426,"LINESTRING (41.7574517 22.4337347, 41.7577458 22.4337659)"
758720296,False,residential,True,30.721,"LINESTRING (41.7574517 22.4337347, 41.757156 22.4336944)"
758720284,False,residential,False,98.184,"LINESTRING (41.7574517 22.4337347, 41.757566 22.4331913, 41.7576381 22.4328687)"
758720282,False,residential,True,100.206,"LINESTRING (41.7586569 22.4338857, 41.7588106 22.4329958)"
758720296,False,residential,True,94.586,"LINESTRING (41.7586569 22.4338857, 41.7577458 22.4337659)"
758720282,False,residential,False,13.041999999999998,"LINESTRING (41.7586569 22.4338857, 41.7586507 22.4339222, 41.7586479 22.4340025)"
112691870,True,tertiary,False,9.446,"LINESTRING (41.7605187 22.433002, 41.7604274 22.4329923)"
758720297,False,residential,False,23.398,"LINESTRING (41.7605187 22.433002, 41.760488 22.4332105)"
758720282,False,residential,True,24.987,"LINESTRING (41.758661 22.4363821, 41.7586533 22.4361575)"
758720282,False,residential,False,497.18600000000004,"LINESTRING (41.758661 22.4363821, 41.7586646 22.4364901, 41.7585737 22.4379131, 41.7586786 22.4392455, 41.7588046 22.4408431)"
758720298,False,residential,True,73.44800000000001,"LINESTRING (41.758661 22.4363821, 41.7588555 22.4368396, 41.7588867 22.4370061)"
758720299,False,residential,False,45.967,"LINESTRING (41.7581804 22.4343211, 41.7581998 22.4347341)"
758720299,False,residential,True,45.967,"LINESTRING (41.7581998 22.4347341, 41.7581804 22.4343211)"
758720304,False,residential,False,43.478,"LINESTRING (41.7581998 22.4347341, 41.7586227 22.4347437)"
758720304,False,residential,True,57.412,"LINESTRING (41.7581998 22.4347341, 41.7576506 22.4346398)"
758720299,False,residential,False,540.553,"LINESTRING (41.7581998 22.4347341, 41.7582824 22.4354614, 41.758195 22.4369428, 41.7581027 22.438752, 41.7581221 22.439587)"
758720299,False,residential,False,140.969,"LINESTRING (41.7581221 22.439587, 41.7580736 22.4402514, 41.7579928 22.4408486)"
758720299,False,residential,True,540.553,"LINESTRING (41.7581221 22.439587, 41.7581027 22.438752, 41.758195 22.4369428, 41.7582824 22.4354614, 41.7581998 22.4347341)"
758720301,False,residential,False,148.992,"LINESTRING (41.7581221 22.439587, 41.7582727 22.4398922, 41.7584427 22.4408843)"
758720285,False,residential,True,168.518,"LINESTRING (41.7577816 22.4410366, 41.7577969 22.4405197, 41.7578669 22.4397759, 41.7578699 22.4395241)"
758720299,False,residential,True,34.922,"LINESTRING (41.7577816 22.4410366, 41.7579764 22.4409696, 41.7579928 22.4408486)"
758720300,False,residential,False,46.408,"LINESTRING (41.7579928 22.4408486, 41.7584427 22.4408843)"
758720299,False,residential,False,34.922,"LINESTRING (41.7579928 22.4408486, 41.7579764 22.4409696, 41.7577816 22.4410366)"
758720299,False,residential,True,140.969,"LINESTRING (41.7579928 22.4408486, 41.7580736 22.4402514, 41.7581221 22.439587)"
