osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,width,ref,junction,bridge,access
"[906371348, 5401214]",2,View Street,residential,50,False,True,221.91199999999998,"LINESTRING (151.1774804 -33.7943487, 151.1776476 -33.794069, 151.1777099 -33.7940074, 151.1777837 -33.7939601, 151.1778867 -33.7939226, 151.1781422 -33.7938572, 151.1781975 -33.7938273, 151.1782412 -33.7937877, 151.1782663 -33.7937318, 151.1782681 -33.7936759, 151.1782547 -33.7936099, 151.1782335 -33.7935349, 151.178088 -33.7932071, 151.1780889 -33.7930996, 151.17813 -33.7930136, 151.1781858 -33.7929373, 151.1782384 -33.7928666, 151.1782686 -33.7928068, 151.1782667 -33.7927518)",,,,,
"[906371348, 5401214]",2,View Street,residential,50,False,False,221.912,"LINESTRING (151.1782667 -33.7927518, 151.1782686 -33.7928068, 151.1782384 -33.7928666, 151.1781858 -33.7929373, 151.17813 -33.7930136, 151.1780889 -33.7930996, 151.178088 -33.7932071, 151.1782335 -33.7935349, 151.1782547 -33.7936099, 151.1782681 -33.7936759, 151.1782663 -33.7937318, 151.1782412 -33.7937877, 151.1781975 -33.7938273, 151.1781422 -33.7938572, 151.1778867 -33.7939226, 151.1777837 -33.7939601, 151.1777099 -33.7940074, 151.1776476 -33.794069, 151.1774804 -33.7943487)",,,,,
181920806,,View Street,residential,50,True,False,37.069,"LINESTRING (151.178342 -33.7924337, 151.1783175 -33.7924936, 151.1783095 -33.7925845, 151.1783194 -33.7926723, 151.1782667 -33.7927518)",,,,,
11631710,,Erskine Street,residential,,False,False,63.634,"LINESTRING (151.1843299 -33.8000282, 151.1843595 -33.8001003, 151.1845626 -33.8005668)",,,,,
"[1023899430, 173385326]",,Johnson Street,residential,50,False,False,90.471,"LINESTRING (151.1843299 -33.8000282, 151.1850225 -33.7998138, 151.1852443 -33.7997376)",,,,,
"[173385326, 1023899431]",,Johnson Street,residential,50,False,True,62.508,"LINESTRING (151.1843299 -33.8000282, 151.1841159 -33.8000935, 151.1838075 -33.8001787, 151.183728 -33.8001992, 151.1836896 -33.8002093)",,,,,
11631710,,Erskine Street,residential,,False,True,63.634,"LINESTRING (151.1845626 -33.8005668, 151.1843595 -33.8001003, 151.1843299 -33.8000282)",,,,,
"[485494512, 485494511]","['4', '5']",Albert Avenue,secondary,40,False,True,109.77,"LINESTRING (151.1839759 -33.7977439, 151.1838899 -33.7977707, 151.1838572 -33.7977809, 151.1834902 -33.797895, 151.1830402 -33.7980351, 151.1829487 -33.7980635, 151.1828634 -33.7980901)",,,,,
"[550551376, 550551375]",4,Albert Avenue,secondary,40,False,False,110.087,"LINESTRING (151.1839759 -33.7977439, 151.1840648 -33.7977162, 151.1841191 -33.7976993, 151.1848777 -33.7974633, 151.1849944 -33.797427, 151.1850916 -33.7973967)",,,,,
225869707,4,Albert Avenue,tertiary,40,False,True,79.07,"LINESTRING (151.1867929 -33.7968684, 151.1865276 -33.7969506, 151.1861302 -33.7970737, 151.1861094 -33.7970802, 151.1859911 -33.7971168)",,,,,
515480431,,Bertram Street,residential,40,False,True,178.24200000000002,"LINESTRING (151.1867929 -33.7968684, 151.1867577 -33.7967908, 151.1861471 -33.7954434, 151.186113 -33.7953683)",,,,,
515480431,,Bertram Street,residential,40,False,False,178.24200000000002,"LINESTRING (151.186113 -33.7953683, 151.1861471 -33.7954434, 151.1867577 -33.7967908, 151.1867929 -33.7968684)",,,,,
"[515480432, 1137458569]",2,Victoria Avenue,tertiary,40,False,True,76.777,"LINESTRING (151.186113 -33.7953683, 151.1859716 -33.7954125, 151.1856011 -33.7955283, 151.1854547 -33.7955741, 151.1854392 -33.7955789, 151.1853353 -33.7956113)",,,,,
"[11634451, 422603133]",2,Ellis Street,residential,50,False,True,138.70299999999997,"LINESTRING (151.1807657 -33.7995838, 151.1807139 -33.7996, 151.1804358 -33.7996872, 151.1798614 -33.7998673, 151.1794169 -33.799996, 151.1793566 -33.8000135)",,,,,
11634460,4,Help Street,unclassified,40,False,True,28.261,"LINESTRING (151.1811528 -33.795499, 151.1812289 -33.7954256, 151.1813525 -33.7953065)",,,,,
"[173384709, 449485686]","['2', '3']",Orchard Road,residential,40,False,False,66.056,"LINESTRING (151.1811528 -33.795499, 151.1812502 -33.7955918, 151.18126 -33.7956011, 151.1812742 -33.795633, 151.1812804 -33.7956672, 151.1812843 -33.7958078, 151.1812892 -33.7959264, 151.1812964 -33.7960569)",,,,,
"[252433707, 485494502, 485494503]","['4', '5', '6']",Help Street,residential,40,False,False,78.567,"LINESTRING (151.1811528 -33.795499, 151.1811063 -33.7955407, 151.1810179 -33.7955548, 151.1805145 -33.7955653, 151.1804843 -33.79557, 151.180331 -33.7956001)",,,,,
175721034,2,Railway Street,residential,40,False,True,84.377,"LINESTRING (151.180331 -33.7956001, 151.1803296 -33.7954703, 151.1803254 -33.795064, 151.1803173 -33.7948414)",,,,,
257208822,4,Railway Street,residential,40,False,False,81.322,"LINESTRING (151.180331 -33.7956001, 151.1803347 -33.7957398, 151.1803447 -33.796038, 151.1803539 -33.7963312)",,,,,
"[782344427, 79499349, 485494501]","['4', '5']",Help Street,residential,40,False,False,216.81999999999996,"LINESTRING (151.180331 -33.7956001, 151.1802097 -33.795637, 151.1793761 -33.7958902, 151.179036 -33.7959966, 151.1786389 -33.7961219, 151.1785276 -33.7961471, 151.1784866 -33.7961524, 151.17843 -33.7961548, 151.1783476 -33.7961588, 151.1782467 -33.7961314, 151.1782131 -33.7961223, 151.1781145 -33.7960949)",,,,,
"[252433707, 485494502, 485494503]","['4', '5', '6']",Help Street,residential,40,False,True,78.567,"LINESTRING (151.180331 -33.7956001, 151.1804843 -33.79557, 151.1805145 -33.7955653, 151.1810179 -33.7955548, 151.1811063 -33.7955407, 151.1811528 -33.795499)",,,,,
11634642,,McIntosh Street,unclassified,40,False,True,189.556,"LINESTRING (151.1803173 -33.7948414, 151.1802245 -33.7948707, 151.1785139 -33.7954107, 151.1784714 -33.7954037, 151.178394 -33.7953911)",,,,,
175721034,2,Railway Street,residential,40,False,False,84.377,"LINESTRING (151.1803173 -33.7948414, 151.1803254 -33.795064, 151.1803296 -33.7954703, 151.180331 -33.7956001)",,,,,
175721034,2,Railway Street,residential,40,False,True,62.628,"LINESTRING (151.1803173 -33.7948414, 151.1803144 -33.7945827, 151.1802385 -33.79439, 151.1801934 -33.7942954)",,,,,
11634647,,O'Brien Street,residential,40,False,True,53.555,"LINESTRING (151.1798404 -33.7935087, 151.1799239 -33.7934842, 151.1803869 -33.7933484)",,,,,
485494499,2,Railway Street,unclassified,40,False,False,54.867999999999995,"LINESTRING (151.1798404 -33.7935087, 151.1798487 -33.7935237, 151.180052 -33.7939697)",,,,,
485494499,2,Railway Street,unclassified,40,False,True,9.968,"LINESTRING (151.1798404 -33.7935087, 151.1798285 -33.793503, 151.1797448 -33.7934672)",,,,,
11634647,,O'Brien Street,residential,40,False,False,53.555,"LINESTRING (151.1803869 -33.7933484, 151.1799239 -33.7934842, 151.1798404 -33.7935087)",,,,,
11634460,4,Help Street,unclassified,40,False,False,28.261,"LINESTRING (151.1813525 -33.7953065, 151.1812289 -33.7954256, 151.1811528 -33.795499)",,,,,
"[485494504, 11634460]",4,Help Street,unclassified,40,False,True,119.777,"LINESTRING (151.1813525 -33.7953065, 151.1814272 -33.7952564, 151.1815211 -33.7952213, 151.181807 -33.795138, 151.1818681 -33.7951183, 151.1824539 -33.7949294, 151.1825496 -33.7949042)",,,,,
"[514129312, 514129313, 514129314, 514129315, 514129316, 514129317, 217993988, 507704218, 207181758]",,"['Cambridge Lane', 'McIntosh Street']",residential,"['40', '10']",True,False,177.451,"LINESTRING (151.1813525 -33.7953065, 151.1813319 -33.7951907, 151.1813342 -33.7951353, 151.181332 -33.7950716, 151.1813197 -33.79471, 151.1813147 -33.7945622, 151.1813419 -33.7945306, 151.1815215 -33.7944753, 151.1819382 -33.7943469, 151.1819905 -33.7943308, 151.1821694 -33.7942757, 151.1822576 -33.7942497)","['6.9', '3.7']",,,,
"[747894173, 149840199]",4,Anderson Street,tertiary,40,False,False,79.993,"LINESTRING (151.1825496 -33.7949042, 151.1825916 -33.7949722, 151.1826065 -33.7950002, 151.1827991 -33.7954217, 151.1828099 -33.7954739, 151.1828168 -33.7955058, 151.1828461 -33.7955779)",,,,,
"[485494504, 11634460]",4,Help Street,unclassified,40,False,False,119.77699999999999,"LINESTRING (151.1825496 -33.7949042, 151.1824539 -33.7949294, 151.1818681 -33.7951183, 151.181807 -33.795138, 151.1815211 -33.7952213, 151.1814272 -33.7952564, 151.1813525 -33.7953065)",,,,,
507710048,3,Anderson Street,tertiary,40,False,True,77.61800000000001,"LINESTRING (151.1825496 -33.7949042, 151.1825115 -33.7948189, 151.1822576 -33.7942497)",,,,,
12092275,2,Kirk Street,residential,,False,False,132.287,"LINESTRING (151.1831744 -33.7941961, 151.1833885 -33.7941362, 151.1835075 -33.7941029, 151.1836997 -33.7940453, 151.1844133 -33.7938132, 151.1845153 -33.7937802)",,,,,
12092275,2,Kirk Street,residential,,False,True,132.28699999999998,"LINESTRING (151.1845153 -33.7937802, 151.1844133 -33.7938132, 151.1836997 -33.7940453, 151.1835075 -33.7941029, 151.1833885 -33.7941362, 151.1831744 -33.7941961)",,,,,
530500606,4,Archer Street,secondary,40,False,True,48.207,"LINESTRING (151.1845153 -33.7937802, 151.1843677 -33.7934507, 151.1843333 -33.7933739)",12.5,,,,
"[1148395768, 288180338, 1140711573, 1140711575]",4,Archer Street,secondary,40,False,False,158.438,"LINESTRING (151.1845153 -33.7937802, 151.1845826 -33.7939305, 151.1846752 -33.7941374, 151.1848895 -33.7946158, 151.1849566 -33.7947657, 151.1849936 -33.7948483, 151.185032 -33.794934, 151.1851133 -33.7951156)",,,,,
44675512,,Anderson Street,tertiary,40,False,False,77.59100000000001,"LINESTRING (151.1819658 -33.7935954, 151.1821567 -33.7940234, 151.1822576 -33.7942497)",,,,,
99802405,2,Anderson Street,tertiary,40,False,True,78.399,"LINESTRING (151.1819658 -33.7935954, 151.1817812 -33.7931815, 151.1816709 -33.7929343)",,,,,
173384880,,Daisy Street,residential,40,False,False,213.62600000000003,"LINESTRING (151.1819658 -33.7935954, 151.1820597 -33.7935662, 151.1840289 -33.7929523, 151.1841303 -33.7929207)",,,,,
288180470,,Day Street,residential,40,False,True,53.495000000000005,"LINESTRING (151.1819658 -33.7935954, 151.1818834 -33.7936211, 151.1814238 -33.7937644)",,,,,
99802405,2,Anderson Street,tertiary,40,False,False,21.085,"LINESTRING (151.1815916 -33.7927565, 151.1816709 -33.7929343)",,,,,
99802405,2,Anderson Street,tertiary,40,False,True,54.906000000000006,"LINESTRING (151.1815916 -33.7927565, 151.1814051 -33.7923385, 151.1813851 -33.7922935)",,,,,
822096210,,Jenkins Street,residential,50,False,False,44.856,"LINESTRING (151.1760742 -33.7972509, 151.1762277 -33.7976336)",,,,,
822096210,,Jenkins Street,residential,50,False,True,44.856,"LINESTRING (151.1762277 -33.7976336, 151.1760742 -33.7972509)",,,,,
575174753,,Jenkins Street,residential,50,True,False,58.86299999999999,"LINESTRING (151.1762277 -33.7976336, 151.1762499 -33.7977198, 151.1763169 -33.7977933, 151.1763596 -33.7979219, 151.1763143 -33.7979805, 151.1763167 -33.7980513, 151.1763834 -33.798102)",,,,,
"[1068741096, 1151169581]",2,Freeman Road,unclassified,50,False,False,62.263000000000005,"LINESTRING (151.176883 -33.800229, 151.1771808 -33.8002028, 151.1774249 -33.8001808, 151.177553 -33.8001693)",,,,,
"[1068741096, 12270842, 1151169582]",2,Freeman Road,unclassified,50,False,True,158.568,"LINESTRING (151.1792611 -33.8000332, 151.1791653 -33.8000367, 151.1789641 -33.8000533, 151.1786881 -33.8000761, 151.1785149 -33.8000904, 151.1784411 -33.8000965, 151.1780932 -33.8001252, 151.1780446 -33.8001292, 151.1776672 -33.80016, 151.177553 -33.8001693)",,,,,
181920797,3,Pacific Highway,trunk,60,True,False,82.09499999999998,"LINESTRING (151.1792611 -33.8000332, 151.1789728 -33.7994446, 151.1789606 -33.7994199, 151.1789255 -33.7993496)",,A1,,,
12270843,2,Oliver Road,unclassified,50,False,False,77.928,"LINESTRING (151.1766219 -33.7995781, 151.1774608 -33.7995061)",,,,,
175720144,2,Whitton Road,residential,50,False,True,74.244,"LINESTRING (151.177553 -33.8001693, 151.1775489 -33.8001161, 151.1774608 -33.7995061)",,,,,
"[1068741096, 12270842, 1151169582]",2,Freeman Road,unclassified,50,False,False,158.56799999999998,"LINESTRING (151.177553 -33.8001693, 151.1776672 -33.80016, 151.1780446 -33.8001292, 151.1780932 -33.8001252, 151.1784411 -33.8000965, 151.1785149 -33.8000904, 151.1786881 -33.8000761, 151.1789641 -33.8000533, 151.1791653 -33.8000367, 151.1792611 -33.8000332)",,,,,
"[1068741096, 1151169581]",2,Freeman Road,unclassified,50,False,True,62.263,"LINESTRING (151.177553 -33.8001693, 151.1774249 -33.8001808, 151.1771808 -33.8002028, 151.176883 -33.800229)",,,,,
"[485494480, 207181769]","['2', '3']",Spring Street,unclassified,40,False,True,162.167,"LINESTRING (151.1850916 -33.7973967, 151.1850548 -33.7973173, 151.1849518 -33.7970852, 151.1849233 -33.7970211, 151.1847828 -33.7967044, 151.1846107 -33.7963167, 151.1844908 -33.7960265)",,,,,
"[485494510, 485494479]",5,Albert Avenue,secondary,40,False,False,88.75300000000001,"LINESTRING (151.1850916 -33.7973967, 151.1851828 -33.7973683, 151.1855031 -33.7972687, 151.1858591 -33.7971579, 151.1858863 -33.7971494, 151.1859911 -33.7971168)",,,,,
"[550551376, 550551375]",4,Albert Avenue,secondary,40,False,True,110.087,"LINESTRING (151.1850916 -33.7973967, 151.1849944 -33.797427, 151.1848777 -33.7974633, 151.1841191 -33.7976993, 151.1840648 -33.7977162, 151.1839759 -33.7977439)",,,,,
422599787,,Claude Street,residential,,False,True,169.954,"LINESTRING (151.1855199 -33.798018, 151.1856306 -33.7982726, 151.1856592 -33.7983385, 151.1861113 -33.7993784, 151.1861448 -33.7994555)",,,,,
149824238,2,Katherine Street,residential,40,False,False,93.27000000000001,"LINESTRING (151.1793093 -33.7974023, 151.1793361 -33.7974694, 151.1796127 -33.7982023)",,,,,
398289824,3,Victoria Avenue,residential,40,False,False,95.07000000000001,"LINESTRING (151.1793093 -33.7974023, 151.1784497 -33.7976643, 151.1784161 -33.7976735, 151.1783414 -33.7976918)",,,,,
"[175721035, 1251103710, 149824239]",2,"['Railway Street', 'Victoria Avenue']",residential,40,False,True,185.123,"LINESTRING (151.1793093 -33.7974023, 151.1795572 -33.7973248, 151.1802766 -33.7971, 151.1803129 -33.7970853, 151.1803409 -33.7970649, 151.1803628 -33.7970365, 151.1803765 -33.7970053, 151.1803793 -33.796979, 151.1803645 -33.7967385, 151.1803539 -33.7963312)",,,,,
"[11634451, 422603133]",2,Ellis Street,residential,50,False,False,138.703,"LINESTRING (151.1793566 -33.8000135, 151.1794169 -33.799996, 151.1798614 -33.7998673, 151.1804358 -33.7996872, 151.1807139 -33.7996, 151.1807657 -33.7995838)",,,,,
446940814,,Albert Avenue,secondary,,False,False,9.181,"LINESTRING (151.1789255 -33.7993496, 151.1790088 -33.7993046)",,,,,
"[503367546, 173386443, 963373307]",1,Oliver Road,residential,50,True,False,137.235,"LINESTRING (151.1789255 -33.7993496, 151.1788578 -33.7993841, 151.1784714 -33.7994315, 151.178061 -33.7994644, 151.1775291 -33.7995084, 151.1774608 -33.7995061)",,,,,
"[575738177, 729512389]",2,Pacific Highway,trunk,60,True,False,61.403,"LINESTRING (151.1789255 -33.7993496, 151.1788315 -33.7991614, 151.1787137 -33.7989169, 151.178676 -33.7988378)",,A1,,,
"[181920793, 607809924]",3,Pacific Highway,trunk,60,True,False,78.12100000000001,"LINESTRING (151.1794818 -33.80071, 151.1794667 -33.8006437, 151.179425 -33.800461, 151.1793465 -33.8002362, 151.1792611 -33.8000332)",,A1,,,
"[877437673, 175715890, 1149373515, 815812758]",2,Eddy Road,residential,50,False,True,253.949,"LINESTRING (151.1794818 -33.80071, 151.1794342 -33.800716, 151.1794095 -33.8007167, 151.1791642 -33.800741, 151.1790564 -33.8007502, 151.1786782 -33.8007823, 151.1782474 -33.8008189, 151.1781341 -33.8008285, 151.1777148 -33.8008641, 151.177663 -33.8008725, 151.177622 -33.8008777, 151.1771052 -33.8009221, 151.1767494 -33.8009526)",,,,,
173386528,,Brown Street,residential,,True,False,8.196,"LINESTRING (151.1780289 -33.7970174, 151.178116 -33.7970035)",,,,,
181889091,3,Pacific Highway,trunk,60,True,False,106.95,"LINESTRING (151.1780289 -33.7970174, 151.1779682 -33.7967012, 151.1779382 -33.7964708, 151.1779431 -33.7963507, 151.1779682 -33.7962167, 151.1779753 -33.7961824, 151.1780112 -33.7960669)",,A1,,,
575738174,,Centennial Avenue,residential,,False,False,9.058,"LINESTRING (151.1787734 -33.7988286, 151.178676 -33.7988378)",,,,,
"[181920798, 729512391]",5,Pacific Highway,trunk,60,True,False,57.256,"LINESTRING (151.1787734 -33.7988286, 151.1789147 -33.7991351, 151.1789435 -33.7991896, 151.1790088 -33.7993046)",,A1,,,
181889074,4,,primary,50,False,True,10.04,"LINESTRING (151.1781145 -33.7960949, 151.1780112 -33.7960669)",,A38,,,
"[485494501, 782344427, 79499349]","['4', '5']",Help Street,residential,40,False,True,216.82000000000002,"LINESTRING (151.1781145 -33.7960949, 151.1782131 -33.7961223, 151.1782467 -33.7961314, 151.1783476 -33.7961588, 151.17843 -33.7961548, 151.1784866 -33.7961524, 151.1785276 -33.7961471, 151.1786389 -33.7961219, 151.179036 -33.7959966, 151.1793761 -33.7958902, 151.1802097 -33.795637, 151.180331 -33.7956001)",,,,,
172874672,3,Pacific Highway,trunk,60,True,False,102.087,"LINESTRING (151.1781145 -33.7960949, 151.1780826 -33.796207, 151.1780634 -33.7962779, 151.1780523 -33.7963522, 151.1780466 -33.7964202, 151.178047 -33.7964841, 151.1780489 -33.7965945, 151.1780617 -33.7967007, 151.178116 -33.7970035)",,A1,,,
181889074,4,,primary,50,False,False,10.04,"LINESTRING (151.1780112 -33.7960669, 151.1781145 -33.7960949)",,A38,,,
"[485660593, 782116901, 172868958]","['4', '5']",Fullers Road,primary,50,False,True,119.955,"LINESTRING (151.1780112 -33.7960669, 151.177889 -33.7960379, 151.1778507 -33.7960264, 151.1774011 -33.7958913, 151.1772956 -33.7958585, 151.1769934 -33.7957644, 151.1768958 -33.7957463, 151.1767799 -33.7957338)",,A38,,,
"[729512392, 782340428, 786459116, 172874673, 575699219]",3,Pacific Highway,trunk,60,True,False,332.33,"LINESTRING (151.1780112 -33.7960669, 151.1780603 -33.7959522, 151.1782095 -33.7955765, 151.1783128 -33.7953157, 151.1783563 -33.7952306, 151.1784478 -33.7950518, 151.1785585 -33.7948667, 151.1785744 -33.7948401, 151.178732 -33.7946293, 151.1790485 -33.7942354, 151.1791352 -33.7941275, 151.1795801 -33.7935613, 151.179595 -33.7935407, 151.1796594 -33.7934313)",,A1;A38,,,
"[1154869475, 254613350, 465533895, 485494488, 79667193, 485494491, 422603134]","['4', '5']",Albert Avenue,secondary,"['40', '50']",False,True,294.581,"LINESTRING (151.1819875 -33.7983626, 151.1819012 -33.7983895, 151.1813124 -33.7985727, 151.181201 -33.7986074, 151.1807748 -33.79874, 151.1806857 -33.7987677, 151.1801797 -33.7989252, 151.1799248 -33.7990045, 151.179463 -33.7991482, 151.1791064 -33.7992629, 151.1790754 -33.7992734, 151.1790088 -33.7993046)",,,,,
"[4567569, 522073679]",2,Orchard Road,tertiary,"['40', '50']",False,False,257.77,"LINESTRING (151.1819875 -33.7983626, 151.182025 -33.7984487, 151.1821586 -33.7987566, 151.1823564 -33.7992121, 151.1826091 -33.7997942, 151.1826189 -33.7998888, 151.1826118 -33.8000161, 151.1825513 -33.8003727, 151.1825135 -33.8005841)",,,,,
"[485494490, 527689967]","['4', '5']",Albert Avenue,secondary,40,False,False,86.422,"LINESTRING (151.1819875 -33.7983626, 151.1820594 -33.7983403, 151.1823819 -33.7982399, 151.1824827 -33.7982085, 151.182791 -33.7981126, 151.1828634 -33.7980901)",,,,,
"[485494490, 527689967]","['4', '5']",Albert Avenue,secondary,40,False,True,86.42199999999998,"LINESTRING (151.1828634 -33.7980901, 151.182791 -33.7981126, 151.1824827 -33.7982085, 151.1823819 -33.7982399, 151.1820594 -33.7983403, 151.1819875 -33.7983626)",,,,,
"[485494512, 485494511]","['4', '5']",Albert Avenue,secondary,40,False,False,109.77000000000001,"LINESTRING (151.1828634 -33.7980901, 151.1829487 -33.7980635, 151.1830402 -33.7980351, 151.1834902 -33.797895, 151.1838572 -33.7977809, 151.1838899 -33.7977707, 151.1839759 -33.7977439)",,,,,
"[4827019, 525881142, 525881143]","['2', '4']",Victor Street,residential,"['40', '50']",False,True,169.757,"LINESTRING (151.1828634 -33.7980901, 151.1829037 -33.7981888, 151.1830994 -33.7986257, 151.1832051 -33.7988675, 151.1832343 -33.7989344, 151.1833745 -33.7992546, 151.1833936 -33.7992988, 151.1834301 -33.799383, 151.183442 -33.7994334, 151.183438 -33.7995326)",,,,,
"[522073676, 876052631]","['2', '3']",Victor Street,residential,40,False,False,139.865,"LINESTRING (151.1828634 -33.7980901, 151.1828286 -33.7980061, 151.1827533 -33.7978245, 151.1826982 -33.7976919, 151.1826091 -33.797477, 151.1823702 -33.7969009)",,,,,
"[173384417, 1023899434, 422603131]",,Chapman Avenue,residential,,False,False,97.356,"LINESTRING (151.1815305 -33.8008987, 151.1816427 -33.8008688, 151.1817953 -33.8008179, 151.1824473 -33.8006073, 151.1825135 -33.8005841)",,,,,
390711954,,,residential,50,True,False,9.082999999999998,"LINESTRING (151.1852443 -33.7997376, 151.1852384 -33.7997178, 151.1852409 -33.7996975, 151.1852515 -33.799679, 151.185269 -33.7996647)",,,roundabout,,
"[173385326, 1023899430]",,Johnson Street,residential,50,False,True,90.471,"LINESTRING (151.1852443 -33.7997376, 151.1850225 -33.7998138, 151.1843299 -33.8000282)",,,,,
173384498,2,Devonshire Street,residential,,False,False,90.12100000000001,"LINESTRING (151.1846431 -33.7983304, 151.1846941 -33.7984425, 151.1847615 -33.7985907, 151.1848235 -33.798727, 151.184988 -33.7990885)",,,,,
173384405,,Tryon Street,residential,50,False,False,81.763,"LINESTRING (151.1834508 -33.8009921, 151.1835905 -33.8003853, 151.183605 -33.8003309, 151.1836136 -33.8002987, 151.1836176 -33.8002701)",,,,,
