osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,bridge
201755292,,Honvéd utca,residential,,False,False,58.989000000000004,"LINESTRING (21.386775 46.7408236, 21.3865054 46.7410083, 21.3862132 46.7411883)",,
"[201365128, 276972997]",,"['Zsarói Nagy utca', 'Kastély utca']",residential,,False,False,327.74700000000007,"LINESTRING (21.3852217 46.7418031, 21.3855988 46.7420771, 21.3857923 46.7421943, 21.3859079 46.7422643, 21.3860569 46.7423891, 21.3861562 46.742633, 21.3862114 46.7428429, 21.3862395 46.7429126, 21.3863162 46.7429223, 21.3870888 46.7428296, 21.3876986 46.7427824, 21.3878973 46.7428088, 21.3881043 46.7428901, 21.3883314 46.7430687, 21.3883674 46.743097)",,
201365128,,Zsarói Nagy utca,residential,,False,True,178.35500000000002,"LINESTRING (21.3852217 46.7418031, 21.3850194 46.7416819, 21.3845917 46.7414531, 21.3835128 46.7409085, 21.38335 46.7408423)",,
201755292,,Honvéd utca,residential,,False,True,77.452,"LINESTRING (21.3852217 46.7418031, 21.385472 46.7416447, 21.3859746 46.7413352)",,
201755224,,Szondy utca,residential,,False,False,194.981,"LINESTRING (21.377152 46.7418305, 21.3772242 46.7419177, 21.3773832 46.7423247, 21.3778766 46.7432722, 21.3779904 46.7434842)",,
201755269,,Árpád utca,residential,,False,True,122.24899999999998,"LINESTRING (21.377152 46.7418305, 21.3771902 46.7418014, 21.3773881 46.7415567, 21.3776754 46.7411931, 21.3778802 46.7409164, 21.3779303 46.7408712)",,
201365152,4219,Kossuth utca,secondary,50,False,False,103.146,"LINESTRING (21.3798199 46.7422291, 21.380562 46.7427128, 21.3807996 46.7428692)",,
201365152,4219,Kossuth utca,secondary,50,False,True,209.28499999999997,"LINESTRING (21.3798199 46.7422291, 21.3789142 46.7416388, 21.3781788 46.7410138, 21.378082 46.7409481, 21.3780058 46.7409075, 21.3779303 46.7408712)",,
201755244,,Bihar utca,residential,,False,True,141.075,"LINESTRING (21.3798199 46.7422291, 21.3797487 46.7422786, 21.3788786 46.7428834, 21.3785152 46.7431292)",,
201755244,,Bihar utca,residential,,False,True,56.19,"LINESTRING (21.3785152 46.7431292, 21.3779904 46.7434842)",,
201755244,,Bihar utca,residential,,False,False,141.07500000000002,"LINESTRING (21.3785152 46.7431292, 21.3788786 46.7428834, 21.3797487 46.7422786, 21.3798199 46.7422291)",,
201755246,,Veress Ferenc utca,residential,,False,True,91.707,"LINESTRING (21.3785152 46.7431292, 21.37925 46.7434528, 21.3795199 46.743583)",,
201755244,,Bihar utca,residential,,False,False,56.19,"LINESTRING (21.3779904 46.7434842, 21.3785152 46.7431292)",,
201755224,,Szondy utca,residential,,False,True,194.981,"LINESTRING (21.3779904 46.7434842, 21.3778766 46.7432722, 21.3773832 46.7423247, 21.3772242 46.7419177, 21.377152 46.7418305)",,
276483606,,Dobó utca,residential,,False,False,335.429,"LINESTRING (21.3779904 46.7434842, 21.3781382 46.7437078, 21.3782725 46.7442663, 21.378451 46.7446689, 21.3787756 46.7453027, 21.3794012 46.7463294)",,
201365152,4219,Kossuth utca,secondary,50,False,False,52.209,"LINESTRING (21.382279 46.7434882, 21.3828698 46.743726)",,
201365152,4219,Kossuth utca,secondary,50,False,True,132.137,"LINESTRING (21.382279 46.7434882, 21.3819628 46.7433609, 21.3811661 46.7430403, 21.3807996 46.7428692)",,
201755385,,Stefánia utca,residential,,False,False,172.17600000000002,"LINESTRING (21.382279 46.7434882, 21.3822235 46.7435489, 21.3821257 46.743637, 21.3817697 46.7437982, 21.381317 46.7440315, 21.3809164 46.7442449, 21.3805124 46.7444385)",,
201755246,,Veress Ferenc utca,residential,,False,True,121.526,"LINESTRING (21.3795199 46.743583, 21.3805124 46.7444385)",,
201755246,,Veress Ferenc utca,residential,,False,False,91.707,"LINESTRING (21.3795199 46.743583, 21.37925 46.7434528, 21.3785152 46.7431292)",,
201755308,,Kürt utca,residential,,False,True,125.73700000000001,"LINESTRING (21.3795199 46.743583, 21.3802593 46.7431637, 21.3807043 46.7429212, 21.3807996 46.7428692)",,
201755246,,Veress Ferenc utca,residential,,False,False,121.526,"LINESTRING (21.3805124 46.7444385, 21.3795199 46.743583)",,
