osmid,oneway,lanes,name,highway,maxspeed,reversed,length,bridge,geometry,ref
"[101386650, 136106564]",False,,"['Stúdium tér', 'Kós Károly utca']",residential,,False,132.328,,"LINESTRING (18.3997595 47.5865659, 18.3996586 47.5867029, 18.3995436 47.5868576, 18.3991655 47.5873663, 18.3991279 47.587421, 18.3990207 47.5875654, 18.3989744 47.5876316)",
334471074,False,,Béla király körtér,residential,,True,18.889,,"LINESTRING (18.4002628 47.5845086, 18.400408 47.5843698)",
227022471,True,,Béla király körtér,residential,,False,67.776,,"LINESTRING (18.4002628 47.5845086, 18.4002439 47.5845802, 18.4002394 47.5845971, 18.4000918 47.5851071)",
120660162,True,,,tertiary_link,,False,41.925999999999995,,"LINESTRING (18.3962528 47.5834557, 18.396457 47.5834651, 18.3965913 47.5834451, 18.396677 47.5834105, 18.3967808 47.5833742)",
334471085,True,,Dózsa György út,tertiary_link,,False,33.684999999999995,,"LINESTRING (18.3962528 47.5834557, 18.3965023 47.5835878, 18.396564 47.5836276, 18.3965862 47.5836552)",
334471150,False,,Mozdony út,residential,50,False,31.717,,"LINESTRING (18.394297 47.5860498, 18.3946744 47.5861785)",
120660160,False,,,residential,,False,41.518,,"LINESTRING (18.394297 47.5860498, 18.3944423 47.5860568, 18.394547 47.5860571, 18.3946571 47.5860521, 18.3947323 47.5860264, 18.394825 47.5859883)",
241661601,False,,Mozdony út,residential,50,True,74.368,,"LINESTRING (18.394297 47.5860498, 18.3940695 47.5859712, 18.3939695 47.5859381, 18.3938549 47.5859031, 18.3935595 47.5858217, 18.3933926 47.5857768)",
160251079,False,,,residential,,False,238.75999999999996,,"LINESTRING (18.3996038 47.5802593, 18.4002569 47.5803218, 18.4005171 47.5803534, 18.4006887 47.5804266, 18.4006767 47.5805931, 18.4005319 47.5812417, 18.4003281 47.5813394, 18.3998994 47.581305, 18.3997456 47.5812927)",
160251080,False,,,residential,,False,171.861,,"LINESTRING (18.399969 47.5817836, 18.4006096 47.5818453, 18.4013434 47.581916, 18.4014687 47.5819397, 18.4015721 47.5819816, 18.4016562 47.5820307, 18.4020489 47.5822817)",
160251079,False,,,residential,,True,238.75999999999996,,"LINESTRING (18.3997456 47.5812927, 18.3998994 47.581305, 18.4003281 47.5813394, 18.4005319 47.5812417, 18.4006767 47.5805931, 18.4006887 47.5804266, 18.4005171 47.5803534, 18.4002569 47.5803218, 18.3996038 47.5802593)",
"[892109456, 186836485]",False,,Szent Borbála tér,residential,,False,121.44299999999998,,"LINESTRING (18.3997456 47.5812927, 18.3998005 47.581081, 18.3998057 47.5810608, 18.3998134 47.5809768, 18.3997886 47.5809074, 18.3997389 47.5808261, 18.3996503 47.580764, 18.3994083 47.5806366, 18.3992484 47.5805518, 18.3992219 47.5805377, 18.3991657 47.5805158, 18.3990075 47.5804697)",
"[892109457, 186836485]",False,,Szent Borbála tér,residential,,True,224.06300000000005,,"LINESTRING (18.3997456 47.5812927, 18.399707 47.5814352, 18.3993016 47.5829302, 18.3992699 47.5830664, 18.3992752 47.5831768, 18.3993164 47.583275)",
101079191,False,,Mártírok útja,residential,,True,41.763,,"LINESTRING (18.4037584 47.5810893, 18.4033746 47.5813614)",
160251083,False,,,residential,,True,162.40200000000002,,"LINESTRING (18.4037584 47.5810893, 18.4035811 47.5809503, 18.4034548 47.5808911, 18.4033043 47.5808419, 18.4031621 47.5808121, 18.4024304 47.58073, 18.4017553 47.5806665)",
160251083,False,,,residential,,False,162.402,,"LINESTRING (18.4017553 47.5806665, 18.4024304 47.58073, 18.4031621 47.5808121, 18.4033043 47.5808419, 18.4034548 47.5808911, 18.4035811 47.5809503, 18.4037584 47.5810893)",
108738864,True,2,Győri út,tertiary,50,False,110.944,,"LINESTRING (18.3966265 47.5837596, 18.3965612 47.5838575, 18.3959826 47.5846578)",
227682724,True,2,Győri út,secondary,50,False,222.32099999999997,,"LINESTRING (18.3933982 47.5879831, 18.3943794 47.5866009, 18.3946744 47.5861785)",8109
101079191,False,,Mártírok útja,residential,,False,235.69099999999997,,"LINESTRING (18.3993164 47.583275, 18.3993886 47.5832429, 18.3994539 47.5832231, 18.399616 47.5831823, 18.4002659 47.5830498, 18.4005554 47.582972, 18.4008491 47.5828789, 18.4012115 47.5827312, 18.401493 47.5826037, 18.4017434 47.5824753, 18.4020489 47.5822817)",
186836484,False,,Komáromi utca,residential,,True,112.97999999999999,,"LINESTRING (18.3993164 47.583275, 18.3992602 47.5833106, 18.3992036 47.5834109, 18.398981 47.5840843, 18.3989359 47.5842483)",
"[892109457, 186836485]",False,,Szent Borbála tér,residential,,False,224.06300000000002,,"LINESTRING (18.3993164 47.583275, 18.3992752 47.5831768, 18.3992699 47.5830664, 18.3993016 47.5829302, 18.399707 47.5814352, 18.3997456 47.5812927)",
264390059,False,,Fő tér,residential,,False,16.933,,"LINESTRING (18.3980717 47.582164, 18.3980037 47.5821474, 18.3978594 47.5821122)",
