osmid,lanes,name,highway,maxspeed,oneway,reversed,length,geometry,ref
149748857,2,,residential,,False,False,9.801,"LINESTRING (-7.1037567 53.4560788, -7.1036584 53.4561447)",
149748857,2,,residential,,False,True,66.743,"LINESTRING (-7.1037567 53.4560788, -7.1044389 53.4556369)",
149748861,2,,residential,,False,False,17.807,"LINESTRING (-7.100828 53.4560902, -7.1007135 53.4562351)",
"[149748868, 149748839]",2,,"['residential', 'unclassified']",50,False,False,170.99099999999999,"LINESTRING (-7.100828 53.4560902, -7.1015644 53.4563285, -7.1019101 53.4558778, -7.1021869 53.4555402, -7.1022783 53.4554773, -7.102371 53.4554135)",
149748861,2,,residential,,False,True,74.554,"LINESTRING (-7.100828 53.4560902, -7.1012014 53.4556177, -7.1009795 53.4555504)",
149748848,2,,residential,,False,True,16.591,"LINESTRING (-7.1069035 53.4591866, -7.1070977 53.4592809)",
149748846,2,,residential,50,False,False,181.29199999999997,"LINESTRING (-7.1069035 53.4591866, -7.1071345 53.4590034, -7.1071345 53.4589076, -7.1063763 53.4586228, -7.1063612 53.458548, -7.1064508 53.4585179, -7.107362 53.4588482)",
149748846,2,,residential,50,False,True,108.661,"LINESTRING (-7.1069035 53.4591866, -7.1064279 53.4595473, -7.1058899 53.4599552)",
149748797,,,residential,,False,True,13.436,"LINESTRING (-7.1082798 53.4596921, -7.1084434 53.4597636)",
149757341,2,,residential,,False,True,13.64,"LINESTRING (-7.1082798 53.4596921, -7.1081624 53.4597929)",
149757341,2,,residential,,False,False,301.817,"LINESTRING (-7.1082798 53.4596921, -7.1083468 53.4596422, -7.108615 53.4596231, -7.1089616 53.4597607, -7.1093381 53.4599086, -7.1093962 53.460038, -7.1093962 53.4601786, -7.1093656 53.4602676, -7.1092687 53.4603269, -7.1089892 53.4603285, -7.1083915 53.4600375, -7.1072005 53.4594853)",
149748838,2,,residential,30,False,True,9.807,"LINESTRING (-7.1117863 53.4571147, -7.1116765 53.4570555)",
149748880,,,residential,,False,True,8.459,"LINESTRING (-7.1117863 53.4571147, -7.1117084 53.457175)",
"[149757340, 149748838]",2,,residential,30,False,False,130.657,"LINESTRING (-7.1117863 53.4571147, -7.1120671 53.457293, -7.1120866 53.4573685, -7.1120328 53.4574174, -7.1119694 53.4574533, -7.1118772 53.4574701, -7.1117882 53.4574677, -7.1115638 53.4573404, -7.1114507 53.4572752, -7.1113391 53.4572316, -7.1112113 53.4572216, -7.1110559 53.4572452, -7.110904 53.4572949)",
"[66668827, 92030647]",2,Mullingar Road,secondary,60,False,False,174.122,"LINESTRING (-7.1083867 53.4583317, -7.1101421 53.4589813, -7.1106224 53.4591564)",R148
92030647,2,Mullingar Road,secondary,60,False,True,99.81700000000001,"LINESTRING (-7.1083867 53.4583317, -7.1080215 53.4581966, -7.1077465 53.4580955, -7.1071376 53.4578302)",R148
149757362,2,,residential,,False,True,136.11200000000002,"LINESTRING (-7.1083867 53.4583317, -7.1083533 53.4583604, -7.1080737 53.4586002, -7.1077138 53.4588054, -7.1076255 53.4588735, -7.1073183 53.4591106, -7.1070977 53.4592809)",
149748822,2,,residential,50,False,False,86.005,"LINESTRING (-7.1049392 53.4589781, -7.105025 53.4589136, -7.1047305 53.4588285, -7.1043619 53.4586146, -7.1041351 53.4584812)",
149748802,,,residential,,False,False,47.294,"LINESTRING (-7.1032345 53.4557886, -7.1037567 53.4560788)",
