osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,name,bridge,tunnel
"[944079574, 23454590]",False,2,L4015,tertiary,50,False,110.584,"LINESTRING (-6.986572 52.9916485, -6.9866473 52.9916307, -6.9866841 52.991622, -6.9867297 52.9916112, -6.9871059 52.9915223, -6.9872984 52.9915021, -6.9881684 52.9914106)",Duke Street,,
"[1175967740, 23454590, 23454591]",False,2,L4015,tertiary,50,True,159.303,"LINESTRING (-6.986572 52.9916485, -6.9862047 52.9917392, -6.9857311 52.9918267, -6.9855245 52.991871, -6.9854162 52.9918944, -6.9853407 52.9919108, -6.9851885 52.9919423, -6.9844535 52.9920983, -6.9843315 52.9921298)","['Leinster Street', 'Crom-a-Boo Bridge', 'Duke Street']",yes,
23880868,False,,,unclassified,50,False,28.924,"LINESTRING (-6.986572 52.9916485, -6.9865554 52.9916197, -6.9864306 52.9914027)",Convent Lane,,
1153884893,False,2,L4015,tertiary,50,True,14.236,"LINESTRING (-6.9778775 52.9929168, -6.9780894 52.9929057)",Leinster Street,,
23860054,True,1,L4015,tertiary,50,False,54.471000000000004,"LINESTRING (-6.9778775 52.9929168, -6.9774549 52.9929115, -6.977064 52.9929199)",,,
1082409452,False,2,R417,secondary,50,True,14.338,"LINESTRING (-6.9827827 52.9914204, -6.9828549 52.9915418)",Emily Square,,
"[23454595, 23992163]",False,2,R417,secondary,50,False,75.418,"LINESTRING (-6.9827827 52.9914204, -6.9825553 52.9911288, -6.9823949 52.9909488, -6.9822896 52.9908108)","['Emily Row', 'Offaly Street']",,
"[976971256, 976971193]",False,2,,tertiary,50,False,72.442,"LINESTRING (-6.9827827 52.9914204, -6.98284 52.9914145, -6.9829287 52.9914212, -6.9832753 52.9915065, -6.9835257 52.9915707, -6.9837875 52.9916432)",Barrow Quay,,
23396559,False,2,,tertiary,50,True,68.20400000000001,"LINESTRING (-6.9843315 52.9921298, -6.9843151 52.9921023, -6.9842737 52.9920326, -6.9841522 52.9918587, -6.9840168 52.9917133, -6.9837875 52.9916432)",Barrow Quay,,
"[37281866, 944079572]",False,2,L4015,tertiary,50,True,43.759,"LINESTRING (-6.9843315 52.9921298, -6.9842259 52.9921553, -6.9840151 52.9922063, -6.9837212 52.9922708)",Leinster Street,,
"[1175967740, 23454590, 23454591]",False,2,L4015,tertiary,50,False,159.303,"LINESTRING (-6.9843315 52.9921298, -6.9844535 52.9920983, -6.9851885 52.9919423, -6.9853407 52.9919108, -6.9854162 52.9918944, -6.9855245 52.991871, -6.9857311 52.9918267, -6.9862047 52.9917392, -6.986572 52.9916485)","['Duke Street', 'Crom-a-Boo Bridge', 'Leinster Street']",yes,
"[102137168, 23425111]",False,2,,residential,,False,129.178,"LINESTRING (-6.9794236 52.992727, -6.9791403 52.9918478, -6.9790645 52.9915856)","[""Saint Michael's Court"", ""Saint Michael's Terrace""]",,
24854204,False,2,L4015,tertiary,50,False,27.019,"LINESTRING (-6.9794236 52.992727, -6.9796834 52.9927375, -6.9798143 52.9927726)",,,
24854204,False,2,L4015,tertiary,50,True,58.304,"LINESTRING (-6.9794236 52.992727, -6.9791902 52.9927265, -6.9785531 52.9927432)",,,
23425112,False,,,residential,,False,17.698,"LINESTRING (-6.9790645 52.9915856, -6.9793243 52.991556)",Saint Michael's Court,,
23425112,False,,,residential,,True,6.042,"LINESTRING (-6.9790645 52.9915856, -6.9789758 52.9915957)",Saint Michael's Court,,
"[102137168, 23425111]",False,2,,residential,,True,129.178,"LINESTRING (-6.9790645 52.9915856, -6.9791403 52.9918478, -6.9794236 52.992727)","[""Saint Michael's Court"", ""Saint Michael's Terrace""]",,
23425112,False,,,residential,,True,17.698,"LINESTRING (-6.9793243 52.991556, -6.9790645 52.9915856)",Saint Michael's Court,,
23425112,False,,,residential,,False,6.042,"LINESTRING (-6.9789758 52.9915957, -6.9790645 52.9915856)",Saint Michael's Court,,
23992163,False,2,R417,secondary,50,True,43.945,"LINESTRING (-6.9817023 52.9899993, -6.9819463 52.9903662)",Offaly Street,,
23454596,False,2,R417,secondary,50,False,171.196,"LINESTRING (-6.9817023 52.9899993, -6.9815031 52.9897387, -6.981202 52.9892359, -6.9811596 52.9891651, -6.9810831 52.9890373, -6.9810246 52.9889396, -6.9807906 52.9885617)",Carlow Road,,
1086390035,False,2,,tertiary,50,True,135.522,"LINESTRING (-6.9817023 52.9899993, -6.9816245 52.9900152, -6.9804435 52.9902561, -6.9799447 52.9903579, -6.9797847 52.9903905)",Church Road,,
424246579,False,2,R417,secondary,50,False,57.528,"LINESTRING (-6.9838276 52.9933511, -6.9836177 52.9928494)",Stanhope Street,,
23450785,False,2,,tertiary,50,False,132.637,"LINESTRING (-6.9838276 52.9933511, -6.9837312 52.9933565, -6.9832032 52.993386, -6.9828673 52.9934043, -6.9822809 52.9934557, -6.9818561 52.9934545)",Stanhope Place,,
25423150,False,,,tertiary,50,True,163.158,"LINESTRING (-6.9794646 52.9936102, -6.9796657 52.9936429, -6.9798641 52.9936293, -6.9802631 52.9935684, -6.9805213 52.9935297, -6.9811023 52.993447, -6.981377 52.9934379, -6.9816871 52.9934467, -6.9817914 52.9934515, -6.9818561 52.9934545)",Mount Hawkins,,
25423151,False,2,,tertiary,50,False,90.232,"LINESTRING (-6.9794646 52.9936102, -6.9793348 52.9935352, -6.9792753 52.9934792, -6.9790625 52.993095, -6.9789828 52.9928683)",Kirwan's Lane,,
40273008,False,,,residential,,False,20.451999999999998,"LINESTRING (-6.9794646 52.9936102, -6.9794339 52.9937143, -6.9794734 52.9937888)",Convent View,,
23391707,False,2,L4015,tertiary,50,False,59.94,"LINESTRING (-6.9789828 52.9928683, -6.9780894 52.9929057)",Leinster Street,,
23391707,False,2,L4015,tertiary,50,True,56.804,"LINESTRING (-6.9789828 52.9928683, -6.9795314 52.992821, -6.9796557 52.9928044, -6.9798143 52.9927726)",Leinster Street,,
25423151,False,2,,tertiary,50,True,90.23200000000001,"LINESTRING (-6.9789828 52.9928683, -6.9790625 52.993095, -6.9792753 52.9934792, -6.9793348 52.9935352, -6.9794646 52.9936102)",Kirwan's Lane,,
23576941,False,,,unclassified,,False,25.519,"LINESTRING (-6.9907382 52.9909063, -6.9905119 52.9907216)",Canalside,,
"[1125850352, 335831185, 23576757, 1125850351]",False,2,R428,secondary,50,True,28.719999999999995,"LINESTRING (-6.9907382 52.9909063, -6.9906099 52.9909345, -6.9905246 52.9909536, -6.9903926 52.9909873, -6.9903395 52.9910015)","['William Street', 'William Street Upper', 'Augustus Bridge']",yes,
"[978137889, 1098378676, 24686814]",False,2,,unclassified,50,True,156.85999999999999,"LINESTRING (-6.9857353 52.9924259, -6.9860226 52.9923825, -6.9861834 52.9923738, -6.9863217 52.9923664, -6.9865006 52.9923703, -6.9869882 52.9923809, -6.9871652 52.9923857, -6.9872578 52.9923688, -6.9874254 52.9923026, -6.9876305 52.9921579, -6.9877487 52.9920625, -6.9878038 52.9920181)","[""Saint John's Lane"", 'Edmund Rice Square']",,
23454594,False,2,R428,secondary,50,True,20.192,"LINESTRING (-6.9903395 52.9910015, -6.9900559 52.9910634)",William Street,,
26563423,False,,,unclassified,,True,34.135,"LINESTRING (-6.9903395 52.9910015, -6.9906575 52.9912415)",,,
23576945,False,2,,unclassified,50,False,99.07499999999999,"LINESTRING (-6.9903395 52.9910015, -6.990108 52.9907565, -6.9895127 52.9902639)",Canalside,,
"[1125850352, 335831185, 23576757, 1125850351]",False,2,R428,secondary,50,False,28.72,"LINESTRING (-6.9903395 52.9910015, -6.9903926 52.9909873, -6.9905246 52.9909536, -6.9906099 52.9909345, -6.9907382 52.9909063)","['William Street', 'William Street Upper', 'Augustus Bridge']",yes,
976928532,False,2,,unclassified,50,True,60.939,"LINESTRING (-6.9895127 52.9902639, -6.988622 52.9903774)",Dominican Church Lane,,
23576945,False,2,,unclassified,50,True,99.07499999999999,"LINESTRING (-6.9895127 52.9902639, -6.990108 52.9907565, -6.9903395 52.9910015)",Canalside,,
976933164,False,,,unclassified,50,False,74.25,"LINESTRING (-6.9895127 52.9902639, -6.9889384 52.9898005, -6.9888788 52.9897184)",Canalside,,
976933164,False,,,unclassified,50,True,74.25,"LINESTRING (-6.9888788 52.9897184, -6.9889384 52.9898005, -6.9895127 52.9902639)",Canalside,,
23860049,False,2,L4015,tertiary,50,True,127.30300000000001,"LINESTRING (-6.9816851 52.9925965, -6.9809263 52.992702, -6.9806679 52.9927379, -6.9801786 52.9927773, -6.9801102 52.9927757, -6.9800689 52.9927747, -6.9798143 52.9927726)",Leinster Street,,
27557772,False,2,L4015,tertiary,50,False,116.367,"LINESTRING (-6.9816851 52.9925965, -6.9823174 52.9925089, -6.9831401 52.9923834, -6.9831676 52.9923792, -6.9833738 52.9923478)",Leinster Street,,
"[1055793049, 23804583]",True,1,,unclassified,50,False,90.29299999999999,"LINESTRING (-6.9816851 52.9925965, -6.9815436 52.9923335, -6.9814997 52.992234, -6.9815205 52.9921414, -6.9815812 52.9919097, -6.9816197 52.9918659, -6.981647 52.9918549, -6.9816996 52.9918393)",Meeting Lane,,
1082409452,False,2,R417,secondary,50,False,14.338,"LINESTRING (-6.9828549 52.9915418, -6.9827827 52.9914204)",Emily Square,,
1082409453,False,1,R417,secondary,50,True,35.829,"LINESTRING (-6.9828549 52.9915418, -6.9830328 52.9918457)",Emily Square,,
"[23804584, 1086400051]",False,2,,unclassified,50,True,84.106,"LINESTRING (-6.9828549 52.9915418, -6.9824273 52.99165, -6.9816996 52.9918393)",Meeting Lane,,
23391707,False,2,L4015,tertiary,50,False,56.804,"LINESTRING (-6.9798143 52.9927726, -6.9796557 52.9928044, -6.9795314 52.992821, -6.9789828 52.9928683)",Leinster Street,,
23860049,False,2,L4015,tertiary,50,False,127.303,"LINESTRING (-6.9798143 52.9927726, -6.9800689 52.9927747, -6.9801102 52.9927757, -6.9801786 52.9927773, -6.9806679 52.9927379, -6.9809263 52.992702, -6.9816851 52.9925965)",Leinster Street,,
24854204,False,2,L4015,tertiary,50,True,27.019,"LINESTRING (-6.9798143 52.9927726, -6.9796834 52.9927375, -6.9794236 52.992727)",,,
23454594,False,2,R428,secondary,50,False,20.192,"LINESTRING (-6.9900559 52.9910634, -6.9903395 52.9910015)",William Street,,
23454594,False,2,R428,secondary,50,True,78.172,"LINESTRING (-6.9900559 52.9910634, -6.9896098 52.9911425, -6.9889529 52.991293)",William Street,,
23874590,False,,,residential,50,False,109.163,"LINESTRING (-6.9900559 52.9910634, -6.9905868 52.9915884, -6.9909179 52.9918967)",Nelson Street,,
23874590,False,,,residential,50,True,109.163,"LINESTRING (-6.9909179 52.9918967, -6.9905868 52.9915884, -6.9900559 52.9910634)",Nelson Street,,
23874591,False,2,,residential,50,False,94.765,"LINESTRING (-6.9909179 52.9918967, -6.9902605 52.9920455, -6.9895802 52.992175)",Shrewleen Lane,,
25621219,False,,,residential,50,False,144.57,"LINESTRING (-6.9909179 52.9918967, -6.9912658 52.9922046, -6.9916093 52.992527, -6.9915442 52.9925414, -6.9911017 52.9926392, -6.9909133 52.9924515)",Nelson Street,,
23450785,False,2,,tertiary,50,True,132.637,"LINESTRING (-6.9818561 52.9934545, -6.9822809 52.9934557, -6.9828673 52.9934043, -6.9832032 52.993386, -6.9837312 52.9933565, -6.9838276 52.9933511)",Stanhope Place,,
23880867,True,1,,unclassified,50,False,96.186,"LINESTRING (-6.9818561 52.9934545, -6.9817455 52.992769, -6.9816851 52.9925965)",Chapel Lane,,
25423150,False,,,tertiary,50,False,163.15800000000002,"LINESTRING (-6.9818561 52.9934545, -6.9817914 52.9934515, -6.9816871 52.9934467, -6.981377 52.9934379, -6.9811023 52.993447, -6.9805213 52.9935297, -6.9802631 52.9935684, -6.9798641 52.9936293, -6.9796657 52.9936429, -6.9794646 52.9936102)",Mount Hawkins,,
23880868,False,,,unclassified,50,False,74.074,"LINESTRING (-6.9864306 52.9914027, -6.9862986 52.9911305, -6.9861189 52.9907635)",Convent Lane,,
23880868,False,,,unclassified,50,True,28.924,"LINESTRING (-6.9864306 52.9914027, -6.9865554 52.9916197, -6.986572 52.9916485)",Convent Lane,,
108375834,False,,,residential,,False,63.577,"LINESTRING (-6.9864306 52.9914027, -6.9862036 52.9914408, -6.9860196 52.9914697, -6.985871 52.9911672)",Priory Court,,
23880868,False,,,unclassified,50,True,74.074,"LINESTRING (-6.9861189 52.9907635, -6.9862986 52.9911305, -6.9864306 52.9914027)",Convent Lane,,
"[23880870, 976928662]",False,2,,unclassified,50,False,66.91499999999999,"LINESTRING (-6.9870504 52.9905144, -6.9873855 52.9904708, -6.9876444 52.9904441, -6.9877164 52.9904352, -6.9880355 52.9904159)",Dominican Church Lane,,
1082409453,False,1,R417,secondary,50,False,35.829,"LINESTRING (-6.9830328 52.9918457, -6.9828549 52.9915418)",Emily Square,,
23454597,False,2,R417,secondary,50,True,60.316,"LINESTRING (-6.9830328 52.9918457, -6.9831073 52.9919554, -6.9832856 52.9922171, -6.9833043 52.9922446, -6.9833738 52.9923478)",Emily Square,,
23881275,False,2,,unclassified,,False,27.43,"LINESTRING (-6.9830328 52.9918457, -6.9830815 52.9918346, -6.9834161 52.9917584)",Emily Square,,
23396559,False,2,,tertiary,50,False,68.204,"LINESTRING (-6.9837875 52.9916432, -6.9840168 52.9917133, -6.9841522 52.9918587, -6.9842737 52.9920326, -6.9843151 52.9921023, -6.9843315 52.9921298)",Barrow Quay,,
"[976971256, 976971193]",False,2,,tertiary,50,True,72.44200000000001,"LINESTRING (-6.9837875 52.9916432, -6.9835257 52.9915707, -6.9832753 52.9915065, -6.9829287 52.9914212, -6.98284 52.9914145, -6.9827827 52.9914204)",Barrow Quay,,
"[23881275, 1098378671]",False,"['1', '2']",,unclassified,,True,28.822,"LINESTRING (-6.9837875 52.9916432, -6.9837207 52.9916942, -6.9834161 52.9917584)",Emily Square,,
23881276,False,2,,unclassified,,False,60.526,"LINESTRING (-6.9837212 52.9922708, -6.9837108 52.9922533, -6.9834161 52.9917584)",Emily Square,,
27557772,False,2,L4015,tertiary,50,True,24.779000000000003,"LINESTRING (-6.9837212 52.9922708, -6.9835713 52.992304, -6.9835199 52.9923152, -6.9833738 52.9923478)",Leinster Street,,
"[37281866, 944079572]",False,2,L4015,tertiary,50,False,43.759,"LINESTRING (-6.9837212 52.9922708, -6.9840151 52.9922063, -6.9842259 52.9921553, -6.9843315 52.9921298)",Leinster Street,,
"[23881275, 1098378671]",False,"['1', '2']",,unclassified,,False,28.822,"LINESTRING (-6.9834161 52.9917584, -6.9837207 52.9916942, -6.9837875 52.9916432)",Emily Square,,
23881275,False,2,,unclassified,,True,27.43,"LINESTRING (-6.9834161 52.9917584, -6.9830815 52.9918346, -6.9830328 52.9918457)",Emily Square,,
23881276,False,2,,unclassified,,True,60.526,"LINESTRING (-6.9834161 52.9917584, -6.9837108 52.9922533, -6.9837212 52.9922708)",Emily Square,,
424246579,False,2,R417,secondary,50,True,57.528,"LINESTRING (-6.9836177 52.9928494, -6.9838276 52.9933511)",Stanhope Street,,
424246579,False,2,R417,secondary,50,False,58.116,"LINESTRING (-6.9836177 52.9928494, -6.9834506 52.9925058, -6.9834315 52.9924658, -6.9833738 52.9923478)",Stanhope Street,,
1239877913,True,,,unclassified,,False,77.665,"LINESTRING (-6.9836177 52.9928494, -6.9842339 52.9927737, -6.9843041 52.9930908)",Garter Lane,,
23992148,False,1,,residential,,True,70.391,"LINESTRING (-6.9811918 52.9913129, -6.9821312 52.9910283)",Butler's Lane,,
23992147,False,2,,residential,,False,26.298,"LINESTRING (-6.9811918 52.9913129, -6.9811209 52.9912969, -6.9810469 52.9913124, -6.9809915 52.9913449, -6.9809586 52.991393, -6.9809935 52.991433)",Butler's Lane,,
23992147,False,2,,residential,,True,67.686,"LINESTRING (-6.9811918 52.9913129, -6.9815034 52.9916379, -6.9816996 52.9918393)",Butler's Lane,,
"[23804584, 1086400051]",False,2,,unclassified,50,False,84.106,"LINESTRING (-6.9816996 52.9918393, -6.9824273 52.99165, -6.9828549 52.9915418)",Meeting Lane,,
23992147,False,2,,residential,,False,67.686,"LINESTRING (-6.9816996 52.9918393, -6.9815034 52.9916379, -6.9811918 52.9913129)",Butler's Lane,,
23992147,False,2,,residential,,True,26.298000000000002,"LINESTRING (-6.9809935 52.991433, -6.9809586 52.991393, -6.9809915 52.9913449, -6.9810469 52.9913124, -6.9811209 52.9912969, -6.9811918 52.9913129)",Butler's Lane,,
23992148,False,1,,residential,,False,70.391,"LINESTRING (-6.9821312 52.9910283, -6.9811918 52.9913129)",Butler's Lane,,
23992163,False,2,R417,secondary,50,False,48.116,"LINESTRING (-6.9822896 52.9908108, -6.9819834 52.9904193)",Offaly Street,,
"[844012632, 23992149, 844012631]",False,,,residential,,False,71.024,"LINESTRING (-6.9822896 52.9908108, -6.9822397 52.9908259, -6.9821303 52.9908561, -6.9820493 52.99088, -6.9818727 52.9909787, -6.9813742 52.9911238)",Preston Gate,,building_passage
"[23992163, 23454595]",False,2,R417,secondary,50,True,75.418,"LINESTRING (-6.9822896 52.9908108, -6.9823949 52.9909488, -6.9825553 52.9911288, -6.9827827 52.9914204)","['Emily Row', 'Offaly Street']",,
"[844012632, 23992149, 844012631]",False,,,residential,,True,71.02399999999999,"LINESTRING (-6.9813742 52.9911238, -6.9818727 52.9909787, -6.9820493 52.99088, -6.9821303 52.9908561, -6.9822397 52.9908259, -6.9822896 52.9908108)",Preston Gate,,building_passage
23992150,False,,,residential,,True,81.76599999999999,"LINESTRING (-6.9809005 52.9907593, -6.9814977 52.9905799, -6.9819834 52.9904193)",Beech Grove,,
23992163,False,2,R417,secondary,50,False,43.945,"LINESTRING (-6.9819463 52.9903662, -6.9817023 52.9899993)",Offaly Street,,
23992163,False,2,R417,secondary,50,True,6.405,"LINESTRING (-6.9819463 52.9903662, -6.9819834 52.9904193)",Offaly Street,,
"[1068770340, 23992151]",False,,,residential,,False,72.532,"LINESTRING (-6.9819463 52.9903662, -6.9820286 52.990352, -6.9826081 52.99025, -6.9827029 52.9902363, -6.9829894 52.9901897)",Janeville,,
"[1068770340, 23992151]",False,,,residential,,True,72.532,"LINESTRING (-6.9829894 52.9901897, -6.9827029 52.9902363, -6.9826081 52.99025, -6.9820286 52.990352, -6.9819463 52.9903662)",Janeville,,
23992152,False,1,,residential,,False,62.711,"LINESTRING (-6.9797847 52.9903905, -6.9794785 52.9898575)",,,
1086390035,False,2,,tertiary,50,False,135.522,"LINESTRING (-6.9797847 52.9903905, -6.9799447 52.9903579, -6.9804435 52.9902561, -6.9816245 52.9900152, -6.9817023 52.9899993)",Church Road,,
"[1217379515, 1217379516]",False,2,,tertiary,50,True,64.17699999999999,"LINESTRING (-6.9797847 52.9903905, -6.9793659 52.9904743, -6.9788748 52.9905725)",Church Road,,
23992152,False,1,,residential,,True,62.711,"LINESTRING (-6.9794785 52.9898575, -6.9797847 52.9903905)",,,
23992154,False,,,residential,,False,7.642,"LINESTRING (-6.978807 52.9904544, -6.9789155 52.990433)",Athmore,,
23992154,False,,,residential,,True,8.059,"LINESTRING (-6.978807 52.9904544, -6.9786926 52.990477)",Athmore,,
206331459,False,,,residential,,True,13.894,"LINESTRING (-6.978807 52.9904544, -6.9788748 52.9905725)",Athmore,,
23992154,False,,,residential,,True,7.642,"LINESTRING (-6.9789155 52.990433, -6.978807 52.9904544)",Athmore,,
23992154,False,,,residential,,False,8.059,"LINESTRING (-6.9786926 52.990477, -6.978807 52.9904544)",Athmore,,
206331460,False,,,residential,,True,10.771,"LINESTRING (-6.977048 52.9894574, -6.9769493 52.9895339)",Church Crescent,,
23992156,False,,,residential,,False,30.084,"LINESTRING (-6.9769493 52.9895339, -6.9771984 52.9897591)",Church Crescent,,
206331460,False,,,residential,,False,10.771,"LINESTRING (-6.9769493 52.9895339, -6.977048 52.9894574)",Church Crescent,,
206331460,False,,,residential,,True,172.731,"LINESTRING (-6.9769493 52.9895339, -6.9768069 52.989675, -6.9767007 52.9898517, -6.9766421 52.9900489, -6.9766082 52.9901874, -6.9766494 52.9903301, -6.976699 52.9904, -6.9767666 52.9904475, -6.9770224 52.9905228, -6.9771073 52.9905834, -6.9772294 52.990901)",Church Crescent,,
23992156,False,,,residential,,True,30.084,"LINESTRING (-6.9771984 52.9897591, -6.9769493 52.9895339)",Church Crescent,,
944079574,False,2,L4015,tertiary,50,False,12.238,"LINESTRING (-6.9887795 52.9913279, -6.9889529 52.991293)",Duke Street,,
944079574,False,2,L4015,tertiary,50,True,41.923,"LINESTRING (-6.9887795 52.9913279, -6.9881684 52.9914106)",Duke Street,,
"[24686808, 1153883941]",False,1,,residential,50,False,106.22500000000001,"LINESTRING (-6.9887795 52.9913279, -6.9887506 52.9911004, -6.9886857 52.9907472, -6.9886302 52.9904248, -6.988622 52.9903774)",Green Alley,,
23880870,False,2,,unclassified,50,True,39.489,"LINESTRING (-6.988622 52.9903774, -6.9880355 52.9904159)",Dominican Church Lane,,
976928532,False,2,,unclassified,50,False,60.939,"LINESTRING (-6.988622 52.9903774, -6.9895127 52.9902639)",Dominican Church Lane,,
"[24686808, 1153883941]",False,1,,residential,50,True,106.225,"LINESTRING (-6.988622 52.9903774, -6.9886302 52.9904248, -6.9886857 52.9907472, -6.9887506 52.9911004, -6.9887795 52.9913279)",Green Alley,,
944079574,False,2,L4015,tertiary,50,False,41.923,"LINESTRING (-6.9881684 52.9914106, -6.9887795 52.9913279)",Duke Street,,
69331501,True,1,,unclassified,50,False,73.994,"LINESTRING (-6.9881684 52.9914106, -6.9881898 52.9915591, -6.9881348 52.9916625, -6.9880517 52.9917634, -6.9878038 52.9920181)",Saint John's Lane,,
"[23454590, 944079574]",False,2,L4015,tertiary,50,True,110.58400000000002,"LINESTRING (-6.9881684 52.9914106, -6.9872984 52.9915021, -6.9871059 52.9915223, -6.9867297 52.9916112, -6.9866841 52.991622, -6.9866473 52.9916307, -6.986572 52.9916485)",Duke Street,,
"[978137889, 1098378676, 24686814]",False,2,,unclassified,50,False,156.85999999999999,"LINESTRING (-6.9878038 52.9920181, -6.9877487 52.9920625, -6.9876305 52.9921579, -6.9874254 52.9923026, -6.9872578 52.9923688, -6.9871652 52.9923857, -6.9869882 52.9923809, -6.9865006 52.9923703, -6.9863217 52.9923664, -6.9861834 52.9923738, -6.9860226 52.9923825, -6.9857353 52.9924259)","[""Saint John's Lane"", 'Edmund Rice Square']",,
24854205,False,,,residential,,True,160.77499999999998,"LINESTRING (-6.9781527 52.9919077, -6.9781356 52.9918632, -6.978138 52.991812, -6.9781877 52.9917723, -6.9782796 52.9917451, -6.9783716 52.9917458, -6.9784567 52.9917657, -6.9785052 52.9918069, -6.9785365 52.9918592, -6.9784999 52.9919188, -6.978432 52.9919544, -6.9782606 52.9919783, -6.978174 52.992042, -6.9785105 52.992728)",Park Avenue,,
25437365,False,,,residential,,False,25.631999999999998,"LINESTRING (-6.9818008 52.9882722, -6.9820064 52.9882099, -6.9821372 52.9881624)",Marina Court,,
25437365,False,,,residential,,True,74.895,"LINESTRING (-6.9818008 52.9882722, -6.9817405 52.9882914, -6.9808536 52.9885438, -6.9807906 52.9885617)",Marina Court,,
38919504,False,,,residential,,False,67.017,"LINESTRING (-6.9818008 52.9882722, -6.9819617 52.9885405, -6.9821407 52.9888391)",Marina Court,,
"[394465480, 394465483, 25437365]",False,,,residential,,False,76.054,"LINESTRING (-6.9821372 52.9881624, -6.98236 52.9881114, -6.9824662 52.9880872, -6.9825661 52.9880644, -6.9831994 52.9879196)",Marina Court,,building_passage
25437365,False,,,residential,,True,25.631999999999998,"LINESTRING (-6.9821372 52.9881624, -6.9820064 52.9882099, -6.9818008 52.9882722)",Marina Court,,
"[394465480, 394465483, 25437365]",False,,,residential,,True,76.054,"LINESTRING (-6.9831994 52.9879196, -6.9825661 52.9880644, -6.9824662 52.9880872, -6.98236 52.9881114, -6.9821372 52.9881624)",Marina Court,,building_passage
25437364,False,,,residential,,False,97.13,"LINESTRING (-6.9793941 52.988799, -6.9807906 52.9885617)",Saint Patrick's Avenue,,
25621219,False,,,residential,50,True,144.57,"LINESTRING (-6.9909133 52.9924515, -6.9911017 52.9926392, -6.9915442 52.9925414, -6.9916093 52.992527, -6.9912658 52.9922046, -6.9909179 52.9918967)",Nelson Street,,
