osmid,lanes,name,highway,oneway,reversed,length,maxspeed,geometry,ref,access
119048850,,,unclassified,False,True,33.976,,"LINESTRING (139.5712654 35.7974231, 139.5709175 35.7975403)",,
119048753,,,unclassified,False,True,30.953,,"LINESTRING (139.569422 35.797576, 139.569737 35.7974655)",,
119048774,,,unclassified,False,False,46.946,,"LINESTRING (139.569422 35.797576, 139.5692905 35.7971675)",,
564661948,2,水道道路,tertiary,False,False,54.048,40,"LINESTRING (139.569995 35.7920912, 139.5702209 35.7925414)",,
119047665,,,unclassified,False,True,113.11599999999999,,"LINESTRING (139.569995 35.7920912, 139.5701901 35.7919065, 139.5704263 35.7917636, 139.5708748 35.7915805, 139.5708215 35.7914926, 139.5708079 35.7914649)",,
564661948,2,水道道路,tertiary,False,True,166.21200000000002,40,"LINESTRING (139.569995 35.7920912, 139.569667 35.7914737, 139.5693244 35.7908884, 139.5692226 35.7907347)",,
52975210,,,unclassified,False,False,214.07600000000002,,"LINESTRING (139.5656301 35.7907804, 139.5654315 35.7908332, 139.5650185 35.7909429, 139.564857 35.7910062, 139.5647983 35.7910898, 139.5641957 35.7913442, 139.564053 35.7914045, 139.5635938 35.7916301, 139.5635469 35.7916531)",,
52975210,,,unclassified,False,True,53.379000000000005,,"LINESTRING (139.5656301 35.7907804, 139.5659143 35.79071, 139.5661961 35.7906402)",,
52457253,,こもれび通り,tertiary,False,False,31.014,,"LINESTRING (139.5681497 35.7932682, 139.5684673 35.7931613)",,
52457253,,こもれび通り,tertiary,False,True,6.257,,"LINESTRING (139.5681497 35.7932682, 139.5680869 35.7932921)",,
119051005,,,unclassified,False,True,93.33,,"LINESTRING (139.5681497 35.7932682, 139.5684533 35.7940706)",,
52457253,,こもれび通り,tertiary,False,True,41.069,,"LINESTRING (139.5688864 35.7930169, 139.5684673 35.7931613)",,
52457253,,こもれび通り,tertiary,False,False,131.465,,"LINESTRING (139.5688864 35.7930169, 139.5701687 35.79256, 139.5702209 35.7925414)",,
68574067,,,unclassified,False,False,118.44200000000001,,"LINESTRING (139.5688864 35.7930169, 139.5688645 35.7929726, 139.5687307 35.7927024, 139.5683719 35.792037)",,
246282571,,,unclassified,False,True,110.229,,"LINESTRING (139.5688864 35.7930169, 139.5691033 35.7935046, 139.5692194 35.7937657, 139.5692845 35.7939537)",,
119047563,,,unclassified,False,False,92.938,,"LINESTRING (139.5692226 35.7907347, 139.570117 35.7903197)",,
564661948,2,水道道路,tertiary,False,True,96.354,40,"LINESTRING (139.5692226 35.7907347, 139.5687497 35.7899577)",,
564661948,2,水道道路,tertiary,False,False,166.212,40,"LINESTRING (139.5692226 35.7907347, 139.5693244 35.7908884, 139.569667 35.7914737, 139.569995 35.7920912)",,
52457253,,こもれび通り,tertiary,False,False,10.41,,"LINESTRING (139.5668767 35.7937076, 139.5669853 35.7936759)",,
52457253,,こもれび通り,tertiary,False,True,167.369,,"LINESTRING (139.5668767 35.7937076, 139.5656762 35.7941157, 139.565168 35.7942946)",,
119051056,,,unclassified,False,True,114.423,,"LINESTRING (139.5668767 35.7937076, 139.5671254 35.7943577, 139.5672721 35.7946851)",,
119051005,,,unclassified,False,False,127.971,,"LINESTRING (139.5693366 35.7964718, 139.569321 35.7964279, 139.5689434 35.795366)",,
227101311,2,新座バイパス,trunk,True,False,110.708,50,"LINESTRING (139.5693366 35.7964718, 139.5687997 35.7966837, 139.5682263 35.7968962)",254,yes
227101311,2,新座バイパス,trunk,True,False,49.792,50,"LINESTRING (139.5682263 35.7968962, 139.5677334 35.7970979)",254,yes
119051056,,,unclassified,False,False,44.97,,"LINESTRING (139.5682263 35.7968962, 139.5682105 35.7968591, 139.568064 35.7965138)",,
564661948,2,水道道路,tertiary,False,False,29.008,40,"LINESTRING (139.5709362 35.794274, 139.5710743 35.7945096)",,
564661948,2,水道道路,tertiary,False,True,104.741,40,"LINESTRING (139.5709362 35.794274, 139.5705022 35.7934003)",,
564661948,2,水道道路,tertiary,False,True,29.777,40,"LINESTRING (139.5711726 35.7947651, 139.5711161 35.794604, 139.5710743 35.7945096)",,
119048753,,,unclassified,False,False,30.953,,"LINESTRING (139.569737 35.7974655, 139.569422 35.797576)",,
119048753,,,unclassified,False,True,15.617,,"LINESTRING (139.569737 35.7974655, 139.5698959 35.7974097)",,
768595628,,,unclassified,False,True,110.031,,"LINESTRING (139.569737 35.7974655, 139.5693914 35.7965165)",,
564661948,2,水道道路,tertiary,False,True,29.008,40,"LINESTRING (139.5710743 35.7945096, 139.5709362 35.794274)",,
564661948,2,水道道路,tertiary,False,False,29.777,40,"LINESTRING (139.5710743 35.7945096, 139.5711161 35.794604, 139.5711726 35.7947651)",,
227101311,2,新座バイパス,trunk,True,False,56.032,50,"LINESTRING (139.5698948 35.7962506, 139.5693366 35.7964718)",254,yes
246282571,,,unclassified,False,False,153.601,,"LINESTRING (139.5698948 35.7962506, 139.5698784 35.7962033, 139.5697061 35.795725, 139.5697278 35.7956886, 139.5698498 35.7956683, 139.5696155 35.7950024)",,
248606913,,,unclassified,False,False,26.727,,"LINESTRING (139.5686731 35.7898228, 139.5689377 35.7897146)",,
564661948,2,水道道路,tertiary,False,False,16.515,40,"LINESTRING (139.5686731 35.7898228, 139.5687497 35.7899577)",,
119047562,,,unclassified,False,False,18.49,,"LINESTRING (139.5694481 35.7895058, 139.5695621 35.789644)",,
248606913,,,unclassified,False,True,13.599,,"LINESTRING (139.5694481 35.7895058, 139.5693135 35.7895609)",,
52457253,,こもれび通り,tertiary,False,False,19.074,,"LINESTRING (139.5672683 35.7935661, 139.5674638 35.7935007)",,
52457253,,こもれび通り,tertiary,False,True,28.295,,"LINESTRING (139.5672683 35.7935661, 139.5669853 35.7936759)",,
248607133,,,unclassified,False,True,182.725,,"LINESTRING (139.5672683 35.7935661, 139.5678938 35.7951291)",,
248607133,,,unclassified,False,False,182.725,,"LINESTRING (139.5678938 35.7951291, 139.5672683 35.7935661)",,
768843245,,,residential,False,True,36.471,,"LINESTRING (139.5678938 35.7951291, 139.5675096 35.7952314)",,
248607133,,,unclassified,False,True,139.045,,"LINESTRING (139.5678938 35.7951291, 139.5683788 35.7950033, 139.5685295 35.7954728, 139.5689434 35.795366)",,
119051005,,,unclassified,False,False,150.672,,"LINESTRING (139.5689434 35.795366, 139.5684533 35.7940706)",,
119051005,,,unclassified,False,True,127.971,,"LINESTRING (139.5689434 35.795366, 139.569321 35.7964279, 139.5693366 35.7964718)",,
248607133,,,unclassified,False,False,139.04500000000002,,"LINESTRING (139.5689434 35.795366, 139.5685295 35.7954728, 139.5683788 35.7950033, 139.5678938 35.7951291)",,
119048774,,,unclassified,False,False,62.291,,"LINESTRING (139.5692905 35.7971675, 139.5691159 35.7966255)",,
119048774,,,unclassified,False,True,46.946,,"LINESTRING (139.5692905 35.7971675, 139.569422 35.797576)",,
401765535,,,residential,False,False,41.463,,"LINESTRING (139.5688092 35.7973577, 139.568383 35.7974975)",,
401765532,,,residential,False,False,57.82,,"LINESTRING (139.568383 35.7974975, 139.5681471 35.797014)",,
401765535,,,residential,False,True,41.463,,"LINESTRING (139.568383 35.7974975, 139.5688092 35.7973577)",,
401765536,,,residential,False,False,51.053,,"LINESTRING (139.5686557 35.7970522, 139.5689091 35.7969696, 139.5688233 35.7967424)",,
119048753,,,unclassified,False,False,30.305,,"LINESTRING (139.5702043 35.7973015, 139.5698959 35.7974097)",,
401765537,,,residential,False,True,36.903999999999996,,"LINESTRING (139.5702043 35.7973015, 139.5701363 35.7971958, 139.570067 35.7969907)",,
119048770,,,unclassified,False,False,39.886,,"LINESTRING (139.5711545 35.7969755, 139.5707308 35.7970783)",,
401765990,,,residential,False,False,109.018,,"LINESTRING (139.5711545 35.7969755, 139.5710128 35.796354, 139.5705882 35.7964066)",,
119048719,,,unclassified,False,False,75.789,,"LINESTRING (139.5705882 35.7964066, 139.5707308 35.7970783)",,
119048719,,,unclassified,False,True,36.514,,"LINESTRING (139.5705882 35.7964066, 139.5705082 35.7960847)",,
401765990,,,residential,False,True,109.018,,"LINESTRING (139.5705882 35.7964066, 139.5710128 35.796354, 139.5711545 35.7969755)",,
401765991,,,residential,False,False,63.601,,"LINESTRING (139.570205 35.7955016, 139.5703822 35.7960036, 139.570399 35.7960515)",,
227101311,2,新座バイパス,trunk,True,False,50.577,50,"LINESTRING (139.570399 35.7960515, 139.5698948 35.7962506)",254,yes
401765991,,,residential,False,True,63.601,,"LINESTRING (139.570399 35.7960515, 139.5703822 35.7960036, 139.570205 35.7955016)",,
401765992,,,unclassified,False,False,63.814,,"LINESTRING (139.5694285 35.7934149, 139.5696392 35.7938622, 139.5695301 35.7938969)",,
401765992,,,unclassified,False,True,23.034,,"LINESTRING (139.5692845 35.7939537, 139.5695301 35.7938969)",,
246282571,,,unclassified,False,False,110.22900000000001,,"LINESTRING (139.5692845 35.7939537, 139.5692194 35.7937657, 139.5691033 35.7935046, 139.5688864 35.7930169)",,
246282571,,,unclassified,False,True,74.439,,"LINESTRING (139.5692845 35.7939537, 139.5694081 35.7944367, 139.5694726 35.7946049)",,
401765992,,,unclassified,False,False,23.034,,"LINESTRING (139.5695301 35.7938969, 139.5692845 35.7939537)",,
401765993,,,unclassified,False,False,73.804,,"LINESTRING (139.5695301 35.7938969, 139.5697514 35.7945359)",,
401765992,,,unclassified,False,True,63.814,,"LINESTRING (139.5695301 35.7938969, 139.5696392 35.7938622, 139.5694285 35.7934149)",,
246282571,,,unclassified,False,False,15.512,,"LINESTRING (139.5695221 35.7947385, 139.5694726 35.7946049)",,
246282571,,,unclassified,False,True,30.53,,"LINESTRING (139.5695221 35.7947385, 139.5696155 35.7950024)",,
401765993,,,unclassified,False,True,41.885,,"LINESTRING (139.5695221 35.7947385, 139.5698049 35.7946644, 139.5697514 35.7945359)",,
246282571,,,unclassified,False,True,15.512,,"LINESTRING (139.5694726 35.7946049, 139.5695221 35.7947385)",,
401765994,,,unclassified,False,False,26.29,,"LINESTRING (139.5694726 35.7946049, 139.5697514 35.7945359)",,
246282571,,,unclassified,False,False,74.439,,"LINESTRING (139.5694726 35.7946049, 139.5694081 35.7944367, 139.5692845 35.7939537)",,
401765993,,,unclassified,False,True,73.804,,"LINESTRING (139.5697514 35.7945359, 139.5695301 35.7938969)",,
401765994,,,unclassified,False,True,26.29,,"LINESTRING (139.5697514 35.7945359, 139.5694726 35.7946049)",,
401765993,,,unclassified,False,False,41.885,,"LINESTRING (139.5697514 35.7945359, 139.5698049 35.7946644, 139.5695221 35.7947385)",,
52457253,,こもれび通り,tertiary,False,False,41.069,,"LINESTRING (139.5684673 35.7931613, 139.5688864 35.7930169)",,
52457253,,こもれび通り,tertiary,False,True,31.014,,"LINESTRING (139.5684673 35.7931613, 139.5681497 35.7932682)",,
401765995,,,unclassified,False,False,226.419,,"LINESTRING (139.5684673 35.7931613, 139.5687029 35.7937066, 139.5692598 35.7950933)",,
401765997,,,unclassified,False,True,59.373999999999995,,"LINESTRING (139.5684673 35.7931613, 139.5684488 35.7931262, 139.5682086 35.7926703)",,
401765996,,,unclassified,False,False,11.94,,"LINESTRING (139.5692598 35.7950933, 139.5691317 35.7951204)",,
401765996,,,unclassified,False,True,33.636,,"LINESTRING (139.5692598 35.7950933, 139.5696155 35.7950024)",,
401765995,,,unclassified,False,True,226.419,,"LINESTRING (139.5692598 35.7950933, 139.5687029 35.7937066, 139.5684673 35.7931613)",,
246282571,,,unclassified,False,False,30.53,,"LINESTRING (139.5696155 35.7950024, 139.5695221 35.7947385)",,
401765996,,,unclassified,False,False,33.636,,"LINESTRING (139.5696155 35.7950024, 139.5692598 35.7950933)",,
246282571,,,unclassified,False,True,153.601,,"LINESTRING (139.5696155 35.7950024, 139.5698498 35.7956683, 139.5697278 35.7956886, 139.5697061 35.795725, 139.5698784 35.7962033, 139.5698948 35.7962506)",,
401765996,,,unclassified,False,True,11.94,,"LINESTRING (139.5691317 35.7951204, 139.5692598 35.7950933)",,
401765997,,,unclassified,False,False,59.373999999999995,,"LINESTRING (139.5682086 35.7926703, 139.5684488 35.7931262, 139.5684673 35.7931613)",,
401765998,,,unclassified,False,False,91.275,,"LINESTRING (139.5670805 35.792741, 139.5674501 35.7934736, 139.5674638 35.7935007)",,
52457253,,こもれび通り,tertiary,False,False,60.798,,"LINESTRING (139.5674638 35.7935007, 139.5680869 35.7932921)",,
52457253,,こもれび通り,tertiary,False,True,19.074,,"LINESTRING (139.5674638 35.7935007, 139.5672683 35.7935661)",,
401765998,,,unclassified,False,True,91.275,,"LINESTRING (139.5674638 35.7935007, 139.5674501 35.7934736, 139.5670805 35.792741)",,
401765537,,,residential,False,True,74.786,,"LINESTRING (139.570067 35.7969907, 139.5698476 35.7963421)",,
405129469,,,residential,False,False,19.079,,"LINESTRING (139.570067 35.7969907, 139.5698625 35.7970346)",,
401765537,,,residential,False,False,36.903999999999996,,"LINESTRING (139.570067 35.7969907, 139.5701363 35.7971958, 139.5702043 35.7973015)",,
405129469,,,residential,False,True,19.079,,"LINESTRING (139.5698625 35.7970346, 139.570067 35.7969907)",,
119048753,,,unclassified,False,False,15.617,,"LINESTRING (139.5698959 35.7974097, 139.569737 35.7974655)",,
119048753,,,unclassified,False,True,30.305,,"LINESTRING (139.5698959 35.7974097, 139.5702043 35.7973015)",,
405135815,,,residential,False,True,16.875,,"LINESTRING (139.5669254 35.7959453, 139.5668584 35.7958036)",,
405135821,,,residential,False,False,59.503,,"LINESTRING (139.5669254 35.7959453, 139.5663255 35.796168)",,
405135821,,,residential,False,True,16.964,,"LINESTRING (139.5669254 35.7959453, 139.5670955 35.7958802)",,
405135815,,,residential,False,False,16.875,,"LINESTRING (139.5668584 35.7958036, 139.5669254 35.7959453)",,
405135817,,,residential,False,False,20.097,,"LINESTRING (139.5668584 35.7958036, 139.5666521 35.7958719)",,
405135815,,,residential,False,True,99.0,,"LINESTRING (139.5668584 35.7958036, 139.566567 35.7951559, 139.5663402 35.7952365)",,
48788377,2,平林寺大門通り,tertiary,False,False,76.134,,"LINESTRING (139.566234 35.7960251, 139.565866 35.7954089)",,
48788377,2,平林寺大門通り,tertiary,False,True,17.905,,"LINESTRING (139.566234 35.7960251, 139.5663255 35.796168)",,
405135817,,,residential,False,True,22.786,,"LINESTRING (139.566234 35.7960251, 139.5664628 35.7959382)",,
405135817,,,residential,False,False,18.597,,"LINESTRING (139.5666521 35.7958719, 139.5664628 35.7959382)",,
405135817,,,residential,False,True,20.097,,"LINESTRING (139.5666521 35.7958719, 139.5668584 35.7958036)",,
