osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,maxspeed
104280382,residential,False,True,33.571,"LINESTRING (140.714189 36.7240793, 140.7142324 36.7237794)",,,,,
104465980,tertiary,False,False,130.402,"LINESTRING (140.7123635 36.7194093, 140.7137033 36.7189382)",,,,,
104465980,tertiary,False,True,90.215,"LINESTRING (140.7123635 36.7194093, 140.7114298 36.7197225)",,,,,
373922475,tertiary,False,True,54.136,"LINESTRING (140.7123635 36.7194093, 140.7122712 36.7189281)",,,,,
373922475,tertiary,False,False,68.351,"LINESTRING (140.7123635 36.7194093, 140.7124784 36.7199659, 140.7124883 36.7200158)",,,,,
104465985,unclassified,False,False,69.76299999999999,"LINESTRING (140.7102595 36.7165447, 140.7105068 36.7166668, 140.7106627 36.7167445, 140.7107457 36.7167279, 140.7109218 36.7166181)",,,,,
104465992,residential,False,False,76.283,"LINESTRING (140.7102595 36.7165447, 140.710198 36.7164057, 140.7102005 36.7162552, 140.7102859 36.7161354, 140.7104049 36.7160514, 140.7104744 36.7160267, 140.7105487 36.7160094)",,,,,
104626150,tertiary,False,False,46.541,"LINESTRING (140.7109218 36.7166181, 140.7111871 36.7169786)",,,,,
104465985,unclassified,False,True,69.76299999999999,"LINESTRING (140.7109218 36.7166181, 140.7107457 36.7167279, 140.7106627 36.7167445, 140.7105068 36.7166668, 140.7102595 36.7165447)",,,,,
104626150,tertiary,False,True,75.522,"LINESTRING (140.7109218 36.7166181, 140.7107878 36.7164278, 140.7106612 36.7162307, 140.7105487 36.7160094)",,,,,
104626150,tertiary,False,True,17.034,"LINESTRING (140.7105487 36.7160094, 140.7104878 36.7158642)",,,,,
104465992,residential,False,True,76.283,"LINESTRING (140.7105487 36.7160094, 140.7104744 36.7160267, 140.7104049 36.7160514, 140.7102859 36.7161354, 140.7102005 36.7162552, 140.710198 36.7164057, 140.7102595 36.7165447)",,,,,
104626150,tertiary,False,False,75.52199999999999,"LINESTRING (140.7105487 36.7160094, 140.7106612 36.7162307, 140.7107878 36.7164278, 140.7109218 36.7166181)",,,,,
104626151,residential,False,True,91.075,"LINESTRING (140.7105487 36.7160094, 140.7111071 36.7159772, 140.7112516 36.7159551, 140.7115482 36.7158705)",,,,,
104626134,unclassified,False,False,32.193,"LINESTRING (140.7129378 36.7160812, 140.7131208 36.7163308)",,,,,
396677665,unclassified,True,False,73.982,"LINESTRING (140.7129378 36.7160812, 140.7135692 36.7157226, 140.7136041 36.7156873)",,,,,
104626126,unclassified,False,True,24.675,"LINESTRING (140.7134664 36.7179459, 140.7136822 36.7180849)",,,,,
444491344,residential,False,True,87.223,"LINESTRING (140.7134664 36.7179459, 140.71262 36.7183396)",,,,,
104626126,unclassified,False,False,106.723,"LINESTRING (140.7134664 36.7179459, 140.7129904 36.7175224, 140.7129299 36.7174685, 140.7128289 36.7173573, 140.712726 36.7172439, 140.712697 36.717212)",,,,,
104626150,tertiary,False,True,46.541,"LINESTRING (140.7111871 36.7169786, 140.7109218 36.7166181)",,,,,
396677664,unclassified,False,False,106.523,"LINESTRING (140.7111871 36.7169786, 140.7121394 36.7163998)",,,,,30
373922475,tertiary,False,False,160.54500000000002,"LINESTRING (140.7111871 36.7169786, 140.7117496 36.7177456, 140.7120382 36.7182491)",,,,,
104626126,unclassified,False,False,12.815,"LINESTRING (140.712697 36.717212, 140.7126455 36.7171044)",,,,,
104626126,unclassified,False,True,106.723,"LINESTRING (140.712697 36.717212, 140.712726 36.7172439, 140.7128289 36.7173573, 140.7129299 36.7174685, 140.7129904 36.7175224, 140.7134664 36.7179459)",,,,,
198704058,unclassified,False,False,130.175,"LINESTRING (140.712697 36.717212, 140.7121264 36.7174656, 140.7121959 36.7175904, 140.7123965 36.7179104, 140.71247 36.7180515)",,,,,
438354595,residential,False,False,73.993,"LINESTRING (140.7147185 36.7170127, 140.7140201 36.7173724)",,,,,
438354595,residential,False,True,60.928,"LINESTRING (140.7147185 36.7170127, 140.7152994 36.7167239)",,,,,
320788685,tertiary,False,False,126.65599999999998,"LINESTRING (140.7147185 36.7170127, 140.7152322 36.7176189, 140.71534 36.7177501, 140.7154132 36.7178565, 140.7154814 36.7179718)",,,,,
320788685,tertiary,False,True,177.727,"LINESTRING (140.7147185 36.7170127, 140.7139784 36.7161325, 140.7138818 36.7160176, 140.7136041 36.7156873)",,,,,
104626126,unclassified,False,True,39.456,"LINESTRING (140.7121394 36.7163998, 140.7123603 36.7167073)",,,,,
396677664,unclassified,False,True,106.523,"LINESTRING (140.7121394 36.7163998, 140.7111871 36.7169786)",,,,,30
396677665,unclassified,True,False,79.495,"LINESTRING (140.7121394 36.7163998, 140.7129378 36.7160812)",,,,,
104626126,unclassified,False,False,79.006,"LINESTRING (140.7121394 36.7163998, 140.7117734 36.7160788, 140.7115482 36.7158705)",,,,,
104626134,unclassified,False,True,43.66,"LINESTRING (140.713369 36.7166693, 140.7131208 36.7163308)",,,,,
198704476,unclassified,False,True,80.619,"LINESTRING (140.713369 36.7166693, 140.7126455 36.7171044)",,,,,
104626134,unclassified,False,False,97.367,"LINESTRING (140.713369 36.7166693, 140.7135946 36.716913, 140.7139042 36.7172472, 140.7140201 36.7173724)",,,,,
104280382,residential,False,False,169.01,"LINESTRING (140.7143663 36.7206328, 140.7143068 36.7208675, 140.7142717 36.7210777, 140.7142612 36.7212287, 140.7142717 36.7214472, 140.7143268 36.7218576, 140.7144308 36.722026, 140.7145022 36.7221053)",,,,,
104280382,residential,False,True,111.03999999999999,"LINESTRING (140.7143663 36.7206328, 140.7143472 36.7204972, 140.7140878 36.7198594, 140.7140139 36.7196775)",,,,,
198704619,unclassified,False,False,82.908,"LINESTRING (140.7143663 36.7206328, 140.7140815 36.7207041, 140.7139282 36.720785, 140.7136374 36.7210165, 140.7135997 36.7210225)",,,,,
1259122434,residential,False,True,95.62700000000001,"LINESTRING (140.7143663 36.7206328, 140.7147403 36.7206329, 140.7148196 36.7208284, 140.7152591 36.7208692)",,,,,
104626125,unclassified,False,True,80.274,"LINESTRING (140.7178251 36.7174788, 140.7179301 36.7167618)",,,,,
198704239,unclassified,False,True,171.452,"LINESTRING (140.7178251 36.7174788, 140.7183581 36.7177227, 140.7184638 36.7176915, 140.7185041 36.7167324)",,,,,
198704824,unclassified,False,False,152.713,"LINESTRING (140.7178251 36.7174788, 140.7176534 36.717849, 140.7176347 36.7182855, 140.7176539 36.7183266, 140.7181735 36.7185992)",,,,,
104280382,residential,False,False,42.233,"LINESTRING (140.7137033 36.7189382, 140.7138647 36.7192953)",,,,,
104465980,tertiary,False,False,70.077,"LINESTRING (140.7137033 36.7189382, 140.7144264 36.7186908)",,,,,
104465980,tertiary,False,True,130.402,"LINESTRING (140.7137033 36.7189382, 140.7123635 36.7194093)",,,,,
210677286,unclassified,False,True,121.40700000000001,"LINESTRING (140.7137033 36.7189382, 140.7134071 36.7184742, 140.7127751 36.7187368)",,,,,
104626126,unclassified,False,True,79.006,"LINESTRING (140.7115482 36.7158705, 140.7117734 36.7160788, 140.7121394 36.7163998)",,,,,
104626151,residential,False,False,91.075,"LINESTRING (140.7115482 36.7158705, 140.7112516 36.7159551, 140.7111071 36.7159772, 140.7105487 36.7160094)",,,,,
104465980,tertiary,False,False,39.09,"LINESTRING (140.7144264 36.7186908, 140.7148318 36.7185567)",,,,,
104465980,tertiary,False,True,70.077,"LINESTRING (140.7144264 36.7186908, 140.7137033 36.7189382)",,,,,
104626126,unclassified,False,False,94.547,"LINESTRING (140.7144264 36.7186908, 140.7136822 36.7180849)",,,,,
104626126,unclassified,False,False,24.675,"LINESTRING (140.7136822 36.7180849, 140.7134664 36.7179459)",,,,,
104626126,unclassified,False,True,94.547,"LINESTRING (140.7136822 36.7180849, 140.7144264 36.7186908)",,,,,
104626134,unclassified,False,True,85.094,"LINESTRING (140.7136822 36.7180849, 140.7138534 36.7178173, 140.7140201 36.7173724)",,,,,
320788685,tertiary,False,False,177.727,"LINESTRING (140.7136041 36.7156873, 140.7138818 36.7160176, 140.7139784 36.7161325, 140.7147185 36.7170127)",,,,,
104626150,tertiary,False,False,17.034,"LINESTRING (140.7104878 36.7158642, 140.7105487 36.7160094)",,,,,
198704246,unclassified,False,False,60.952,"LINESTRING (140.7197296 36.7156692, 140.719054 36.7157539)",,,,,
198704246,unclassified,False,True,50.367,"LINESTRING (140.7197296 36.7156692, 140.72028 36.7157717)",,,,,
198704780,unclassified,False,True,49.033,"LINESTRING (140.7197296 36.7156692, 140.719809 36.7160989, 140.7198102 36.7161054)",,,,,
198704246,unclassified,False,True,60.952,"LINESTRING (140.719054 36.7157539, 140.7197296 36.7156692)",,,,,
198704561,unclassified,False,False,62.318,"LINESTRING (140.719054 36.7157539, 140.7183627 36.7158376)",,,,,
26741934,trunk,False,False,104.63399999999999,"LINESTRING (140.719054 36.7157539, 140.7191735 36.7163737, 140.7192082 36.7166863)",,2,6,陸前浜街道,
198704246,unclassified,False,False,50.367,"LINESTRING (140.72028 36.7157717, 140.7197296 36.7156692)",,,,,
198704246,unclassified,False,True,58.763,"LINESTRING (140.72028 36.7157717, 140.7209284 36.7158672)",,,,,
198704901,unclassified,False,True,30.72,"LINESTRING (140.72028 36.7157717, 140.720186 36.7160375)",,,,,
198704561,unclassified,False,False,41.493,"LINESTRING (140.7183627 36.7158376, 140.7179035 36.7158988)",,,,,
