osmid,highway,oneway,reversed,length,geometry,ref,name,bridge
169528054,unclassified,False,False,45.253,"LINESTRING (130.7119341 33.8160109, 130.712214 33.8160063, 130.7124036 33.8160811)",,,
520347807,unclassified,False,False,104.799,"LINESTRING (130.7124036 33.8160811, 130.7129807 33.8152697)",,,
169528054,unclassified,False,False,25.250999999999998,"LINESTRING (130.7124036 33.8160811, 130.7124987 33.8161265, 130.7125541 33.8161744, 130.7126185 33.8162188)",,,
169528054,unclassified,False,True,45.253,"LINESTRING (130.7124036 33.8160811, 130.712214 33.8160063, 130.7119341 33.8160109)",,,
169527475,unclassified,False,False,20.053,"LINESTRING (130.7117738 33.8161325, 130.7119341 33.8160109)",,,
169527740,unclassified,False,False,49.659000000000006,"LINESTRING (130.7117738 33.8161325, 130.7116032 33.8160712, 130.7112881 33.8159415)",,,
169528351,unclassified,False,False,119.307,"LINESTRING (130.7117738 33.8161325, 130.7116891 33.8163291, 130.7116605 33.8167274, 130.7116054 33.8168664, 130.711516 33.816969, 130.7114203 33.8171439)",,,
169526379,primary,False,False,96.985,"LINESTRING (130.7128468 33.8163577, 130.7133821 33.8156074)",61,小倉中間線,
169528054,unclassified,False,True,26.142,"LINESTRING (130.7128468 33.8163577, 130.7126185 33.8162188)",,,
169526379,primary,False,True,152.909,"LINESTRING (130.7128468 33.8163577, 130.7125121 33.8167955, 130.7119661 33.817522)",61,小倉中間線,
169526490,unclassified,False,True,31.382,"LINESTRING (130.7142402 33.8163688, 130.7143106 33.8166449)",,,
520347786,unclassified,False,True,147.713,"LINESTRING (130.7142402 33.8163688, 130.7148156 33.8161842, 130.7149382 33.8164026, 130.7143106 33.8166449)",,,
169526490,unclassified,False,False,96.592,"LINESTRING (130.7142402 33.8163688, 130.7141906 33.8161965, 130.7141844 33.8159495, 130.7142157 33.8155058)",,,
169526868,unclassified,False,False,19.978,"LINESTRING (130.703834 33.816495, 130.703976 33.8166305)",,,
622170671,unclassified,False,False,47.594,"LINESTRING (130.703834 33.816495, 130.7039138 33.8164643, 130.7043355 33.8164073)",,,
169526868,unclassified,False,True,19.978,"LINESTRING (130.703976 33.8166305, 130.703834 33.816495)",,,
169526208,primary,False,False,83.661,"LINESTRING (130.703976 33.8166305, 130.7044065 33.8165167, 130.7048499 33.8164364)",98,中間宮田線,
169527496,tertiary,False,True,46.788,"LINESTRING (130.703976 33.8166305, 130.703969 33.8166906, 130.7040637 33.8170423)",,,
169526352,secondary,False,False,93.579,"LINESTRING (130.710547 33.8166041, 130.7102389 33.8174058)",203,中間水巻線,
"[169526248, 169526238, 169526247]",primary,False,"[False, True]",190.663,"LINESTRING (130.710547 33.8166041, 130.7102227 33.8164526, 130.7099529 33.8163545, 130.7096504 33.816269, 130.7094021 33.8162115, 130.7090208 33.8161292, 130.7085976 33.8160886)",48,中間引野線,yes
169527876,unclassified,False,False,89.16300000000001,"LINESTRING (130.710547 33.8166041, 130.710572 33.816333, 130.7105613 33.815966, 130.7105743 33.8158035)",,,
169543554,primary,False,False,100.581,"LINESTRING (130.710547 33.8166041, 130.710663 33.8166677, 130.7114203 33.8171439)",48,中間引野線,
169526490,unclassified,False,False,31.382,"LINESTRING (130.7143106 33.8166449, 130.7142402 33.8163688)",,,
520347786,unclassified,False,False,147.713,"LINESTRING (130.7143106 33.8166449, 130.7149382 33.8164026, 130.7148156 33.8161842, 130.7142402 33.8163688)",,,
169526482,unclassified,False,False,35.492,"LINESTRING (130.7047447 33.8166563, 130.7046383 33.816963)",,,
169528213,unclassified,False,True,81.01899999999999,"LINESTRING (130.7047447 33.8166563, 130.7046648 33.8166536, 130.7045173 33.8166834, 130.7044393 33.816713, 130.704391 33.8167598, 130.704297 33.8168632, 130.7042013 33.816985, 130.704129 33.8170195, 130.7040637 33.8170423)",,,
169528343,unclassified,False,False,50.363,"LINESTRING (130.7047447 33.8166563, 130.7047871 33.8166735, 130.704836 33.8167371, 130.7048546 33.816823, 130.7048977 33.8169643, 130.7049034 33.8170694)",,,
169527473,tertiary,False,True,17.622,"LINESTRING (130.7040637 33.8170423, 130.7040657 33.817104, 130.7040497 33.817135, 130.7040197 33.8171749, 130.7040048 33.817185)",,,
169527496,tertiary,False,False,46.788,"LINESTRING (130.7040637 33.8170423, 130.703969 33.8166906, 130.703976 33.8166305)",,,
169528213,unclassified,False,False,81.019,"LINESTRING (130.7040637 33.8170423, 130.704129 33.8170195, 130.7042013 33.816985, 130.704297 33.8168632, 130.704391 33.8167598, 130.7044393 33.816713, 130.7045173 33.8166834, 130.7046648 33.8166536, 130.7047447 33.8166563)",,,
169526482,unclassified,False,False,26.431,"LINESTRING (130.7046383 33.816963, 130.7045835 33.8171963)",,,
169526482,unclassified,False,True,35.492,"LINESTRING (130.7046383 33.816963, 130.7047447 33.8166563)",,,
622173076,unclassified,False,False,27.199,"LINESTRING (130.7046383 33.816963, 130.7049034 33.8170694)",,,
169526905,unclassified,False,False,46.789,"LINESTRING (130.7114203 33.8171439, 130.7111439 33.8174965)",,,
169543554,primary,False,False,65.651,"LINESTRING (130.7114203 33.8171439, 130.7119661 33.817522)",48,中間引野線,
169528351,unclassified,False,True,119.30699999999999,"LINESTRING (130.7114203 33.8171439, 130.711516 33.816969, 130.7116054 33.8168664, 130.7116605 33.8167274, 130.7116891 33.8163291, 130.7117738 33.8161325)",,,
169543554,primary,False,True,100.581,"LINESTRING (130.7114203 33.8171439, 130.710663 33.8166677, 130.710547 33.8166041)",48,中間引野線,
169528122,unclassified,False,False,54.163,"LINESTRING (130.7086686 33.8169047, 130.7092067 33.8170981)",,,
88493914,primary,False,True,91.183,"LINESTRING (130.7086686 33.8169047, 130.7086699 33.8167504, 130.7086723 33.8165921, 130.7086324 33.816283, 130.7085976 33.8160886)",73,直方水巻線,
169527473,tertiary,False,False,4.832,"LINESTRING (130.7039642 33.8172124, 130.7040048 33.817185)",,,
169527997,tertiary,False,False,17.666,"LINESTRING (130.7039642 33.8172124, 130.7037964 33.8172886)",,,
