osmid,oneway,name,highway,maxspeed,junction,reversed,length,geometry,ref
238769692,False,,residential,,,False,280.225,"LINESTRING (43.9752571 40.621867, 43.9761471 40.6218197, 43.9762115 40.620362, 43.9764153 40.6202073, 43.9765317 40.6200672)",
238769720,False,Խանջյան փողոց,residential,,,True,180.283,"LINESTRING (43.9739898 40.6216925, 43.9727014 40.6229857)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,False,88.586,"LINESTRING (43.9739898 40.6216925, 43.9731546 40.62121)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,True,113.555,"LINESTRING (43.9739898 40.6216925, 43.9750647 40.6223067)",
238769721,False,,residential,,,True,42.957,"LINESTRING (43.9714693 40.6240836, 43.971051 40.6238635)",
238769720,False,Խանջյան փողոց,residential,,,False,160.369,"LINESTRING (43.9714693 40.6240836, 43.9726801 40.623007, 43.9727014 40.6229857)",
237330832,False,,residential,,,True,72.487,"LINESTRING (43.9732132 40.6177811, 43.9732464 40.6184325)",
237330832,False,,residential,,,False,117.671,"LINESTRING (43.9732132 40.6177811, 43.9731666 40.6168668, 43.9730525 40.6167527)",
246457781,False,,residential,,,True,75.422,"LINESTRING (43.9732132 40.6177811, 43.9736156 40.617768, 43.9738828 40.6180805)",
221638445,False,Բաղրամյան փողոց,primary,60,,True,62.016,"LINESTRING (43.9692994 40.6223871, 43.9694608 40.6229312)",Հ-21
221638445,False,Բաղրամյան փողոց,primary,60,,False,75.787,"LINESTRING (43.9692994 40.6223871, 43.9691724 40.6219589, 43.9691577 40.6217165)",Հ-21
"[246457776, 669020678]",False,Անկախության փողոց,residential,60,,False,157.151,"LINESTRING (43.9692994 40.6223871, 43.9697095 40.6222508, 43.9701923 40.6221938, 43.970379 40.6222195, 43.9704583 40.6221688, 43.9704563 40.6216889)",
170361147,False,Տոնականյան փողոց,residential,60,,False,193.523,"LINESTRING (43.9738828 40.6180805, 43.9757131 40.6170323)",
170361147,False,Տոնականյան փողոց,residential,60,,True,21.709,"LINESTRING (43.9738828 40.6180805, 43.9736775 40.6181981)",
246457781,False,,residential,,,False,75.422,"LINESTRING (43.9738828 40.6180805, 43.9736156 40.617768, 43.9732132 40.6177811)",
237331323,False,,residential,,,False,140.359,"LINESTRING (43.9721864 40.6242751, 43.9733945 40.6234076)",
144453948,False,Մաքսիմ Գորկու փողոց,residential,,,False,181.174,"LINESTRING (43.9666926 40.6197829, 43.9666493 40.6181539)",
144453948,False,Մաքսիմ Գորկու փողոց,residential,,,True,26.498,"LINESTRING (43.9666926 40.6197829, 43.9667016 40.6200211)",
144453948,False,Մաքսիմ Գորկու փողոց,residential,,,False,26.498,"LINESTRING (43.9667016 40.6200211, 43.9666926 40.6197829)",
246465943,True,,residential,,,False,131.247,"LINESTRING (43.9667016 40.6200211, 43.9651471 40.6200519)",
144453948,False,Մաքսիմ Գորկու փողոց,residential,,,True,189.347,"LINESTRING (43.9667016 40.6200211, 43.9667548 40.6214177, 43.9666514 40.6217131)",
221638445,False,Բաղրամյան փողոց,primary,60,,False,67.596,"LINESTRING (43.9696427 40.6235232, 43.9695481 40.6232257, 43.9694608 40.6229312)",Հ-21
246863546,False,,residential,,,True,306.20900000000006,"LINESTRING (43.9696427 40.6235232, 43.9700375 40.6233851, 43.9710027 40.6230659, 43.9710713 40.6231624, 43.971133 40.6231855, 43.9711824 40.6231585, 43.9717649 40.6223916, 43.9716141 40.6223353, 43.9714319 40.6222368, 43.9712065 40.622077)",
299826698,False,,residential,,,True,27.782,"LINESTRING (43.9705864 40.6157797, 43.9702573 40.6157835)",
1244269906,False,,residential,,,True,53.545,"LINESTRING (43.9705864 40.6157797, 43.9706016 40.6162611)",
193850604,False,Անկախության փողոց,residential,60,,True,56.827,"LINESTRING (43.9702573 40.6157835, 43.9702738 40.6162944)",
299826698,False,,residential,,,False,27.782,"LINESTRING (43.9702573 40.6157835, 43.9705864 40.6157797)",
170361147,False,Տոնականյան փողոց,residential,60,,False,111.529,"LINESTRING (43.9721722 40.6190166, 43.9732464 40.6184325)",
170361147,False,Տոնականյան փողոց,residential,60,,True,105.525,"LINESTRING (43.9721722 40.6190166, 43.971157 40.6195705)",
318214149,False,,residential,,,False,199.705,"LINESTRING (43.9721722 40.6190166, 43.9724572 40.6193144, 43.9724973 40.6198651, 43.9725338 40.620074, 43.9725251 40.6202782, 43.9721467 40.6206392)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,True,81.548,"LINESTRING (43.9721467 40.6206392, 43.9729186 40.6210803)",
253487027,False,Գարեգին Նժդեհի փողոց,residential,60,,False,104.265,"LINESTRING (43.9721467 40.6206392, 43.9718124 40.6204481, 43.9711628 40.6200722)",
318214149,False,,residential,,,True,199.705,"LINESTRING (43.9721467 40.6206392, 43.9725251 40.6202782, 43.9725338 40.620074, 43.9724973 40.6198651, 43.9724572 40.6193144, 43.9721722 40.6190166)",
221638445,False,Բաղրամյան փողոց,primary,60,,False,62.016,"LINESTRING (43.9694608 40.6229312, 43.9692994 40.6223871)",Հ-21
221638445,False,Բաղրամյան փողոց,primary,60,,True,67.596,"LINESTRING (43.9694608 40.6229312, 43.9695481 40.6232257, 43.9696427 40.6235232)",Հ-21
318214145,False,,residential,,,False,118.218,"LINESTRING (43.9694608 40.6229312, 43.9688199 40.6231465, 43.9686073 40.6232058, 43.9686246 40.6234199, 43.968681 40.6235582)",
318214145,False,,residential,,,True,118.218,"LINESTRING (43.968681 40.6235582, 43.9686246 40.6234199, 43.9686073 40.6232058, 43.9688199 40.6231465, 43.9694608 40.6229312)",
237331356,False,,residential,,,False,209.892,"LINESTRING (43.9749458 40.6191841, 43.9749524 40.6189849, 43.9749626 40.6186816, 43.974972 40.6183585, 43.974918 40.6183127, 43.9746304 40.6182826, 43.9742584 40.6182676, 43.9739708 40.6183353, 43.973822 40.6183014, 43.9736775 40.6181981)",
"[237331356, 237330862]",False,,residential,,,True,118.50200000000001,"LINESTRING (43.9749458 40.6191841, 43.9749428 40.6192727, 43.9750916 40.6200858, 43.9751456 40.6202365)",
"[336948200, 237330874]",False,,residential,,,True,291.411,"LINESTRING (43.9749458 40.6191841, 43.9746663 40.6191776, 43.9743397 40.6191007, 43.9740144 40.6191544, 43.973721 40.6192537, 43.9735578 40.6193521, 43.973543 40.619653, 43.9736099 40.6199542, 43.9735625 40.6202508, 43.9733957 40.6205383, 43.9732697 40.6207958)",
363222380,False,,residential,,,False,50.778999999999996,"LINESTRING (43.9713406 40.617202, 43.9713835 40.6172814, 43.971425 40.6176509)",
363222371,False,,residential,,,False,15.949,"LINESTRING (43.9726334 40.6174504, 43.9727573 40.6175587)",
237331342,False,Չարենցի փողոց,residential,60,,True,93.462,"LINESTRING (43.971425 40.6176509, 43.9703179 40.6176671)",
"[237331342, 253487031]",False,Չարենցի փողոց,residential,60,,False,88.423,"LINESTRING (43.971425 40.6176509, 43.9719656 40.6176489, 43.9720738 40.6177782, 43.9720986 40.6180091)",
363222380,False,,residential,,,True,50.778999999999996,"LINESTRING (43.971425 40.6176509, 43.9713835 40.6172814, 43.9713406 40.617202)",
253487031,False,,residential,60,,False,7.966,"LINESTRING (43.9720986 40.6180091, 43.9721063 40.6180805)",
"[237331342, 253487031]",False,Չարենցի փողոց,residential,60,,True,88.423,"LINESTRING (43.9720986 40.6180091, 43.9720738 40.6177782, 43.9719656 40.6176489, 43.971425 40.6176509)",
363222371,False,,residential,,,True,89.034,"LINESTRING (43.9720986 40.6180091, 43.9728212 40.6177334, 43.9728212 40.6176581, 43.9727756 40.6175746, 43.9727573 40.6175587)",
363439199,False,,residential,,,False,70.053,"LINESTRING (43.96835 40.6181508, 43.968163 40.6187646)",
363439199,False,,residential,,,True,70.053,"LINESTRING (43.968163 40.6187646, 43.96835 40.6181508)",
363439199,False,,residential,,,False,176.411,"LINESTRING (43.968163 40.6187646, 43.9679247 40.6195466, 43.9679132 40.6196932, 43.967956 40.6200169, 43.9679425 40.6203284)",
363439208,False,,residential,,,False,76.789,"LINESTRING (43.968163 40.6187646, 43.968417 40.6187697, 43.9687469 40.6187127, 43.9690625 40.6186874)",
221638447,False,Բաղրամյան փողոց,residential,60,,False,109.44300000000001,"LINESTRING (43.9690625 40.6186874, 43.968957 40.6183318, 43.9688204 40.6177208)",
221638447,False,Բաղրամյան փողոց,residential,60,,True,131.111,"LINESTRING (43.9690625 40.6186874, 43.9690634 40.6188929, 43.9690658 40.6198665)",
363439208,False,,residential,,,True,76.789,"LINESTRING (43.9690625 40.6186874, 43.9687469 40.6187127, 43.968417 40.6187697, 43.968163 40.6187646)",
363439199,False,,residential,,,True,176.411,"LINESTRING (43.9679425 40.6203284, 43.967956 40.6200169, 43.9679132 40.6196932, 43.9679247 40.6195466, 43.968163 40.6187646)",
237330821,False,Մյասնիկյանի փողոց,residential,,,False,85.731,"LINESTRING (43.9727014 40.6229857, 43.971909 40.6225033)",
237330821,False,Մյասնիկյանի փողոց,residential,,,True,74.984,"LINESTRING (43.9727014 40.6229857, 43.9733945 40.6234076)",
238769720,False,Խանջյան փողոց,residential,,,False,180.283,"LINESTRING (43.9727014 40.6229857, 43.9739898 40.6216925)",
238769720,False,Խանջյան փողոց,residential,,,True,160.369,"LINESTRING (43.9727014 40.6229857, 43.9726801 40.623007, 43.9714693 40.6240836)",
