osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,junction
315925832,ER 102,Rua da Igreja,residential,False,False,82.883,"LINESTRING (-16.8461468 32.6810043, -16.8461783 32.6812278, -16.8461922 32.681371, -16.8461964 32.6814141, -16.8461984 32.6814694, -16.846173 32.6815597, -16.8461233 32.6816342, -16.8460429 32.6817076)",,,
1091621853,ER 102,Rua da Igreja,residential,False,False,17.778,"LINESTRING (-16.8463323 32.6809699, -16.8461468 32.6810043)",,,
315925834,ER 102,Rua da Igreja,residential,False,True,35.775999999999996,"LINESTRING (-16.8463323 32.6809699, -16.8463447 32.6809129, -16.8464054 32.6806541)",,,
407765369,,,residential,False,True,64.759,"LINESTRING (-16.8463323 32.6809699, -16.8464184 32.6810066, -16.8464667 32.681028, -16.8465243 32.6810788, -16.8465418 32.6811381, -16.846582 32.6812504, -16.8466598 32.6813114, -16.8467832 32.6813655)",,,
315925864,,Rua Maria Ascensão,residential,True,False,64.95100000000001,"LINESTRING (-16.8464056 32.68014, -16.846059 32.680055, -16.845945 32.6800381, -16.8458846 32.6800313, -16.8458047 32.6800202, -16.8457295 32.6800233)",,,
28653319,,Caminho Fonte Concelos,unclassified,False,True,158.554,"LINESTRING (-16.8440071 32.6765161, -16.8441251 32.6765308, -16.8443356 32.6765703, -16.8445261 32.6765974, -16.8447125 32.6766121, -16.8448667 32.6766527, -16.8449821 32.6767272, -16.84508 32.6768367, -16.8451913 32.6769959, -16.8453093 32.6772183)",,,
726941206,,Caminho Fonte Concelos,unclassified,False,True,204.642,"LINESTRING (-16.8440071 32.6765161, -16.843395 32.67618, -16.84339 32.676115, -16.843765 32.67592, -16.843833 32.675837, -16.844025 32.675168)",,,
"[442675156, 726941207]",,,unclassified,False,False,452.973,"LINESTRING (-16.8440071 32.6765161, -16.8438193 32.6765579, -16.8436879 32.6765805, -16.8435672 32.6766324, -16.8434411 32.6767317, -16.8433432 32.6768401, -16.8433258 32.676927, -16.8433526 32.6769993, -16.8435122 32.677102, -16.8437348 32.6772442, -16.8438314 32.6773865, -16.8438488 32.6774892, -16.8438247 32.6777093, -16.8438166 32.67775, -16.8437804 32.6777725, -16.8437563 32.6777804, -16.8437228 32.6777782, -16.8436933 32.6777454, -16.8436919 32.6777026, -16.8436812 32.6776156, -16.8436235 32.6775039, -16.8434653 32.6774057, -16.8430509 32.6772646, -16.8425268 32.6770574, -16.8422891 32.6768559, -16.8421671 32.6767024, -16.841848 32.6763735)",,,
28948011,,Caminho Municipal da Achadinha,unclassified,False,True,228.966,"LINESTRING (-16.8484649 32.6792016, -16.8485172 32.6792637, -16.8485593 32.6793396, -16.8485829 32.6794059, -16.8485843 32.6794748, -16.8485346 32.67952, -16.8484917 32.6795583, -16.848426 32.6796317, -16.8484019 32.6796735, -16.8483952 32.679722, -16.8484059 32.6797796, -16.8484381 32.6798146, -16.8484944 32.6798259, -16.8485628 32.6797909, -16.8486674 32.6797401, -16.8487251 32.6797322, -16.8487559 32.6797344, -16.8487908 32.6797615, -16.8487988 32.6797943, -16.8487814 32.6798405, -16.8487452 32.6799071, -16.8487479 32.67995, -16.8487586 32.6800031, -16.8487935 32.6800437, -16.8488525 32.6800708, -16.8489584 32.680081, -16.8490832 32.680046, -16.8495941 32.6798688)",,,
167202084,,Rua Maria Ascensão,residential,True,False,25.778,"LINESTRING (-16.8484649 32.6792016, -16.8483597 32.6792466, -16.8482222 32.6793111)",,,
