osmid,ref,highway,oneway,reversed,length,name,geometry,maxspeed
807180050,,residential,False,False,10.374,,"LINESTRING (-8.8699861 38.9378459, -8.8699939 38.937939)",
807180050,,residential,False,True,80.379,,"LINESTRING (-8.8699861 38.9378459, -8.8701495 38.9371343)",
669471677,,residential,False,False,95.276,,"LINESTRING (-8.871284 38.9373108, -8.8705346 38.9366828)",
807180052,,residential,False,False,45.510999999999996,,"LINESTRING (-8.871284 38.9373108, -8.8713194 38.9372908, -8.8716996 38.9370598)",
"[78384740, 807180052]",,residential,False,True,38.981,,"LINESTRING (-8.871284 38.9373108, -8.8713588 38.9373989, -8.871104 38.9375429)",
78384745,,residential,False,False,70.685,,"LINESTRING (-8.8650534 38.9383153, -8.8650099 38.9380795, -8.8650533 38.9380289, -8.8651652 38.9380093, -8.8654831 38.9380008)",
78384751,,residential,False,False,84.35600000000001,,"LINESTRING (-8.8650534 38.9383153, -8.865384 38.9384289, -8.865621 38.9384684, -8.8659145 38.9384464, -8.8659878 38.9384289)",
78384751,,residential,False,True,33.056,,"LINESTRING (-8.8650534 38.9383153, -8.8648842 38.9382705, -8.8647407 38.9382445, -8.8646847 38.9382417)",
123189921,,residential,True,False,135.285,Rua dos Operários Agrícolas,"LINESTRING (-8.8700584 38.9363429, -8.8692613 38.9352961)",50
78384747,,residential,False,True,71.663,,"LINESTRING (-8.8700584 38.9363429, -8.8697927 38.9365269, -8.8695542 38.9367156, -8.8694498 38.9367792)",
78384634,,residential,False,False,16.984,,"LINESTRING (-8.8692631 38.9380361, -8.8692588 38.9381888)",
"[78384649, 78384634]",,residential,False,True,55.385,,"LINESTRING (-8.8692631 38.9380361, -8.869269 38.9378256, -8.8693996 38.9375566)",
78384707,,residential,False,True,63.870000000000005,,"LINESTRING (-8.8692631 38.9380361, -8.8693738 38.9380389, -8.8695797 38.9380389, -8.8697061 38.9381007, -8.8698686 38.9381401, -8.8699696 38.9381527)",
78384742,,residential,False,True,73.256,,"LINESTRING (-8.8639878 38.9367388, -8.8637922 38.9360978)",
78384726,,residential,False,True,76.355,,"LINESTRING (-8.8662941 38.9387977, -8.8671549 38.9386453)",
78384741,,residential,False,True,44.282,,"LINESTRING (-8.8662941 38.9387977, -8.8662162 38.9384041)",
78384741,,residential,False,False,40.838,,"LINESTRING (-8.8662941 38.9387977, -8.8662979 38.9388168, -8.8663376 38.9390175, -8.8663659 38.9391607)",
78384698,,residential,False,True,57.79,,"LINESTRING (-8.8717458 38.9380269, -8.8723275 38.9377712)",
78384643,,residential,False,False,58.201,,"LINESTRING (-8.8717458 38.9380269, -8.8719092 38.9383693, -8.8719646 38.9385215)",
78384698,,residential,False,False,81.604,,"LINESTRING (-8.8717458 38.9380269, -8.8715368 38.9381243, -8.8712272 38.9382915, -8.8709444 38.9384128)",
78384643,,residential,False,False,95.07300000000001,,"LINESTRING (-8.8719646 38.9385215, -8.8720736 38.9386358, -8.8722013 38.9386439, -8.8723708 38.9385846, -8.8726303 38.9384311, -8.8728379 38.9382893)",
78384643,,residential,False,True,58.201,,"LINESTRING (-8.8719646 38.9385215, -8.8719092 38.9383693, -8.8717458 38.9380269)",
78384756,,residential,False,False,91.75800000000001,,"LINESTRING (-8.8719646 38.9385215, -8.8718068 38.9384497, -8.8715948 38.9384126, -8.8714042 38.9384397, -8.8712359 38.9384577, -8.8709444 38.9384128)",
78384699,,residential,False,False,104.46000000000001,,"LINESTRING (-8.8713457 38.9351595, -8.8712628 38.9351574, -8.8711854 38.9351135, -8.8705351 38.9344932)",
78384699,,residential,False,True,150.934,,"LINESTRING (-8.8713457 38.9351595, -8.8714607 38.9351259, -8.8718162 38.9349868, -8.8718781 38.9349303, -8.871878 38.9348668, -8.8718458 38.9348033, -8.8714227 38.9341335)",
1182455822,,residential,False,False,39.19499999999999,,"LINESTRING (-8.8713457 38.9351595, -8.8713275 38.9352449, -8.8713517 38.935343, -8.8714482 38.9354911)",
1220354263,EN 118,primary,False,False,81.918,,"LINESTRING (-8.874492 38.9332837, -8.8742904 38.9335247, -8.8739755 38.9339012)",
78384713,,residential,False,True,42.401,,"LINESTRING (-8.8681285 38.9358733, -8.8680342 38.9354991)",
78384713,,residential,False,False,55.605000000000004,,"LINESTRING (-8.8681285 38.9358733, -8.867727 38.9359192, -8.8674994 38.9359708)",
306550388,,residential,False,False,176.962,,"LINESTRING (-8.8681285 38.9358733, -8.8682087 38.935873, -8.8682602 38.9359134, -8.868301 38.9360206, -8.8684254 38.9365314, -8.8685066 38.9365617, -8.8692183 38.9366848, -8.8694498 38.9367792)",
78384644,,residential,False,False,111.60499999999999,,"LINESTRING (-8.8746925 38.9357022, -8.8746202 38.9355913, -8.8742469 38.9352117, -8.8738901 38.9349217)",
78384739,,residential,False,True,107.8,,"LINESTRING (-8.8746925 38.9357022, -8.8743007 38.9358475, -8.8735931 38.9361578)",
78384753,,residential,False,False,38.382,,"LINESTRING (-8.8672249 38.9379498, -8.8667904 38.93802)",
1196903903,,residential,False,False,27.913,,"LINESTRING (-8.8660214 38.9354143, -8.8657116 38.9354846)",
1196903903,,residential,False,True,55.97,,"LINESTRING (-8.8660214 38.9354143, -8.8666477 38.9352877)",
78384653,,residential,False,True,103.57,,"LINESTRING (-8.8660214 38.9354143, -8.8659616 38.9350391, -8.8659977 38.9350005, -8.8660654 38.9349864, -8.8666453 38.9349903)",
78384726,,residential,False,False,76.355,,"LINESTRING (-8.8671549 38.9386453, -8.8662941 38.9387977)",
123189921,,residential,True,False,32.398,Rua dos Operários Agrícolas,"LINESTRING (-8.8692613 38.9352961, -8.8691202 38.9350262)",50
78384636,,residential,False,False,108.512,,"LINESTRING (-8.8692613 38.9352961, -8.8687277 38.9353875, -8.8680342 38.9354991)",
78384727,,residential,False,False,46.467,Estrada do Brejo,"LINESTRING (-8.8658551 38.9358873, -8.8657116 38.9354846)",50
78384636,,residential,False,True,73.253,,"LINESTRING (-8.8658551 38.9358873, -8.8663322 38.9357834, -8.8666725 38.935715)",
78384727,,residential,False,True,126.85300000000001,Estrada do Brejo,"LINESTRING (-8.8658551 38.9358873, -8.8660355 38.9362854, -8.8660691 38.9363402, -8.8661082 38.9363906, -8.8664876 38.936912)",50
1220354263,EN 118,primary,False,True,8.56,,"LINESTRING (-8.8735892 38.9342555, -8.873664 38.9342051)",
306553983,,residential,False,True,159.187,,"LINESTRING (-8.8735892 38.9342555, -8.8738588 38.9345384, -8.874406 38.9350613, -8.8747457 38.9353685)",
1220354263,EN 118,primary,False,False,135.47899999999998,,"LINESTRING (-8.8735892 38.9342555, -8.873047 38.934688, -8.8724853 38.9351198)",
"[78384740, 807180052]",,residential,False,False,38.981,,"LINESTRING (-8.871104 38.9375429, -8.8713588 38.9373989, -8.871284 38.9373108)",
78384754,,residential,False,True,94.553,,"LINESTRING (-8.871104 38.9375429, -8.8709785 38.937469, -8.870273 38.9371667, -8.8701495 38.9371343)",
807180051,,residential,False,False,96.152,,"LINESTRING (-8.871104 38.9375429, -8.8709813 38.9377178, -8.8707054 38.9379462, -8.8703835 38.9381937)",
78384751,,residential,False,False,39.351,,"LINESTRING (-8.8660252 38.9373305, -8.8660537 38.9369773)",
78384733,,residential,False,False,101.84,,"LINESTRING (-8.8660252 38.9373305, -8.8657464 38.9373177, -8.8653683 38.9373616, -8.8648604 38.9374319)",
78384751,,residential,False,True,122.221,,"LINESTRING (-8.8660252 38.9373305, -8.8659947 38.9377084, -8.8659878 38.9384289)",
306550406,,residential,False,True,76.35,,"LINESTRING (-8.8673607 38.9345516, -8.866986 38.9339299)",
78384755,,residential,False,False,90.91900000000001,,"LINESTRING (-8.8673607 38.9345516, -8.8666855 38.9347507, -8.8666314 38.9347978, -8.8666453 38.9349903)",
78384755,,residential,False,True,139.802,,"LINESTRING (-8.8673607 38.9345516, -8.8675752 38.9349569, -8.868547 38.9346418)",
78384648,,residential,False,True,60.122,,"LINESTRING (-8.8643418 38.9382929, -8.8643289 38.9377523)",
78384751,,residential,False,False,30.199,,"LINESTRING (-8.8643418 38.9382929, -8.8646847 38.9382417)",
807180050,,residential,False,True,23.855,,"LINESTRING (-8.8699696 38.9381527, -8.8699939 38.937939)",
78384707,,residential,False,False,63.87,,"LINESTRING (-8.8699696 38.9381527, -8.8698686 38.9381401, -8.8697061 38.9381007, -8.8695797 38.9380389, -8.8693738 38.9380389, -8.8692631 38.9380361)",
807180050,,residential,False,False,48.323,,"LINESTRING (-8.8699696 38.9381527, -8.8699667 38.9381721, -8.8699126 38.9385344, -8.8699018 38.938584)",
78384723,,residential,False,True,31.067,,"LINESTRING (-8.8667904 38.93802, -8.8668509 38.9382954)",
78384753,,residential,False,False,30.44,,"LINESTRING (-8.8667904 38.93802, -8.8664462 38.9380771)",
78384753,,residential,False,True,38.382,,"LINESTRING (-8.8667904 38.93802, -8.8672249 38.9379498)",
1220354263,EN 118,primary,False,False,43.315,,"LINESTRING (-8.8739755 38.9339012, -8.8739027 38.9339907, -8.8737944 38.9340885, -8.873664 38.9342051)",
1220354263,EN 118,primary,False,True,81.918,,"LINESTRING (-8.8739755 38.9339012, -8.8742904 38.9335247, -8.874492 38.9332837)",
78384721,,residential,False,True,72.579,,"LINESTRING (-8.8728379 38.9382893, -8.8723275 38.9377712)",
78384643,,residential,False,True,95.07300000000001,,"LINESTRING (-8.8728379 38.9382893, -8.8726303 38.9384311, -8.8723708 38.9385846, -8.8722013 38.9386439, -8.8720736 38.9386358, -8.8719646 38.9385215)",
306553980,,residential,False,False,168.561,,"LINESTRING (-8.8728379 38.9382893, -8.8740563 38.9375602, -8.874014 38.937498, -8.8738489 38.9372837)",
78384688,,residential,False,False,56.21,,"LINESTRING (-8.8662162 38.9384041, -8.8668509 38.9382954)",
78384688,,residential,False,True,19.946,,"LINESTRING (-8.8662162 38.9384041, -8.8659878 38.9384289)",
78384741,,residential,False,False,44.282,,"LINESTRING (-8.8662162 38.9384041, -8.8662941 38.9387977)",
78384727,,residential,False,False,23.773,Estrada do Brejo,"LINESTRING (-8.8657116 38.9354846, -8.8656475 38.9352767)",50
78384727,,residential,False,True,46.467,Estrada do Brejo,"LINESTRING (-8.8657116 38.9354846, -8.8658551 38.9358873)",50
1196903903,,residential,False,True,27.913,,"LINESTRING (-8.8657116 38.9354846, -8.8660214 38.9354143)",
78384636,,residential,False,False,55.042,,"LINESTRING (-8.8674161 38.9356032, -8.8667894 38.9356892)",
78384731,,residential,False,True,41.505,,"LINESTRING (-8.8674161 38.9356032, -8.8674994 38.9359708)",
78384636,,residential,False,True,54.705,,"LINESTRING (-8.8674161 38.9356032, -8.8679652 38.9355127, -8.8680342 38.9354991)",
78384698,,residential,False,True,81.60399999999998,,"LINESTRING (-8.8709444 38.9384128, -8.8712272 38.9382915, -8.8715368 38.9381243, -8.8717458 38.9380269)",
78384756,,residential,False,False,18.17,,"LINESTRING (-8.8709444 38.9384128, -8.8708242 38.9384371, -8.8707411 38.938454)",
78384756,,residential,False,True,91.758,,"LINESTRING (-8.8709444 38.9384128, -8.8712359 38.9384577, -8.8714042 38.9384397, -8.8715948 38.9384126, -8.8718068 38.9384497, -8.8719646 38.9385215)",
78384727,,residential,False,True,5.73,Estrada do Brejo,"LINESTRING (-8.8651468 38.9339524, -8.8651819 38.9339961)",50
78384727,,residential,False,False,81.937,Estrada do Brejo,"LINESTRING (-8.8651468 38.9339524, -8.8647088 38.9335668, -8.8644744 38.9334396)",50
78384755,,residential,False,False,37.442,,"LINESTRING (-8.8689467 38.9345125, -8.868547 38.9346418)",
347696516,,residential,False,True,57.162,Rua dos Operários Agrícolas,"LINESTRING (-8.8689467 38.9345125, -8.8691076 38.9350111)",50
347696516,,residential,False,False,59.039,Rua dos Operários Agrícolas,"LINESTRING (-8.8689467 38.9345125, -8.8689341 38.9344884, -8.8686885 38.934021)",50
78384641,,residential,False,True,161.554,,"LINESTRING (-8.8636116 38.9349025, -8.8641289 38.934803, -8.8654171 38.9345307)",
78384702,,residential,False,True,176.65,,"LINESTRING (-8.8636116 38.9349025, -8.863576 38.9347849, -8.8636212 38.9347252, -8.8640139 38.9345777, -8.8646595 38.9344056, -8.8653111 38.934256)",
78384755,,residential,False,False,33.07,,"LINESTRING (-8.8666453 38.9349903, -8.8666477 38.9352877)",
78384653,,residential,False,False,103.57,,"LINESTRING (-8.8666453 38.9349903, -8.8660654 38.9349864, -8.8659977 38.9350005, -8.8659616 38.9350391, -8.8660214 38.9354143)",
78384755,,residential,False,True,90.919,,"LINESTRING (-8.8666453 38.9349903, -8.8666314 38.9347978, -8.8666855 38.9347507, -8.8673607 38.9345516)",
78384688,,residential,False,True,56.21,,"LINESTRING (-8.8668509 38.9382954, -8.8662162 38.9384041)",
78384723,,residential,False,False,31.067,,"LINESTRING (-8.8668509 38.9382954, -8.8667904 38.93802)",
78384688,,residential,False,False,65.497,,"LINESTRING (-8.8668509 38.9382954, -8.8675718 38.9381719, -8.8675909 38.9381721)",
78384705,,residential,False,False,53.075,,"LINESTRING (-8.8643998 38.9360452, -8.8642232 38.936056, -8.8639242 38.9360693, -8.8637922 38.9360978)",
78384705,,residential,False,True,63.468,,"LINESTRING (-8.8643998 38.9360452, -8.8645742 38.9361231, -8.864756 38.9361609, -8.8649954 38.9362114, -8.8650796 38.936248)",
306550376,,residential,False,True,59.07,,"LINESTRING (-8.8643998 38.9360452, -8.8643998 38.9359706, -8.8643743 38.9355144)",
78384698,,residential,False,False,57.79,,"LINESTRING (-8.8723275 38.9377712, -8.8717458 38.9380269)",
78384698,,residential,False,True,28.399,,"LINESTRING (-8.8723275 38.9377712, -8.8725778 38.9376059)",
78384721,,residential,False,False,72.579,,"LINESTRING (-8.8723275 38.9377712, -8.8728379 38.9382893)",
78384721,,residential,False,True,28.931,,"LINESTRING (-8.8723275 38.9377712, -8.8721395 38.937556)",
347696516,,residential,False,False,57.162,Rua dos Operários Agrícolas,"LINESTRING (-8.8691076 38.9350111, -8.8689467 38.9345125)",50
347696516,,residential,False,True,2.002,Rua dos Operários Agrícolas,"LINESTRING (-8.8691076 38.9350111, -8.8691202 38.9350262)",50
78384744,,residential,False,False,64.06,,"LINESTRING (-8.8691076 38.9350111, -8.8689145 38.9349277, -8.8688323 38.9348638, -8.868547 38.9346418)",
78384634,,residential,False,False,32.877,,"LINESTRING (-8.8692588 38.9381888, -8.8691717 38.9384766)",
78384634,,residential,False,True,16.984,,"LINESTRING (-8.8692588 38.9381888, -8.8692631 38.9380361)",
78384688,,residential,False,True,144.269,,"LINESTRING (-8.8692588 38.9381888, -8.8675909 38.9381721)",
347696509,,residential,False,True,35.025,,"LINESTRING (-8.8714227 38.9341335, -8.8717833 38.9339902)",
78384699,,residential,False,False,150.934,,"LINESTRING (-8.8714227 38.9341335, -8.8718458 38.9348033, -8.871878 38.9348668, -8.8718781 38.9349303, -8.8718162 38.9349868, -8.8714607 38.9351259, -8.8713457 38.9351595)",
347696509,,residential,False,False,86.761,,"LINESTRING (-8.8714227 38.9341335, -8.8711399 38.9342244, -8.8706974 38.9344316, -8.8705351 38.9344932)",
78384676,,residential,False,True,57.857,,"LINESTRING (-8.8675909 38.9381721, -8.867654 38.9386901)",
78384688,,residential,False,False,144.269,,"LINESTRING (-8.8675909 38.9381721, -8.8692588 38.9381888)",
78384676,,residential,False,False,164.481,,"LINESTRING (-8.8675909 38.9381721, -8.8675297 38.9376027, -8.8678596 38.9371274, -8.8678901 38.9370687, -8.8680469 38.9371181, -8.8681491 38.9369647)",
78384688,,residential,False,True,65.497,,"LINESTRING (-8.8675909 38.9381721, -8.8675718 38.9381719, -8.8668509 38.9382954)",
78384731,,residential,False,False,41.505,,"LINESTRING (-8.8674994 38.9359708, -8.8674161 38.9356032)",
78384713,,residential,False,False,102.394,,"LINESTRING (-8.8674994 38.9359708, -8.866851 38.9360908, -8.866779 38.9359886, -8.8666725 38.935715)",
78384713,,residential,False,True,55.605000000000004,,"LINESTRING (-8.8674994 38.9359708, -8.867727 38.9359192, -8.8681285 38.9358733)",
306550371,,residential,False,True,46.672,,"LINESTRING (-8.8674994 38.9359708, -8.8676354 38.9359846, -8.8677314 38.9360526, -8.8679275 38.9361999)",
306553983,,residential,False,False,159.187,,"LINESTRING (-8.8747457 38.9353685, -8.874406 38.9350613, -8.8738588 38.9345384, -8.8735892 38.9342555)",
78384639,,residential,False,False,28.873,,"LINESTRING (-8.8702061 38.9368784, -8.8701495 38.9371343)",
807180049,EN 118,primary,False,False,39.539,,"LINESTRING (-8.8702061 38.9368784, -8.870097 38.936932, -8.869793 38.937028)",
