osmid,name,highway,oneway,reversed,length,geometry,ref
172554546,проспект Тараса Шевченка,secondary,False,False,34.002,"LINESTRING (25.978034 49.4270808, 25.9782277 49.4271839, 25.9784055 49.427268)",
172554546,проспект Тараса Шевченка,secondary,False,True,214.89300000000003,"LINESTRING (25.978034 49.4270808, 25.9778077 49.4269605, 25.977483 49.426785, 25.9767886 49.4263678, 25.976568 49.4262246, 25.9764286 49.4261019, 25.976074 49.4257963, 25.9759601 49.4257085)",
287776872,вулиця Кривоноса,residential,False,False,38.604,"LINESTRING (25.978034 49.4270808, 25.9782717 49.4268883, 25.9783937 49.426827)",
287776876,,residential,False,True,59.931,"LINESTRING (25.9822019 49.4271638, 25.9820778 49.4270855, 25.9818791 49.4270296, 25.9815505 49.4269898, 25.9814557 49.4269604)",
287776880,вулиця Коновальця,residential,False,True,160.235,"LINESTRING (25.9822019 49.4271638, 25.9820669 49.4273037, 25.9819541 49.4274285, 25.9814313 49.4279431, 25.9811401 49.4282093, 25.9810229 49.4283807)",
287795035,вулиця Коновальця,residential,False,True,68.88799999999999,"LINESTRING (25.9822019 49.4271638, 25.9823968 49.4271215, 25.9826471 49.4269923, 25.9827846 49.4269128, 25.9828687 49.4268544, 25.9829241 49.4267848)",
287795044,проспект Тараса Шевченка,residential,False,False,60.028,"LINESTRING (25.9803567 49.4280587, 25.9810229 49.4283807)",
287776878,вулиця Винниченка,residential,False,False,147.668,"LINESTRING (25.9803567 49.4280587, 25.9803967 49.4279551, 25.980431 49.4279017, 25.9808744 49.4274657, 25.9812278 49.4271178, 25.9813597 49.4269886, 25.9814557 49.4269604)",
287795044,проспект Тараса Шевченка,residential,False,True,166.487,"LINESTRING (25.9803567 49.4280587, 25.9798198 49.4278136, 25.9788785 49.4274289, 25.9786347 49.4273369, 25.9784055 49.427268)",
287777156,вулиця Вишневецького,residential,False,False,362.4229999999999,"LINESTRING (25.9767837 49.4211995, 25.9771542 49.4210583, 25.9775852 49.4209008, 25.9779539 49.4207516, 25.9783051 49.4206467, 25.9787089 49.4205355, 25.9789703 49.4204633, 25.9790103 49.4204564, 25.9791212 49.4204372, 25.9792301 49.4204521, 25.97953 49.4205329, 25.9797917 49.4206584, 25.9799636 49.4207603, 25.9801031 49.4207964, 25.9803591 49.4208274, 25.9806189 49.4208349, 25.980745 49.4208324, 25.9809169 49.4208759, 25.9811958 49.4209331, 25.9813144 49.4209462)",
287834556,вулиця Михайла Грушевського,secondary,False,True,169.85099999999997,"LINESTRING (25.9767837 49.4211995, 25.9768785 49.4212781, 25.97752 49.4219133, 25.9777143 49.4222005, 25.977778 49.4224298, 25.9777673 49.4225504)",Т-20-02
287777159,вулиця Тараса Шевченка,residential,False,False,197.891,"LINESTRING (25.979168 49.4222949, 25.9793212 49.422191, 25.9795504 49.4221363, 25.9796956 49.4221003, 25.9798274 49.422022, 25.9799497 49.4219449, 25.9800815 49.4218952, 25.9802381 49.4218716, 25.9803317 49.4218766, 25.980647 49.4219164, 25.9808437 49.4219971, 25.980987 49.4220568, 25.9811685 49.4221077, 25.9812965 49.4221649, 25.9814111 49.422232, 25.9815144 49.4222814)",
287795037,Козацька вулиця,residential,False,True,188.99800000000002,"LINESTRING (25.979168 49.4222949, 25.9793651 49.4224444, 25.9795596 49.4227712, 25.9798001 49.4232571, 25.9800772 49.42378, 25.9801235 49.4238635)",
287795043,вулиця Тараса Шевченка,residential,False,True,108.217,"LINESTRING (25.979168 49.4222949, 25.9789573 49.4222586, 25.9785574 49.4223394, 25.9779874 49.4224607, 25.9777673 49.4225504)",
287795047,вулиця Чубинського,residential,False,False,167.095,"LINESTRING (25.9728306 49.4229437, 25.9730255 49.4232456, 25.9733349 49.4237986, 25.9734419 49.423944, 25.9737974 49.4243013)",
172317727,вулиця Незалежності,tertiary,False,False,70.507,"LINESTRING (25.983339 49.4235379, 25.9840157 49.4234753, 25.9843037 49.4234468)",О201215
172317727,вулиця Незалежності,tertiary,False,True,142.791,"LINESTRING (25.983339 49.4235379, 25.9825303 49.4236128, 25.9813879 49.4237334)",О201215
287795045,вулиця Чорновола,residential,False,False,222.13799999999998,"LINESTRING (25.983339 49.4235379, 25.9833845 49.423749, 25.9834151 49.4239267, 25.9833979 49.4241056, 25.9833406 49.4242286, 25.9832622 49.4243889, 25.9831705 49.4244809, 25.9830273 49.4245455, 25.9827885 49.4245902, 25.9825535 49.4246163, 25.9822596 49.4246402, 25.9817992 49.4246589, 25.9816529 49.4246795)",
