osmid,name,highway,maxspeed,oneway,reversed,length,geometry,ref,bridge
285791536,Набережна вулиця,residential,50,False,True,229.015,"LINESTRING (23.4853467 49.6568015, 23.4851823 49.6565519, 23.4850452 49.6563523, 23.4848502 49.6559586, 23.4847615 49.6558774, 23.4846402 49.6558247, 23.4844212 49.655745, 23.4841305 49.6556322, 23.48394 49.6555692, 23.4837157 49.6555137, 23.4832937 49.655428)",,
285791536,Набережна вулиця,residential,50,False,False,89.757,"LINESTRING (23.4858245 49.6574592, 23.4846972 49.6578042)",,
285791536,Набережна вулиця,residential,50,False,True,80.817,"LINESTRING (23.4858245 49.6574592, 23.4853467 49.6568015)",,
221596269,вулиця Дмитра Данилишина,residential,50,False,False,207.801,"LINESTRING (23.4858245 49.6574592, 23.4858676 49.6574106, 23.4865882 49.6571118, 23.486594 49.6570343, 23.486229 49.6565433, 23.486116 49.6565402, 23.4859843 49.6565968, 23.4853467 49.6568015)",,
218211465,вулиця Тараса Шевченка,tertiary,50,False,False,23.279,"LINESTRING (23.4835356 49.6582388, 23.4834253 49.6584356)",,
218211465,вулиця Тараса Шевченка,tertiary,50,False,True,120.83,"LINESTRING (23.4835356 49.6582388, 23.4835146 49.6580093, 23.4834823 49.6575161, 23.4834827 49.657153)",,
285791536,Набережна вулиця,residential,50,False,True,96.663,"LINESTRING (23.4835356 49.6582388, 23.4842099 49.6579654, 23.4846972 49.6578042)",,
218211465,вулиця Тараса Шевченка,tertiary,50,False,True,23.279,"LINESTRING (23.4834253 49.6584356, 23.4835356 49.6582388)",,
285791521,Торгова вулиця,residential,50,False,False,85.408,"LINESTRING (23.4834309 49.6506127, 23.4822726 49.6507787)",,
364073923,Бічна Торгова вулиця,residential,50,False,False,333.689,"LINESTRING (23.4834309 49.6506127, 23.483668 49.6511134, 23.4836835 49.6512116, 23.4835825 49.651272, 23.4831848 49.6513377, 23.4816041 49.6515916, 23.4815175 49.6516162, 23.4814812 49.6516793, 23.4817595 49.6522122, 23.4813551 49.6523064)",,
285791521,Торгова вулиця,residential,50,False,True,85.408,"LINESTRING (23.4822726 49.6507787, 23.4834309 49.6506127)",,
380319428,Самбірська вулиця,primary,40,False,True,74.483,"LINESTRING (23.4862077 49.6512382, 23.4863073 49.6512871, 23.486432 49.6513633, 23.4865044 49.6514232, 23.4865661 49.6515048, 23.4866204 49.6515834, 23.4866506 49.6516576, 23.486699 49.6518024)",Н-13,
285791530,Весняна вулиця,residential,50,False,True,46.586,"LINESTRING (23.4817475 49.6575001, 23.481105 49.6575504)",,
221596277,вулиця Січових Стрільців,residential,50,False,True,96.341,"LINESTRING (23.481105 49.6575504, 23.4810073 49.6566863)",,
285791530,Весняна вулиця,residential,50,False,False,46.586,"LINESTRING (23.481105 49.6575504, 23.4817475 49.6575001)",,
362465638,вулиця Василя Стефаника,residential,50,False,True,108.21200000000002,"LINESTRING (23.49225 49.6513972, 23.4918718 49.6519052, 23.4917676 49.6519764, 23.4915242 49.6520494, 23.4913124 49.6520592)",,
