osmid,name,highway,width,oneway,reversed,length,lanes,ref,maxspeed,geometry
365316744,Набережна вулиця,residential,,False,True,451.259,,,,"LINESTRING (36.2400682 47.9823911, 36.2367866 47.9805161, 36.2354074 47.979797)"
203891985,Центральна вулиця,tertiary,6,False,False,153.078,,,,"LINESTRING (36.234169 47.9808961, 36.2354074 47.979797)"
250103462,вулиця Дмитра Яворницького,residential,,True,False,443.984,,,,"LINESTRING (36.234169 47.9808961, 36.2388114 47.9834034)"
203891985,Центральна вулиця,tertiary,6,False,True,175.194,,,,"LINESTRING (36.234169 47.9808961, 36.2337998 47.9811308, 36.2325493 47.9820385)"
365316744,Набережна вулиця,residential,,False,False,440.43,,,,"LINESTRING (36.2308987 47.977232, 36.2354074 47.979797)"
365316750,вулиця Михайла Грушевського,residential,,False,True,45.083,,,,"LINESTRING (36.2308987 47.977232, 36.2305348 47.9775561)"
203891985,Центральна вулиця,tertiary,6,False,True,153.078,,,,"LINESTRING (36.2354074 47.979797, 36.234169 47.9808961)"
365316744,Набережна вулиця,residential,,False,True,440.43,,,,"LINESTRING (36.2354074 47.979797, 36.2308987 47.977232)"
365316744,Набережна вулиця,residential,,False,False,451.259,,,,"LINESTRING (36.2354074 47.979797, 36.2367866 47.9805161, 36.2400682 47.9823911)"
365316750,вулиця Михайла Грушевського,residential,,False,False,7.47,,,,"LINESTRING (36.2266887 47.9806149, 36.2267515 47.9805625)"
365316754,вулиця Патріотів України,residential,,False,False,440.604,,,,"LINESTRING (36.2266887 47.9806149, 36.229635 47.9822025, 36.2312905 47.9831074)"
203891985,Центральна вулиця,tertiary,6,False,False,151.344,,,,"LINESTRING (36.2312905 47.9831074, 36.2325493 47.9820385)"
203891985,Центральна вулиця,tertiary,6,False,True,89.775,,,,"LINESTRING (36.2312905 47.9831074, 36.2305664 47.9837531)"
365316754,вулиця Патріотів України,residential,,False,True,440.604,,,,"LINESTRING (36.2312905 47.9831074, 36.229635 47.9822025, 36.2266887 47.9806149)"
203891985,Центральна вулиця,tertiary,6,False,False,89.775,,,,"LINESTRING (36.2305664 47.9837531, 36.2312905 47.9831074)"
203891985,Центральна вулиця,tertiary,6,False,True,149.334,,,,"LINESTRING (36.2305664 47.9837531, 36.2293819 47.9848371)"
365316746,Соборна вулиця,residential,,True,False,194.365,,,,"LINESTRING (36.2300423 47.9806528, 36.2280335 47.979536)"
365355774,Поштовий провулок,residential,,False,False,183.048,,,,"LINESTRING (36.2300423 47.9806528, 36.2315462 47.9793503)"
898361087,,residential,5,True,False,95.238,1,,20,"LINESTRING (36.2273198 47.9836968, 36.2276915 47.9839177, 36.2282938 47.9842521)"
365316751,провулок Олександра Островського,residential,,False,True,94.859,,,,"LINESTRING (36.2269721 47.9778495, 36.2277579 47.9771779)"
365347276,вулиця Свободи,residential,,False,False,127.16,,,,"LINESTRING (36.2269721 47.9778495, 36.2282969 47.9785715)"
365347276,вулиця Свободи,residential,,False,True,127.16,,,,"LINESTRING (36.2282969 47.9785715, 36.2269721 47.9778495)"
365316750,вулиця Михайла Грушевського,residential,,False,False,95.618,,,,"LINESTRING (36.2272095 47.9801957, 36.2280335 47.979536)"
365316750,вулиця Михайла Грушевського,residential,,False,True,53.157,,,,"LINESTRING (36.2272095 47.9801957, 36.2267515 47.9805625)"
837268640,вулиця Горького,primary,,False,False,7.54,2,Н-15,50,"LINESTRING (36.2294666 47.9848743, 36.2293819 47.9848371)"
371507230,,residential,,False,False,75.367,,,,"LINESTRING (36.2297556 47.9771233, 36.2305348 47.9775561)"
365316750,вулиця Михайла Грушевського,residential,,False,False,45.083,,,,"LINESTRING (36.2305348 47.9775561, 36.2308987 47.977232)"
365316750,вулиця Михайла Грушевського,residential,,False,True,97.01,,,,"LINESTRING (36.2305348 47.9775561, 36.229663 47.9782046)"
371507230,,residential,,False,True,75.367,,,,"LINESTRING (36.2305348 47.9775561, 36.2297556 47.9771233)"
250103688,вулиця Ярослава Мудрого,residential,,False,False,120.138,,,,"LINESTRING (36.2378046 47.9842479, 36.2388114 47.9834034)"
250103688,вулиця Ярослава Мудрого,residential,,False,True,73.935,,,,"LINESTRING (36.2378046 47.9842479, 36.2371737 47.9847615)"
365355238,вулиця Івана Богуна,residential,,False,False,173.875,,,,"LINESTRING (36.2378046 47.9842479, 36.2396508 47.9852061)"
365355230,Тихий провулок,residential,,False,False,12.019,,,,"LINESTRING (36.2396508 47.9852061, 36.239778 47.9851395)"
365355238,вулиця Івана Богуна,residential,,False,True,173.875,,,,"LINESTRING (36.2396508 47.9852061, 36.2378046 47.9842479)"
365355230,Тихий провулок,residential,,False,True,12.019,,,,"LINESTRING (36.239778 47.9851395, 36.2396508 47.9852061)"
365355774,Поштовий провулок,residential,,False,True,183.048,,,,"LINESTRING (36.2315462 47.9793503, 36.2300423 47.9806528)"
250103462,вулиця Дмитра Яворницького,residential,,True,False,260.362,,,,"LINESTRING (36.2315462 47.9793503, 36.2330688 47.9802766, 36.2334618 47.980461, 36.234169 47.9808961)"
898361088,,residential,,False,True,53.815,,,,"LINESTRING (36.2288796 47.9845358, 36.2282938 47.9842521)"
719634002,,residential,,False,False,232.577,,,,"LINESTRING (36.2288796 47.9845358, 36.2295936 47.9839012, 36.2289992 47.9836049, 36.2282938 47.9842521)"
898361089,,residential,,False,False,10.671,,,,"LINESTRING (36.2288796 47.9845358, 36.2288092 47.9846194)"
898361088,,residential,,False,False,53.815,,,,"LINESTRING (36.2282938 47.9842521, 36.2288796 47.9845358)"
719634002,,residential,,False,True,232.577,,,,"LINESTRING (36.2282938 47.9842521, 36.2289992 47.9836049, 36.2295936 47.9839012, 36.2288796 47.9845358)"
898361089,,residential,,False,True,10.671,,,,"LINESTRING (36.2288092 47.9846194, 36.2288796 47.9845358)"
"[820270476, 820265340]","['вулиця Горького', 'вулиця Падалки']",primary,,False,True,49.061,2,Н-15,50,"LINESTRING (36.2288092 47.9846194, 36.2289103 47.9846507, 36.2291143 47.9847274, 36.2292146 47.9847701, 36.2293819 47.9848371)"
