osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed
822632329,Р-39,вулиця Тараса Шевченка,primary,False,False,608.1729999999999,"LINESTRING (25.3811609 49.8015036, 25.3810993 49.8015454, 25.380922 49.8016963, 25.3808296 49.8018189, 25.3807623 49.8019538, 25.3807132 49.8021004, 25.3806718 49.8022239, 25.3805703 49.8026081, 25.3805268 49.8028342, 25.3805141 49.8029311, 25.3804956 49.8030723, 25.3804245 49.8032081, 25.3799329 49.8039595, 25.3795338 49.8045165, 25.3792442 49.8050147, 25.3791966 49.8051912, 25.3792236 49.8053231, 25.379694 49.8058149, 25.3801489 49.8063519, 25.3802927 49.8065341)",50
125954509,Р-39,вулиця Тараса Шевченка,primary,False,True,251.68399999999997,"LINESTRING (25.3862966 49.8005382, 25.3854858 49.8007096, 25.3852835 49.8007428, 25.385213 49.8007543, 25.3849511 49.8007973, 25.3833353 49.8010624, 25.3829147 49.8011334)",50
224026777,,вулиця Ярослава Музики,residential,False,True,267.082,"LINESTRING (25.3862966 49.8005382, 25.3863483 49.8006026, 25.386645 49.8009724, 25.3867207 49.8010724, 25.3867619 49.8011671, 25.3867612 49.801178, 25.3867578 49.8012346, 25.3867355 49.8013007, 25.3866956 49.8013632, 25.3866394 49.8014202, 25.3865685 49.8014699, 25.3861064 49.8016773, 25.3856349 49.8018692, 25.3848293 49.8022463)",
557909233,Т-20-13,Зборівська вулиця,secondary,False,True,475.083,"LINESTRING (25.3773499 49.7980255, 25.3776334 49.7984166, 25.3778996 49.798723, 25.3793621 49.8000379, 25.3807777 49.8012293, 25.3811609 49.8015036)",
224026761,,,residential,False,False,113.353,"LINESTRING (25.3882036 49.8014309, 25.3892489 49.8021951)",
224026773,,вулиця Адама Міцкевича,residential,False,True,252.209,"LINESTRING (25.3882036 49.8014309, 25.388144 49.8014374, 25.3872565 49.8018438, 25.3866627 49.8021158, 25.3853984 49.8027874)",
224026761,,,residential,False,True,113.353,"LINESTRING (25.3892489 49.8021951, 25.3882036 49.8014309)",
1158005423,,,residential,False,False,102.637,"LINESTRING (25.3892489 49.8021951, 25.3901205 49.8029269)",
224026768,,вулиця Лесі Українки,residential,False,True,254.67999999999998,"LINESTRING (25.3892489 49.8021951, 25.3865204 49.8033458, 25.3864083 49.8034104, 25.3863116 49.8034749)",
125954508,Т-20-13,Вишнівецька вулиця,secondary,False,False,169.70999999999998,"LINESTRING (25.3848293 49.8022463, 25.3842509 49.8018728, 25.3839827 49.8017167, 25.3838715 49.8016583, 25.3837513 49.8016221, 25.3836761 49.8016024, 25.3831545 49.8015207, 25.3830526 49.8015025, 25.382965 49.8014759, 25.3828925 49.8014427)",
125954508,Т-20-13,Вишнівецька вулиця,secondary,False,True,72.918,"LINESTRING (25.3848293 49.8022463, 25.3850279 49.8024009, 25.3851619 49.8025228, 25.3853984 49.8027874)",
224026777,,вулиця Ярослава Музики,residential,False,False,267.082,"LINESTRING (25.3848293 49.8022463, 25.3856349 49.8018692, 25.3861064 49.8016773, 25.3865685 49.8014699, 25.3866394 49.8014202, 25.3866956 49.8013632, 25.3867355 49.8013007, 25.3867578 49.8012346, 25.3867612 49.801178, 25.3867619 49.8011671, 25.3867207 49.8010724, 25.386645 49.8009724, 25.3863483 49.8006026, 25.3862966 49.8005382)",
224026787,,вулиця Олени Пчілки,residential,False,False,235.857,"LINESTRING (25.3901205 49.8029269, 25.3873935 49.8041107)",
1158005423,,,residential,False,True,102.637,"LINESTRING (25.3901205 49.8029269, 25.3892489 49.8021951)",
224026790,,вулиця Адама Міцкевича,residential,False,False,25.504,"LINESTRING (25.3833895 49.8040074, 25.3834638 49.8039158, 25.3835228 49.8038571, 25.3835793 49.8038146)",
