osmid,highway,oneway,reversed,length,ref,geometry,name,maxspeed
193521833,residential,False,True,59.438,,"LINESTRING (37.1414778 48.2198984, 37.141312 48.2204214)",,
130059246,tertiary,False,True,123.554,,"LINESTRING (37.1414778 48.2198984, 37.142069 48.2199836, 37.1425465 48.2200425, 37.1431177 48.2200979)",Центральна вулиця,
130059246,tertiary,False,False,115.82900000000001,,"LINESTRING (37.1446527 48.2202948, 37.1444745 48.2202658, 37.1431177 48.2200979)",Центральна вулиця,
130059246,tertiary,False,True,30.399,,"LINESTRING (37.1446527 48.2202948, 37.144804 48.2203903, 37.1449147 48.2205028)",Центральна вулиця,
193521840,unclassified,False,False,234.038,,"LINESTRING (37.1446527 48.2202948, 37.1446815 48.2201498, 37.1447426 48.2199916, 37.144821 48.2197566, 37.1448237 48.2195547, 37.1448398 48.2193312, 37.1448854 48.218956, 37.1449578 48.2187844, 37.1450686 48.218622, 37.1452139 48.2184886, 37.1454456 48.218317)",,
130059246,tertiary,False,False,30.399,,"LINESTRING (37.1449147 48.2205028, 37.144804 48.2203903, 37.1446527 48.2202948)",Центральна вулиця,
130059246,tertiary,False,True,33.760000000000005,,"LINESTRING (37.1449147 48.2205028, 37.144939 48.2206466, 37.1449269 48.2208053)",Центральна вулиця,
130541434,residential,False,True,96.325,,"LINESTRING (37.1449147 48.2205028, 37.1449607 48.2204961, 37.1461902 48.2203348)",Клубна вулиця,
130059246,tertiary,False,False,135.621,,"LINESTRING (37.1446206 48.2222884, 37.1448721 48.2210803)",Центральна вулиця,
910958303,unclassified,False,False,72.516,,"LINESTRING (37.1446206 48.2222884, 37.1455518 48.2224894)",,
130059246,tertiary,False,True,102.63000000000001,,"LINESTRING (37.1446206 48.2222884, 37.1442309 48.2231234, 37.1442363 48.2231718)",Центральна вулиця,
130541424,residential,False,False,215.726,,"LINESTRING (37.1442363 48.2231718, 37.1414393 48.222632)",Спортивна вулиця,
130055207,tertiary,False,True,64.94699999999999,,"LINESTRING (37.1442363 48.2231718, 37.1442967 48.2232022, 37.1449157 48.2233211, 37.1450707 48.2233054)",,
130059246,tertiary,False,False,102.63000000000001,,"LINESTRING (37.1442363 48.2231718, 37.1442309 48.2231234, 37.1446206 48.2222884)",Центральна вулиця,
130541439,unclassified,False,False,193.62099999999998,,"LINESTRING (37.1482227 48.2183146, 37.1481255 48.2183939, 37.1476276 48.2196716, 37.1476185 48.219778, 37.1476641 48.219871, 37.1477622 48.2199649)",,
193521838,unclassified,False,False,197.293,,"LINESTRING (37.1482227 48.2183146, 37.147817 48.218225, 37.1473691 48.2181839, 37.1469077 48.2182107, 37.1465778 48.2182268, 37.1460186 48.218183, 37.1455933 48.2182035)",,
130541434,residential,False,False,76.439,,"LINESTRING (37.1487278 48.2202071, 37.1477622 48.2199649)",Клубна вулиця,
130541423,residential,False,False,83.883,,"LINESTRING (37.1461902 48.2203348, 37.1457715 48.2210357)",,
130541434,residential,False,False,96.325,,"LINESTRING (37.1461902 48.2203348, 37.1449607 48.2204961, 37.1449147 48.2205028)",Клубна вулиця,
130541434,residential,False,True,156.086,,"LINESTRING (37.1461902 48.2203348, 37.1464303 48.220307, 37.146669 48.220307, 37.1468186 48.2202779, 37.146948 48.2201426, 37.1472134 48.2197941, 37.1473423 48.2197816, 37.1475515 48.2198352, 37.1477622 48.2199649)",Клубна вулиця,
130059246,tertiary,False,True,30.847,,"LINESTRING (37.1449269 48.2208053, 37.1448721 48.2210803)",Центральна вулиця,
130541419,residential,False,True,67.614,,"LINESTRING (37.1449269 48.2208053, 37.1457715 48.2210357)",,
130059246,tertiary,False,False,33.760000000000005,,"LINESTRING (37.1449269 48.2208053, 37.144939 48.2206466, 37.1449147 48.2205028)",Центральна вулиця,
130541419,residential,False,False,67.614,,"LINESTRING (37.1457715 48.2210357, 37.1449269 48.2208053)",,
130541423,residential,False,False,22.622,,"LINESTRING (37.1457715 48.2210357, 37.1457066 48.2212345)",,
130541423,residential,False,True,83.883,,"LINESTRING (37.1457715 48.2210357, 37.1461902 48.2203348)",,
130059246,tertiary,False,False,30.847,,"LINESTRING (37.1448721 48.2210803, 37.1449269 48.2208053)",Центральна вулиця,
130059246,tertiary,False,True,135.621,,"LINESTRING (37.1448721 48.2210803, 37.1446206 48.2222884)",Центральна вулиця,
130541433,residential,False,True,64.157,,"LINESTRING (37.1448721 48.2210803, 37.1457066 48.2212345)",,
130541423,residential,False,True,22.622,,"LINESTRING (37.1457066 48.2212345, 37.1457715 48.2210357)",,
130541433,residential,False,False,64.157,,"LINESTRING (37.1457066 48.2212345, 37.1448721 48.2210803)",,
130541433,residential,False,True,107.37700000000001,,"LINESTRING (37.1457066 48.2212345, 37.1460307 48.2212434, 37.1463767 48.221247, 37.1466312 48.2212433, 37.1468514 48.2212667, 37.147146 48.2213092)",,
120494893,residential,False,False,83.356,,"LINESTRING (37.147146 48.2213092, 37.147503 48.2205983)",,
120494893,residential,False,True,224.087,,"LINESTRING (37.147146 48.2213092, 37.1464032 48.2230153, 37.1463364 48.2231395, 37.146336 48.2232464)",,
130541433,residential,False,False,107.37700000000001,,"LINESTRING (37.147146 48.2213092, 37.1468514 48.2212667, 37.1466312 48.2212433, 37.1463767 48.221247, 37.1460307 48.2212434, 37.1457066 48.2212345)",,
335991574,secondary,False,True,53.369,Т-05-15,"LINESTRING (37.1370642 48.2175743, 37.1373055 48.2176576, 37.1374422 48.2177354, 37.1375415 48.217814, 37.1375817 48.2178855)",,
193521810,unclassified,False,True,10.313,,"LINESTRING (37.1423135 48.2178889, 37.1424162 48.2179515)",,
193521831,residential,False,True,61.457,,"LINESTRING (37.1423135 48.2178889, 37.1419668 48.218391)",,
193521810,unclassified,False,False,10.313,,"LINESTRING (37.1424162 48.2179515, 37.1423135 48.2178889)",,
193521810,unclassified,False,True,127.99000000000001,,"LINESTRING (37.1424162 48.2179515, 37.1433461 48.2186025, 37.143577 48.2188025)",,
193521843,unclassified,False,True,122.781,,"LINESTRING (37.1424162 48.2179515, 37.1427901 48.2180007, 37.1431151 48.2180042, 37.1436647 48.2180631, 37.1438472 48.2181052, 37.1440131 48.2181811)",,
193521820,residential,False,True,136.10500000000002,,"LINESTRING (37.1395167 48.2181463, 37.1393044 48.2183683, 37.1387042 48.2192419)",,
193521840,unclassified,False,True,16.704,,"LINESTRING (37.1455933 48.2182035, 37.1454456 48.218317)",,
193521838,unclassified,False,True,197.29299999999998,,"LINESTRING (37.1455933 48.2182035, 37.1460186 48.218183, 37.1465778 48.2182268, 37.1469077 48.2182107, 37.1473691 48.2181839, 37.147817 48.218225, 37.1482227 48.2183146)",,
193521813,unclassified,False,False,77.148,,"LINESTRING (37.1440131 48.2181811, 37.1439385 48.2183877, 37.1436744 48.2188357)",,
193521843,unclassified,False,False,122.781,,"LINESTRING (37.1440131 48.2181811, 37.1438472 48.2181052, 37.1436647 48.2180631, 37.1431151 48.2180042, 37.1427901 48.2180007, 37.1424162 48.2179515)",,
193521843,unclassified,False,True,101.101,,"LINESTRING (37.1440131 48.2181811, 37.1445098 48.2184377, 37.1446488 48.2184738, 37.1447765 48.2184649, 37.1452147 48.218375)",,
193521810,unclassified,False,False,18.282,,"LINESTRING (37.1454456 48.218317, 37.1452147 48.218375)",,
193521840,unclassified,False,False,16.704,,"LINESTRING (37.1454456 48.218317, 37.1455933 48.2182035)",,
193521840,unclassified,False,True,234.038,,"LINESTRING (37.1454456 48.218317, 37.1452139 48.2184886, 37.1450686 48.218622, 37.1449578 48.2187844, 37.1448854 48.218956, 37.1448398 48.2193312, 37.1448237 48.2195547, 37.144821 48.2197566, 37.1447426 48.2199916, 37.1446815 48.2201498, 37.1446527 48.2202948)",,
193521810,unclassified,False,True,18.282,,"LINESTRING (37.1452147 48.218375, 37.1454456 48.218317)",,
193521810,unclassified,False,False,131.663,,"LINESTRING (37.1452147 48.218375, 37.1448902 48.2185169, 37.1444812 48.2186626, 37.1441121 48.2188494, 37.1439867 48.218885, 37.1438369 48.2188796, 37.1436744 48.2188357)",,
193521843,unclassified,False,False,101.101,,"LINESTRING (37.1452147 48.218375, 37.1447765 48.2184649, 37.1446488 48.2184738, 37.1445098 48.2184377, 37.1440131 48.2181811)",,
193521810,unclassified,False,False,8.106,,"LINESTRING (37.1436744 48.2188357, 37.143577 48.2188025)",,
193521810,unclassified,False,True,131.663,,"LINESTRING (37.1436744 48.2188357, 37.1438369 48.2188796, 37.1439867 48.218885, 37.1441121 48.2188494, 37.1444812 48.2186626, 37.1448902 48.2185169, 37.1452147 48.218375)",,
193521813,unclassified,False,True,77.148,,"LINESTRING (37.1436744 48.2188357, 37.1439385 48.2183877, 37.1440131 48.2181811)",,
193521819,residential,False,True,146.36599999999999,,"LINESTRING (37.1436744 48.2188357, 37.1434832 48.2191983, 37.1431177 48.2200979)",,
130059246,tertiary,False,False,90.092,,"LINESTRING (37.1381903 48.2190766, 37.1370889 48.2187332)",Центральна вулиця,
130059246,tertiary,False,True,42.278,,"LINESTRING (37.1381903 48.2190766, 37.1387042 48.2192419)",Центральна вулиця,
193521824,residential,False,False,295.334,,"LINESTRING (37.1381903 48.2190766, 37.1380488 48.2192919, 37.1376541 48.2198942, 37.1365321 48.2214917)",,
130059246,tertiary,False,False,42.278,,"LINESTRING (37.1387042 48.2192419, 37.1381903 48.2190766)",Центральна вулиця,
130059246,tertiary,False,True,72.108,,"LINESTRING (37.1387042 48.2192419, 37.1393171 48.2194403, 37.139588 48.2195127)",Центральна вулиця,
193521820,residential,False,False,136.10500000000002,,"LINESTRING (37.1387042 48.2192419, 37.1393044 48.2183683, 37.1395167 48.2181463)",,
130059246,tertiary,False,False,6.639,,"LINESTRING (37.1396677 48.21954, 37.139588 48.2195127)",Центральна вулиця,
130059246,tertiary,False,True,35.791,,"LINESTRING (37.1396677 48.21954, 37.1401258 48.2196422)",Центральна вулиця,
193521834,unclassified,False,False,34.134,,"LINESTRING (37.1396677 48.21954, 37.1396675 48.2197056, 37.1397369 48.2198392)",,
130059246,tertiary,False,False,35.791,,"LINESTRING (37.1401258 48.2196422, 37.1396677 48.21954)",Центральна вулиця,
130059246,tertiary,False,True,18.158,,"LINESTRING (37.1401258 48.2196422, 37.1403617 48.2196865)",Центральна вулиця,
335991580,residential,False,True,36.351,,"LINESTRING (37.1401258 48.2196422, 37.1399951 48.2197259, 37.1398569 48.219791, 37.1397369 48.2198392)",Шкільна вулиця,
130059246,tertiary,False,False,18.158,,"LINESTRING (37.1403617 48.2196865, 37.1401258 48.2196422)",Центральна вулиця,
130059246,tertiary,False,True,85.979,,"LINESTRING (37.1403617 48.2196865, 37.1414778 48.2198984)",Центральна вулиця,
193521831,residential,False,False,228.034,,"LINESTRING (37.1403617 48.2196865, 37.1406227 48.219111, 37.14074 48.2188893, 37.1408622 48.2187316, 37.1410088 48.2185553, 37.1412671 48.2182751, 37.1413314 48.2182393, 37.1414521 48.2182554, 37.1419668 48.218391)",,
193521834,unclassified,False,False,142.114,,"LINESTRING (37.1397369 48.2198392, 37.1398629 48.2200166, 37.1399447 48.2201123, 37.1400815 48.2201855, 37.140233 48.2202319, 37.1405036 48.2202875, 37.141312 48.2204214)",,
193521834,unclassified,False,True,34.134,,"LINESTRING (37.1397369 48.2198392, 37.1396675 48.2197056, 37.1396677 48.21954)",,
335991580,residential,False,False,36.351,,"LINESTRING (37.1397369 48.2198392, 37.1398569 48.219791, 37.1399951 48.2197259, 37.1401258 48.2196422)",Шкільна вулиця,
335991580,residential,False,True,228.02400000000003,,"LINESTRING (37.1397369 48.2198392, 37.1396518 48.2198765, 37.1395652 48.2199425, 37.1395169 48.2200068, 37.1392404 48.2205247, 37.1389731 48.221139, 37.1388934 48.2212345, 37.1387807 48.2212953, 37.1385992 48.2213805, 37.1384722 48.2214704, 37.1383719 48.2216121)",Шкільна вулиця,
130059246,tertiary,False,False,123.554,,"LINESTRING (37.1431177 48.2200979, 37.1425465 48.2200425, 37.142069 48.2199836, 37.1414778 48.2198984)",Центральна вулиця,
130059246,tertiary,False,True,115.82900000000001,,"LINESTRING (37.1431177 48.2200979, 37.1444745 48.2202658, 37.1446527 48.2202948)",Центральна вулиця,
193521819,residential,False,False,146.36599999999999,,"LINESTRING (37.1431177 48.2200979, 37.1434832 48.2191983, 37.1436744 48.2188357)",,
193521833,residential,False,False,59.438,,"LINESTRING (37.141312 48.2204214, 37.1414778 48.2198984)",,
193521833,residential,False,True,163.781,,"LINESTRING (37.141312 48.2204214, 37.1411023 48.2210344, 37.1409735 48.2213837, 37.140776 48.22185)",,
193521834,unclassified,False,True,142.11399999999998,,"LINESTRING (37.141312 48.2204214, 37.1405036 48.2202875, 37.140233 48.2202319, 37.1400815 48.2201855, 37.1399447 48.2201123, 37.1398629 48.2200166, 37.1397369 48.2198392)",,
193521811,unclassified,False,False,49.379,,"LINESTRING (37.1358675 48.221458, 37.1365321 48.2214917)",,
335991574,secondary,False,False,316.34999999999997,Т-05-15,"LINESTRING (37.1358675 48.221458, 37.1361851 48.2207545, 37.1365555 48.2198993, 37.1369135 48.2190392, 37.1369903 48.2188916, 37.1370889 48.2187332)",,
335991574,secondary,False,True,137.037,Т-05-15,"LINESTRING (37.1358675 48.221458, 37.1354888 48.2224288, 37.1354767 48.2225466, 37.1355377 48.2226502)",,
193521811,unclassified,False,True,49.379,,"LINESTRING (37.1365321 48.2214917, 37.1358675 48.221458)",,
