osmid,highway,oneway,reversed,length,geometry,bridge,lanes,ref,name,tunnel
114598783,tertiary,False,True,4.267,"LINESTRING (140.7271782 39.7000315, 140.7272279 39.7000347)",,,,,
114598783,tertiary,False,False,146.701,"LINESTRING (140.7271782 39.7000315, 140.7269878 39.7000101, 140.7255627 39.6998898, 140.7254763 39.6998745)",,,,,
114599526,unclassified,False,False,34.956,"LINESTRING (140.7252366 39.7006559, 140.7251065 39.7009539)",,,,,
114599526,unclassified,False,True,89.486,"LINESTRING (140.7252366 39.7006559, 140.7253493 39.7004016, 140.7254763 39.6998745)",,,,,
114598883,unclassified,False,False,47.676,"LINESTRING (140.726375 39.6981449, 140.7268578 39.698359)",,,,,
114599008,unclassified,False,True,39.508,"LINESTRING (140.726375 39.6981449, 140.7266343 39.6978509)",,,,,
114598798,unclassified,False,True,97.077,"LINESTRING (140.726375 39.6981449, 140.7263069 39.6982448, 140.7258427 39.6989159)",,,,,
114599449,unclassified,False,True,103.213,"LINESTRING (140.726375 39.6981449, 140.7258886 39.6978921, 140.7253636 39.6976392)",,,,,
114598211,residential,False,False,84.029,"LINESTRING (140.7361275 39.7039044, 140.736377 39.7031735)",,,,,
114598211,residential,False,True,76.973,"LINESTRING (140.7361275 39.7039044, 140.7358854 39.7045711)",,,,,
114598881,residential,False,True,43.707,"LINESTRING (140.7361275 39.7039044, 140.7356247 39.7038347)",,,,,
114599622,tertiary,False,False,34.957,"LINESTRING (140.7338761 39.7024348, 140.7342827 39.7024036)",,,,,
114599622,tertiary,False,True,9.308,"LINESTRING (140.7338761 39.7024348, 140.7337679 39.7024436)",,,,,
569209891,residential,False,False,26.556,"LINESTRING (140.7338761 39.7024348, 140.7338805 39.7026736)",,,,,
114598256,tertiary,False,False,75.64,"LINESTRING (140.7340095 39.7044544, 140.7331284 39.7043977)",,,,,
114598448,tertiary,False,True,91.513,"LINESTRING (140.7340095 39.7044544, 140.7350751 39.7045266)",,,,,
114599202,residential,False,True,57.212,"LINESTRING (140.7340095 39.7044544, 140.7342656 39.7039791)",,,,,
114598256,tertiary,False,True,75.64,"LINESTRING (140.7331284 39.7043977, 140.7340095 39.7044544)",,,,,
114598494,tertiary,False,False,85.839,"LINESTRING (140.7331284 39.7043977, 140.7321272 39.7043466)",,,,,
114598658,residential,False,True,46.303,"LINESTRING (140.7331284 39.7043977, 140.733132 39.7039813)",,,,,
114598839,tertiary,False,True,6.895,"LINESTRING (140.7331284 39.7043977, 140.733127 39.7044597)",,,,,
