osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access
134129910,,,,unclassified,30,False,True,96.95899999999999,"LINESTRING (139.332185 35.7346339, 139.3329425 35.7350259, 139.3330906 35.7351029)",
134130093,,,,unclassified,,False,True,10.289,"LINESTRING (139.3332119 35.7345536, 139.3331559 35.7346342)",
134130168,,,,unclassified,,False,False,10.283,"LINESTRING (139.3332119 35.7345536, 139.333275 35.7344766)",
134130335,,,,unclassified,30,False,True,75.036,"LINESTRING (139.3332119 35.7345536, 139.3324579 35.7342694)",
134129895,,,,unclassified,,False,False,16.62,"LINESTRING (139.3335915 35.7348587, 139.3336964 35.7349098, 139.3337494 35.7349356)",
134130082,,,,unclassified,,False,False,78.075,"LINESTRING (139.339588 35.7348535, 139.3396852 35.7341558)",
134129924,,,銀座通り,unclassified,,True,False,60.042,"LINESTRING (139.3305997 35.7349854, 139.330858 35.7344878)",
134130222,,,牛浜北通り,unclassified,,False,False,101.991,"LINESTRING (139.3305997 35.7349854, 139.331575 35.7354486)",
134130222,,,牛浜北通り,unclassified,,False,True,111.748,"LINESTRING (139.3305997 35.7349854, 139.3295311 35.7344779)",
134130174,,,,residential,30,False,False,114.103,"LINESTRING (139.3292695 35.7349348, 139.3303434 35.7354762)",
835428727,,29,新奥多摩街道,primary,40,False,True,56.024,"LINESTRING (139.3292695 35.7349348, 139.3295311 35.7344779)",
134129954,,,,unclassified,,False,False,58.771,"LINESTRING (139.3319131 35.7349969, 139.331575 35.7354486)",
134129954,,,,unclassified,,False,True,47.239,"LINESTRING (139.3319131 35.7349969, 139.332185 35.7346339)",
134130058,,,,unclassified,30,False,False,95.25,"LINESTRING (139.3319131 35.7349969, 139.3328203 35.7354345)",
134130058,,,,unclassified,30,False,True,110.788,"LINESTRING (139.3319131 35.7349969, 139.330858 35.7344878)",
134130430,,,,unclassified,,False,False,48.343,"LINESTRING (139.3382551 35.7349989, 139.3383565 35.734572)",
134130456,,,,unclassified,,False,False,33.063,"LINESTRING (139.3382551 35.7349989, 139.3385797 35.7351367)",
134130463,,,,unclassified,,False,True,74.309,"LINESTRING (139.3382551 35.7349989, 139.3381244 35.7356587)",
677788197,,,,unclassified,,False,True,31.38,"LINESTRING (139.3382551 35.7349989, 139.3379494 35.7348645)",
134130346,,,,unclassified,20,True,False,44.213,"LINESTRING (139.3330906 35.7351029, 139.3328203 35.7354345)",
134129910,,,,unclassified,30,False,False,96.95899999999999,"LINESTRING (139.3330906 35.7351029, 139.3329425 35.7350259, 139.332185 35.7346339)",
134129975,,,,unclassified,20,True,False,58.03,"LINESTRING (139.3328203 35.7354345, 139.3325063 35.7358899)",
134130058,,,,unclassified,30,False,True,95.25,"LINESTRING (139.3328203 35.7354345, 139.3319131 35.7349969)",
134129924,,,銀座通り,unclassified,,True,False,59.275,"LINESTRING (139.3303434 35.7354762, 139.3305997 35.7349854)",
134130174,,,,residential,30,False,False,94.283,"LINESTRING (139.3303434 35.7354762, 139.3312308 35.7359235)",
134130174,,,,residential,30,False,True,114.103,"LINESTRING (139.3303434 35.7354762, 139.3292695 35.7349348)",
134129934,,,,residential,,False,True,61.267,"LINESTRING (139.331575 35.7354486, 139.3312308 35.7359235)",
134129954,,,,unclassified,,False,True,58.771,"LINESTRING (139.331575 35.7354486, 139.3319131 35.7349969)",
134130222,,,牛浜北通り,unclassified,,False,False,97.333,"LINESTRING (139.331575 35.7354486, 139.3325063 35.7358899)",
134130222,,,牛浜北通り,unclassified,,False,True,101.991,"LINESTRING (139.331575 35.7354486, 139.3305997 35.7349854)",
134130099,,,,residential,,False,False,42.158,"LINESTRING (139.3330935 35.7353806, 139.3334934 35.7355765)",
134129985,,,,unclassified,,True,False,74.442,"LINESTRING (139.3330935 35.7353806, 139.3335108 35.7349102, 139.3335459 35.7348668, 139.3335915 35.7348587)",
134130456,,,,unclassified,,False,False,28.543,"LINESTRING (139.3390492 35.7353015, 139.3393362 35.7354093)",
134130456,,,,unclassified,,False,True,46.169,"LINESTRING (139.3390492 35.7353015, 139.3385797 35.7351367)",
