osmid,highway,est_width,oneway,reversed,length,geometry,lanes,ref,name,maxspeed
133524256,unclassified,3.0m〜5.5m,False,True,94.201,"LINESTRING (139.636167 35.1578, 139.6361744 35.1580522, 139.6362643 35.1582601, 139.6365932 35.1585206)",,,,
133521858,unclassified,3.0m〜5.5m,False,True,152.263,"LINESTRING (139.638375 35.1581665, 139.6384823 35.1581285, 139.6386083 35.1580627, 139.6386955 35.1580092, 139.6387605 35.1579529, 139.6388051 35.1578979, 139.6388392 35.1578459, 139.6388981 35.1577456, 139.639119 35.1573224, 139.6392669 35.1570604)",,,,
401131049,primary,,False,False,112.602,"LINESTRING (139.638375 35.1581665, 139.6382955 35.1580522, 139.6382254 35.157963, 139.6381507 35.1578815, 139.6380754 35.157807, 139.6380001 35.1577305, 139.6378722 35.1576102, 139.6377967 35.1575467, 139.637719 35.1574851, 139.6375942 35.1573863)",2,26,県道26号線,40
401131050,tertiary,3.0m〜5.5m,False,False,170.19299999999998,"LINESTRING (139.638375 35.1581665, 139.6382441 35.1582075, 139.6381483 35.1582341, 139.6375145 35.1584097, 139.6374432 35.1584186, 139.6373742 35.1584217, 139.6370007 35.1583975, 139.6368156 35.1584107, 139.6365932 35.1585206)",,,,
133525164,residential,3.0m〜5.5m,False,True,33.957,"LINESTRING (139.6360845 35.1584702, 139.6357761 35.1586425)",,,,
401131048,tertiary,3.0m〜5.5m,False,True,31.162,"LINESTRING (139.6360845 35.1584702, 139.6362746 35.1587034)",,,,
401131048,tertiary,3.0m〜5.5m,False,False,79.25,"LINESTRING (139.6360845 35.1584702, 139.6358532 35.1581908, 139.6358275 35.1580333, 139.6358224 35.1578169)",,,,
401131050,tertiary,3.0m〜5.5m,False,False,35.384,"LINESTRING (139.6365932 35.1585206, 139.6362746 35.1587034)",,,,
133524256,unclassified,3.0m〜5.5m,False,False,94.20100000000001,"LINESTRING (139.6365932 35.1585206, 139.6362643 35.1582601, 139.6361744 35.1580522, 139.636167 35.1578)",,,,
401131050,tertiary,3.0m〜5.5m,False,True,170.193,"LINESTRING (139.6365932 35.1585206, 139.6368156 35.1584107, 139.6370007 35.1583975, 139.6373742 35.1584217, 139.6374432 35.1584186, 139.6375145 35.1584097, 139.6381483 35.1582341, 139.6382441 35.1582075, 139.638375 35.1581665)",,,,
133525164,residential,3.0m〜5.5m,False,False,33.957,"LINESTRING (139.6357761 35.1586425, 139.6360845 35.1584702)",,,,
325862133,residential,,False,True,18.595,"LINESTRING (139.6357761 35.1586425, 139.6355785 35.1585993)",,,,
133520858,residential,3.0m〜5.5m,False,True,32.268,"LINESTRING (139.6362746 35.1587034, 139.6364615 35.1589501)",,,,
401131048,tertiary,3.0m〜5.5m,False,False,31.162,"LINESTRING (139.6362746 35.1587034, 139.6360845 35.1584702)",,,,
401131050,tertiary,3.0m〜5.5m,False,True,35.384,"LINESTRING (139.6362746 35.1587034, 139.6365932 35.1585206)",,,,
133520858,residential,3.0m〜5.5m,False,False,32.268,"LINESTRING (139.6364615 35.1589501, 139.6362746 35.1587034)",,,,
133523796,unclassified,3.0m〜5.5m,False,False,92.037,"LINESTRING (139.6364615 35.1589501, 139.6367731 35.1587727, 139.6368912 35.1589407, 139.6368938 35.1592642)",,,,
133523796,unclassified,3.0m〜5.5m,False,True,92.037,"LINESTRING (139.6368938 35.1592642, 139.6368912 35.1589407, 139.6367731 35.1587727, 139.6364615 35.1589501)",,,,
133523647,unclassified,3.0m〜5.5m,False,False,37.665,"LINESTRING (139.64065 35.159327, 139.6403252 35.1595373)",,,,
133519924,tertiary,5.5m〜13.0m,False,False,241.822,"LINESTRING (139.64065 35.159327, 139.6405371 35.1592027, 139.6404638 35.1591273, 139.6403047 35.1589926, 139.6402544 35.1589219, 139.6402175 35.1588577, 139.6402088 35.1588171, 139.6402108 35.1587722, 139.6402235 35.1587261, 139.6402443 35.1586866, 139.6402772 35.1586472, 139.6403154 35.1586187, 139.6404025 35.1585639, 139.6405313 35.1584953, 139.6406842 35.15843, 139.6407794 35.1583851, 139.6408719 35.158338, 139.6409148 35.1583101, 139.640955 35.1582777, 139.6409886 35.1582371, 139.6410114 35.1582031, 139.6410449 35.1581198, 139.6410664 35.1580102, 139.6410825 35.1579268, 139.64112 35.157826, 139.6411844 35.1577382, 139.6412893 35.157666)",,,,
133523647,unclassified,3.0m〜5.5m,False,True,37.665,"LINESTRING (139.6403252 35.1595373, 139.64065 35.159327)",,,,
133521858,unclassified,3.0m〜5.5m,False,False,152.26299999999998,"LINESTRING (139.6392669 35.1570604, 139.639119 35.1573224, 139.6388981 35.1577456, 139.6388392 35.1578459, 139.6388051 35.1578979, 139.6387605 35.1579529, 139.6386955 35.1580092, 139.6386083 35.1580627, 139.6384823 35.1581285, 139.638375 35.1581665)",,,,
133521224,unclassified,3.0m〜5.5m,False,False,5.427,"LINESTRING (139.6390311 35.1562759, 139.6389799 35.156301)",,,,
325862083,residential,,False,False,114.06,"LINESTRING (139.6390311 35.1562759, 139.6392377 35.1565512, 139.6395086 35.1567937, 139.6396936 35.1569085, 139.6398921 35.1569962)",,,,
325862067,residential,,False,False,46.73,"LINESTRING (139.637104 35.1564982, 139.6374871 35.1567784)",,,,
325862067,residential,,False,True,112.619,"LINESTRING (139.637104 35.1564982, 139.6369145 35.1564092, 139.636733 35.1563745, 139.6365374 35.1563399, 139.6363922 35.1563515, 139.6362793 35.156424, 139.6362592 35.1565377, 139.6362042 35.1566981)",,,,
325862123,residential,,False,True,58.807,"LINESTRING (139.637104 35.1564982, 139.6369899 35.1567355, 139.6368539 35.1569858)",,,,
325862067,residential,,False,False,112.61899999999999,"LINESTRING (139.6362042 35.1566981, 139.6362592 35.1565377, 139.6362793 35.156424, 139.6363922 35.1563515, 139.6365374 35.1563399, 139.636733 35.1563745, 139.6369145 35.1564092, 139.637104 35.1564982)",,,,
401131049,primary,,False,True,67.173,"LINESTRING (139.6362042 35.1566981, 139.6364295 35.1567962, 139.6368539 35.1569858)",2,26,県道26号線,40
325862067,residential,,False,True,46.73,"LINESTRING (139.6374871 35.1567784, 139.637104 35.1564982)",,,,
325862123,residential,,False,False,58.807,"LINESTRING (139.6368539 35.1569858, 139.6369899 35.1567355, 139.637104 35.1564982)",,,,
401131049,primary,,False,False,67.173,"LINESTRING (139.6368539 35.1569858, 139.6364295 35.1567962, 139.6362042 35.1566981)",2,26,県道26号線,40
401131049,primary,,False,True,80.851,"LINESTRING (139.6368539 35.1569858, 139.6369919 35.1570522, 139.6371597 35.1571283, 139.6372994 35.1572025, 139.6374416 35.1572906, 139.6375942 35.1573863)",2,26,県道26号線,40
325862083,residential,,False,False,173.263,"LINESTRING (139.6398921 35.1569962, 139.6402243 35.1571993, 139.6405209 35.1573695, 139.6406378 35.1574022, 139.6407205 35.1573858, 139.6408915 35.1572716, 139.6410284 35.1572646, 139.641094 35.1573136, 139.6412893 35.157666)",,,,
325862083,residential,,False,True,114.06,"LINESTRING (139.6398921 35.1569962, 139.6396936 35.1569085, 139.6395086 35.1567937, 139.6392377 35.1565512, 139.6390311 35.1562759)",,,,
"[325862144, 325862103]",residential,,False,False,58.803000000000004,"LINESTRING (139.6398921 35.1569962, 139.6398036 35.1571278, 139.639766 35.1571914, 139.639589 35.1574633)",,,,
"[325862144, 325862103]",residential,,False,True,58.803,"LINESTRING (139.639589 35.1574633, 139.639766 35.1571914, 139.6398036 35.1571278, 139.6398921 35.1569962)",,,,
325862075,residential,,False,False,93.37,"LINESTRING (139.6353518 35.1578625, 139.6354241 35.1579039, 139.6354526 35.1579809, 139.6354483 35.1580578, 139.6353727 35.1581697, 139.6353628 35.1582449, 139.6354051 35.1583504, 139.6355382 35.158479, 139.6355664 35.1585185, 139.6355785 35.1585993)",,,,
325862131,residential,,False,False,16.363,"LINESTRING (139.6353083 35.1585152, 139.6353848 35.1586484)",,,,
325862133,residential,,False,False,18.595,"LINESTRING (139.6355785 35.1585993, 139.6357761 35.1586425)",,,,
325862133,residential,,False,True,18.436,"LINESTRING (139.6355785 35.1585993, 139.6353848 35.1586484)",,,,
325862075,residential,,False,True,93.37,"LINESTRING (139.6355785 35.1585993, 139.6355664 35.1585185, 139.6355382 35.158479, 139.6354051 35.1583504, 139.6353628 35.1582449, 139.6353727 35.1581697, 139.6354483 35.1580578, 139.6354526 35.1579809, 139.6354241 35.1579039, 139.6353518 35.1578625)",,,,
325862131,residential,,False,True,16.363,"LINESTRING (139.6353848 35.1586484, 139.6353083 35.1585152)",,,,
325862133,residential,,False,False,18.436,"LINESTRING (139.6353848 35.1586484, 139.6355785 35.1585993)",,,,
