osmid,highway,oneway,reversed,length,lanes,bridge,geometry,ref,name
"[178924017, 178921790, 178923503]",unclassified,False,True,662.6430000000001,,,"LINESTRING (131.5023286 32.2075187, 131.502516 32.207383, 131.502927 32.206904, 131.503114 32.206695, 131.503205 32.206606, 131.503417 32.206453, 131.503675 32.206296, 131.504132 32.206019, 131.504327 32.205892, 131.504391 32.205851, 131.504515 32.205757, 131.504596 32.205676, 131.504732 32.205515, 131.504814 32.205411, 131.505037 32.205132, 131.505063 32.205118, 131.50508 32.205121, 131.505272 32.205231, 131.505397 32.205304, 131.5063491 32.2058149, 131.506775 32.206048, 131.507232 32.206285, 131.507542 32.206454, 131.507642 32.20651)",,
178923408,unclassified,False,False,180.202,,,"LINESTRING (131.509214 32.207571, 131.508997 32.207661, 131.508861 32.207738, 131.508133 32.208121, 131.507576 32.208409)",,
178923834,unclassified,False,False,192.382,,,"LINESTRING (131.509214 32.207571, 131.509119 32.207431, 131.509014 32.207293, 131.508954 32.207233, 131.508861 32.207164, 131.508007 32.206702, 131.507642 32.20651)",,
178921731,residential,False,True,250.52800000000002,,,"LINESTRING (131.507576 32.208409, 131.50761 32.208476, 131.507682 32.20864, 131.507795 32.208916, 131.508066 32.209519, 131.508066 32.209609, 131.50802 32.209801, 131.507961 32.210121, 131.507934 32.210341, 131.507934 32.210578)",,
"[178923585, 178922724]",unclassified,False,False,361.151,,,"LINESTRING (131.507576 32.208409, 131.5069 32.208758, 131.506532 32.208947, 131.505661 32.209406, 131.505225 32.209637, 131.504979 32.209761, 131.504306 32.21011)",,
178923408,unclassified,False,True,180.20199999999997,,,"LINESTRING (131.507576 32.208409, 131.508133 32.208121, 131.508861 32.207738, 131.508997 32.207661, 131.509214 32.207571)",,
178922063,residential,False,False,168.675,,,"LINESTRING (131.503331 32.208837, 131.504306 32.21011)",,
"[178922424, 178922739]",residential,False,True,174.424,,,"LINESTRING (131.503331 32.208837, 131.503112 32.208561, 131.5026071 32.2078462, 131.5023286 32.2075187)",,
"[178922888, 178923812]",residential,False,False,481.144,,,"LINESTRING (131.503331 32.208837, 131.504814 32.208037, 131.505514 32.207657, 131.50582 32.20749, 131.50633 32.207225, 131.506762 32.207, 131.507125 32.206792, 131.507403 32.206645, 131.507642 32.20651)",,
178924001,residential,False,False,263.092,,,"LINESTRING (131.503331 32.208837, 131.502801 32.209118, 131.502608 32.20922, 131.502178 32.20945, 131.501747 32.20967, 131.501595 32.209732, 131.501436 32.209765, 131.501065 32.20981, 131.500846 32.20985)",,
178922872,residential,False,False,197.087,,,"LINESTRING (131.500846 32.20985, 131.501529 32.210735, 131.501986 32.211337)",,
178924001,residential,False,True,263.092,,,"LINESTRING (131.500846 32.20985, 131.501065 32.20981, 131.501436 32.209765, 131.501595 32.209732, 131.501747 32.20967, 131.502178 32.20945, 131.502608 32.20922, 131.502801 32.209118, 131.503331 32.208837)",,
178922063,residential,False,True,168.675,,,"LINESTRING (131.504306 32.21011, 131.503331 32.208837)",,
178922842,residential,False,False,204.872,,,"LINESTRING (131.504306 32.21011, 131.505078 32.211106, 131.5054474 32.2116775)",,
"[178923585, 178922724]",unclassified,False,True,361.151,,,"LINESTRING (131.504306 32.21011, 131.504979 32.209761, 131.505225 32.209637, 131.505661 32.209406, 131.506532 32.208947, 131.5069 32.208758, 131.507576 32.208409)",,
178923783,unclassified,False,False,257.426,,,"LINESTRING (131.504306 32.21011, 131.504099 32.210223, 131.503893 32.210323, 131.503118 32.21074, 131.502655 32.210988, 131.502092 32.211281, 131.501986 32.211337)",,
178922105,residential,False,False,48.116,,,"LINESTRING (131.507934 32.210578, 131.5080044 32.2110066)",,
178921731,residential,False,False,250.52800000000002,,,"LINESTRING (131.507934 32.210578, 131.507934 32.210341, 131.507961 32.210121, 131.50802 32.209801, 131.508066 32.209609, 131.508066 32.209519, 131.507795 32.208916, 131.507682 32.20864, 131.50761 32.208476, 131.507576 32.208409)",,
"[375569330, 375569331, 159311973]",tertiary,False,True,176.286,2,yes,"LINESTRING (131.5098211 32.21062, 131.5084589 32.2109201, 131.5082675 32.2109635, 131.5080044 32.2110066)",,
178922872,residential,False,True,197.087,,,"LINESTRING (131.501986 32.211337, 131.501529 32.210735, 131.500846 32.20985)",,
178922895,residential,False,True,201.41299999999998,,,"LINESTRING (131.501986 32.211337, 131.502184 32.211602, 131.5032229 32.2128148)",,
178923783,unclassified,False,True,257.42600000000004,,,"LINESTRING (131.501986 32.211337, 131.502092 32.211281, 131.502655 32.210988, 131.503118 32.21074, 131.503893 32.210323, 131.504099 32.210223, 131.504306 32.21011)",,
375243260,primary,False,False,30.915,,,"LINESTRING (131.5007638 32.2138005, 131.5009187 32.2140457)",40,都農綾線
