osmid,name,highway,oneway,reversed,length,geometry,tunnel,lanes,ref,maxspeed,access
101333416,Kote Marjanishvili St.,residential,False,True,83.265,"LINESTRING (45.8132505 41.9495233, 45.8131842 41.9502316, 45.8131834 41.9502704)",,,,,
101333578,კოტე მარჯანიშვილის I ჩიხი,residential,False,True,115.855,"LINESTRING (45.8132505 41.9495233, 45.8127143 41.9495468, 45.8122777 41.9495687, 45.8120468 41.9496049, 45.8119815 41.9496275, 45.811919 41.9496369, 45.8118655 41.9496294)",,,,,
101333454,,residential,False,True,35.753,"LINESTRING (45.8100756 41.9490701, 45.8096433 41.9490731)",,,,,
992146955,ჭავჭავაძის I ჩიხი,residential,False,True,171.28199999999998,"LINESTRING (45.8167756 41.9480319, 45.8152825 41.948101, 45.814712 41.948155)",,,,,
101333803,იოსებ ნონეშვილის ქუჩა,residential,False,True,8.172,"LINESTRING (45.8152244 41.9439775, 45.8151271 41.9439647)",,,,,
952743530,ილია ჭავჭავაძის გამზირი,tertiary,True,False,68.361,"LINESTRING (45.8152244 41.9439775, 45.8150164 41.9445725)",,2,შ 182,60,yes
101333803,იოსებ ნონეშვილის ქუჩა,residential,False,False,82.285,"LINESTRING (45.8152244 41.9439775, 45.8155144 41.9440197, 45.8162122 41.9440548)",,,,,
101333459,Demetre Tavdadebuli st.,residential,False,True,22.16,"LINESTRING (45.8114163 41.9445706, 45.8116842 41.9445672)",,,,,
101333743,Erekle II st.,residential,False,False,108.493,"LINESTRING (45.8114163 41.9445706, 45.8114865 41.9455449)",,,,,
"[693240112, 101333459]",Demetre Tavdadebuli st.,residential,False,False,131.841,"LINESTRING (45.8114163 41.9445706, 45.8111822 41.9445562, 45.8108603 41.9445535, 45.8098234 41.944574)",,,,,
101333777,,residential,False,True,31.38,"LINESTRING (45.8118659 41.9455421, 45.8114865 41.9455449)",,,,,
101333572,,residential,False,False,29.246000000000002,"LINESTRING (45.816138 41.9512805, 45.816138 41.9513156, 45.8161248 41.9513578, 45.8161109 41.9514376, 45.8161043 41.9515416)",,,,,
101333680,,residential,False,False,44.833999999999996,"LINESTRING (45.816138 41.9512805, 45.8160698 41.951271, 45.8159776 41.9512555, 45.8158506 41.9512478, 45.8157716 41.9512417, 45.8156342 41.9512311, 45.8156013 41.9512275)",,,,,
