osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry
538395414,False,,,,residential,,True,24.774,"LINESTRING (43.6756282 36.2727918, 43.6753605 36.2727365)"
349765081,False,,,,residential,,False,58.782,"LINESTRING (43.6754961 36.2732666, 43.6753822 36.2737872)"
349765081,False,,,,residential,,True,54.107,"LINESTRING (43.6754961 36.2732666, 43.6756282 36.2727918)"
"[538395414, 556854559]",False,,,,residential,,False,236.88800000000003,"LINESTRING (43.6754961 36.2732666, 43.6742699 36.2730386, 43.6743645 36.2727463, 43.6744304 36.2727215, 43.6751651 36.2727661, 43.6752725 36.2727582, 43.6753605 36.2727365)"
538979038,False,,,,residential,,True,9.423,"LINESTRING (43.6768905 36.2687915, 43.6769897 36.2688195)"
538979038,False,,,,residential,,False,38.706,"LINESTRING (43.6774038 36.268918, 43.6769897 36.2688195)"
538979039,False,,,,residential,,False,95.369,"LINESTRING (43.6774038 36.268918, 43.6773652 36.2690056, 43.6773183 36.2690867, 43.6772659 36.2691451, 43.6771841 36.2691775, 43.6770822 36.2691797, 43.6769695 36.2691483, 43.6769253 36.269104, 43.6769132 36.2690251, 43.6769347 36.2689472, 43.6769897 36.2688195)"
538979039,False,,,,residential,,True,100.852,"LINESTRING (43.6774038 36.268918, 43.677502 36.2686358, 43.6776388 36.2681925, 43.6776683 36.2681319, 43.6777139 36.2680476)"
538979039,False,,,,residential,,False,100.852,"LINESTRING (43.6777139 36.2680476, 43.6776683 36.2681319, 43.6776388 36.2681925, 43.677502 36.2686358, 43.6774038 36.268918)"
538979039,False,,,,residential,,True,135.541,"LINESTRING (43.6777139 36.2680476, 43.6777756 36.2679935, 43.6778694 36.2679524, 43.6779472 36.2679308, 43.6781135 36.2679265, 43.6787036 36.2679589, 43.6791729 36.2680115)"
"[1266415978, 304580663]",False,,,,residential,,False,241.246,"LINESTRING (43.6777139 36.2680476, 43.6774188 36.2679265, 43.6772793 36.2676583, 43.6772901 36.2675935, 43.6773596 36.267527, 43.6791563 36.2673497)"
304580660,False,,,,residential,,False,333.27799999999996,"LINESTRING (43.6791729 36.2680115, 43.6790115 36.268844, 43.6786252 36.2705221, 43.6785177 36.2709615)"
304580660,False,,,,residential,,True,36.081,"LINESTRING (43.6791729 36.2680115, 43.6792073 36.2678341, 43.6792147 36.2676893)"
538979039,False,,,,residential,,False,135.541,"LINESTRING (43.6791729 36.2680115, 43.6787036 36.2679589, 43.6781135 36.2679265, 43.6779472 36.2679308, 43.6778694 36.2679524, 43.6777756 36.2679935, 43.6777139 36.2680476)"
304580660,False,,,,residential,,False,4.535,"LINESTRING (43.6792069 36.267649, 43.6792147 36.2676893)"
304580660,False,,,,residential,,True,33.588,"LINESTRING (43.6792069 36.267649, 43.6791563 36.2673497)"
304580660,False,,,,residential,,True,4.535,"LINESTRING (43.6792147 36.2676893, 43.6792069 36.267649)"
538979041,False,,,,residential,,True,62.084,"LINESTRING (43.6792147 36.2676893, 43.6799043 36.2676383)"
304580660,False,,,,residential,,False,36.081,"LINESTRING (43.6792147 36.2676893, 43.6792073 36.2678341, 43.6791729 36.2680115)"
538979041,False,,,,residential,,False,62.084,"LINESTRING (43.6799043 36.2676383, 43.6792147 36.2676893)"
538979042,False,,,,residential,,False,46.072,"LINESTRING (43.6799043 36.2676383, 43.6799106 36.267747, 43.6799347 36.2680519)"
538979042,False,,,,residential,,True,46.072,"LINESTRING (43.6799347 36.2680519, 43.6799106 36.267747, 43.6799043 36.2676383)"
321698496,False,,,,secondary,,False,78.48400000000001,"LINESTRING (43.684885 36.2713215, 43.6844198 36.2713665, 43.6840133 36.2713817)"
959715381,False,,,,trunk_link,,True,7.329,"LINESTRING (43.6840133 36.2713817, 43.6840086 36.2713159)"
321698496,False,,,,secondary,,False,129.956,"LINESTRING (43.6840133 36.2713817, 43.6834853 36.2714142, 43.6825678 36.2714698)"
321698496,False,,,,secondary,,True,78.48400000000001,"LINESTRING (43.6840133 36.2713817, 43.6844198 36.2713665, 43.684885 36.2713215)"
959715381,False,,,,trunk_link,,False,7.329,"LINESTRING (43.6840086 36.2713159, 43.6840133 36.2713817)"
