osmid,highway,oneway,reversed,length,name,geometry,junction
181424290,residential,False,False,61.039,,"LINESTRING (16.1427952 29.1611566, 16.1433438 29.1608886)",
181424290,residential,False,True,59.908,,"LINESTRING (16.1427952 29.1611566, 16.1422519 29.1614119)",
671759695,residential,False,True,39.127,,"LINESTRING (16.1427952 29.1611566, 16.1425611 29.1608702)",
671759693,residential,False,True,58.49,,"LINESTRING (16.1425611 29.1608702, 16.1420474 29.1611449)",
671759695,residential,False,False,39.127,,"LINESTRING (16.1425611 29.1608702, 16.1427952 29.1611566)",
671759695,residential,False,True,45.025,,"LINESTRING (16.1425611 29.1608702, 16.1424163 29.1607179, 16.1423412 29.1606547, 16.1422259 29.1605973)",
181424293,residential,False,False,41.227,,"LINESTRING (16.1451879 29.1631858, 16.1450836 29.1628264)",
181424293,residential,False,True,80.098,,"LINESTRING (16.1451879 29.1631858, 16.1453904 29.1638841)",
671759701,residential,False,True,62.524,,"LINESTRING (16.1451879 29.1631858, 16.1458218 29.163087)",
181252237,primary,True,False,129.64600000000002,طريق ودان,"LINESTRING (16.14491 29.1616632, 16.1452044 29.1618878, 16.1456045 29.1622056, 16.1458959 29.1624492)",
181422329,residential,False,False,130.149,,"LINESTRING (16.14491 29.1616632, 16.1450234 29.1616361, 16.1451361 29.1616173, 16.1453426 29.1616361, 16.1456189 29.1617157, 16.1457798 29.1617063, 16.1460024 29.1616384, 16.1461714 29.161526)",
671759703,residential,False,True,142.965,,"LINESTRING (16.1402947 29.1632733, 16.1401659 29.1629313, 16.1400667 29.1627111, 16.1399218 29.16232, 16.1397635 29.1620788)",
181422355,residential,False,True,21.362,,"LINESTRING (16.1457691 29.1610274, 16.1455491 29.1610274)",
671759709,residential,False,True,67.88,,"LINESTRING (16.1457691 29.1610274, 16.1458468 29.1611419, 16.1461714 29.161526)",
181422329,residential,False,True,130.149,,"LINESTRING (16.1461714 29.161526, 16.1460024 29.1616384, 16.1457798 29.1617063, 16.1456189 29.1617157, 16.1453426 29.1616361, 16.1451361 29.1616173, 16.1450234 29.1616361, 16.14491 29.1616632)",
671759709,residential,False,False,67.88,,"LINESTRING (16.1461714 29.161526, 16.1458468 29.1611419, 16.1457691 29.1610274)",
174510406,residential,False,False,93.01599999999999,,"LINESTRING (16.1395839 29.16154, 16.1401176 29.1613808, 16.1401632 29.1613503, 16.1401673 29.1613146, 16.1400741 29.1610698)",
181422358,residential,False,False,90.081,,"LINESTRING (16.143288 29.1628774, 16.1430681 29.1627275, 16.1425316 29.162409)",
181422358,residential,False,True,189.556,,"LINESTRING (16.143288 29.1628774, 16.1434382 29.1629571, 16.1435536 29.1629946, 16.1437681 29.1630836, 16.1441249 29.1632873, 16.1442831 29.1634255, 16.1444682 29.1636808, 16.1446828 29.1639958)",
181424295,residential,False,False,151.261,,"LINESTRING (16.143288 29.1628774, 16.1433738 29.1628716, 16.1435468 29.1628446, 16.1436877 29.1627744, 16.1437948 29.1626983, 16.1442912 29.1622099, 16.1444199 29.1620249)",
181422358,residential,False,False,92.306,,"LINESTRING (16.1425316 29.162409, 16.1420542 29.1621279, 16.1418611 29.1619733, 16.1417927 29.1618949)",
181422358,residential,False,True,90.081,,"LINESTRING (16.1425316 29.162409, 16.1430681 29.1627275, 16.143288 29.1628774)",
181424277,residential,False,False,223.498,,"LINESTRING (16.1425316 29.162409, 16.1430117 29.162224, 16.1434768 29.1620534, 16.1446923 29.1617246)",
671759713,residential,False,False,91.829,,"LINESTRING (16.1452568 29.164517, 16.1451092 29.1645615, 16.1450502 29.1645427, 16.14501 29.1644982, 16.1446828 29.1639958)",
671759713,residential,False,True,87.217,,"LINESTRING (16.1452568 29.164517, 16.1456591 29.1644116, 16.1461204 29.1643015)",
671759713,residential,False,True,8.665,,"LINESTRING (16.1461204 29.1643015, 16.1462079 29.1642862)",
671759713,residential,False,False,87.217,,"LINESTRING (16.1461204 29.1643015, 16.1456591 29.1644116, 16.1452568 29.164517)",
181424297,residential,False,False,116.054,,"LINESTRING (16.1436354 29.1643636, 16.1437064 29.1643202, 16.1437829 29.1642441, 16.1438526 29.1641551, 16.1439385 29.1640919, 16.1440296 29.1640602, 16.1441664 29.1640321, 16.1444816 29.1640052, 16.1446828 29.1639958)",
181422358,residential,False,False,189.55599999999998,,"LINESTRING (16.1446828 29.1639958, 16.1444682 29.1636808, 16.1442831 29.1634255, 16.1441249 29.1632873, 16.1437681 29.1630836, 16.1435536 29.1629946, 16.1434382 29.1629571, 16.143288 29.1628774)",
181424297,residential,False,False,69.88300000000001,,"LINESTRING (16.1446828 29.1639958, 16.1448705 29.1639759, 16.1452684 29.1639113, 16.1453904 29.1638841)",
181424297,residential,False,True,116.054,,"LINESTRING (16.1446828 29.1639958, 16.1444816 29.1640052, 16.1441664 29.1640321, 16.1440296 29.1640602, 16.1439385 29.1640919, 16.1438526 29.1641551, 16.1437829 29.1642441, 16.1437064 29.1643202, 16.1436354 29.1643636)",
671759713,residential,False,True,91.829,,"LINESTRING (16.1446828 29.1639958, 16.14501 29.1644982, 16.1450502 29.1645427, 16.1451092 29.1645615, 16.1452568 29.164517)",
671759713,residential,False,False,8.665,,"LINESTRING (16.1462079 29.1642862, 16.1461204 29.1643015)",
671940572,residential,False,True,62.754999999999995,,"LINESTRING (16.1462079 29.1642862, 16.1461808 29.1641961, 16.1461365 29.164052, 16.1460245 29.1637452)",
181424297,residential,False,False,7.066,,"LINESTRING (16.1460245 29.1637452, 16.1460951 29.1637298)",
181424297,residential,False,True,63.478,,"LINESTRING (16.1460245 29.1637452, 16.1453904 29.1638841)",
671940572,residential,False,False,62.754999999999995,,"LINESTRING (16.1460245 29.1637452, 16.1461365 29.164052, 16.1461808 29.1641961, 16.1462079 29.1642862)",
181424266,residential,False,False,8.562,,"LINESTRING (16.1457631 29.1625935, 16.1458452 29.1625654)",
181424266,residential,False,True,70.88,,"LINESTRING (16.1457631 29.1625935, 16.1450836 29.1628264)",
