osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,width,lanes,junction
"[38311812, 37501204]",False,,"['Moore Street', 'Elder Street']",residential,50,True,298.454,"LINESTRING (138.7796315 -35.5006335, 138.7783212 -35.5013993, 138.7782642 -35.5014206, 138.7782133 -35.5014217, 138.778161 -35.5014059, 138.7781207 -35.5013693, 138.778051 -35.5012841, 138.7772783 -35.5004044)",4,,
27863622,False,,Crocker Street,residential,50,False,78.506,"LINESTRING (138.7805486 -35.5016794, 138.78126 -35.5012756)",,,
37501205,False,,Partridge Street,residential,50,True,142.891,"LINESTRING (138.7805486 -35.5016794, 138.7796315 -35.5006335)",4,,
706715878,False,,Crocker Street,residential,,True,34.367,"LINESTRING (138.7805486 -35.5016794, 138.780296 -35.501818, 138.7802276 -35.5018431)",,,
37501203,False,,Farquhar Street,residential,50,True,141.206,"LINESTRING (138.7803378 -35.5002514, 138.78126 -35.5012756)",4,,
37501204,False,,Moore Street,residential,50,False,83.205,"LINESTRING (138.7803378 -35.5002514, 138.7810816 -35.4998118)",4,,
37501204,False,,Moore Street,residential,50,True,76.768,"LINESTRING (138.7803378 -35.5002514, 138.7796315 -35.5006335)",4,,
37501218,False,,Kessell Road,residential,50,True,52.637,"LINESTRING (138.776564 -35.4978471, 138.7771408 -35.4977874)",4,,
37501227,False,,Crawford Street,residential,50,False,82.118,"LINESTRING (138.776564 -35.4978471, 138.7766158 -35.4985844)",4,,
37501218,False,,Kessell Road,residential,50,False,97.58,"LINESTRING (138.7791627 -35.4975944, 138.7790469 -35.4976128, 138.7780934 -35.497703)",4,,
37501220,False,B37,Cadell Street,primary,50,True,154.66600000000003,"LINESTRING (138.7791627 -35.4975944, 138.7792718 -35.4977409, 138.7801508 -35.4987285)",,,
118898284,True,,Goolwa Terrace,secondary,50,False,21.236,"LINESTRING (138.7849456 -35.502252, 138.785075 -35.5020927)",,,
27863623,False,,Goolwa Terrace,secondary,,True,49.145999999999994,"LINESTRING (138.7849456 -35.502252, 138.7848474 -35.5023471, 138.7846948 -35.5024821, 138.7845823 -35.5025803)",,,
118706436,True,,,secondary,50,False,7.17,"LINESTRING (138.785075 -35.5020927, 138.7850729 -35.5020605, 138.7850857 -35.50203)",,1,roundabout
37501238,True,,Brooking Street,residential,,False,24.262,"LINESTRING (138.7850857 -35.50203, 138.7850804 -35.5019351, 138.7850837 -35.5018841, 138.7850853 -35.5018401, 138.7850858 -35.501812)",2,,
118706436,True,,,secondary,50,False,16.756,"LINESTRING (138.7850857 -35.50203, 138.7851095 -35.5020069, 138.7851418 -35.5019922, 138.7851784 -35.5019875, 138.7852146 -35.5019936, 138.785246 -35.5020096)",,1,roundabout
118706436,True,,,secondary,50,False,9.693000000000001,"LINESTRING (138.785246 -35.5020096, 138.7852678 -35.5020326, 138.7852788 -35.5020603, 138.7852776 -35.5020893)",,1,roundabout
118706436,True,,,secondary,50,False,12.572,"LINESTRING (138.7852776 -35.5020893, 138.785265 -35.5021156, 138.7852424 -35.5021371, 138.7852124 -35.5021513, 138.7851783 -35.5021567)",,1,roundabout
118898281,True,,Brooking Street,secondary,50,False,22.852,"LINESTRING (138.7852776 -35.5020893, 138.785279 -35.5021387, 138.7853073 -35.5022062, 138.7853592 -35.5022797)",,,
118706439,True,,Goolwa Terrace,secondary,50,False,20.788,"LINESTRING (138.785139 -35.5021512, 138.7849456 -35.502252)",,,
118706436,True,,,secondary,50,False,9.015,"LINESTRING (138.785139 -35.5021512, 138.7851102 -35.5021377, 138.7850882 -35.5021175, 138.785075 -35.5020927)",,1,roundabout
37501230,False,,Brooking Street,residential,50,True,103.522,"LINESTRING (138.7850858 -35.501812, 138.7844046 -35.5010642)",,,
37501211,False,,Liverpool Road,residential,50,False,144.94500000000002,"LINESTRING (138.7850858 -35.501812, 138.7851485 -35.5017149, 138.7854166 -35.5015479, 138.7859386 -35.5012554, 138.7863367 -35.5010157)",,2,
"[118706443, 118706438]",True,,Brooking Street,residential,50,False,26.384,"LINESTRING (138.7850858 -35.501812, 138.7851676 -35.501927, 138.785246 -35.5020096)",2,,
38311608,False,,Chrystal Street,residential,50,True,84.646,"LINESTRING (138.7863367 -35.5010157, 138.7857985 -35.5003932)",4,,
37501211,False,,Liverpool Road,residential,50,True,144.94500000000002,"LINESTRING (138.7863367 -35.5010157, 138.7859386 -35.5012554, 138.7854166 -35.5015479, 138.7851485 -35.5017149, 138.7850858 -35.501812)",,2,
38460357,False,,Curson Place,residential,50,False,61.131,"LINESTRING (138.7863367 -35.5010157, 138.7867264 -35.5014032, 138.7867501 -35.5014482)",4,,
37501204,False,,Moore Street,residential,50,False,80.676,"LINESTRING (138.7810816 -35.4998118, 138.7818089 -35.4993925)",4,,
37501204,False,,Moore Street,residential,50,True,83.205,"LINESTRING (138.7810816 -35.4998118, 138.7803378 -35.5002514)",4,,
37501220,False,B37,Cadell Street,primary,50,False,147.004,"LINESTRING (138.7810816 -35.4998118, 138.7801508 -35.4987285)",,,
37501220,False,B37,Cadell Street,primary,50,True,142.037,"LINESTRING (138.7810816 -35.4998118, 138.7819945 -35.5008507)",,,
27863621,False,,Loveday Street,residential,50,False,143.425,"LINESTRING (138.7818089 -35.4993925, 138.7827499 -35.5004302)",,,
27863621,False,,Loveday Street,residential,50,True,146.185,"LINESTRING (138.7818089 -35.4993925, 138.7808913 -35.4983107)",,,
37501204,False,,Moore Street,residential,50,False,81.918,"LINESTRING (138.7818089 -35.4993925, 138.7825427 -35.4989614)",4,,
