osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,name,ref
43437536,,residential,,,False,True,145.916,"LINESTRING (117.8819891 -35.0239629, 117.8819887 -35.0235504, 117.8819587 -35.0230855, 117.8819308 -35.0226519)",Collie Street,
49722270,,residential,,,False,False,131.755,"LINESTRING (117.8819891 -35.0239629, 117.8822638 -35.0239402, 117.8825657 -35.0239233, 117.8834319 -35.0238749)",Grey Street West,
43437536,,residential,,,False,True,109.705,"LINESTRING (117.8820235 -35.0249491, 117.8819891 -35.0239629)",Collie Street,
452032869,,residential,,,False,True,126.618,"LINESTRING (117.8820235 -35.0249491, 117.8806671 -35.0251998)",Vancouver Street,
43437536,,residential,,,False,False,104.625,"LINESTRING (117.8820235 -35.0249491, 117.8820426 -35.0252002, 117.8820674 -35.0255264, 117.8820948 -35.0258882)",Collie Street,
43437536,,residential,,,False,False,18.639,"LINESTRING (117.8820948 -35.0258882, 117.8821295 -35.0260534)",Collie Street,
43437536,,residential,,,False,True,104.625,"LINESTRING (117.8820948 -35.0258882, 117.8820674 -35.0255264, 117.8820426 -35.0252002, 117.8820235 -35.0249491)",Collie Street,
43438189,,residential,,,False,False,64.533,"LINESTRING (117.8820948 -35.0258882, 117.8821287 -35.0258898, 117.8826645 -35.0258765, 117.8827584 -35.0259601)",Peels Place,
43437536,,residential,,,False,True,18.639,"LINESTRING (117.8821295 -35.0260534, 117.8820948 -35.0258882)",Collie Street,
32973275,,residential,,roundabout,True,False,13.835999999999999,"LINESTRING (117.8821295 -35.0260534, 117.8821626 -35.0260537, 117.8821936 -35.0260633, 117.8822188 -35.026081, 117.882235 -35.0261047, 117.8822395 -35.0261201)",,
452032869,,residential,,,False,False,126.618,"LINESTRING (117.8806671 -35.0251998, 117.8820235 -35.0249491)",Vancouver Street,
452032869,,residential,,,False,True,99.878,"LINESTRING (117.8806671 -35.0251998, 117.8795945 -35.0253877)",Vancouver Street,
43437503,,residential,,,False,True,160.317,"LINESTRING (117.8806671 -35.0251998, 117.8806201 -35.0260181, 117.8806175 -35.0260628, 117.8806201 -35.0266406)",Cuthbert Street,
43437466,,residential,,,False,False,91.014,"LINESTRING (117.8796842 -35.026928, 117.8806201 -35.0266406)",Duke Street,
49722261,,residential,,,False,False,123.003,"LINESTRING (117.8796842 -35.026928, 117.8797729 -35.0280318)",Parade Street,
49722261,,residential,,,False,True,171.468,"LINESTRING (117.8796842 -35.026928, 117.8795956 -35.0254061, 117.8795945 -35.0253877)",Parade Street,
43437466,,residential,,,False,False,141.434,"LINESTRING (117.8806201 -35.0266406, 117.8820642 -35.0261722)",Duke Street,
43437466,,residential,,,False,True,91.014,"LINESTRING (117.8806201 -35.0266406, 117.8796842 -35.026928)",Duke Street,
43437503,,residential,,,False,False,160.317,"LINESTRING (117.8806201 -35.0266406, 117.8806175 -35.0260628, 117.8806201 -35.0260181, 117.8806671 -35.0251998)",Cuthbert Street,
43437466,,residential,,,False,True,141.434,"LINESTRING (117.8820642 -35.0261722, 117.8806201 -35.0266406)",Duke Street,
32973275,,residential,,roundabout,True,False,17.044999999999998,"LINESTRING (117.8820642 -35.0261722, 117.8820517 -35.0261471, 117.8820504 -35.02612, 117.8820604 -35.0260942, 117.8820807 -35.0260727, 117.8821088 -35.0260582, 117.8821295 -35.0260534)",,
1238987531,,residential,,,False,True,137.94,"LINESTRING (117.8875437 -35.0252144, 117.8870816 -35.024033)",Spencer Street,
43437474,,residential,,,False,False,139.002,"LINESTRING (117.8875437 -35.0252144, 117.888081 -35.0254131, 117.8888629 -35.0258359)",Earl Street,
43437702,,residential,,,False,False,125.093,"LINESTRING (117.8875437 -35.0252144, 117.8875838 -35.025433, 117.8873294 -35.0263126)",Spencer Street,
1238987532,,residential,,,False,True,213.849,"LINESTRING (117.8875437 -35.0252144, 117.8864493 -35.0250625, 117.8853771 -35.0249137, 117.8852267 -35.0249027)",Earl Street,
43437861,,residential,,,False,True,50.788,"LINESTRING (117.8888629 -35.0258359, 117.8887035 -35.0253982)",Rowley Street,
43437474,,residential,,,False,True,139.002,"LINESTRING (117.8888629 -35.0258359, 117.888081 -35.0254131, 117.8875437 -35.0252144)",Earl Street,
49722261,,residential,,,False,True,123.003,"LINESTRING (117.8797729 -35.0280318, 117.8796842 -35.026928)",Parade Street,
426052859,,residential,,,False,False,52.661,"LINESTRING (117.8797729 -35.0280318, 117.8798103 -35.0285044)",Parade Street,
426052858,,residential,,,False,False,93.065,"LINESTRING (117.8797729 -35.0280318, 117.8799668 -35.0280032, 117.8802001 -35.0279362, 117.8807368 -35.0277609)",Festing Street,
"[375751704, 43437828]",,secondary,,,False,False,157.735,"LINESTRING (117.8807368 -35.0277609, 117.8808353 -35.0279304, 117.8809153 -35.028068, 117.8809673 -35.0281448, 117.8810853 -35.0283188, 117.8812004 -35.0284319, 117.8815513 -35.0287767, 117.8817219 -35.0289135)",Residency Road,257
43459956,2,secondary,,,False,False,173.691,"LINESTRING (117.8807368 -35.0277609, 117.8810042 -35.0276679, 117.8825075 -35.0271801)",Stirling Terrace,257
426052858,,residential,,,False,True,93.065,"LINESTRING (117.8807368 -35.0277609, 117.8802001 -35.0279362, 117.8799668 -35.0280032, 117.8797729 -35.0280318)",Festing Street,
43437861,,residential,,,False,False,175.209,"LINESTRING (117.8874631 -35.0227687, 117.8882672 -35.0242002)",Rowley Street,
43437861,,residential,,,False,True,72.139,"LINESTRING (117.8874631 -35.0227687, 117.8873857 -35.0226203, 117.8871519 -35.0221721)",Rowley Street,
32973276,,residential,,roundabout,True,False,19.829000000000004,"LINESTRING (117.8853225 -35.0259893, 117.88531 -35.0260091, 117.8852901 -35.0260243, 117.8852651 -35.0260331, 117.8852379 -35.0260343, 117.8852262 -35.0260314, 117.8852118 -35.0260279, 117.8851899 -35.0260146, 117.8851749 -35.025996, 117.8851685 -35.0259744)",,
43437439,,residential,,,False,False,186.255,"LINESTRING (117.8853225 -35.0259893, 117.8862631 -35.0261317, 117.8863608 -35.0261483, 117.8873294 -35.0263126)",Frederick Street,
43437439,,residential,,,False,True,186.255,"LINESTRING (117.8873294 -35.0263126, 117.8863608 -35.0261483, 117.8862631 -35.0261317, 117.8853225 -35.0259893)",Frederick Street,
43437702,,residential,,,False,False,119.49499999999999,"LINESTRING (117.8873294 -35.0263126, 117.8871276 -35.0273103, 117.887115 -35.0273728)",Spencer Street,
43437702,,residential,,,False,True,125.093,"LINESTRING (117.8873294 -35.0263126, 117.8875838 -35.025433, 117.8875437 -35.0252144)",Spencer Street,
49722270,,residential,,,False,True,131.755,"LINESTRING (117.8834319 -35.0238749, 117.8825657 -35.0239233, 117.8822638 -35.0239402, 117.8819891 -35.0239629)",Grey Street West,
981474454,,secondary,,roundabout,True,False,7.859,"LINESTRING (117.8834319 -35.0238749, 117.8834406 -35.0238403, 117.8834658 -35.0238116)",,
