osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,bridge,junction,width
"[766040712, 766040713, 766040714, 766040715, 1158248750]",,,residential,False,"[False, True]",268.827,,"LINESTRING (85.9381037 26.7312659, 85.938555 26.7312269, 85.9388888 26.7312092, 85.9389116 26.731202, 85.9389317 26.7311733, 85.9389424 26.7311254, 85.93898 26.731111, 85.939047 26.7311086, 85.9392817 26.731141, 85.9393783 26.7311529, 85.9394078 26.7311709, 85.9394172 26.7311997, 85.9394158 26.7313518, 85.9394038 26.7313652, 85.939389 26.7313697, 85.9393005 26.7313673, 85.9392723 26.7313769, 85.9392603 26.7313949, 85.9392858 26.7317123, 85.9392911 26.7319186, 85.9392882 26.7319653, 85.9392999 26.7320442, 85.9393083 26.7320944, 85.9393108 26.7321877, 85.9393078 26.7322346)",,,
766040719,,,residential,False,False,64.116,,"LINESTRING (85.9381037 26.7312659, 85.9381539 26.7314368, 85.9382743 26.731822)",,,
766040716,,,residential,False,True,35.919,,"LINESTRING (85.9380382 26.7298593, 85.9376787 26.7298947)",,,
766040717,,,residential,False,False,56.579,,"LINESTRING (85.9375701 26.7314293, 85.9376005 26.7316074, 85.9376737 26.7319295)",,,
766040718,,,residential,False,True,60.832,,"LINESTRING (85.9376737 26.7319295, 85.9382743 26.731822)",,,
766040717,,,residential,False,True,56.579,,"LINESTRING (85.9376737 26.7319295, 85.9376005 26.7316074, 85.9375701 26.7314293)",,,
766040718,,,residential,False,False,118.06800000000001,,"LINESTRING (85.9376737 26.7319295, 85.9373589 26.7319816, 85.9370007 26.7320767, 85.9369263 26.732119, 85.9368588 26.7321537, 85.9365478 26.7322494)",,,
766040727,,,residential,False,False,37.251,,"LINESTRING (85.9365478 26.7322494, 85.9366733 26.7325651)",,,
766040718,,,residential,False,True,118.068,,"LINESTRING (85.9365478 26.7322494, 85.9368588 26.7321537, 85.9369263 26.732119, 85.9370007 26.7320767, 85.9373589 26.7319816, 85.9376737 26.7319295)",,,
766040727,,,residential,False,True,89.936,,"LINESTRING (85.9365478 26.7322494, 85.9365123 26.7321603, 85.9363836 26.7314991, 85.9363777 26.7314563)",,,
766040718,,,residential,False,False,60.832,,"LINESTRING (85.9382743 26.731822, 85.9376737 26.7319295)",,,
766040719,,,residential,False,True,64.116,,"LINESTRING (85.9382743 26.731822, 85.9381539 26.7314368, 85.9381037 26.7312659)",,,
766040719,,,residential,False,False,84.137,,"LINESTRING (85.937824 26.73042, 85.938068 26.7311446)",,,
766040728,,,residential,False,True,14.093,,"LINESTRING (85.937824 26.73042, 85.9376821 26.7304188)",,,
766040728,,,residential,False,False,93.03399999999999,,"LINESTRING (85.937824 26.73042, 85.9379473 26.7304211, 85.9381995 26.7304115, 85.9384757 26.730469, 85.9386286 26.7304858, 85.938752 26.7304858)",,,
766040719,,,residential,False,False,13.946,,"LINESTRING (85.938068 26.7311446, 85.9381037 26.7312659)",,,
766040719,,,residential,False,True,84.137,,"LINESTRING (85.938068 26.7311446, 85.937824 26.73042)",,,
766040720,,,residential,False,True,173.31799999999998,,"LINESTRING (85.938068 26.7311446, 85.9378615 26.7311853, 85.9374565 26.7312332, 85.9372044 26.7312667, 85.937081 26.7313122, 85.9368959 26.7314081, 85.9366679 26.7314488, 85.9363777 26.7314563)",,,
766040727,,,residential,False,True,8.752,,"LINESTRING (85.9363777 26.7314563, 85.9363668 26.7313782)",,,
766040720,,,residential,False,False,173.318,,"LINESTRING (85.9363777 26.7314563, 85.9366679 26.7314488, 85.9368959 26.7314081, 85.937081 26.7313122, 85.9372044 26.7312667, 85.9374565 26.7312332, 85.9378615 26.7311853, 85.938068 26.7311446)",,,
766040727,,,residential,False,False,89.936,,"LINESTRING (85.9363777 26.7314563, 85.9363836 26.7314991, 85.9365123 26.7321603, 85.9365478 26.7322494)",,,
766040721,,,residential,False,True,34.81,,"LINESTRING (85.9360215 26.731432, 85.9363668 26.7313782)",,,
766040721,,,residential,False,False,34.81,,"LINESTRING (85.9363668 26.7313782, 85.9360215 26.731432)",,,
766040727,,,residential,False,False,8.752,,"LINESTRING (85.9363668 26.7313782, 85.9363777 26.7314563)",,,
766040727,,,residential,False,True,49.426,,"LINESTRING (85.9363668 26.7313782, 85.9363054 26.7309371)",,,
634148663,,,residential,False,True,30.722,,"LINESTRING (85.9366116 26.7308978, 85.9363054 26.7309371)",,,
634148663,,,residential,False,False,30.722,,"LINESTRING (85.9363054 26.7309371, 85.9366116 26.7308978)",,,
766040727,,,residential,False,False,49.426,,"LINESTRING (85.9363054 26.7309371, 85.9363668 26.7313782)",,,
634148663,,,residential,False,True,181.159,,"LINESTRING (85.9363054 26.7309371, 85.9359491 26.7310056, 85.9351714 26.7310875, 85.9346564 26.7311115, 85.9344955 26.7311115)",,,
766040727,,,residential,False,True,53.028,,"LINESTRING (85.9363054 26.7309371, 85.9362629 26.7306319, 85.9362766 26.730463)",,,
634148666,,,residential,False,False,23.73,,"LINESTRING (85.9351785 26.7319574, 85.9354174 26.7319533)",,,
634148666,,,residential,False,True,52.837,,"LINESTRING (85.9351785 26.7319574, 85.9350266 26.73196, 85.9346511 26.7320127)",,,
766040727,,,residential,False,True,37.251,,"LINESTRING (85.9366733 26.7325651, 85.9365478 26.7322494)",,,
766040728,,,residential,False,False,8.26,,"LINESTRING (85.9362766 26.730463, 85.9363595 26.730457)",,,
766040727,,,residential,False,False,53.028,,"LINESTRING (85.9362766 26.730463, 85.9362629 26.7306319, 85.9363054 26.7309371)",,,
766040728,,,residential,False,True,56.829,,"LINESTRING (85.9362766 26.730463, 85.9361932 26.730469, 85.935705 26.7304522)",,,
766040728,,,residential,False,True,93.03399999999999,,"LINESTRING (85.938752 26.7304858, 85.9386286 26.7304858, 85.9384757 26.730469, 85.9381995 26.7304115, 85.9379473 26.7304211, 85.937824 26.73042)",,,
766040728,,,residential,False,False,56.829,,"LINESTRING (85.935705 26.7304522, 85.9361932 26.730469, 85.9362766 26.730463)",,,
766040728,,,residential,False,False,14.093,,"LINESTRING (85.9376821 26.7304188, 85.937824 26.73042)",,,
766040730,,,residential,False,True,58.278,,"LINESTRING (85.9376821 26.7304188, 85.9376787 26.7298947)",,,
766040728,,,residential,False,True,131.62,,"LINESTRING (85.9376821 26.7304188, 85.9372392 26.7304427, 85.9370059 26.7304379, 85.9367725 26.7304498, 85.936633 26.7304666, 85.9363595 26.730457)",,,
766040716,,,residential,False,False,35.919,,"LINESTRING (85.9376787 26.7298947, 85.9380382 26.7298593)",,,
766040730,,,residential,False,False,58.278,,"LINESTRING (85.9376787 26.7298947, 85.9376821 26.7304188)",,,
766040730,,,residential,False,True,29.153,,"LINESTRING (85.9376787 26.7298947, 85.937663 26.7296329)",,,
766040732,,,residential,False,True,62.083,,"LINESTRING (85.9381475 26.7281241, 85.9380963 26.7281125, 85.9380237 26.7281019, 85.937652 26.7281275, 85.9375286 26.7281499)",,,
766040734,,,residential,False,False,150.125,,"LINESTRING (85.9381475 26.7281241, 85.9381002 26.7278626, 85.9380627 26.7276015, 85.9380613 26.7273368, 85.9380117 26.7269439, 85.9379621 26.7267882)",,,
"[766040731, 766040734]",,,residential,False,True,112.70599999999997,,"LINESTRING (85.9381475 26.7281241, 85.9381632 26.7282255, 85.9382196 26.7287693, 85.9382303 26.7287945, 85.9382558 26.7288125, 85.9382772 26.7288316, 85.9382846 26.728854, 85.93826 26.7291118)",,,
766040733,,,residential,False,True,79.76599999999999,,"LINESTRING (85.9384663 26.7270098, 85.9384355 26.7267426, 85.9384261 26.7267199, 85.9384073 26.7267103, 85.9379621 26.7267882)",,,
766040734,,,residential,False,True,63.445,,"LINESTRING (85.9378763 26.7262228, 85.9379621 26.7267882)",,,
766040734,,,residential,False,False,63.445,,"LINESTRING (85.9379621 26.7267882, 85.9378763 26.7262228)",,,
766040733,,,residential,False,False,79.76599999999999,,"LINESTRING (85.9379621 26.7267882, 85.9384073 26.7267103, 85.9384261 26.7267199, 85.9384355 26.7267426, 85.9384663 26.7270098)",,,
766040734,,,residential,False,True,150.125,,"LINESTRING (85.9379621 26.7267882, 85.9380117 26.7269439, 85.9380613 26.7273368, 85.9380627 26.7276015, 85.9381002 26.7278626, 85.9381475 26.7281241)",,,
766040735,,,residential,False,True,62.096000000000004,,"LINESTRING (85.9382732 26.7295263, 85.9379366 26.7295563, 85.9377543 26.7296019, 85.937663 26.7296329)",,,
766040730,,,residential,False,False,29.153,,"LINESTRING (85.937663 26.7296329, 85.9376787 26.7298947)",,,
766040735,,,residential,False,True,13.294,,"LINESTRING (85.937663 26.7296329, 85.9375316 26.7296557)",,,
766040735,,,residential,False,False,62.096,,"LINESTRING (85.937663 26.7296329, 85.9377543 26.7296019, 85.9379366 26.7295563, 85.9382732 26.7295263)",,,
766040735,,,residential,False,False,13.294,,"LINESTRING (85.9375316 26.7296557, 85.937663 26.7296329)",,,
766040729,,,residential,False,False,50.11,,"LINESTRING (85.9375316 26.7296557, 85.9374926 26.7294548, 85.9374553 26.7292103)",,,
766040735,,,residential,False,True,138.526,,"LINESTRING (85.9375316 26.7296557, 85.937026 26.7296821, 85.9367832 26.729694, 85.936448 26.7297551, 85.9361537 26.7298199)",,,
634148202,,,residential,False,False,49.647,,"LINESTRING (85.9361537 26.7298199, 85.9360777 26.7293786)",,,
