osmid,name,highway,oneway,reversed,length,geometry,maxspeed,ref,bridge
253713418,Grandeveien,tertiary,False,False,214.236,"LINESTRING (10.6339272 59.6662667, 10.6338156 59.666336, 10.6336445 59.6664517, 10.6335386 59.6665223, 10.6334233 59.6665876, 10.6333098 59.666641, 10.6331945 59.6666864, 10.6330716 59.666724, 10.6329417 59.6667565, 10.632762 59.6667993, 10.6325342 59.6668608, 10.6323758 59.6669068, 10.6322375 59.6669495, 10.6321062 59.6669942, 10.632022 59.6670308, 10.6319103 59.6670866, 10.6317978 59.6671493, 10.6316771 59.6672192, 10.6311286 59.6675365)",40,,
32612407,Buggebakken,residential,False,False,65.135,"LINESTRING (10.6313101 59.6637024, 10.6313445 59.6637387, 10.6313813 59.663759, 10.6314333 59.6637763, 10.6316167 59.6638365, 10.6316972 59.6638701, 10.6317636 59.6639168, 10.6319386 59.6640526, 10.6319895 59.6640973, 10.6320264 59.6641461)",,,
253713440,Lindtruppbakken,primary,False,False,31.359000000000005,"LINESTRING (10.6313101 59.6637024, 10.63104 59.6637482, 10.6308908 59.6637728, 10.6308403 59.6637788, 10.6307758 59.6637807)",30,152,
253713440,Lindtruppbakken,primary,False,True,101.12599999999999,"LINESTRING (10.6313101 59.6637024, 10.6315411 59.6636585, 10.6317261 59.6636096, 10.6318957 59.6635528, 10.6320244 59.6635051, 10.6321776 59.6634339, 10.6323109 59.6633556, 10.6325642 59.6631907, 10.632666 59.663131)",30,152,
32612407,Buggebakken,residential,False,False,73.783,"LINESTRING (10.6320264 59.6641461, 10.6320804 59.6642198, 10.6321082 59.6642578, 10.6321532 59.6643354, 10.6322101 59.6644556, 10.6322376 59.6645284, 10.6322571 59.6645708, 10.6322866 59.6646179, 10.6323282 59.6646822, 10.6323899 59.6647828)",,,
32612407,Buggebakken,residential,False,True,65.13499999999999,"LINESTRING (10.6320264 59.6641461, 10.6319895 59.6640973, 10.6319386 59.6640526, 10.6317636 59.6639168, 10.6316972 59.6638701, 10.6316167 59.6638365, 10.6314333 59.6637763, 10.6313813 59.663759, 10.6313445 59.6637387, 10.6313101 59.6637024)",,,
279669473,Buggebakken,residential,False,False,33.396,"LINESTRING (10.6320264 59.6641461, 10.631962 59.6641617, 10.6318179 59.6642087, 10.6315074 59.6642921)",,,
32612407,Buggebakken,residential,False,False,105.861,"LINESTRING (10.6323899 59.6647828, 10.6324992 59.6650182, 10.6325287 59.6650598, 10.632587 59.6651093, 10.632763 59.665242, 10.6329538 59.6653849, 10.6330302 59.6654279, 10.6330792 59.6654533, 10.6331187 59.6654662, 10.633165 59.665474, 10.6332213 59.6654757, 10.6333273 59.665474, 10.6333783 59.6654754, 10.6334312 59.6654787)",,,
32612407,Buggebakken,residential,False,True,73.783,"LINESTRING (10.6323899 59.6647828, 10.6323282 59.6646822, 10.6322866 59.6646179, 10.6322571 59.6645708, 10.6322376 59.6645284, 10.6322101 59.6644556, 10.6321532 59.6643354, 10.6321082 59.6642578, 10.6320804 59.6642198, 10.6320264 59.6641461)",,,
279669466,Akershusveien,residential,False,False,55.187,"LINESTRING (10.6323899 59.6647828, 10.6326353 59.664735, 10.6328485 59.6646991, 10.6329156 59.6646832, 10.6329464 59.6646673, 10.6329639 59.6646456, 10.6329786 59.664607, 10.6329947 59.6644797)",,,
32612373,Seierstenveien,residential,False,False,11.842,"LINESTRING (10.6334312 59.6654787, 10.6334004 59.6655126, 10.6333783 59.6655512, 10.6333675 59.6655797)",,,
32612373,Seierstenveien,residential,False,True,34.816,"LINESTRING (10.6334312 59.6654787, 10.6334969 59.66543, 10.633562 59.6653839, 10.633625 59.665349, 10.6337162 59.6653128, 10.6338081 59.6652884, 10.6338812 59.6652749)",,,
32612407,Buggebakken,residential,False,True,105.861,"LINESTRING (10.6334312 59.6654787, 10.6333783 59.6654754, 10.6333273 59.665474, 10.6332213 59.6654757, 10.633165 59.665474, 10.6331187 59.6654662, 10.6330792 59.6654533, 10.6330302 59.6654279, 10.6329538 59.6653849, 10.632763 59.665242, 10.632587 59.6651093, 10.6325287 59.6650598, 10.6324992 59.6650182, 10.6323899 59.6647828)",,,
253713463,Osloveien,unclassified,True,False,6.417,"LINESTRING (10.6329006 59.6630968, 10.6328636 59.6630733, 10.632837 59.6630491)",,,
279669506,Lindtruppbakken,primary,True,False,13.847999999999999,"LINESTRING (10.6329006 59.6630968, 10.6328098 59.663104, 10.6327425 59.6631114, 10.632666 59.663131)",30,152,
"[876255264, 876255265, 115008054]",Flatåsen,residential,False,False,60.79699999999999,"LINESTRING (10.6325251 59.6627671, 10.632678 59.662658, 10.632907 59.66252, 10.6329665 59.6624869, 10.633155 59.6623832, 10.633221 59.6623493)",,,yes
253713446,Osloveien,unclassified,False,False,55.343,"LINESTRING (10.6325251 59.6627671, 10.632234 59.662681, 10.6318521 59.6625546, 10.6316808 59.6625114)",,,
253713446,Osloveien,unclassified,False,True,20.971999999999998,"LINESTRING (10.6325251 59.6627671, 10.6326935 59.662843, 10.6327496 59.662867, 10.632769 59.66288, 10.6327946 59.6628968)",,,
253713446,Osloveien,unclassified,False,False,55.126,"LINESTRING (10.6316808 59.6625114, 10.631269 59.66248, 10.6310426 59.6624642, 10.6308693 59.6624699, 10.6307198 59.6625025)",,,
253713446,Osloveien,unclassified,False,True,55.343,"LINESTRING (10.6316808 59.6625114, 10.6318521 59.6625546, 10.632234 59.662681, 10.6325251 59.6627671)",,,
279669528,Tranga,residential,False,False,51.607000000000006,"LINESTRING (10.6316808 59.6625114, 10.631572 59.662269, 10.631532 59.662171, 10.631514 59.66213, 10.631497 59.662057)",,,
253713446,Osloveien,unclassified,False,False,14.812,"LINESTRING (10.6307198 59.6625025, 10.6305657 59.6626106)",,,
253713446,Osloveien,unclassified,False,True,55.126,"LINESTRING (10.6307198 59.6625025, 10.6308693 59.6624699, 10.6310426 59.6624642, 10.631269 59.66248, 10.6316808 59.6625114)",,,
279669478,Damveien,residential,False,False,137.846,"LINESTRING (10.6307198 59.6625025, 10.6307396 59.6624117, 10.6309434 59.6620873, 10.6310827 59.6617921, 10.6310842 59.6617327, 10.6310327 59.661645, 10.6309136 59.6615284, 10.6308622 59.6614571, 10.6308636 59.6614066, 10.6309004 59.6613688, 10.6309842 59.6613354)",,,
