osmid,lanes,ref,name,highway,oneway,reversed,length,geometry,bridge,junction
140169046,,,Via Marcacci,residential,False,False,39.419,"LINESTRING (13.6334871 42.5824413, 13.6334864 42.5820868)",,
96356545,2,SS80,Viale Risorgimento,primary,False,True,54.485,"LINESTRING (13.6357917 42.5821094, 13.6364003 42.5823076)",,
140169037,,,Via dei Mille,residential,False,True,32.312,"LINESTRING (13.6357917 42.5821094, 13.6356458 42.5823794)",,
96356545,2,SS80,Viale Risorgimento,primary,False,False,200.434,"LINESTRING (13.6357917 42.5821094, 13.6355001 42.5820163, 13.6348582 42.5818102, 13.6339645 42.5815261, 13.6335461 42.5813916)",,
140315962,,,Via Santa Giusta,residential,False,True,219.59,"LINESTRING (13.6385428 42.5836124, 13.6375254 42.5834508, 13.6368807 42.5833488, 13.6367163 42.5833151, 13.6364546 42.5832528, 13.6362171 42.5831793, 13.6359626 42.5830959)",,
140169037,,,Via dei Mille,residential,False,False,25.748,"LINESTRING (13.6354536 42.5829163, 13.6355143 42.5826891)",,
140315961,,,Via Giacomo Matteotti,residential,False,True,113.785,"LINESTRING (13.6354536 42.5829163, 13.6349041 42.5828458, 13.6340837 42.5827439)",,
140315962,,,Via Santa Giusta,residential,False,False,46.285,"LINESTRING (13.6354536 42.5829163, 13.6356099 42.5829646, 13.635792 42.5830414, 13.6359626 42.5830959)",,
949697622,2,SS80,Viale Risorgimento,primary,False,True,9.17,"LINESTRING (13.6334427 42.5813599, 13.6335461 42.5813916)",,
1007443553,,SS80,Viale Risorgimento,primary,True,False,24.115000000000002,"LINESTRING (13.6334427 42.5813599, 13.6332768 42.5813493, 13.6331492 42.5813569)",,
140169044,,,Largo Rosciano,residential,False,True,64.507,"LINESTRING (13.6318523 42.582876, 13.6318898 42.5827175, 13.6318992 42.5826825, 13.6319744 42.5826637, 13.632275 42.5826182, 13.6323412 42.5826182, 13.632407 42.582632)",,
648289499,,,Largo Rosciano,tertiary,False,False,43.762,"LINESTRING (13.6318523 42.582876, 13.6315492 42.5829323, 13.6313534 42.5830092)",,
648289499,,,Largo Rosciano,tertiary,False,True,50.086,"LINESTRING (13.6318523 42.582876, 13.6320831 42.582824, 13.6322898 42.5827703, 13.63242 42.5827137)",,
823877461,,,Via Italia,tertiary,True,False,23.833,"LINESTRING (13.6329399 42.5815251, 13.6329589 42.5814119, 13.632967 42.5813118)",,
"[140169041, 823877463]",,,Via Italia,"['residential', 'tertiary']",False,True,61.592,"LINESTRING (13.6329399 42.5815251, 13.6329258 42.5815504, 13.6327057 42.5820514)",,
846642147,,,Via Duca degli Abruzzi,tertiary,False,True,4.629,"LINESTRING (13.6313534 42.5830092, 13.631297 42.5830063)",,
648289499,,,Largo Rosciano,tertiary,False,True,43.762,"LINESTRING (13.6313534 42.5830092, 13.6315492 42.5829323, 13.6318523 42.582876)",,
846642147,,,Via Duca degli Abruzzi,tertiary,False,False,116.064,"LINESTRING (13.6313534 42.5830092, 13.6320171 42.5830944, 13.632749 42.5831924)",,
140169650,,,Via del Colle,residential,False,False,125.52,"LINESTRING (13.6284775 42.5838332, 13.6287007 42.5840619, 13.6288128 42.5841742, 13.6288411 42.5842485, 13.6288623 42.5844426, 13.6288358 42.5845573, 13.6287137 42.584698, 13.628629 42.5848373)",,
140169650,,,Via del Colle,residential,False,True,103.223,"LINESTRING (13.6284775 42.5838332, 13.628277 42.5836383, 13.6280034 42.583421, 13.627899 42.5833025, 13.6277324 42.5831644, 13.6276808 42.583116)",,
140169656,,,Via Del Forte,residential,False,False,84.54100000000001,"LINESTRING (13.6284775 42.5838332, 13.6286063 42.5838648, 13.6288719 42.583852, 13.6290502 42.5838332, 13.629205 42.5837933, 13.6293512 42.5838219, 13.6294812 42.5838494)",,
140313051,,,Via Speranza,residential,False,False,35.612,"LINESTRING (13.6284045 42.5826907, 13.6282508 42.5829903)",,
140169660,,,Corso Giuseppe Valentini,residential,True,False,112.157,"LINESTRING (13.6284045 42.5826907, 13.6281905 42.5826456, 13.6281679 42.5826429, 13.628008 42.582616, 13.6278144 42.5825895, 13.6277131 42.5825693, 13.6276159 42.5825535, 13.6274896 42.582522, 13.627399 42.5825047, 13.6272104 42.5824784, 13.627071 42.5824684)",,
140169658,,,Via Beretra,residential,False,False,15.09,"LINESTRING (13.6273918 42.5828138, 13.6275714 42.5828443)",,
140169658,,,Via Beretra,residential,False,True,15.09,"LINESTRING (13.6275714 42.5828443, 13.6273918 42.5828138)",,
140169658,,,Via Beretra,residential,False,False,58.01299999999999,"LINESTRING (13.6275714 42.5828443, 13.6277881 42.5828916, 13.6279353 42.5829211, 13.6280723 42.5829485, 13.6281986 42.5829722, 13.6282508 42.5829903)",,
140171703,,,Via del Colle,residential,False,False,33.095,"LINESTRING (13.6275714 42.5828443, 13.6275623 42.5829548, 13.6275738 42.5829994, 13.6276542 42.5830744, 13.6276808 42.583116)",,
140169653,,,Via Camponeschi Caraffa,residential,False,False,100.23499999999999,"LINESTRING (13.62949 42.5829975, 13.629828 42.583108, 13.630074 42.583193, 13.6302792 42.5832552, 13.6305953 42.5833833)",,
140169660,,,Corso Giuseppe Valentini,residential,True,False,95.19899999999998,"LINESTRING (13.62949 42.5829975, 13.6292437 42.5829298, 13.6291188 42.5828964, 13.6290944 42.5828894, 13.6289153 42.5828378, 13.6286171 42.5827519, 13.6284045 42.5826907)",,
140169650,,,Via del Colle,residential,False,False,103.223,"LINESTRING (13.6276808 42.583116, 13.6277324 42.5831644, 13.627899 42.5833025, 13.6280034 42.583421, 13.628277 42.5836383, 13.6284775 42.5838332)",,
140169650,,,Via del Colle,residential,False,True,26.036,"LINESTRING (13.6276808 42.583116, 13.6275986 42.5830813, 13.6275416 42.5830463, 13.6274349 42.5829697)",,
140171703,,,Via del Colle,residential,False,True,33.095000000000006,"LINESTRING (13.6276808 42.583116, 13.6276542 42.5830744, 13.6275738 42.5829994, 13.6275623 42.5829548, 13.6275714 42.5828443)",,
140169650,,,Via del Colle,residential,False,False,26.035999999999998,"LINESTRING (13.6274349 42.5829697, 13.6275416 42.5830463, 13.6275986 42.5830813, 13.6276808 42.583116)",,
140169656,,,Via Del Forte,residential,False,False,40.597,"LINESTRING (13.6302476 42.583642, 13.6305428 42.5834382, 13.6305953 42.5833833)",,
140169656,,,Via Del Forte,residential,False,True,70.137,"LINESTRING (13.6302476 42.583642, 13.6300579 42.5837597, 13.6299319 42.5838249, 13.6297993 42.5838219, 13.6296019 42.5838506, 13.6294812 42.5838494)",,
140169658,,,Via Beretra,residential,False,True,51.869,"LINESTRING (13.6302476 42.583642, 13.6300955 42.5835642, 13.6296868 42.5834285)",,
140169653,,,Via Camponeschi Caraffa,residential,False,True,100.23500000000001,"LINESTRING (13.6305953 42.5833833, 13.6302792 42.5832552, 13.630074 42.583193, 13.629828 42.583108, 13.62949 42.5829975)",,
