osmid,name,highway,oneway,reversed,length,maxspeed,geometry,ref,junction,bridge
171462194,Via Stazione,unclassified,False,False,203.682,,"LINESTRING (14.4781699 41.0136466, 14.4782851 41.0135276, 14.4785186 41.0132863, 14.479508 41.0121973, 14.479574 41.0121551)",,,
171462189,Via Concezione,unclassified,False,True,42.95,,"LINESTRING (14.4859128 41.0087468, 14.4858947 41.0088964, 14.4858702 41.0090576, 14.4858441 41.0091287)",,,
171462193,Vico 1° San Leonardo,unclassified,False,True,77.50399999999999,,"LINESTRING (14.4859128 41.0087468, 14.4853582 41.008698, 14.4849966 41.0086588)",,,
620874201,Via Casazenca,unclassified,False,False,64.654,,"LINESTRING (14.4859128 41.0087468, 14.4859405 41.008518, 14.4859834 41.0081678)",,,
171462193,Vico 1° San Leonardo,unclassified,False,False,22.192,,"LINESTRING (14.4847348 41.0086305, 14.4849966 41.0086588)",,,
620874192,Via Elevata,residential,False,False,61.431999999999995,,"LINESTRING (14.4847348 41.0086305, 14.4848006 41.0085079, 14.4849788 41.0081098)",,,
620874192,Via Elevata,residential,False,True,45.168,,"LINESTRING (14.4847348 41.0086305, 14.4845965 41.0088883, 14.4845804 41.0090158)",,,
171462210,Via Campo Sportivo,residential,False,False,92.601,,"LINESTRING (14.4849639 41.016314, 14.4860069 41.0165864)",,,
1102857890,Via Maestro Sgambato Raffaele,unclassified,False,True,78.389,,"LINESTRING (14.4849639 41.016314, 14.4853117 41.0156597)",,,
171462181,Via Vincenzo Monti,unclassified,False,True,62.484,,"LINESTRING (14.4840515 41.0103434, 14.483339 41.01018)",,,
620874192,Via Elevata,residential,False,False,21.594,,"LINESTRING (14.4840515 41.0103434, 14.4841628 41.0101683)",,,
620874192,Via Elevata,residential,False,True,54.592,,"LINESTRING (14.4840515 41.0103434, 14.4839986 41.0104266, 14.483858 41.0108109)",,,
620874242,Vico Palumbo,unclassified,False,True,109.221,,"LINESTRING (14.4865955 41.0165849, 14.4875382 41.0159075)",,,
1062811196,Via Circumvallazione,tertiary,False,False,38.083,30,"LINESTRING (14.4865955 41.0165849, 14.4868734 41.0168557)",SP338,,
1062811204,Via Giuseppe Alberti,tertiary,False,True,52.399,30,"LINESTRING (14.4865955 41.0165849, 14.4861463 41.0162575)",SP338,,
171462189,Via Concezione,unclassified,False,False,16.986,,"LINESTRING (14.4855503 41.0094748, 14.4856238 41.0093781, 14.4856646 41.0093506)",,,
171462189,Via Concezione,unclassified,False,True,75.604,,"LINESTRING (14.4855503 41.0094748, 14.4855006 41.0095401, 14.4854281 41.0099276, 14.4854389 41.0100542, 14.4854327 41.0101405)",,,
1063152590,Via Rione S. Leonardo,unclassified,False,False,46.492999999999995,,"LINESTRING (14.4855503 41.0094748, 14.4853555 41.0094388, 14.4850061 41.0093981)",,,
171462181,Via Vincenzo Monti,unclassified,False,False,59.415,,"LINESTRING (14.4826615 41.0100246, 14.483339 41.01018)",,,
171462181,Via Vincenzo Monti,unclassified,False,True,14.252,,"LINESTRING (14.4826615 41.0100246, 14.482499 41.0099873)",,,
171462198,Via Clemente Iadaresta,residential,False,True,209.491,,"LINESTRING (14.4826615 41.0100246, 14.4820401 41.0112278, 14.4818012 41.01161, 14.481705 41.0117638)",,,
1184491860,Via Crocella Santa,residential,False,False,44.718,30,"LINESTRING (14.4796773 41.012129, 14.4802029 41.0120624)",,,
1184491857,,tertiary,True,False,4.654,20,"LINESTRING (14.4796773 41.012129, 14.4796785 41.0121429, 14.4796736 41.0121564, 14.479663 41.0121678)",SP338,roundabout,
171462189,Via Concezione,unclassified,False,True,69.737,,"LINESTRING (14.4853687 41.0120786, 14.4849104 41.0126018)",,,
171462189,Via Concezione,unclassified,False,False,32.283,,"LINESTRING (14.4853687 41.0120786, 14.4854896 41.0119404, 14.4856035 41.01185)",,,
171462201,Vico Tre Giri,unclassified,False,True,139.695,,"LINESTRING (14.4853687 41.0120786, 14.4845723 41.0118595, 14.4844278 41.0120417, 14.4844248 41.0122359, 14.4844001 41.0124452)",,,
171462189,Via Concezione,unclassified,False,False,53.986000000000004,,"LINESTRING (14.4857715 41.0112726, 14.4856452 41.0109851, 14.4855999 41.0108537, 14.4855608 41.0108173)",,,
171462189,Via Concezione,unclassified,False,True,47.096999999999994,,"LINESTRING (14.4857715 41.0112726, 14.4858961 41.0115083, 14.4859216 41.011677)",,,
1063152596,Vico Della Rocca,unclassified,False,False,79.81700000000001,,"LINESTRING (14.4857715 41.0112726, 14.4858653 41.0112458, 14.4859718 41.0112316, 14.4860986 41.0112316, 14.4862411 41.0112446, 14.4865182 41.0112859, 14.4867077 41.0112966)",,,
620874242,Vico Palumbo,unclassified,False,False,109.221,,"LINESTRING (14.4875382 41.0159075, 14.4865955 41.0165849)",,,
