osmid,name,highway,maxspeed,oneway,reversed,length,geometry,bridge,junction
260619257,Norbertijnenlaan,living_street,15,False,False,138.904,"LINESTRING (4.6445192 52.1131154, 4.6441993 52.1131305, 4.6440982 52.1131456, 4.6440298 52.1131721, 4.6439786 52.1132172, 4.64396 52.1132709, 4.6439761 52.1133895, 4.644121 52.113485, 4.644416 52.1136036, 4.6446005 52.113666, 4.644813 52.1137255, 4.6449497 52.1137576)",,
260619258,Benedictijnenlaan,living_street,15,False,False,78.25,"LINESTRING (4.6445192 52.1131154, 4.6445821 52.1132626, 4.6449445 52.1136729, 4.6449497 52.1137576)",,
260619257,Norbertijnenlaan,living_street,15,False,True,69.385,"LINESTRING (4.6445192 52.1131154, 4.6449505 52.1130984, 4.6452111 52.1130546, 4.6454962 52.1129742)",,
260619257,Norbertijnenlaan,living_street,15,False,False,73.196,"LINESTRING (4.6449497 52.1137576, 4.6451563 52.1137947, 4.6453194 52.1138111, 4.6454311 52.1138102, 4.6459716 52.1136815)",,
260619257,Norbertijnenlaan,living_street,15,False,True,138.904,"LINESTRING (4.6449497 52.1137576, 4.644813 52.1137255, 4.6446005 52.113666, 4.644416 52.1136036, 4.644121 52.113485, 4.6439761 52.1133895, 4.64396 52.1132709, 4.6439786 52.1132172, 4.6440298 52.1131721, 4.6440982 52.1131456, 4.6441993 52.1131305, 4.6445192 52.1131154)",,
260619258,Benedictijnenlaan,living_street,15,False,True,78.25,"LINESTRING (4.6449497 52.1137576, 4.6449445 52.1136729, 4.6445821 52.1132626, 4.6445192 52.1131154)",,
32981712,Eendenkooi,residential,30,False,False,139.035,"LINESTRING (4.6415991 52.1175254, 4.641281 52.1172564, 4.6411035 52.1171046, 4.6410332 52.1170445, 4.6407591 52.116791, 4.6406648 52.1166973, 4.6405296 52.1165629, 4.6405097 52.1165237, 4.6404971 52.1164808)",,
471543033,,tertiary,50,True,False,26.046,"LINESTRING (4.6390939 52.1169684, 4.639078 52.1169306, 4.6390843 52.1168918, 4.639112 52.1168566, 4.6391577 52.1168295, 4.6392159 52.1168137, 4.6392793 52.1168111)",,roundabout
"[483642468, 471542999]",Renaissancelaan,residential,30,False,False,24.11,"LINESTRING (4.6392793 52.1168111, 4.6392886 52.1167345, 4.6392966 52.1166718, 4.6393149 52.1165955)",,
471543033,,tertiary,50,True,False,24.073999999999998,"LINESTRING (4.6392793 52.1168111, 4.6393359 52.1168209, 4.6393845 52.1168412, 4.63942 52.1168699, 4.6394387 52.1169041, 4.6394386 52.1169402, 4.6394198 52.1169744)",,roundabout
708184995,,tertiary,50,True,False,27.463,"LINESTRING (4.6394198 52.1169744, 4.639378 52.1170066, 4.63932 52.1170273, 4.6392538 52.1170336, 4.6391883 52.1170248, 4.6391325 52.1170021, 4.6390939 52.1169684)",,roundabout
