osmid,highway,oneway,reversed,length,ref,geometry,maxspeed
315319850,residential,False,True,29.844,,"LINESTRING (0.2530916 35.7485907, 0.2534127 35.7485265)",
315308880,residential,True,False,45.705,,"LINESTRING (0.2531235 35.7470399, 0.2532325 35.7474413)",
315319852,residential,False,False,9.824,,"LINESTRING (0.2531235 35.7470399, 0.253017 35.7470582)",
315319852,residential,False,True,47.705,,"LINESTRING (0.2531235 35.7470399, 0.2536377 35.7469404)",
315319852,residential,False,True,9.824,,"LINESTRING (0.253017 35.7470582, 0.2531235 35.7470399)",
315319853,residential,False,False,48.292,,"LINESTRING (0.2542707 35.7472365, 0.2537502 35.7473373)",
315319852,residential,False,False,49.84199999999999,,"LINESTRING (0.2542707 35.7472365, 0.2541888 35.74692, 0.2541662 35.7468879, 0.2541134 35.7468634, 0.2540663 35.746868)",
315319852,residential,False,True,120.824,,"LINESTRING (0.2542707 35.7472365, 0.2545041 35.7479911, 0.25462 35.748285)",
315319850,residential,False,True,23.359,,"LINESTRING (0.2551441 35.7486677, 0.2551995 35.7488729)",
315319850,residential,False,False,66.983,,"LINESTRING (0.2551441 35.7486677, 0.2551101 35.7485417, 0.25462 35.748285)",
315319855,residential,False,False,139.821,,"LINESTRING (0.2551441 35.7486677, 0.2556611 35.7485386, 0.2558997 35.7493338)",
315319856,residential,False,False,57.216,,"LINESTRING (0.257668 35.7478971, 0.2582801 35.747763)",
315319856,residential,False,True,36.879,,"LINESTRING (0.257668 35.7478971, 0.2577763 35.7482169)",
375506467,residential,False,False,178.702,,"LINESTRING (0.257668 35.7478971, 0.2560559 35.7481256, 0.2561422 35.7483956)",
375506468,residential,False,False,140.70999999999998,,"LINESTRING (0.257668 35.7478971, 0.257732 35.7477355, 0.2574911 35.7466574)",
315308874,residential,False,False,73.864,,"LINESTRING (0.2587125 35.7484753, 0.2579264 35.7486603)",
315308874,residential,False,True,106.63,,"LINESTRING (0.2587125 35.7484753, 0.2598473 35.7482082)",
315319856,residential,False,True,37.222,,"LINESTRING (0.2587125 35.7484753, 0.2586142 35.7481502)",
315319858,residential,True,False,105.391,,"LINESTRING (0.259739 35.7478953, 0.2586142 35.7481502)",
315319861,residential,False,False,9.344,,"LINESTRING (0.259739 35.7478953, 0.259767 35.7479762)",
315319861,residential,False,True,12.984,,"LINESTRING (0.259739 35.7478953, 0.2597 35.7477829)",
315319856,residential,False,False,11.98,,"LINESTRING (0.2578114 35.7483208, 0.2577763 35.7482169)",
315319856,residential,False,True,39.151,,"LINESTRING (0.2578114 35.7483208, 0.2579264 35.7486603)",
315319856,residential,False,False,36.879,,"LINESTRING (0.2577763 35.7482169, 0.257668 35.7478971)",
315319856,residential,False,True,11.98,,"LINESTRING (0.2577763 35.7482169, 0.2578114 35.7483208)",
315319859,residential,True,False,75.245,,"LINESTRING (0.2577763 35.7482169, 0.2585795 35.7480353)",
315319861,residential,False,False,12.984,,"LINESTRING (0.2597 35.7477829, 0.259739 35.7478953)",
