osmid,lanes,ref,name,highway,maxspeed,junction,oneway,reversed,length,geometry,bridge,tunnel,access,width,service,est_width
"[221874090, 135321699]",3,K 2,Kohlenstraße,tertiary,50,,False,False,99.432,"LINESTRING (7.1944697 51.468117, 7.1943394 51.4682543, 7.1941446 51.468505, 7.1940486 51.4686698, 7.1940106 51.4687564, 7.1939792 51.4688884, 7.193975 51.468946)",,,,,,
"[221874089, 125204169]","['3', '2']",K 2,Kohlenstraße,tertiary,50,,False,True,399.246,"LINESTRING (7.1944697 51.468117, 7.1945742 51.4679924, 7.1946698 51.4678773, 7.1946994 51.4678416, 7.1948224 51.4676934, 7.1951792 51.4672698, 7.1952144 51.467228, 7.1956111 51.4667541, 7.1960203 51.466264, 7.1960912 51.4661783, 7.1962711 51.4659625, 7.1965438 51.4656444, 7.196555 51.4656294, 7.1966771 51.4654654, 7.1967623 51.4653258, 7.1968049 51.4652035, 7.1968162 51.4651323, 7.1968172 51.4650586, 7.1967945 51.4648756)",,,,,,
"[125204169, 221874089]","['3', '2']",K 2,Kohlenstraße,tertiary,50,,False,False,399.24600000000004,"LINESTRING (7.1967945 51.4648756, 7.1968172 51.4650586, 7.1968162 51.4651323, 7.1968049 51.4652035, 7.1967623 51.4653258, 7.1966771 51.4654654, 7.196555 51.4656294, 7.1965438 51.4656444, 7.1962711 51.4659625, 7.1960912 51.4661783, 7.1960203 51.466264, 7.1956111 51.4667541, 7.1952144 51.467228, 7.1951792 51.4672698, 7.1948224 51.4676934, 7.1946994 51.4678416, 7.1946698 51.4678773, 7.1945742 51.4679924, 7.1944697 51.468117)",,,,,,
125204169,2,K 2,Kohlenstraße,tertiary,50,,False,True,145.477,"LINESTRING (7.1967945 51.4648756, 7.1967577 51.4647725, 7.1967387 51.4647193, 7.1966466 51.4645384, 7.1965563 51.4643695, 7.1964757 51.464195, 7.196431 51.4640253, 7.1964276 51.4638085, 7.1964538 51.4636833, 7.1964835 51.4636016)",,,,,,
"[26116282, 1035448658]",2,,Rombacher Hütte,residential,50,,False,True,331.25100000000003,"LINESTRING (7.1967945 51.4648756, 7.1967105 51.4648803, 7.1966197 51.4648853, 7.1964723 51.4648643, 7.1963618 51.4648247, 7.1962144 51.4647396, 7.1960616 51.4646665, 7.1958956 51.4645975, 7.195727 51.4645343, 7.1953793 51.464441, 7.1950089 51.4643505, 7.1945097 51.4642411, 7.194467 51.4642317, 7.1942945 51.4641937, 7.1939246 51.4641236, 7.1936346 51.4640713, 7.1932306 51.4639955, 7.193067 51.4639655, 7.1923771 51.4638314)",,,,,,
125204169,2,K 2,Kohlenstraße,tertiary,50,,False,False,145.477,"LINESTRING (7.1964835 51.4636016, 7.1964538 51.4636833, 7.1964276 51.4638085, 7.196431 51.4640253, 7.1964757 51.464195, 7.1965563 51.4643695, 7.1966466 51.4645384, 7.1967387 51.4647193, 7.1967577 51.4647725, 7.1967945 51.4648756)",,,,,,
125204172,2,K 2,Kohlenstraße,tertiary,50,,True,False,81.158,"LINESTRING (7.1964835 51.4636016, 7.1964651 51.463562, 7.1965542 51.4633387, 7.1967246 51.4630356, 7.196795 51.4629054)",,,,,,
"[283845888, 283845886, 5941895]","['1', '2']",,,motorway_link,,,True,False,413.398,"LINESTRING (7.1964475 51.4669813, 7.1964191 51.4668733, 7.1965945 51.4665167, 7.1967269 51.4661661, 7.1968341 51.465807, 7.1969812 51.4654451, 7.1971149 51.4650765, 7.1972035 51.4648322, 7.1974042 51.4644052, 7.1976054 51.4640428, 7.1978732 51.4636418, 7.1980306 51.4634167)",,,,,,
"[222541104, 5726650, 222541096, 5726646]","['3', '2']",A 448,,motorway,"['100', '80']",,True,False,1212.0659999999998,"LINESTRING (7.1964475 51.4669813, 7.1966146 51.4667114, 7.1968365 51.4662891, 7.1969509 51.4660293, 7.1971731 51.4654697, 7.1972417 51.4652909, 7.1974461 51.4647576, 7.1976213 51.4644039, 7.1977951 51.4640489, 7.1979804 51.4637892, 7.1982019 51.4634937, 7.1990383 51.4625587, 7.1996418 51.4619821, 7.2003768 51.4613935, 7.2011957 51.4608069, 7.2014858 51.4606168, 7.2018609 51.4604046, 7.2025438 51.460049, 7.2028737 51.4598533, 7.2031539 51.4596568, 7.2034093 51.4594468, 7.2036984 51.4591876, 7.2042355 51.4586996, 7.2045733 51.4584083, 7.2048665 51.45818, 7.205093 51.4580148, 7.2053509 51.4578419)",,yes,,,,
"[13848008, 13848009, 377730120, 96857286]","['3', '2']",,Heusnerstraße,unclassified,,,False,True,156.953,"LINESTRING (7.190975 51.4717015, 7.1908568 51.4716151, 7.1905689 51.4714301, 7.1900578 51.4711085, 7.189827 51.4709587, 7.1897055 51.4708741, 7.1895793 51.4707863, 7.1894724 51.4706532)",yes,,,,,
"[377730118, 96857279]",1,,Heusnerstraße,unclassified,,,True,False,59.00699999999999,"LINESTRING (7.190975 51.4717015, 7.1913082 51.4719118, 7.1914138 51.4720266, 7.1914961 51.4721158)",,,,,,
"[224267323, 242013125]","['1', '2']",,,motorway_link,none,,True,False,207.247,"LINESTRING (7.2888064 51.4588006, 7.2887702 51.4591228, 7.288733 51.45983, 7.2886991 51.4602542, 7.2886938 51.4604831, 7.2887036 51.4606626)",,,,,,
"[242013126, 13850301, 862849694, 505089373, 505089374, 13850303]","['1', '2']",,,motorway_link,80,,True,False,1080.648,"LINESTRING (7.2888064 51.4588006, 7.2888963 51.459098, 7.2889692 51.4592361, 7.2890163 51.4593098, 7.2891006 51.4594165, 7.2892063 51.4595157, 7.2893007 51.4595866, 7.2894325 51.4596708, 7.2895609 51.4597383, 7.2896941 51.459795, 7.289854 51.4598521, 7.2900487 51.4599146, 7.2901798 51.4599605, 7.2903156 51.4600155, 7.2904447 51.4600789, 7.2905304 51.4601318, 7.290608 51.4601877, 7.2906996 51.460276, 7.2907706 51.4603744, 7.2908174 51.4604715, 7.2908575 51.4605858, 7.2909004 51.4606825, 7.2909666 51.4607759, 7.291079 51.4608821, 7.291186 51.4609538, 7.2913225 51.4610218, 7.2914791 51.4610731, 7.2916892 51.4611214, 7.2917866 51.4611401, 7.2919896 51.4611619, 7.2923231 51.4611782, 7.292992 51.4611766, 7.2936542 51.4611876, 7.2947473 51.4612287, 7.2949957 51.461238, 7.2964622 51.4613124, 7.2975288 51.4613684, 7.2982339 51.4613988, 7.2990151 51.4614311, 7.2991481 51.4614336, 7.2994909 51.4614401, 7.299632 51.4614439, 7.3003175 51.4614613, 7.3010209 51.4614488, 7.3016649 51.4614114, 7.3022922 51.4614001)",yes,,,,,
"[597448673, 242013748, 4237405, 548467713]","['1', '2']",,,motorway_link,,,True,False,248.43099999999998,"LINESTRING (7.2883183 51.4577906, 7.2882552 51.4576138, 7.2882026 51.457492, 7.2881467 51.4573953, 7.2880477 51.4572892, 7.2879676 51.4572129, 7.2878731 51.4571455, 7.2877685 51.4570851, 7.287598 51.4569984, 7.2874798 51.4569385, 7.2873681 51.456878, 7.2872219 51.4567623, 7.2871393 51.4566529, 7.2870999 51.4565283, 7.2871059 51.4564216, 7.2871343 51.4563297, 7.2872843 51.4560602, 7.287413 51.455848)",,,,,,
"[548467712, 187673574]","['1', '2']",,,motorway_link,120,,True,False,158.864,"LINESTRING (7.2883183 51.4577906, 7.2883893 51.4573842, 7.2884993 51.4568541, 7.2885602 51.4563702)",,,,,,
224267327,3,,,motorway_link,80,,True,False,142.066,"LINESTRING (7.2881051 51.4624535, 7.2881107 51.4618444, 7.2881064 51.4614791, 7.2881316 51.4611763)",,,,,,
4237397,1,,,motorway_link,,,True,False,252.96,"LINESTRING (7.2871647 51.4618968, 7.2868764 51.4620152, 7.2867193 51.4620974, 7.2866159 51.4621663, 7.2865467 51.4622581, 7.2865021 51.4623415, 7.286484 51.4624301, 7.2865059 51.4625409, 7.2865622 51.4626484, 7.286632 51.4627306, 7.28676 51.4628191, 7.2868822 51.4628732, 7.2870068 51.4629109, 7.2871208 51.46293, 7.2872465 51.4629384, 7.2873671 51.462936, 7.2875222 51.4629191, 7.2876642 51.4628769, 7.2877821 51.4628285, 7.2878791 51.4627693, 7.2879502 51.4626887, 7.288009 51.4626085, 7.2881051 51.4624535)",,,,,,
25719203,1,,,motorway_link,80,,True,False,187.558,"LINESTRING (7.2871647 51.4618968, 7.2866725 51.4619525, 7.28519 51.462192, 7.2845455 51.4623181)",,,,,,
163010479,1,,,motorway_link,,,True,False,26.935,"LINESTRING (7.2876335 51.4557168, 7.2874891 51.4559417)",,,,,,
217433475,2,K 3,Universitätsstraße,secondary,70,,True,False,7.191,"LINESTRING (7.2876335 51.4557168, 7.2875382 51.4556912)",,,,,,
222651668,2,K 3,Universitätsstraße,trunk,70,,True,False,135.839,"LINESTRING (7.2787242 51.4530637, 7.2805351 51.4535316)",,,,,,
"[1101746080, 222651663]","['1', '2']",,,trunk_link,,,True,False,182.54100000000003,"LINESTRING (7.2787242 51.4530637, 7.2790554 51.4530821, 7.2792284 51.4530913, 7.2794014 51.4530787, 7.2795489 51.4530453, 7.2796683 51.4529993, 7.2798239 51.4529099, 7.2799338 51.4528029, 7.2800599 51.4526425, 7.2801196 51.4525686, 7.2802509 51.452406, 7.2804442 51.4522608, 7.2806286 51.4521783)",,,,,,
79976513,4,K 3,Universitätsstraße,trunk,50,,True,False,183.696,"LINESTRING (7.2543492 51.4467089, 7.2551075 51.4466552, 7.255684 51.4466385, 7.2562291 51.4466404, 7.2566018 51.4466583, 7.2569905 51.4466873)",,,,,,
8452742,1,,Universitätsstraße,trunk_link,50,,True,False,18.541,"LINESTRING (7.2569905 51.4466873, 7.2572557 51.4466653)",,,,,,
"[765155619, 765155622, 80292142, 82554126, 80292181]",3,K 3,Universitätsstraße,trunk,50,,True,False,344.057,"LINESTRING (7.2569905 51.4466873, 7.2572371 51.4467079, 7.2578401 51.4467897, 7.2583077 51.4468764, 7.2585847 51.4469353, 7.2589002 51.447007, 7.2593539 51.4471357, 7.2596554 51.4472336, 7.2599274 51.447329, 7.2601073 51.447398, 7.2606037 51.4476019, 7.2609286 51.4477485, 7.2614216 51.4479879)",,,,,,
"[222652993, 765182649, 40345931]","['3', '2']",K 3,Universitätsstraße,"['trunk', 'primary']",50,,True,False,177.95700000000002,"LINESTRING (7.246988 51.4514177, 7.2472397 51.4510149, 7.247424 51.4507224, 7.2475415 51.4505501, 7.2477652 51.4502368, 7.2479896 51.4499448)",,,,,,
"[222033486, 457424419, 519410689, 222532230]","['3', '1', '2']",,,motorway_link,30,,True,False,291.346,"LINESTRING (7.2325529 51.4577414, 7.233567 51.4580872, 7.2340714 51.4582721, 7.2347693 51.4585424, 7.2354318 51.4588019, 7.2360788 51.4590663, 7.2361581 51.4590868)",,,,,,
"[222532225, 620096385, 97563755, 486588503, 222541087]","['3', '4', '2']",A 448,Nordhausen-Ring,motorway,"['60', '80']",,True,False,1081.2,"LINESTRING (7.2325529 51.4577414, 7.2329352 51.4579096, 7.2339076 51.4583452, 7.2364965 51.4594884, 7.2375581 51.459929, 7.2382354 51.4601684, 7.2387298 51.4603191, 7.2392081 51.4604397, 7.2397085 51.4605553, 7.2401773 51.4606582, 7.2407881 51.460772, 7.2410559 51.4608181, 7.2430997 51.4611525, 7.2442293 51.4613388, 7.2450114 51.4614809, 7.2458409 51.4616641, 7.2460932 51.4617246, 7.2465196 51.4618214)",,,,,,
163614731,1,,,motorway_link,,,True,False,11.931,"LINESTRING (7.212584 51.517268, 7.2127012 51.5171893)",,,,,,
163614744,2,L 551,Herner Straße,primary,50,,True,False,78.05600000000001,"LINESTRING (7.212584 51.517268, 7.2125475 51.5171386, 7.2124438 51.5168473, 7.2124022 51.5167308, 7.2123443 51.516604, 7.2123352 51.5165837)",,,,,,
163614730,1,,,motorway_link,,,True,False,8.294,"LINESTRING (7.2122903 51.5162123, 7.2121782 51.5162387)",,,,,,
"[344004066, 344004054]",2,L 551,Herner Straße,primary,50,,True,False,93.73400000000001,"LINESTRING (7.2122903 51.5162123, 7.2123875 51.51645, 7.212454 51.5166025, 7.2126375 51.5170271)",,,,,,
118490098,3,L 551,Herner Straße,primary,30,,True,False,8.327,"LINESTRING (7.2110872 51.5138501, 7.2110541 51.5137781)",,,,,,
272527212,1,,Rensingstraße,residential,50,,True,False,42.612,"LINESTRING (7.2110872 51.5138501, 7.2110691 51.5138542, 7.2108868 51.5138951, 7.210684 51.5139228, 7.21049 51.5139357)",,,,,,
80164655,1,K 17,Wilbergstraße,tertiary,30,,False,True,8.279,"LINESTRING (7.2104641 51.5116702, 7.2103602 51.5116333)",,,,,,
775811547,2,L 551,Herner Straße,primary,30,,True,False,10.189,"LINESTRING (7.2104641 51.5116702, 7.2104515 51.5117615)",,,,,,
775811550,2,L 551,Herner Straße,primary,30,,True,False,42.257,"LINESTRING (7.2109987 51.5101881, 7.2107787 51.5105426)",,,,,,
4788333,,,Herner Straße,residential,30,,False,True,83.868,"LINESTRING (7.2109987 51.5101881, 7.2110902 51.5102227, 7.2115094 51.5103714, 7.2120452 51.5105684)",,,,,,
"[222345204, 57163452]","['5', '4']",L 551,Herner Straße,primary,30,,False,False,294.46700000000004,"LINESTRING (7.211367 51.5087966, 7.2114166 51.5086502, 7.2114276 51.5086176, 7.211559 51.5082297, 7.2116376 51.5080028, 7.2116528 51.5079589, 7.2116788 51.5078841, 7.2117638 51.5076389, 7.211808 51.5075113, 7.2118635 51.5073511, 7.2119662 51.507055, 7.2120107 51.5069021, 7.2120347 51.5068102, 7.2120795 51.5066698, 7.2121237 51.5065311, 7.2122147 51.5062692, 7.2122358 51.5062044)",,,,,,
"[57163460, 235480725]",3,,Auf dem Dahlacker,tertiary,50,,False,True,70.55,"LINESTRING (7.211367 51.5087966, 7.2111354 51.5087859, 7.2110652 51.5087843, 7.2107258 51.5087719, 7.2103833 51.5087631, 7.2103492 51.5087621)",,,,,,
"[222345205, 346858334]","['5', '4']",L 551,Herner Straße,primary,30,,False,True,66.367,"LINESTRING (7.211367 51.5087966, 7.211322 51.5089305, 7.2113027 51.5089857, 7.2112892 51.5090241, 7.2112588 51.5091194, 7.2112301 51.5092889, 7.2112052 51.5093843)",,,,,,
"[11132704, 925538267, 925538268, 222345207]","['4', '2']",,Tippelsberger Straße,tertiary,30,,False,False,107.255,"LINESTRING (7.211367 51.5087966, 7.2115784 51.5088006, 7.2116264 51.5088009, 7.2117964 51.5088021, 7.2119396 51.5088035, 7.2124633 51.508807, 7.2127004 51.5088068, 7.2129166 51.5088078)",,,,,,
149913133,2,L 551,Herner Straße,primary,30,,False,True,14.679,"LINESTRING (7.2122522 51.505946, 7.2122771 51.5060771)",,,,,,
871933152,4,,Verkehrsstraße,residential,,,False,True,7.563,"LINESTRING (7.2122522 51.505946, 7.2121452 51.5059322)",,,,,,
"[963301240, 871933154, 871935080]","['3', '2']",L 551,Herner Straße,primary,30,,True,False,99.24700000000001,"LINESTRING (7.2122522 51.505946, 7.2123175 51.505708, 7.2123783 51.5055439, 7.2124072 51.5054506, 7.2124865 51.5052152, 7.2125017 51.5051705, 7.2125343 51.5050711)",,,,,,
34124840,1,,Hiltroper Straße,residential,30,,True,False,269.479,"LINESTRING (7.212502 51.5030881, 7.2126191 51.5030904, 7.2128927 51.5031392, 7.2129147 51.5031431, 7.2140369 51.5033428, 7.2144429 51.5034208, 7.2144626 51.5034246, 7.2146269 51.5034564, 7.2147702 51.5034878, 7.2148432 51.5035038, 7.2149605 51.50353, 7.2152325 51.503611, 7.2155679 51.5037268, 7.2156085 51.5037397, 7.2158746 51.5038258, 7.2161402 51.5039119)",,,,,,
871933158,4,L 551,Herner Straße,primary,30,,False,False,117.34600000000002,"LINESTRING (7.212502 51.5030881, 7.2124901 51.5030335, 7.2124629 51.502894, 7.2124333 51.5027436, 7.2123697 51.5024272, 7.2123226 51.5021934, 7.2123143 51.5021404, 7.2123068 51.5021085, 7.2122939 51.5020408)",,,,,,
"[149913136, 871933158]","['5', '4']",L 551,Herner Straße,primary,30,,False,True,138.11700000000002,"LINESTRING (7.212502 51.5030881, 7.212602 51.5036042, 7.2126239 51.5037301, 7.2126499 51.5038891, 7.2126632 51.5039749, 7.2127061 51.5043235)",,,,,,
"[80281849, 376872771, 222341323]","['3', '2']",L 551,Herner Straße,primary,30,,True,False,95.464,"LINESTRING (7.2121956 51.501475, 7.2121428 51.5013786, 7.2120655 51.5012191, 7.2120185 51.5009763, 7.2119809 51.5007874, 7.2119706 51.5007336, 7.2119427 51.5006341)",,,,,,
"[871933158, 963297671]",4,L 551,Herner Straße,primary,30,,False,True,63.281000000000006,"LINESTRING (7.2121956 51.501475, 7.212204 51.5015162, 7.2122122 51.5015702, 7.2122218 51.5016291, 7.2122373 51.5017176, 7.2122549 51.5018157, 7.2122714 51.5019129, 7.2122786 51.5019545, 7.2122939 51.5020408)",,,,,,
163609243,2,K 16,Vierhausstraße,tertiary,50,,False,True,8.762,"LINESTRING (7.2119427 51.5006341, 7.2120663 51.5006171)",,,,,,
"[963297659, 376872774, 4430223]","['3', '2']",K 16,Poststraße,tertiary,40,,False,False,219.33500000000004,"LINESTRING (7.2119427 51.5006341, 7.2117665 51.5006617, 7.2117085 51.5006696, 7.2116516 51.5006781, 7.2110607 51.5008293, 7.2108166 51.5008918, 7.2107721 51.500903, 7.2101593 51.5010585, 7.2101005 51.5010734, 7.2094557 51.5012458, 7.2092402 51.5013034, 7.2090102 51.5013745)",,,,,,
"[222341321, 126086346]",2,L 551,Herner Straße,primary,30,,True,False,94.42699999999999,"LINESTRING (7.2119427 51.5006341, 7.2119181 51.5005413, 7.2118707 51.5003254, 7.2118208 51.500083, 7.2117692 51.4997919)",,,,,,
122150686,3,L 551,Herner Straße,primary,50,,False,True,22.815,"LINESTRING (7.2125582 51.4954643, 7.2125465 51.4955247, 7.2125187 51.495668)",,,,,,
222121087,2,L 551,Herner Straße,primary,50,,False,False,73.38300000000001,"LINESTRING (7.2125582 51.4954643, 7.212569 51.4954097, 7.2125823 51.4953396, 7.2125886 51.4953068, 7.2125998 51.4952492, 7.2126184 51.495153, 7.2126273 51.4951069, 7.2126635 51.4949201, 7.2126687 51.4948934, 7.2126796 51.494837, 7.212685 51.4948091)",,,,,,
"[1031386329, 1031386317, 609722382]",1,,Agnesstraße,residential,30,,False,True,322.398,"LINESTRING (7.2125582 51.4954643, 7.2127214 51.4954768, 7.2127989 51.4954833, 7.2133998 51.4955332, 7.213677 51.4955564, 7.214239 51.495603, 7.2145669 51.495628, 7.2146027 51.4956308, 7.2146518 51.4956345, 7.2154871 51.4956982, 7.216535 51.4957782, 7.2170783 51.4958218, 7.2171781 51.4958298)",,,,,,
"[8065017, 1031389739, 1031389740]",1,,Freiligrathstraße,residential,30,,False,False,234.08700000000002,"LINESTRING (7.2132042 51.4921228, 7.2133643 51.4921159, 7.2134062 51.492114, 7.214339 51.4920736, 7.214934 51.4920438, 7.2149823 51.4920414, 7.2153086 51.492025, 7.2155743 51.4920117, 7.2156303 51.4920089, 7.2156599 51.4920075, 7.2164601 51.4919686, 7.2165757 51.4919642)",,,,,,
"[80281811, 224003566]","['3', '2']",L 551,Herner Straße,primary,50,,False,True,140.87,"LINESTRING (7.2132042 51.4921228, 7.2131859 51.4922129, 7.2131804 51.4922469, 7.2131667 51.4923182, 7.2130928 51.4927035, 7.2130828 51.492755, 7.213011 51.4930945, 7.2129942 51.4932041, 7.212988 51.4932446, 7.2129608 51.4933805)",,,,,,
224003569,2,L 551,Herner Straße,primary,50,,False,False,35.812,"LINESTRING (7.2132042 51.4921228, 7.2132402 51.491936, 7.2132655 51.491803)",,,,,,
24518044,,,Westhoffstraße,living_street,,,False,False,86.184,"LINESTRING (7.2136766 51.4898072, 7.2135312 51.4897947, 7.2134356 51.489786, 7.2124454 51.489693)",,,,,,
"[224003568, 224003567]",3,L 551,Herner Straße,primary,50,,False,False,54.858000000000004,"LINESTRING (7.2136766 51.4898072, 7.213697 51.489723, 7.2137357 51.4895711, 7.2137831 51.4894178, 7.213813 51.4893213)",,,,,,
"[814992721, 814992722, 224003570, 224003565]","['3', '2']",L 551,Herner Straße,primary,50,,False,True,223.75,"LINESTRING (7.2136766 51.4898072, 7.2136528 51.4899108, 7.2136475 51.4899347, 7.2135952 51.4901679, 7.2135117 51.4905369, 7.2135067 51.4905626, 7.2134524 51.4908393, 7.2134265 51.4909713, 7.2133592 51.4913143, 7.2133096 51.4915729, 7.2132982 51.4916327, 7.2132945 51.4916519, 7.2132655 51.491803)",,,,,,
"[25358723, 984250935]",2,L 551,Herner Straße,primary,50,,False,False,97.556,"LINESTRING (7.213813 51.4893213, 7.2138406 51.4892224, 7.2138446 51.4891896, 7.21385 51.4891459, 7.2138599 51.4890765, 7.213871 51.4889466, 7.2138834 51.4888008, 7.2138948 51.4884464)",,,,,,
"[224003568, 224003567]",3,L 551,Herner Straße,primary,50,,False,True,54.858000000000004,"LINESTRING (7.213813 51.4893213, 7.2137831 51.4894178, 7.2137357 51.4895711, 7.213697 51.489723, 7.2136766 51.4898072)",,,,,,
"[380118024, 380118025, 790457224]",,,Am Bergbaumuseum,residential,30,,False,False,154.969,"LINESTRING (7.213813 51.4893213, 7.2139444 51.4893302, 7.2140163 51.4893345, 7.2142622 51.4893543, 7.2147604 51.4893921, 7.2149046 51.4894031, 7.2151684 51.4894214, 7.2154292 51.4894414, 7.2157939 51.4894706, 7.2159248 51.4894805, 7.2160354 51.4894861)",,,,,,
40875425,,,Georg-Agricola-Weg,residential,30,,False,True,31.826,"LINESTRING (7.2138948 51.4884464, 7.2137776 51.4884638, 7.2134481 51.4885139)",,,,,,
"[299804780, 93950878]","['3', '5']",L 551,Herner Straße,primary,50,,False,False,56.585,"LINESTRING (7.2138948 51.4884464, 7.2139031 51.4883541, 7.2139172 51.4881918, 7.2139527 51.4880185, 7.2139696 51.48794)",,,,,,
