osmid,oneway,lanes,ref,highway,maxspeed,width,reversed,length,geometry,bridge,name,access,junction,tunnel
"[27149922, 5116559, 5116560, 27149917, 4084031]",True,2,A 656,motorway,120,,False,832.771,"LINESTRING (8.5134499 49.4692478, 8.5143289 49.4689143, 8.5152073 49.4685904, 8.5164322 49.4681551, 8.516936 49.4679822, 8.5173766 49.4678349, 8.5181715 49.4675733, 8.518661 49.4674158, 8.5193766 49.4671905, 8.5203465 49.4669014, 8.5212176 49.4666463, 8.5217125 49.4665036, 8.5224961 49.4662739, 8.5237544 49.4659071)",yes,,,,
4937262,True,1,,motorway_link,,,False,357.99800000000005,"LINESTRING (8.5148572 49.4685779, 8.5155674 49.4682502, 8.5157579 49.4681385, 8.5159091 49.4680431, 8.5160548 49.4679078, 8.5161352 49.4678183, 8.5161908 49.4677165, 8.5162324 49.4676179, 8.5162556 49.467522, 8.5162712 49.4674084, 8.5162911 49.4673015, 8.5163038 49.4672227, 8.5163202 49.4671445, 8.5163456 49.4670862, 8.5163889 49.467004, 8.5164406 49.4669356, 8.5164997 49.466866, 8.516565 49.4668017, 8.5166589 49.4667069, 8.5167789 49.4665799, 8.5168405 49.4665058, 8.5168589 49.4664777, 8.516882 49.4664355, 8.5169042 49.4663817, 8.5169224 49.4663064, 8.5169219 49.4662383, 8.5169138 49.4661232, 8.5168742 49.4658474)",,,,,
169603193,True,1,,motorway_link,120,,False,220.583,"LINESTRING (8.5148572 49.4685779, 8.5163643 49.4680461, 8.5175548 49.4676498)",,,,,
"[83128824, 39916409]",True,2,,unclassified,,,False,193.935,"LINESTRING (8.5219871 49.4719618, 8.5222695 49.4718905, 8.5233666 49.4717802, 8.5234341 49.4717554, 8.5234723 49.4717153, 8.5234835 49.4716734, 8.5234707 49.4716301, 8.5233822 49.471542, 8.5229807 49.4712167, 8.5228788 49.4711173)",,"Mühlfeld, Weg III",yes,,
169828956,True,4,B 38a,trunk,70,,False,154.976,"LINESTRING (8.5219871 49.4719618, 8.5222677 49.4724428, 8.5227254 49.4732703)",,,,,
"[89594718, 164292619, 164292614]",True,1,"['B 38a', 'B 38 a']",trunk_link,"['70', '100']",,False,358.456,"LINESTRING (8.5240589 49.4803159, 8.5239313 49.4806657, 8.5239047 49.4807822, 8.523906 49.4808698, 8.5239432 49.4809863, 8.524024 49.4810931, 8.5241546 49.4811919, 8.5243002 49.4812584, 8.5244793 49.4813054, 8.5246953 49.4813288, 8.5249124 49.4813345, 8.5251429 49.4813203, 8.525356 49.4812898, 8.5255708 49.4812463, 8.5257559 49.4812021, 8.5269158 49.4809108, 8.5274818 49.4807762)",yes,,,,
"[450309216, 173527354, 152927859, 603099466]",True,2,B 38a,trunk,"['90', '100']",,False,436.52799999999996,"LINESTRING (8.5240589 49.4803159, 8.5238165 49.4806722, 8.523604 49.4809399, 8.5233774 49.4811872, 8.5231464 49.4814092, 8.5228055 49.4816826, 8.5223623 49.4820005, 8.5219707 49.4822481, 8.521483 49.4825367, 8.52091 49.4828546, 8.5203764 49.4831697, 8.5202056 49.4832806)",yes,Carlo-Schmid-Brücke,,,
"[183963435, 4383915]",True,"['3', '2']",L 538,"['trunk_link', 'secondary']",70,,False,280.716,"LINESTRING (8.5274818 49.4807762, 8.5287247 49.4803888, 8.5294911 49.4801716, 8.53026 49.4799728, 8.5309282 49.479828, 8.5310606 49.4798004)",,Banater Straße,,,
"[4383914, 146824722, 146824764]",True,"['3', '1', '2']",L 538,secondary,70,,False,136.246,"LINESTRING (8.5334515 49.4794748, 8.5331944 49.4795399, 8.5324413 49.479671, 8.5316386 49.4798089)",,Banater Straße,,,
"[4080563, 504144229]",False,2,L 538,secondary,70,,False,856.3820000000001,"LINESTRING (8.5334515 49.4794748, 8.5337881 49.4794144, 8.534529 49.4792892, 8.5350582 49.4792264, 8.5356613 49.4791812, 8.536253 49.4791628, 8.5368328 49.4791686, 8.5374195 49.479207, 8.5379595 49.4792695, 8.5385342 49.4793594, 8.5390536 49.4794647, 8.5395852 49.4795971, 8.5400593 49.4797386, 8.5405393 49.4799183, 8.5410071 49.4801172, 8.5414561 49.4803423, 8.5418724 49.4805752, 8.5422696 49.4808314, 8.5426399 49.4810968, 8.5429521 49.4813574, 8.5436116 49.4820153)",,Banater Straße,,,
