osmid,oneway,lanes,highway,maxspeed,reversed,length,geometry,ref,bridge,name,width,tunnel,access,junction
"[112722368, 112722370, 234745325, 628130065, 628130066, 628130067, 112722390, 112722393, 39834074, 39834075, 112722365]",True,"['3', '4', '2']",motorway,"['100', '80', 'none', '120']",False,1574.216,"LINESTRING (6.7881303 51.352893, 6.787355 51.3529024, 6.7864709 51.3528989, 6.78609 51.3528916, 6.7855933 51.3528693, 6.7845563 51.3527998, 6.7841545 51.3527571, 6.7824949 51.3525611, 6.780778 51.3523107, 6.7794908 51.3521285, 6.7789532 51.3520507, 6.7765562 51.3517248, 6.7762564 51.3516904, 6.7752694 51.3515994, 6.7745076 51.3515519, 6.7736197 51.3515368, 6.7725328 51.3515465, 6.7717865 51.3515775, 6.7710865 51.3516362, 6.7701298 51.3517509, 6.7693569 51.3518502, 6.7683771 51.3520124, 6.7675574 51.3521648, 6.7658629 51.3524901)",A 524,yes,,,,,
"[232528768, 232528769, 25972142, 289088303, 25972143, 289088306, 28034587, 28034588]",True,"['3', '5', '4']",motorway,"['100', '120']",False,2304.4810000000007,"LINESTRING (6.7366479 51.4827592, 6.7384101 51.4835126, 6.7416327 51.4848962, 6.7435298 51.4856937, 6.7446198 51.4861024, 6.7454951 51.486388, 6.7460587 51.4865407, 6.7470087 51.4867609, 6.7475858 51.4868776, 6.7483445 51.487007, 6.749261 51.487125, 6.7502904 51.4872053, 6.7513463 51.4872375, 6.7524099 51.4872312, 6.7533533 51.4871911, 6.7549831 51.4870851, 6.7562592 51.4869708, 6.7577238 51.4868092, 6.7586543 51.4866913, 6.7599981 51.486492, 6.7618715 51.486176, 6.7631608 51.4858974, 6.7636643 51.4857775, 6.7645786 51.4855116, 6.7653304 51.4852685, 6.7659811 51.4850191, 6.766712 51.4847003, 6.7670985 51.4845221, 6.7671256 51.484509)",A 42,yes,,,,,
"[188317936, 232505825, 231890735, 25550735]",True,"['3', '4']",motorway,100,False,1294.842,"LINESTRING (6.7713512 51.445118, 6.7706981 51.4449723, 6.7701613 51.4448529, 6.7694069 51.4446622, 6.7688187 51.4445035, 6.767905 51.4442352, 6.7670829 51.4439656, 6.766051 51.4435872, 6.764934 51.4431109, 6.7640804 51.4426913, 6.7632691 51.4422558, 6.7624805 51.4417777, 6.7619272 51.4414154, 6.7612786 51.4409467, 6.7608002 51.4405688, 6.7602883 51.4401179, 6.759743 51.4396246, 6.7591615 51.439138, 6.7587066 51.4387522, 6.7578888 51.4381935, 6.7572902 51.4378207)",A 40,yes,,,,,
"[466292728, 23057066]",True,1,motorway_link,"['100', '40']",False,332.881,"LINESTRING (6.7527229 51.436138, 6.752372 51.4361046, 6.7521607 51.436097, 6.7519662 51.4361009, 6.7516976 51.4361409, 6.7514498 51.4362164, 6.7513119 51.4362831, 6.7511345 51.436381, 6.750972 51.4364805, 6.7507912 51.4365774, 6.7505819 51.4366505, 6.7504315 51.43667, 6.7502288 51.4366735, 6.7500327 51.4366466, 6.7496542 51.4365417, 6.7493766 51.4364769, 6.7491615 51.4364535, 6.7489816 51.436464, 6.7488228 51.4365001, 6.7486773 51.4365526, 6.7483767 51.4366844)",,,,,,,
232505813,True,1,motorway_link,100,False,159.91199999999998,"LINESTRING (6.7527229 51.436138, 6.752365 51.4360512, 6.751449 51.4358665, 6.7511437 51.4358105, 6.7507042 51.4357322, 6.7505224 51.4357114)",,,,,,,
39636410,True,2,motorway_link,100,False,76.116,"LINESTRING (6.7505224 51.4357114, 6.749456 51.4355482)",,,,,,,
"[4812768, 4812769, 287756085, 108689721, 141559706, 141559710]",True,"['3', '4']",motorway,"['120', '80']",False,1356.179,"LINESTRING (6.6995264 51.4355002, 6.6987308 51.4355199, 6.6979606 51.4355457, 6.6971683 51.4356027, 6.6962695 51.4356722, 6.6958413 51.4357198, 6.694392 51.4359224, 6.6942356 51.4359465, 6.6931374 51.4361362, 6.6920823 51.4363398, 6.6904499 51.4366595, 6.6887843 51.4369554, 6.6877502 51.4371176, 6.6867028 51.4372533, 6.6850812 51.4374228, 6.6837915 51.4375027, 6.6828528 51.4375504, 6.6813607 51.4375804, 6.6803468 51.4375559)",A 40,yes,,,,,
"[4278131, 10692869]",True,1,motorway_link,,False,470.995,"LINESTRING (6.6774119 51.4376516, 6.6766779 51.4376835, 6.6762408 51.4377021, 6.6758407 51.4377602, 6.6755998 51.4378064, 6.675327 51.4378833, 6.675054 51.4379778, 6.674719 51.4381557, 6.6742607 51.4384667, 6.6740856 51.4385573, 6.6738653 51.4386274, 6.6736156 51.4386771, 6.6733408 51.4386979, 6.6731136 51.4386862, 6.6728368 51.4386515, 6.672556 51.4386285, 6.6723407 51.4386364, 6.6722108 51.4386472, 6.6720819 51.4386748, 6.6718615 51.438742, 6.6717064 51.4388182, 6.6715847 51.4388884, 6.6714646 51.4389576, 6.6713424 51.4390281)",,yes,,,,,
287756098,True,1,motorway_link,,False,303.483,"LINESTRING (6.6774119 51.4376516, 6.6770862 51.4376402, 6.6754338 51.4376104, 6.6730354 51.4375771)",,,,,,,
"[232605754, 10107500]",True,"['1', '2']",motorway_link,,False,305.152,"LINESTRING (6.7751039 51.3734614, 6.774891 51.3731242, 6.7746748 51.3727738, 6.7744262 51.372433, 6.7738008 51.371784, 6.7730285 51.3710544)",,,,,,,
