osmid,oneway,ref,highway,reversed,length,geometry,name
355160604,False,,residential,False,21.704,"LINESTRING (-52.5461282 -25.3031119, -52.5463213 -25.3031992)",
355160604,False,,residential,True,68.249,"LINESTRING (-52.5461282 -25.3031119, -52.5455086 -25.302861)",
693740548,False,,residential,False,76.756,"LINESTRING (-52.5461282 -25.3031119, -52.5457808 -25.3037266)",
355160605,False,,residential,False,110.13200000000002,"LINESTRING (-52.5472405 -25.3042945, -52.5471118 -25.3041587, -52.547042 -25.304052, -52.5470206 -25.303955, -52.5470098 -25.303664, -52.5469669 -25.3035428, -52.5469347 -25.3034846, -52.5468537 -25.303409)",
355160604,False,,residential,False,103.45500000000001,"LINESTRING (-52.5468537 -25.303409, -52.5476503 -25.3037557, -52.5477583 -25.3038432)",
355160604,False,,residential,True,58.416,"LINESTRING (-52.5468537 -25.303409, -52.5466177 -25.3033253, -52.5463213 -25.3031992)",
355160605,False,,residential,True,110.13200000000002,"LINESTRING (-52.5468537 -25.303409, -52.5469347 -25.3034846, -52.5469669 -25.3035428, -52.5470098 -25.303664, -52.5470206 -25.303955, -52.547042 -25.304052, -52.5471118 -25.3041587, -52.5472405 -25.3042945)",
355160604,False,,residential,True,21.704,"LINESTRING (-52.5463213 -25.3031992, -52.5461282 -25.3031119)",
355160606,False,,residential,False,56.056,"LINESTRING (-52.5463213 -25.3031992, -52.5465671 -25.3027467)",
355160604,False,,residential,False,58.416,"LINESTRING (-52.5463213 -25.3031992, -52.5466177 -25.3033253, -52.5468537 -25.303409)",
355160606,False,,residential,True,53.0,"LINESTRING (-52.5470314 -25.3018744, -52.5468127 -25.3023081)",
693740546,False,,residential,False,59.08,"LINESTRING (-52.5470314 -25.3018744, -52.5475698 -25.3020874)",
693740546,False,,residential,True,134.535,"LINESTRING (-52.5470314 -25.3018744, -52.5458203 -25.3013596)",
355160604,False,,residential,False,68.249,"LINESTRING (-52.5455086 -25.302861, -52.5461282 -25.3031119)",
355160604,False,,residential,True,5.392,"LINESTRING (-52.5455086 -25.302861, -52.5454657 -25.3028319)",
355160607,False,,residential,False,85.263,"LINESTRING (-52.5455086 -25.302861, -52.545236 -25.3035871)",
355160607,False,,residential,True,85.263,"LINESTRING (-52.545236 -25.3035871, -52.5455086 -25.302861)",
355160608,False,,residential,False,89.658,"LINESTRING (-52.5436711 -25.3040276, -52.5428837 -25.3036489)",Rua C
355161491,False,,tertiary,False,194.076,"LINESTRING (-52.5436711 -25.3040276, -52.5437644 -25.3038532, -52.5442203 -25.303053, -52.5444188 -25.3025777, -52.544467 -25.302441)",Estrada Vereador João Wolff
355161491,False,,tertiary,True,33.818,"LINESTRING (-52.5436711 -25.3040276, -52.5436249 -25.3040883, -52.5434681 -25.30427)",Estrada Vereador João Wolff
355160608,False,,residential,False,21.879,"LINESTRING (-52.5428837 -25.3036489, -52.5426836 -25.3035715)",Rua C
355160608,False,,residential,True,89.658,"LINESTRING (-52.5428837 -25.3036489, -52.5436711 -25.3040276)",Rua C
355160609,False,,residential,False,111.601,"LINESTRING (-52.5428837 -25.3036489, -52.5433669 -25.3027453)",
355160609,False,,residential,True,111.601,"LINESTRING (-52.5433669 -25.3027453, -52.5428837 -25.3036489)",
355160608,False,,residential,True,21.879,"LINESTRING (-52.5426836 -25.3035715, -52.5428837 -25.3036489)",Rua C
355160611,False,,residential,False,93.862,"LINESTRING (-52.5426836 -25.3035715, -52.5420389 -25.3041821)",
355160608,False,,residential,False,40.589,"LINESTRING (-52.5426836 -25.3035715, -52.5424313 -25.3034288, -52.5423425 -25.3033762)",Rua C
355160611,False,,residential,False,40.125,"LINESTRING (-52.5420389 -25.3041821, -52.5417766 -25.3044541)",
355160611,False,,residential,True,93.862,"LINESTRING (-52.5420389 -25.3041821, -52.5426836 -25.3035715)",
355160612,False,,residential,False,115.528,"LINESTRING (-52.5420389 -25.3041821, -52.5430498 -25.3046763)",
355160612,False,,residential,True,115.528,"LINESTRING (-52.5430498 -25.3046763, -52.5420389 -25.3041821)",
355161491,False,,tertiary,False,61.754999999999995,"LINESTRING (-52.5430498 -25.3046763, -52.5434042 -25.3043423, -52.5434681 -25.30427)",Estrada Vereador João Wolff
355161491,False,,tertiary,True,75.191,"LINESTRING (-52.5430498 -25.3046763, -52.5426486 -25.3050704, -52.5425386 -25.3051698)",Estrada Vereador João Wolff
355160613,False,,residential,False,110.458,"LINESTRING (-52.5425386 -25.3051698, -52.5417766 -25.3044541)",
355161491,False,,tertiary,False,75.191,"LINESTRING (-52.5425386 -25.3051698, -52.5426486 -25.3050704, -52.5430498 -25.3046763)",Estrada Vereador João Wolff
355161491,False,,tertiary,True,159.882,"LINESTRING (-52.5425386 -25.3051698, -52.5424447 -25.3052547, -52.5421551 -25.3055239, -52.5420102 -25.305633, -52.5418493 -25.3056718, -52.5411625 -25.3056929)",Estrada Vereador João Wolff
355160611,False,,residential,True,40.125,"LINESTRING (-52.5417766 -25.3044541, -52.5420389 -25.3041821)",
355160613,False,,residential,True,110.458,"LINESTRING (-52.5417766 -25.3044541, -52.5425386 -25.3051698)",
355160611,False,,residential,False,97.288,"LINESTRING (-52.5417766 -25.3044541, -52.5415717 -25.304674, -52.5410918 -25.304278)",
355160614,False,,residential,False,112.459,"LINESTRING (-52.5411625 -25.3056929, -52.5413759 -25.3066857)",Rua Alcides Petro
355161491,False,,tertiary,True,121.344,"LINESTRING (-52.5411625 -25.3056929, -52.539961 -25.3057979)",Estrada Vereador João Wolff
355161491,False,,tertiary,False,159.88199999999998,"LINESTRING (-52.5411625 -25.3056929, -52.5418493 -25.3056718, -52.5420102 -25.305633, -52.5421551 -25.3055239, -52.5424447 -25.3052547, -52.5425386 -25.3051698)",Estrada Vereador João Wolff
355160614,False,,residential,True,112.459,"LINESTRING (-52.5413759 -25.3066857, -52.5411625 -25.3056929)",Rua Alcides Petro
355160568,False,,residential,False,72.957,"LINESTRING (-52.5413759 -25.3066857, -52.5415984 -25.3066728, -52.542101 -25.3066859)",Rua Santa Catarina
355160568,False,,residential,True,117.979,"LINESTRING (-52.5413759 -25.3066857, -52.5409596 -25.3067207, -52.5403187 -25.306781, -52.5402093 -25.3067989)",Rua Santa Catarina
355160615,False,,tertiary,False,114.071,"LINESTRING (-52.5402093 -25.3067989, -52.539961 -25.3057979)",Rua Joaquim Prudente
355160568,False,,residential,False,117.97900000000001,"LINESTRING (-52.5402093 -25.3067989, -52.5403187 -25.306781, -52.5409596 -25.3067207, -52.5413759 -25.3066857)",Rua Santa Catarina
952934640,False,,residential,True,76.648,"LINESTRING (-52.5397786 -25.3051286, -52.539961 -25.3057979)",Rua Joaquim Prudente
355160616,False,,residential,False,86.389,"LINESTRING (-52.5434681 -25.30427, -52.544224 -25.3046396)",Avenida Brasil
355161491,False,,tertiary,False,33.818,"LINESTRING (-52.5434681 -25.30427, -52.5436249 -25.3040883, -52.5436711 -25.3040276)",Estrada Vereador João Wolff
355161491,False,,tertiary,True,61.754999999999995,"LINESTRING (-52.5434681 -25.30427, -52.5434042 -25.3043423, -52.5430498 -25.3046763)",Estrada Vereador João Wolff
355160616,False,,residential,True,68.71,"LINESTRING (-52.5465432 -25.3056742, -52.5459159 -25.3054288)",Avenida Brasil
"[355161496, 355160620]",False,,residential,False,107.13,"LINESTRING (-52.5465432 -25.3056742, -52.5464527 -25.3060448, -52.5464635 -25.3061418, -52.5465372 -25.3062145, -52.5469261 -25.3063782)","['Rua das Violetas', 'Rua das Rosas']"
"[355160620, 355160621]",False,,residential,"[False, True]",124.58099999999999,"LINESTRING (-52.5465432 -25.3056742, -52.546678 -25.3050615, -52.5471716 -25.3052773)","['Rua das Orquídeas', 'Rua das Rosas']"
355160616,False,,residential,False,68.71,"LINESTRING (-52.5459159 -25.3054288, -52.5465432 -25.3056742)",Avenida Brasil
355160616,False,,residential,True,97.539,"LINESTRING (-52.5459159 -25.3054288, -52.5450679 -25.3050025)",Avenida Brasil
355160617,False,,residential,False,75.942,"LINESTRING (-52.5459159 -25.3054288, -52.546232 -25.3048085)",Rua das Palmeiras
355160617,False,,residential,True,75.942,"LINESTRING (-52.546232 -25.3048085, -52.5459159 -25.3054288)",Rua das Palmeiras
355160616,False,,residential,False,97.539,"LINESTRING (-52.5450679 -25.3050025, -52.5459159 -25.3054288)",Avenida Brasil
355160616,False,,residential,True,93.942,"LINESTRING (-52.5450679 -25.3050025, -52.544224 -25.3046396)",Avenida Brasil
355160618,False,,residential,False,76.203,"LINESTRING (-52.5450679 -25.3050025, -52.5454112 -25.3043915)",
355160618,False,,residential,True,76.203,"LINESTRING (-52.5454112 -25.3043915, -52.5450679 -25.3050025)",
355160619,False,,residential,False,78.158,"LINESTRING (-52.5446066 -25.3040277, -52.544224 -25.3046396)",Rua Laranjeiras
355160616,False,,residential,False,93.942,"LINESTRING (-52.544224 -25.3046396, -52.5450679 -25.3050025)",Avenida Brasil
355160616,False,,residential,True,86.389,"LINESTRING (-52.544224 -25.3046396, -52.5434681 -25.30427)",Avenida Brasil
355160619,False,,residential,True,78.158,"LINESTRING (-52.544224 -25.3046396, -52.5446066 -25.3040277)",Rua Laranjeiras
355160623,False,,residential,True,119.023,"LINESTRING (-52.5479802 -25.3067771, -52.5481854 -25.3057229)",Rua das Azaleias
355161496,False,,residential,False,72.367,"LINESTRING (-52.5479802 -25.3067771, -52.5481036 -25.3068086, -52.5482672 -25.306828, -52.548693 -25.3068525)",Rua das Violetas
355161496,False,,residential,True,57.061,"LINESTRING (-52.5479802 -25.3067771, -52.5477228 -25.3067213, -52.5474438 -25.3066146)",Rua das Violetas
355160621,False,,residential,True,57.094,"LINESTRING (-52.5481854 -25.3057229, -52.5476745 -25.3054986)",Rua das Orquídeas
355160623,False,,residential,False,119.023,"LINESTRING (-52.5481854 -25.3057229, -52.5479802 -25.3067771)",Rua das Azaleias
355160621,False,,residential,False,53.289,"LINESTRING (-52.5481854 -25.3057229, -52.5482538 -25.3057526, -52.5483122 -25.305752, -52.548339 -25.3057229, -52.548396 -25.3054071)",Rua das Orquídeas
355160621,False,,residential,False,61.273,"LINESTRING (-52.548396 -25.3054071, -52.5490035 -25.3053622)",Rua das Orquídeas
937488759,False,,residential,False,42.763,"LINESTRING (-52.548396 -25.3054071, -52.548496 -25.3050333)",
355160621,False,,residential,True,53.289,"LINESTRING (-52.548396 -25.3054071, -52.548339 -25.3057229, -52.5483122 -25.305752, -52.5482538 -25.3057526, -52.5481854 -25.3057229)",Rua das Orquídeas
355160621,False,,residential,True,61.273,"LINESTRING (-52.5490035 -25.3053622, -52.548396 -25.3054071)",Rua das Orquídeas
355160622,False,,residential,False,168.628,"LINESTRING (-52.5490035 -25.3053622, -52.548693 -25.3068525)",Rua Raul Bueno
355160622,False,,residential,True,168.628,"LINESTRING (-52.548693 -25.3068525, -52.5490035 -25.3053622)",Rua Raul Bueno
355161496,False,,residential,True,72.367,"LINESTRING (-52.548693 -25.3068525, -52.5482672 -25.306828, -52.5481036 -25.3068086, -52.5479802 -25.3067771)",Rua das Violetas
355160621,False,,residential,False,57.094,"LINESTRING (-52.5476745 -25.3054986, -52.5481854 -25.3057229)",Rua das Orquídeas
355160621,False,,residential,True,56.225,"LINESTRING (-52.5476745 -25.3054986, -52.5471716 -25.3052773)",Rua das Orquídeas
355160624,False,,residential,False,126.242,"LINESTRING (-52.5476745 -25.3054986, -52.5474438 -25.3066146)",Rua Amor Perfeito
355160624,False,,residential,True,126.242,"LINESTRING (-52.5474438 -25.3066146, -52.5476745 -25.3054986)",Rua Amor Perfeito
355161496,False,,residential,True,58.303,"LINESTRING (-52.5474438 -25.3066146, -52.5469261 -25.3063782)",Rua das Violetas
355161496,False,,residential,False,57.061,"LINESTRING (-52.5474438 -25.3066146, -52.5477228 -25.3067213, -52.5479802 -25.3067771)",Rua das Violetas
355160621,False,,residential,False,56.225,"LINESTRING (-52.5471716 -25.3052773, -52.5476745 -25.3054986)",Rua das Orquídeas
355160625,False,,residential,False,124.878,"LINESTRING (-52.5471716 -25.3052773, -52.5469261 -25.3063782)",Rua das Camélias
"[355160620, 355160621]",False,,residential,"[False, True]",124.58099999999999,"LINESTRING (-52.5471716 -25.3052773, -52.546678 -25.3050615, -52.5465432 -25.3056742)","['Rua das Orquídeas', 'Rua das Rosas']"
355160625,False,,residential,True,124.878,"LINESTRING (-52.5469261 -25.3063782, -52.5471716 -25.3052773)",Rua das Camélias
355161496,False,,residential,False,58.303,"LINESTRING (-52.5469261 -25.3063782, -52.5474438 -25.3066146)",Rua das Violetas
"[355161496, 355160620]",False,,residential,True,107.13,"LINESTRING (-52.5469261 -25.3063782, -52.5465372 -25.3062145, -52.5464635 -25.3061418, -52.5464527 -25.3060448, -52.5465432 -25.3056742)","['Rua das Violetas', 'Rua das Rosas']"
355161491,False,,tertiary,True,9.781,"LINESTRING (-52.5444834 -25.3023543, -52.544467 -25.302441)",Estrada Vereador João Wolff
355161493,False,,unclassified,False,139.19799999999998,"LINESTRING (-52.5444834 -25.3023543, -52.5440374 -25.3021141, -52.5438067 -25.3018886, -52.5434715 -25.3016364, -52.5434017 -25.3015855)",Estrada Linha Pessegueiro
355161495,False,,tertiary,False,76.601,"LINESTRING (-52.5444834 -25.3023543, -52.5445529 -25.3021557, -52.5447135 -25.3018129, -52.5447603 -25.3017132)",Estrada Vereador João Wolff
1220513063,False,,residential,True,145.207,"LINESTRING (-52.5429485 -25.3011247, -52.5422745 -25.3022797)",
355161493,False,,unclassified,True,68.576,"LINESTRING (-52.5429485 -25.3011247, -52.5432971 -25.3014861, -52.5434017 -25.3015855)",Estrada Linha Pessegueiro
355160604,False,,residential,True,183.32999999999998,"LINESTRING (-52.549485 -25.3042577, -52.548801 -25.304168, -52.5485998 -25.3041025, -52.5483128 -25.3039449, -52.5480151 -25.3038261, -52.5477583 -25.3038432)",
570729347,True,,trunk_link,False,9.793,"LINESTRING (-52.5424334 -25.307062, -52.5424372 -25.306974)",
570729340,True,,trunk_link,False,46.263,"LINESTRING (-52.5424334 -25.307062, -52.5423637 -25.3070196, -52.5422873 -25.3069953, -52.541998 -25.3069421)",
570729342,True,,trunk_link,False,17.399,"LINESTRING (-52.5429109 -25.3071457, -52.5428149 -25.3072759)",
570729340,True,,trunk_link,False,51.397000000000006,"LINESTRING (-52.5429109 -25.3071457, -52.5427875 -25.3071723, -52.5426453 -25.3071626, -52.5425166 -25.307119, -52.5424334 -25.307062)",
355160567,False,,residential,False,6.907,"LINESTRING (-52.5428149 -25.3072759, -52.5427471 -25.3072658)",Rua Rio Grande do Sul
355160567,False,,residential,True,83.032,"LINESTRING (-52.5428149 -25.3072759, -52.54363 -25.3073968)",Rua Rio Grande do Sul
355160568,False,,residential,False,31.517,"LINESTRING (-52.542101 -25.3066859, -52.5424144 -25.3066941)",Rua Santa Catarina
355160568,False,,residential,True,72.957,"LINESTRING (-52.542101 -25.3066859, -52.5415984 -25.3066728, -52.5413759 -25.3066857)",Rua Santa Catarina
570729338,True,,trunk_link,False,33.867,"LINESTRING (-52.541998 -25.3069421, -52.5420982 -25.3068523, -52.542133 -25.3067674, -52.542101 -25.3066859)",
570729345,True,,trunk_link,False,50.913,"LINESTRING (-52.541998 -25.3069421, -52.5421813 -25.3068692, -52.5422993 -25.3068062, -52.5424144 -25.3066941)",
937488814,False,BR-277,trunk,False,44.34,"LINESTRING (-52.541998 -25.3069421, -52.5422924 -25.3069548, -52.5424372 -25.306974)",
570729347,True,,trunk_link,False,31.208,"LINESTRING (-52.5424372 -25.306974, -52.5424144 -25.3066941)",
