osmid,name,highway,oneway,reversed,length,geometry,ref,maxspeed,access,lanes
73995667,Buktaveien,residential,False,True,43.416,"LINESTRING (10.0376155 59.0021217, 10.037329 59.0017602)",,,,
73995573,Strandveien,residential,False,True,62.08,"LINESTRING (10.0368822 59.0003884, 10.0371276 58.9998446)",,,,
73995672,Strandveien,residential,False,False,29.354,"LINESTRING (10.0368822 59.0003884, 10.0367737 59.0006464)",,,,
73995672,Strandveien,residential,False,True,119.60900000000001,"LINESTRING (10.0368822 59.0003884, 10.037634 59.0004777, 10.0383101 59.0005523, 10.0389218 59.0006198)",,,,
293557713,Rådhusgaten,residential,False,True,46.863,"LINESTRING (10.0406008 58.9986705, 10.0403264 58.9986338, 10.0398042 58.9985745)",,,delivery,
73995576,Liaveien,residential,False,True,232.75099999999995,"LINESTRING (10.0300478 58.9981634, 10.0299946 58.9985928, 10.0299543 58.998638, 10.0298574 58.998714, 10.0296867 58.9987992, 10.0294983 58.998859, 10.029321 58.9988948, 10.0289188 58.9989778, 10.0288385 58.9990165, 10.0287915 58.9990638, 10.0287366 58.99915, 10.0287124 58.9992279, 10.0286669 58.9992942, 10.0286439 58.9993221, 10.0285542 58.9993674, 10.028431 58.9994104, 10.0281486 58.9994853, 10.0278649 58.9995442, 10.0276382 58.9995798)",,,,
126608756,Johan Ohlsens gate,secondary,False,True,79.26,"LINESTRING (10.0300478 58.9981634, 10.0302882 58.9981667, 10.030456 58.9981698, 10.0308711 58.9981776, 10.0311594 58.998183, 10.0313001 58.9981852, 10.0314309 58.9981872)",2968,40,,
34315468,Larviksveien,primary,False,True,36.387,"LINESTRING (10.0361103 58.9988428, 10.0359793 58.999163)",301,40,,
73995623,Finn Wedels vei,residential,False,True,85.666,"LINESTRING (10.0361103 58.9988428, 10.0346433 58.9986924)",,,,
34315468,Larviksveien,primary,False,False,30.935000000000002,"LINESTRING (10.0361103 58.9988428, 10.0361949 58.998661, 10.0362314 58.9985717)",301,40,,
73995697,Strandveien,residential,False,True,56.503,"LINESTRING (10.0389916 58.9996657, 10.0380231 58.9995688)",,,,
73995697,Strandveien,residential,False,False,41.005,"LINESTRING (10.0373173 58.9995068, 10.0380231 58.9995688)",,,,
73995599,Dronningensgate,residential,False,False,55.137,"LINESTRING (10.0380231 58.9995688, 10.0382262 58.9990841)",,,,
73995697,Strandveien,residential,False,False,56.503,"LINESTRING (10.0380231 58.9995688, 10.0389916 58.9996657)",,,,
73995697,Strandveien,residential,False,True,41.005,"LINESTRING (10.0380231 58.9995688, 10.0373173 58.9995068)",,,,
594758248,K.A. Torgersens gate,residential,False,False,140.96699999999998,"LINESTRING (10.032933 58.9975549, 10.0329564 58.9975193, 10.0332179 58.9969128, 10.0332212 58.9968755, 10.0332119 58.9968468, 10.0331824 58.9968251, 10.033128 58.9968081, 10.0330714 58.9968033, 10.0330529 58.9967999, 10.0321968 58.9967523)",,,,
594758249,Rådhusgaten,residential,False,False,125.748,"LINESTRING (10.032933 58.9975549, 10.0330402 58.9976164, 10.0332145 58.9977407, 10.0332669 58.9977711, 10.0333171 58.9977942, 10.0333641 58.9978074, 10.0334231 58.9978212, 10.0334822 58.9978291, 10.033577 58.9978406, 10.0342104 58.9979173, 10.0345317 58.9979574, 10.0348555 58.9979978)",,,,
594758249,Rådhusgaten,residential,False,True,65.503,"LINESTRING (10.032933 58.9975549, 10.0328095 58.9975148, 10.0326869 58.9974872, 10.0325748 58.9974685, 10.0324528 58.9974547, 10.0322175 58.997434, 10.0320451 58.9974181, 10.031842 58.9973967)",,,,
126608756,Johan Ohlsens gate,secondary,False,False,201.345,"LINESTRING (10.0349024 58.9984208, 10.0347009 58.9983954, 10.0343684 58.9983536, 10.0343506 58.9983514, 10.0340457 58.9983134, 10.0339897 58.9983064, 10.0335203 58.9982512, 10.0333094 58.9982327, 10.0330992 58.9982228, 10.0328001 58.9982173, 10.0317466 58.9981941, 10.0314309 58.9981872)",2968,40,,
126608756,Johan Ohlsens gate,secondary,False,True,77.957,"LINESTRING (10.0349024 58.9984208, 10.0360727 58.9985491, 10.0362314 58.9985717)",2968,40,,
293565744,Kommandør Herbst gate,residential,False,True,45.835,"LINESTRING (10.0349024 58.9984208, 10.0348986 58.9983679, 10.0348949 58.9983168, 10.0348909 58.9982567, 10.034903 58.9982035, 10.0349359 58.9981368, 10.0350111 58.9980173)",,,,
823893404,Risøyveien,secondary,False,True,47.708,"LINESTRING (10.0373217 59.0010081, 10.0365073 59.0009178)",2964,50,,
73995667,Buktaveien,residential,False,False,85.881,"LINESTRING (10.0373217 59.0010081, 10.037188 59.0013471, 10.0371641 59.0014506, 10.0371901 59.0015445, 10.0373041 59.0017288, 10.037329 59.0017602)",,,,
823893404,Risøyveien,secondary,False,False,81.00399999999999,"LINESTRING (10.0373217 59.0010081, 10.0373856 59.0010148, 10.0381207 59.0010924, 10.0387074 59.0011543)",2964,50,,
73995672,Strandveien,residential,False,True,29.354,"LINESTRING (10.0367737 59.0006464, 10.0368822 59.0003884)",,,,
46883492,Torsrødveien,residential,False,True,34.4,"LINESTRING (10.0283196 58.9969668, 10.028192 58.9972691)",,,,
73995632,Torsrødveien,residential,False,False,102.24300000000001,"LINESTRING (10.0283196 58.9969668, 10.0289351 58.997034, 10.029265 58.9970603, 10.0295627 58.9970824, 10.0297909 58.9971082, 10.0300692 58.9971458)",,,,
46883481,Kommander Herbst gate,residential,False,False,30.538,"LINESTRING (10.0344557 58.9991784, 10.0343122 58.9994429)",,,,
73995700,Jonas Lies gate,residential,False,True,85.736,"LINESTRING (10.0344557 58.9991784, 10.0359228 58.9993318)",,,,
46883481,Kommander Herbst gate,residential,False,True,42.68000000000001,"LINESTRING (10.0344557 58.9991784, 10.0345225 58.9990023, 10.0345986 58.9988017)",,,,
34315549,Kronprinsens gate,residential,True,False,45.235,"LINESTRING (10.039666 58.9988321, 10.039491 58.9992288)",,,,
73995690,Bryggeveien,residential,True,False,67.792,"LINESTRING (10.039666 58.9988321, 10.0407743 58.9990462)",,,,
73995573,Strandveien,residential,False,False,62.08,"LINESTRING (10.0371276 58.9998446, 10.0368822 59.0003884)",,,,
46883481,Kommander Herbst gate,residential,False,False,12.42,"LINESTRING (10.0346433 58.9986924, 10.0345986 58.9988017)",,,,
46883481,Kommander Herbst gate,residential,False,True,20.856,"LINESTRING (10.0346433 58.9986924, 10.0347119 58.9985082)",,,,
73995623,Finn Wedels vei,residential,False,False,85.666,"LINESTRING (10.0346433 58.9986924, 10.0361103 58.9988428)",,,,
46883481,Kommander Herbst gate,residential,False,False,20.856,"LINESTRING (10.0347119 58.9985082, 10.0346433 58.9986924)",,,,
46883362,Liaveien,residential,False,True,19.02,"LINESTRING (10.0276382 58.9995798, 10.0276798 58.9995263, 10.0277668 58.9994221)",,,,
73995576,Liaveien,residential,False,False,232.75100000000003,"LINESTRING (10.0276382 58.9995798, 10.0278649 58.9995442, 10.0281486 58.9994853, 10.028431 58.9994104, 10.0285542 58.9993674, 10.0286439 58.9993221, 10.0286669 58.9992942, 10.0287124 58.9992279, 10.0287366 58.99915, 10.0287915 58.9990638, 10.0288385 58.9990165, 10.0289188 58.9989778, 10.029321 58.9988948, 10.0294983 58.998859, 10.0296867 58.9987992, 10.0298574 58.998714, 10.0299543 58.998638, 10.0299946 58.9985928, 10.0300478 58.9981634)",,,,
34315468,Larviksveien,primary,False,False,36.387,"LINESTRING (10.0359793 58.999163, 10.0361103 58.9988428)",301,40,,
73995693,Larviksveien,primary,False,False,19.047,"LINESTRING (10.0359793 58.999163, 10.0359228 58.9993318)",301,40,,
263565759,Kong Frederik Vs gate,primary,False,True,63.854,"LINESTRING (10.0359793 58.999163, 10.0361067 58.9991581, 10.0361837 58.9991498, 10.0364479 58.9991082, 10.036542 58.9990904, 10.0366377 58.9990723, 10.0367527 58.9990422, 10.0368345 58.9990131, 10.0368895 58.9989889, 10.0369291 58.9989647, 10.0369639 58.9989347)",301,40,,
80895345,Larviksveien,primary,False,True,16.053,"LINESTRING (10.0352838 59.0008845, 10.0353413 59.0007432)",301,40,,
"[552141680, 80895345]",Larviksveien,primary,False,False,160.17100000000002,"LINESTRING (10.0352838 59.0008845, 10.0352274 59.0010144, 10.0351129 59.0013157, 10.035032 59.001497, 10.034932 59.001757, 10.034893 59.001856, 10.0347192 59.0022952)",301,"['40', '50']",,
823893404,Risøyveien,secondary,False,False,47.708,"LINESTRING (10.0365073 59.0009178, 10.0373217 59.0010081)",2964,50,,
263565742,Risøyveien,secondary,True,False,70.58,"LINESTRING (10.0365073 59.0009178, 10.0356743 59.0008639, 10.0355286 59.0008674, 10.0352838 59.0008845)",2964,50,,
46883368,Vardeveien,secondary,False,True,6.09,"LINESTRING (10.0345216 59.002819, 10.0346276 59.0028234)",2966,30,,
46883368,Vardeveien,secondary,False,False,79.807,"LINESTRING (10.0345216 59.002819, 10.0343999 59.0028127, 10.03416 59.0027947, 10.0338761 59.0027607, 10.0331924 59.0026184)",2966,30,,
