osmid,oneway,lanes,highway,reversed,length,geometry,name
144864673,False,,residential,False,50.261,"LINESTRING (-66.5877454 -18.4200633, -66.587596 -18.4200948, -66.5872972 -18.4202121)",
600838258,False,,residential,True,82.272,"LINESTRING (-66.5877454 -18.4200633, -66.5877657 -18.4200003, -66.5878476 -18.4199217, -66.5880563 -18.4196593, -66.5880694 -18.4196354, -66.588077 -18.4196095, -66.5880787 -18.4195826, -66.5880744 -18.419556, -66.5880643 -18.4195308, -66.5880488 -18.4195082, -66.5879951 -18.4194557)",
144864673,False,,residential,True,69.119,"LINESTRING (-66.5866199 -18.4208503, -66.5870914 -18.4204187)",
144864674,False,,residential,False,69.732,"LINESTRING (-66.5866199 -18.4208503, -66.5862773 -18.420314)",Calle Buch
144864674,False,,residential,True,96.828,"LINESTRING (-66.5866199 -18.4208503, -66.5870423 -18.4216234)",Calle Buch
159118341,False,,residential,True,108.462,"LINESTRING (-66.5866199 -18.4208503, -66.5858163 -18.4214587)",Calle Bolivar
144864660,False,,residential,False,90.995,"LINESTRING (-66.5821901 -18.4211465, -66.5818405 -18.4218946)",
144864660,False,,residential,True,90.995,"LINESTRING (-66.5818405 -18.4218946, -66.5821901 -18.4211465)",
621837298,False,,residential,False,54.448,"LINESTRING (-66.5818405 -18.4218946, -66.5813244 -18.421891)",Calle Catavi
621837298,False,,residential,True,60.35,"LINESTRING (-66.5818405 -18.4218946, -66.5824125 -18.4218871)",Calle Catavi
144864660,False,,residential,False,202.01600000000002,"LINESTRING (-66.5818405 -18.4218946, -66.5814557 -18.4225772, -66.581362 -18.4227337, -66.5812824 -18.4228097, -66.581143 -18.4228488, -66.5810673 -18.4228947, -66.580783 -18.4233537)",
144864674,False,,residential,False,83.266,"LINESTRING (-66.5873717 -18.4223039, -66.5870423 -18.4216234)",Calle Buch
141031661,False,,residential,False,59.709,"LINESTRING (-66.5846458 -18.4226408, -66.585081 -18.4229841)",
141031661,False,,residential,True,20.732,"LINESTRING (-66.5846458 -18.4226408, -66.5844939 -18.4225225)",
144864682,False,,residential,False,87.1,"LINESTRING (-66.5846458 -18.4226408, -66.5845413 -18.4227381, -66.5842305 -18.4228571, -66.5839018 -18.4229535)",Calle Uncia
144864648,False,,residential,True,139.381,"LINESTRING (-66.5839018 -18.4229535, -66.5850064 -18.4236412)",Calle Sucre
144864682,False,,residential,False,108.952,"LINESTRING (-66.5839018 -18.4229535, -66.5829946 -18.423258, -66.5829266 -18.4232755)",Calle Uncia
144864682,False,,residential,True,87.1,"LINESTRING (-66.5839018 -18.4229535, -66.5842305 -18.4228571, -66.5845413 -18.4227381, -66.5846458 -18.4226408)",Calle Uncia
144864660,False,,residential,True,202.016,"LINESTRING (-66.580783 -18.4233537, -66.5810673 -18.4228947, -66.581143 -18.4228488, -66.5812824 -18.4228097, -66.581362 -18.4227337, -66.5814557 -18.4225772, -66.5818405 -18.4218946)",
144864670,False,,tertiary,True,82.005,"LINESTRING (-66.580783 -18.4233537, -66.5809796 -18.4234819, -66.5814311 -18.4237608)",
144864648,False,,residential,False,15.692,"LINESTRING (-66.5851342 -18.4237134, -66.5850064 -18.4236412)",Calle Sucre
144864648,False,,residential,True,97.705,"LINESTRING (-66.5851342 -18.4237134, -66.5859392 -18.4241479)",Calle Sucre
148318350,False,,residential,False,59.031,"LINESTRING (-66.5851342 -18.4237134, -66.5855527 -18.423361)",
