osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed
288266782,True,Calle Arenales,residential,False,115.426,"LINESTRING (-63.1795947 -17.7815926, -63.1794102 -17.7815778, -63.1791053 -17.7815512, -63.178509 -17.7814992)",,
23262895,True,Calle 24 de Septiembre,residential,False,112.132,"LINESTRING (-63.1816292 -17.7827396, -63.1816326 -17.7826725, -63.1817094 -17.7817341)",3,
172669170,True,Calle Junín,residential,False,113.882,"LINESTRING (-63.1826923 -17.7828082, -63.1827515 -17.7828098, -63.1837655 -17.7828752)",3,
471929578,True,Calle Libertad,residential,False,113.78,"LINESTRING (-63.1826923 -17.7828082, -63.1826881 -17.7828557, -63.182608 -17.7837639, -63.1826029 -17.7838279)",3,20
23262895,True,Calle 24 de Septiembre,residential,False,113.251,"LINESTRING (-63.1815535 -17.7837555, -63.181561 -17.7836857, -63.1816261 -17.7827936, -63.1816292 -17.7827396)",3,
669344359,True,Calle Sucre,residential,False,120.24799999999999,"LINESTRING (-63.1815535 -17.7837555, -63.1815078 -17.7837531, -63.1808605 -17.7837193, -63.1804866 -17.7836915, -63.1804202 -17.7836866)",3,
288266784,True,Calle Independencia,residential,False,118.238,"LINESTRING (-63.1826029 -17.7838279, -63.1825972 -17.7838806, -63.1825686 -17.7841796, -63.1825649 -17.7842179, -63.1825422 -17.7844711, -63.1825113 -17.7848079, -63.1825061 -17.7848872)",2,
23262948,True,Calle Suárez de Figueroa,residential,False,41.842,"LINESTRING (-63.1849298 -17.7860651, -63.1845349 -17.786051)",1,
213203876,True,Calle Pari,residential,False,23.817,"LINESTRING (-63.1862237 -17.7877375, -63.1862595 -17.7877444, -63.1864404 -17.7877946)",,30
504830176,True,Calle Camiri,residential,False,123.408,"LINESTRING (-63.1862237 -17.7877375, -63.186106 -17.7875019, -63.1860906 -17.7874738, -63.186069 -17.7874469, -63.1854697 -17.7869102)",,
60104653,True,Calle Buenos Aires,residential,False,114.816,"LINESTRING (-63.1817944 -17.7806967, -63.1828753 -17.7807791)",2,
23262895,True,Calle 24 de Septiembre,residential,False,121.27999999999999,"LINESTRING (-63.1817944 -17.7806967, -63.1818054 -17.7805486, -63.1818224 -17.7803191, -63.1818678 -17.7796171, -63.1818684 -17.7796083)",3,
33024865,True,Calle Santa Bárbara,residential,False,85.459,"LINESTRING (-63.18593 -17.7810216, -63.1860196 -17.7802578)",,
612099878,True,Calle Santa Bárbara,residential,False,97.487,"LINESTRING (-63.1860196 -17.7802578, -63.1861658 -17.7793922)",,
442484692,True,Calle Seoane,residential,False,92.518,"LINESTRING (-63.1860196 -17.7802578, -63.1856147 -17.7802004, -63.1854917 -17.7801807, -63.1851567 -17.7801272)",2,
1194069560,False,,residential,True,5.479,"LINESTRING (-63.1776802 -17.7845552, -63.1776845 -17.7845061)",,
674094456,True,Calle Ballivián,residential,False,49.799,"LINESTRING (-63.1776845 -17.7845061, -63.1781533 -17.7845422)",1,
1194069560,False,,residential,False,5.479,"LINESTRING (-63.1776845 -17.7845061, -63.1776802 -17.7845552)",,
