osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry
250542357,Calle Bolivar,residential,False,False,112.888,,,,"LINESTRING (-63.2324344 -17.1181364, -63.231392 -17.1179409)"
250542357,Calle Bolivar,residential,False,True,115.11500000000001,,,,"LINESTRING (-63.2324344 -17.1181364, -63.2326607 -17.1181787, -63.2334975 -17.1183351)"
619895637,RN10: Guabirá-Colonia Piraí,trunk,False,False,114.422,2,F10,80,"LINESTRING (-63.2324344 -17.1181364, -63.2324614 -17.1180236, -63.232616 -17.1172243, -63.2326356 -17.1171256)"
619895637,RN10: Guabirá-Colonia Piraí,trunk,False,True,113.56099999999999,2,F10,80,"LINESTRING (-63.2324344 -17.1181364, -63.2324126 -17.1182387, -63.2322215 -17.1191372)"
250542350,Calle Oscar Unzaga,residential,False,False,85.566,,,,"LINESTRING (-63.237883 -17.1181551, -63.237094 -17.1180016)"
250542439,,residential,False,False,116.894,,,,"LINESTRING (-63.237883 -17.1181551, -63.2376724 -17.1191869)"
250542348,Calle San Isidro,residential,False,False,111.917,,,,"LINESTRING (-63.2334975 -17.1183351, -63.2336995 -17.1173473)"
250542348,Calle San Isidro,residential,False,True,118.729,,,,"LINESTRING (-63.2334975 -17.1183351, -63.2332726 -17.119381)"
250542357,Calle Bolivar,residential,False,True,114.691,,,,"LINESTRING (-63.2334975 -17.1183351, -63.2345497 -17.1185646)"
250542357,Calle Bolivar,residential,False,False,115.11500000000001,,,,"LINESTRING (-63.2334975 -17.1183351, -63.2326607 -17.1181787, -63.2324344 -17.1181364)"
250542352,,residential,False,False,114.651,,,,"LINESTRING (-63.2290657 -17.1185129, -63.2301272 -17.1186972)"
250542356,Calle Independencia,residential,False,False,116.439,,,,"LINESTRING (-63.2290657 -17.1185129, -63.2288341 -17.1195364)"
250542356,Calle Independencia,residential,False,True,110.071,,,,"LINESTRING (-63.2290657 -17.1185129, -63.2293024 -17.1175492)"
250542354,Calle Darío Bejarano,residential,False,False,114.933,,,,"LINESTRING (-63.2345497 -17.1185646, -63.2343307 -17.1195768)"
250542354,Calle Darío Bejarano,residential,False,True,114.184,,,,"LINESTRING (-63.2345497 -17.1185646, -63.2347678 -17.1175591)"
250542357,Calle Bolivar,residential,False,False,114.691,,,,"LINESTRING (-63.2345497 -17.1185646, -63.2334975 -17.1183351)"
250542357,Calle Bolivar,residential,False,True,110.609,,,,"LINESTRING (-63.2345497 -17.1185646, -63.2355713 -17.118755)"
250542345,,residential,False,False,119.994,,,,"LINESTRING (-63.2301272 -17.1186972, -63.2299211 -17.1197582)"
250542345,,residential,False,True,108.165,,,,"LINESTRING (-63.2301272 -17.1186972, -63.230366 -17.1177516)"
250542352,,residential,False,False,111.984,,,,"LINESTRING (-63.2301272 -17.1186972, -63.2311585 -17.1189041)"
250542352,,residential,False,True,114.651,,,,"LINESTRING (-63.2301272 -17.1186972, -63.2290657 -17.1185129)"
250542357,Calle Bolivar,residential,False,False,110.609,,,,"LINESTRING (-63.2355713 -17.118755, -63.2345497 -17.1185646)"
250542357,Calle Bolivar,residential,False,True,116.13,,,,"LINESTRING (-63.2355713 -17.118755, -63.2366413 -17.1189672)"
250542459,Avenida Puerto Suarez,residential,False,False,118.163,,,,"LINESTRING (-63.2355713 -17.118755, -63.2353677 -17.1197997)"
250542459,Avenida Puerto Suarez,residential,False,True,112.758,,,,"LINESTRING (-63.2355713 -17.118755, -63.2357823 -17.1177612)"
250542347,Calle 2 de Agosto,residential,False,False,109.94,,,,"LINESTRING (-63.2311585 -17.1189041, -63.231392 -17.1179409)"
250542347,Calle 2 de Agosto,residential,False,True,116.665,,,,"LINESTRING (-63.2311585 -17.1189041, -63.2309511 -17.1199344)"
250542352,,residential,False,False,115.899,,,,"LINESTRING (-63.2311585 -17.1189041, -63.2322215 -17.1191372)"
250542352,,residential,False,True,111.984,,,,"LINESTRING (-63.2311585 -17.1189041, -63.2301272 -17.1186972)"
250542342,Calle La Paz,residential,False,False,114.857,,,,"LINESTRING (-63.2366413 -17.1189672, -63.2368286 -17.1179499)"
250542342,Calle La Paz,residential,False,True,116.835,,,,"LINESTRING (-63.2366413 -17.1189672, -63.236423 -17.119997)"
250542357,Calle Bolivar,residential,False,False,116.13,,,,"LINESTRING (-63.2366413 -17.1189672, -63.2355713 -17.118755)"
250542357,Calle Bolivar,residential,False,True,86.995,,,,"LINESTRING (-63.2366413 -17.1189672, -63.2374404 -17.1191371)"
250542357,Calle Bolivar,residential,False,False,8.66,,,,"LINESTRING (-63.2376724 -17.1191869, -63.2375929 -17.1191698)"
250542439,,residential,False,True,116.894,,,,"LINESTRING (-63.2376724 -17.1191869, -63.237883 -17.1181551)"
250542439,,residential,False,False,115.09100000000001,,,,"LINESTRING (-63.2376724 -17.1191869, -63.2376262 -17.1195375, -63.2375561 -17.119957, -63.237502 -17.1202086)"
250542352,,residential,False,False,114.941,,,,"LINESTRING (-63.2322215 -17.1191372, -63.2332726 -17.119381)"
250542352,,residential,False,True,115.899,,,,"LINESTRING (-63.2322215 -17.1191372, -63.2311585 -17.1189041)"
619895637,RN10: Guabirá-Colonia Piraí,trunk,False,True,114.549,2,F10,80,"LINESTRING (-63.2322215 -17.1191372, -63.2320021 -17.1201458)"
619895637,RN10: Guabirá-Colonia Piraí,trunk,False,False,113.56099999999999,2,F10,80,"LINESTRING (-63.2322215 -17.1191372, -63.2324126 -17.1182387, -63.2324344 -17.1181364)"
250542348,Calle San Isidro,residential,False,False,118.729,,,,"LINESTRING (-63.2332726 -17.119381, -63.2334975 -17.1183351)"
250542348,Calle San Isidro,residential,False,True,111.6,,,,"LINESTRING (-63.2332726 -17.119381, -63.2330432 -17.1203604)"
250542352,,residential,False,False,114.531,,,,"LINESTRING (-63.2332726 -17.119381, -63.2343307 -17.1195768)"
250542352,,residential,False,True,114.941,,,,"LINESTRING (-63.2332726 -17.119381, -63.2322215 -17.1191372)"
250542352,,residential,False,False,112.953,,,,"LINESTRING (-63.2343307 -17.1195768, -63.2353677 -17.1197997)"
250542352,,residential,False,True,114.531,,,,"LINESTRING (-63.2343307 -17.1195768, -63.2332726 -17.119381)"
250542354,Calle Darío Bejarano,residential,False,False,112.45,,,,"LINESTRING (-63.2343307 -17.1195768, -63.234124 -17.1205686)"
250542354,Calle Darío Bejarano,residential,False,True,114.933,,,,"LINESTRING (-63.2343307 -17.1195768, -63.2345497 -17.1185646)"
250542356,Calle Independencia,residential,False,False,111.768,,,,"LINESTRING (-63.2288341 -17.1195364, -63.2286155 -17.1205196)"
250542356,Calle Independencia,residential,False,True,116.439,,,,"LINESTRING (-63.2288341 -17.1195364, -63.2290657 -17.1185129)"
618633485,Calle 14 de Junio,residential,False,True,118.117,,,,"LINESTRING (-63.2288341 -17.1195364, -63.2299211 -17.1197582)"
250542352,,residential,False,False,114.271,,,,"LINESTRING (-63.2353677 -17.1197997, -63.236423 -17.119997)"
250542352,,residential,False,True,112.953,,,,"LINESTRING (-63.2353677 -17.1197997, -63.2343307 -17.1195768)"
250542438,Calle Roboré,residential,False,True,106.656,,,,"LINESTRING (-63.2353677 -17.1197997, -63.2351484 -17.1207357)"
250542459,Avenida Puerto Suarez,residential,False,True,118.163,,,,"LINESTRING (-63.2353677 -17.1197997, -63.2355713 -17.118755)"
250542345,,residential,False,False,113.133,,,,"LINESTRING (-63.2299211 -17.1197582, -63.2297216 -17.1207576)"
250542345,,residential,False,True,119.994,,,,"LINESTRING (-63.2299211 -17.1197582, -63.2301272 -17.1186972)"
618633485,Calle 14 de Junio,residential,False,False,118.117,,,,"LINESTRING (-63.2299211 -17.1197582, -63.2288341 -17.1195364)"
618633485,Calle 14 de Junio,residential,False,True,111.196,,,,"LINESTRING (-63.2299211 -17.1197582, -63.2309511 -17.1199344)"
250542347,Calle 2 de Agosto,residential,False,False,116.665,,,,"LINESTRING (-63.2309511 -17.1199344, -63.2311585 -17.1189041)"
250542347,Calle 2 de Agosto,residential,False,True,114.62,,,,"LINESTRING (-63.2309511 -17.1199344, -63.2307733 -17.1209511)"
618633485,Calle 14 de Junio,residential,False,False,111.196,,,,"LINESTRING (-63.2309511 -17.1199344, -63.2299211 -17.1197582)"
618633485,Calle 14 de Junio,residential,False,True,114.135,,,,"LINESTRING (-63.2309511 -17.1199344, -63.2320021 -17.1201458)"
250542342,Calle La Paz,residential,False,False,116.835,,,,"LINESTRING (-63.236423 -17.119997, -63.2366413 -17.1189672)"
