osmid,lanes,ref,highway,oneway,reversed,length,geometry,name,maxspeed
271946471,,,residential,False,True,51.239999999999995,"LINESTRING (-40.9592621 -13.2929601, -40.9592025 -13.2933041, -40.9592012 -13.2933257, -40.9592052 -13.2933439, -40.9592186 -13.2933609, -40.9592668 -13.293379)",,
271946476,,,residential,False,False,16.254,"LINESTRING (-40.9597481 -13.2939863, -40.9598964 -13.2940095)",,
271946476,,,residential,False,True,58.661,"LINESTRING (-40.9597481 -13.2939863, -40.9592139 -13.2938967)",,
271946472,,,residential,False,True,88.068,"LINESTRING (-40.9597481 -13.2939863, -40.9597698 -13.2937231, -40.9597671 -13.2936735, -40.9597537 -13.2936461, -40.9597336 -13.2936174, -40.9597 -13.29359, -40.9595244 -13.293509, -40.9594372 -13.2934686, -40.9594023 -13.2934542, -40.9593856 -13.2934433, -40.9593814 -13.2934368, -40.9593794 -13.2934288, -40.9593809 -13.2934138)",,
242770394,,,residential,False,True,17.116,"LINESTRING (-40.9538575 -13.2951826, -40.9537105 -13.2952394)",Rua Artur Magalhães,
242770394,,,residential,False,False,104.547,"LINESTRING (-40.9538575 -13.2951826, -40.9544624 -13.2949486, -40.9545355 -13.2949323, -40.954636 -13.2949121, -40.9546971 -13.2949095, -40.9547735 -13.2949088)",Rua Artur Magalhães,
271946474,,,residential,False,False,215.703,"LINESTRING (-40.9538575 -13.2951826, -40.953822 -13.2950694, -40.953816 -13.2950165, -40.9538193 -13.2949663, -40.9538314 -13.2949082, -40.9538656 -13.2948383, -40.9539561 -13.2946954, -40.9540553 -13.2946002, -40.9541935 -13.294484, -40.9543115 -13.2944227, -40.9546669 -13.2942869, -40.9549499 -13.294206, -40.954982 -13.2941877, -40.9549968 -13.2941695, -40.9549995 -13.294142, -40.9549995 -13.2941185, -40.9549701 -13.2939198)",Rua das Flores,
271946475,,,secondary,False,False,314.362,"LINESTRING (-40.9549701 -13.2939198, -40.9577913 -13.2932458)",,
271946474,,,residential,False,True,215.703,"LINESTRING (-40.9549701 -13.2939198, -40.9549995 -13.2941185, -40.9549995 -13.294142, -40.9549968 -13.2941695, -40.954982 -13.2941877, -40.9549499 -13.294206, -40.9546669 -13.2942869, -40.9543115 -13.2944227, -40.9541935 -13.294484, -40.9540553 -13.2946002, -40.9539561 -13.2946954, -40.9538656 -13.2948383, -40.9538314 -13.2949082, -40.9538193 -13.2949663, -40.953816 -13.2950165, -40.953822 -13.2950694, -40.9538575 -13.2951826)",Rua das Flores,
"[298257162, 838436271]",2,BR-330,secondary,False,"[False, True]",240.79199999999997,"LINESTRING (-40.9549701 -13.2939198, -40.9549462 -13.2937996, -40.9549284 -13.2937714, -40.9549016 -13.2937596, -40.954864 -13.2937557, -40.9548412 -13.293757, -40.9541184 -13.2940128, -40.9539709 -13.2940716, -40.9538609 -13.2941394, -40.9536812 -13.29429, -40.953192 -13.2947488)","['Rua do Triângulo', 'Rua das Flores']",
271946475,,,secondary,False,True,314.362,"LINESTRING (-40.9577913 -13.2932458, -40.9549701 -13.2939198)",,
271946476,,,residential,False,False,35.085,"LINESTRING (-40.9577913 -13.2932458, -40.9580957 -13.2933544)",,
271946475,,,secondary,False,False,38.068,"LINESTRING (-40.9577913 -13.2932458, -40.9578274 -13.2932371, -40.9581229 -13.2931321)",,
271946476,,,residential,False,False,98.968,"LINESTRING (-40.9580957 -13.2933544, -40.9589325 -13.2937135)",,
271946476,,,residential,False,True,35.085,"LINESTRING (-40.9580957 -13.2933544, -40.9577913 -13.2932458)",,
799589345,,,residential,False,False,24.893,"LINESTRING (-40.9580957 -13.2933544, -40.9581229 -13.2931321)",,
271946470,,,residential,False,True,74.249,"LINESTRING (-40.9580957 -13.2933544, -40.9580599 -13.2935795, -40.9580398 -13.2937113, -40.9580264 -13.2938223, -40.9580144 -13.2940169)",,
