osmid,oneway,name,highway,reversed,length,geometry,ref,maxspeed
694617120,False,Rua Dárcio Borges,residential,False,70.796,"LINESTRING (-44.4654199 -4.5183431, -44.465894 -4.5179165)",,
694617120,False,Rua Dárcio Borges,residential,True,8.216,"LINESTRING (-44.4654199 -4.5183431, -44.4653615 -4.5183886)",,
"[533804091, 534619061]",True,Avenida Doutor Newton Bello,tertiary,False,89.322,"LINESTRING (-44.4654199 -4.5183431, -44.4654444 -4.5183584, -44.4656289 -4.5184858, -44.4660608 -4.5188292)",,
693784032,False,Rua Sete de Setembro,residential,False,138.98,"LINESTRING (-44.4645768 -4.5166428, -44.4654045 -4.515704)",,
374128722,False,Rua Treze de Maio,residential,True,186.108,"LINESTRING (-44.4645768 -4.5166428, -44.4639277 -4.5160525, -44.4638076 -4.5159476, -44.4637305 -4.5158908, -44.4636494 -4.5158473, -44.4634878 -4.5157731, -44.4632357 -4.5156642)",,
693784032,False,Rua Sete de Setembro,residential,True,97.182,"LINESTRING (-44.4645768 -4.5166428, -44.4644842 -4.5167411, -44.4639773 -4.5172805)",,
693784032,False,Rua Sete de Setembro,residential,True,138.98,"LINESTRING (-44.4654045 -4.515704, -44.4645768 -4.5166428)",,
694614329,False,Rua Dom Pedro I,residential,False,41.509,"LINESTRING (-44.4654045 -4.515704, -44.4652788 -4.5156702, -44.4651474 -4.5156401, -44.4650408 -4.5156154)",,
694614329,False,Rua Dom Pedro I,residential,True,43.141000000000005,"LINESTRING (-44.4654045 -4.515704, -44.465484 -4.5157334, -44.4655561 -4.5157681, -44.4656215 -4.5158012, -44.4657536 -4.5158741)",,
363718667,False,Avenida Doutor Newton Bello,tertiary,False,55.842,"LINESTRING (-44.4639773 -4.5172805, -44.4643759 -4.5175876)",,
693784032,False,Rua Sete de Setembro,residential,True,13.646,"LINESTRING (-44.4639773 -4.5172805, -44.4639087 -4.5173824)",,
363718667,False,Avenida Doutor Newton Bello,tertiary,True,72.083,"LINESTRING (-44.4639773 -4.5172805, -44.463758 -4.5170492, -44.4635321 -4.516808)",,
693784032,False,Rua Sete de Setembro,residential,False,97.182,"LINESTRING (-44.4639773 -4.5172805, -44.4644842 -4.5167411, -44.4645768 -4.5166428)",,
693801032,False,Travessa da Praça,residential,False,77.35,"LINESTRING (-44.465894 -4.5179165, -44.4653419 -4.5174911)",,
694617120,False,Rua Dárcio Borges,residential,True,70.796,"LINESTRING (-44.465894 -4.5179165, -44.4654199 -4.5183431)",,
694617120,False,Rua Dárcio Borges,residential,False,36.487,"LINESTRING (-44.465894 -4.5179165, -44.4659073 -4.5179045, -44.4661363 -4.5176944)",,
534619063,True,Avenida Doutor Newton Bello,tertiary,False,64.058,"LINESTRING (-44.4648685 -4.5180152, -44.4644192 -4.5176529)",,
693800777,False,Rua Antenor da Silva Magalhães,residential,False,8.731,"LINESTRING (-44.4648685 -4.5180152, -44.4649268 -4.5179624)",,
693800777,False,Rua Antenor da Silva Magalhães,residential,True,40.614,"LINESTRING (-44.4648685 -4.5180152, -44.4645798 -4.5182401)",,
693800777,False,Rua Antenor da Silva Magalhães,residential,False,69.74,"LINESTRING (-44.4649268 -4.5179624, -44.4653419 -4.5174911)",,
693800777,False,Rua Antenor da Silva Magalhães,residential,True,8.731,"LINESTRING (-44.4649268 -4.5179624, -44.4648685 -4.5180152)",,
534619061,True,Avenida Doutor Newton Bello,tertiary,False,69.14,"LINESTRING (-44.4649268 -4.5179624, -44.4650079 -4.5180285, -44.4654199 -4.5183431)",,
693800777,False,Rua Antenor da Silva Magalhães,residential,True,158.57999999999998,"LINESTRING (-44.466286 -4.5164202, -44.4659883 -4.5167785, -44.4656114 -4.5172063, -44.4653419 -4.5174911)",,
694614329,False,Rua Dom Pedro I,residential,False,84.693,"LINESTRING (-44.466286 -4.5164202, -44.4661702 -4.5163076, -44.4660265 -4.5161642, -44.4659652 -4.5160991, -44.4657536 -4.5158741)",,
694614329,False,Rua Dom Pedro I,residential,True,94.713,"LINESTRING (-44.466286 -4.5164202, -44.4664453 -4.5165548, -44.4664711 -4.5165766, -44.4669331 -4.5169764)",,
693800777,False,Rua Antenor da Silva Magalhães,residential,True,69.74,"LINESTRING (-44.4653419 -4.5174911, -44.4649268 -4.5179624)",,
693801032,False,Travessa da Praça,residential,True,77.35,"LINESTRING (-44.4653419 -4.5174911, -44.465894 -4.5179165)",,
693800777,False,Rua Antenor da Silva Magalhães,residential,False,158.58,"LINESTRING (-44.4653419 -4.5174911, -44.4656114 -4.5172063, -44.4659883 -4.5167785, -44.466286 -4.5164202)",,
694620707,True,Orla Municipal,residential,False,79.17999999999999,"LINESTRING (-44.4686289 -4.5159075, -44.4685552 -4.5158841, -44.4685072 -4.5158627, -44.4684784 -4.515837, -44.4684395 -4.5157965, -44.4684234 -4.5157564, -44.4684194 -4.515722, -44.4684314 -4.5156939, -44.4684549 -4.5156722, -44.4684837 -4.5156615, -44.4685085 -4.5156605, -44.4685377 -4.5156665, -44.4685531 -4.5156765, -44.468564 -4.5156914, -44.4685773 -4.515726, -44.4685954 -4.5157872, -44.4686075 -4.515838, -44.4686289 -4.5159075)",,
694620708,False,Orla Municipal,residential,False,219.20800000000003,"LINESTRING (-44.4686289 -4.5159075, -44.4687241 -4.5159924, -44.4688163 -4.5161013, -44.4688302 -4.5161218, -44.468867 -4.5161762, -44.4689048 -4.5162477, -44.468932 -4.5163119, -44.4689435 -4.5163514, -44.4689615 -4.5164129, -44.468985 -4.5165151, -44.4689897 -4.5165489, -44.468995 -4.5165867, -44.468989 -4.5166495, -44.4689548 -4.5167304, -44.4689132 -4.5167752, -44.4688395 -4.516826, -44.4688159 -4.5168341, -44.4687731 -4.5168487, -44.4687101 -4.5168641, -44.4686363 -4.5168781, -44.4685666 -4.5168781, -44.4684915 -4.5168674, -44.4683915 -4.5168407, -44.4682802 -4.5168073, -44.4681347 -4.5167571, -44.4680205 -4.5167152, -44.4679936 -4.5167053)",,
694619581,False,Rua João Lima,residential,False,144.35199999999998,"LINESTRING (-44.4703662 -4.5210627, -44.470312 -4.5209604, -44.4702765 -4.5208929, -44.4702356 -4.520794, -44.470194 -4.520655, -44.4701598 -4.5204972, -44.4701256 -4.5202532, -44.4700921 -4.519808)",,
694619584,False,Rua Elias Feitosa,residential,False,143.249,"LINESTRING (-44.4703662 -4.5210627, -44.4704642 -4.5209604, -44.4705856 -4.5208488, -44.4708833 -4.5206249, -44.4710154 -4.5205172, -44.4710972 -4.5204544, -44.4712092 -4.5203836, -44.4713856 -4.5202779)",,
694619584,False,Rua Elias Feitosa,residential,True,80.694,"LINESTRING (-44.4703662 -4.5210627, -44.4703135 -4.5211219, -44.4698877 -4.5216096)",,
693902631,False,Rua Santos Dumont,residential,True,46.677,"LINESTRING (-44.4700921 -4.519808, -44.4698262 -4.5194825)",,
694136699,False,Rua Santos Dumont,residential,False,156.918,"LINESTRING (-44.4700921 -4.519808, -44.4701779 -4.5199056, -44.4702463 -4.5199651, -44.4702986 -4.5199965, -44.4703509 -4.5200206, -44.4704119 -4.520038, -44.4705333 -4.5200627, -44.4707083 -4.5200968, -44.4710134 -4.5201382, -44.4711381 -4.5201579, -44.4711941 -4.520176, -44.4712508 -4.5202017, -44.4712997 -4.5202285, -44.4713856 -4.5202779)",,
694619581,False,Rua João Lima,residential,True,144.352,"LINESTRING (-44.4700921 -4.519808, -44.4701256 -4.5202532, -44.4701598 -4.5204972, -44.470194 -4.520655, -44.4702356 -4.520794, -44.4702765 -4.5208929, -44.470312 -4.5209604, -44.4703662 -4.5210627)",,
247205806,False,Rua Santa Amália,residential,True,8.115,"LINESTRING (-44.4698262 -4.5194825, -44.4697871 -4.5195442)",,
693902631,False,Rua Santos Dumont,residential,False,46.677,"LINESTRING (-44.4698262 -4.5194825, -44.4700921 -4.519808)",,
693902631,False,Rua Santos Dumont,residential,True,43.223,"LINESTRING (-44.4698262 -4.5194825, -44.4695737 -4.5191863)",,
693550775,False,Rua Joca Mota,residential,True,28.592,"LINESTRING (-44.468696 -4.5181957, -44.4684918 -4.5183528)",,
693902631,False,Rua Santos Dumont,residential,False,51.667,"LINESTRING (-44.468696 -4.5181957, -44.469008 -4.5185409)",,
693902631,False,Rua Santos Dumont,residential,True,83.692,"LINESTRING (-44.468696 -4.5181957, -44.4685216 -4.5180386, -44.4683198 -4.5178741, -44.4681226 -4.5177063)",,
694614330,False,Rua Joca Mota,residential,False,119.51,"LINESTRING (-44.468696 -4.5181957, -44.4688033 -4.5180807, -44.4690903 -4.5177692, -44.4692103 -4.5176408, -44.4693565 -4.5174958, -44.4694088 -4.5174466, -44.4694386 -4.5174169)",,
694614333,False,Orla Municipal,residential,False,84.703,"LINESTRING (-44.4679936 -4.5167053, -44.467945 -4.5166943, -44.4679061 -4.5166909, -44.4678705 -4.5166949, -44.467837 -4.5167073, -44.4677699 -4.5167444, -44.4677022 -4.5167882, -44.4676341 -4.516833, -44.4675091 -4.5169269, -44.4673609 -4.5170726)",,
694614334,False,Travessa Tiradentes,residential,False,84.28800000000001,"LINESTRING (-44.4679936 -4.5167053, -44.4680331 -4.5167554, -44.468067 -4.5167899, -44.4681112 -4.5168286, -44.4685505 -4.51722)",,
